BINARY is ECSO_00000318 ObjectProperty
BINARY SubClassOf ECSO_00000632 ECSO_00000646,
BINARY SubClassOf ECSO_00000632 ECSO_00000318_only_ECSO_00000321
BINARY is ECSO_00000637 Class
BINARY SubClassOf ECSO_00000637 ECSO_00000530
BINARY is ECSO_00000646 Class
BINARY SubClassOf ECSO_00000646 ECSO_00002932
BINARY is ECSO_00000653 Class
BINARY SubClassOf ECSO_00000653 ECSO_00000615
BINARY is ECSO_00000654 Class
BINARY SubClassOf ECSO_00000654 ECSO_00002932
BINARY is ECSO_00001116 Class
BINARY SubClassOf ECSO_00001116 ECSO_00001883
BINARY is ECSO_00001118 Class
BINARY SubClassOf ECSO_00001118 ECSO_00001130
BINARY is ECSO_00001122 Class
BINARY SubClassOf ECSO_00001122 ECSO_00000539
BINARY is ECSO_00001125 Class
BINARY SubClassOf ECSO_00001125 ECSO_00000520,
BINARY SubClassOf ECSO_00001125 ECSO_00000318_only_ECSO_00000321
BINARY is ECSO_00001126 Class
BINARY SubClassOf ECSO_00001126 ECSO_00000565
BINARY is ECSO_00001130 Class
BINARY SubClassOf ECSO_00001130 ECSO_00000520
BINARY is ECSO_00001132 Class
BINARY SubClassOf ECSO_00001132 ECSO_00000530
BINARY is ECSO_00001144 Class
BINARY SubClassOf ECSO_00001144 ECSO_00001883
BINARY is ECSO_00001246 Class
BINARY SubClassOf ECSO_00001246 ECSO_00003109
BINARY is ECSO_00001517 Class
BINARY SubClassOf ECSO_00001517 ECSO_00000632
BINARY is ECSO_00001518 Class
BINARY SubClassOf ECSO_00001518 ECSO_00000632
BINARY is ECSO_00001519 Class
BINARY SubClassOf ECSO_00001519 ECSO_00001125
BINARY is ECSO_00001520 Class
BINARY SubClassOf ECSO_00001520 ECSO_00001125
BINARY is ECSO_00001606 Class
BINARY SubClassOf ECSO_00001606 ECSO_00002977
BINARY is ECSO_00001624 Class
BINARY SubClassOf ECSO_00001624 ECSO_00002516
BINARY is ECSO_00001625 Class
BINARY SubClassOf ECSO_00001625 ECSO_00002516
BINARY is ECSO_00001629 Class
BINARY SubClassOf ECSO_00001629 ECSO_00002516
BINARY is ECSO_00001669 Class
BINARY SubClassOf ECSO_00001669 ECSO_00001246
BINARY is ECSO_00001670 Class
BINARY SubClassOf ECSO_00001670 ECSO_00001669
BINARY is ECSO_00001674 Class
BINARY SubClassOf ECSO_00001674 ECSO_00001669
BINARY is ECSO_00001703 Class
BINARY SubClassOf ECSO_00001703 ECSO_00001116
BINARY is ECSO_00001758 Class
BINARY SubClassOf ECSO_00001758 ECSO_00001116
BINARY is ECSO_00001759 Class
BINARY SubClassOf ECSO_00001759 ECSO_00001116
BINARY is ECSO_00001760 Class
BINARY SubClassOf ECSO_00001760 ECSO_00001116
BINARY is ECSO_00001761 Class
BINARY SubClassOf ECSO_00001761 ECSO_00001760
BINARY is ECSO_00001762 Class
BINARY SubClassOf ECSO_00001762 ECSO_00003109
BINARY is ECSO_00001763 Class
BINARY SubClassOf ECSO_00001763 ECSO_00002927
BINARY is ECSO_00001764 Class
BINARY SubClassOf ECSO_00001764 ECSO_00001814
BINARY is ECSO_00001765 Class
BINARY SubClassOf ECSO_00001765 ECSO_00001919
BINARY is ECSO_00001766 Class
BINARY SubClassOf ECSO_00001766 ECSO_00003109
BINARY is ECSO_00001767 Class
BINARY SubClassOf ECSO_00001767 ECSO_00001766
BINARY is ECSO_00001768 Class
BINARY SubClassOf ECSO_00001768 ECSO_00003109
BINARY is ECSO_00001769 Class
BINARY SubClassOf ECSO_00001769 ECSO_00002928
BINARY is ECSO_00001770 Class
BINARY SubClassOf ECSO_00001770 ECSO_00003109
BINARY is ECSO_00001771 Class
BINARY SubClassOf ECSO_00001771 ECSO_00001770
BINARY is ECSO_00001772 Class
BINARY SubClassOf ECSO_00001772 ECSO_00003109
BINARY is ECSO_00001773 Class
BINARY SubClassOf ECSO_00001773 ECSO_00002031
BINARY is ECSO_00001776 Class
BINARY SubClassOf ECSO_00001776 ECSO_00003109
BINARY is ECSO_00001777 Class
BINARY SubClassOf ECSO_00001777 ECSO_00002033
BINARY is ECSO_00001778 Class
BINARY SubClassOf ECSO_00001778 ECSO_00003109
BINARY is ECSO_00001779 Class
BINARY SubClassOf ECSO_00001779 ECSO_00001778
BINARY is ECSO_00001780 Class
BINARY SubClassOf ECSO_00001780 ECSO_00003109
BINARY is ECSO_00001781 Class
BINARY SubClassOf ECSO_00001781 ECSO_00001780
BINARY is ECSO_00001782 Class
BINARY SubClassOf ECSO_00001782 ECSO_00003109
BINARY is ECSO_00001783 Class
BINARY SubClassOf ECSO_00001783 ECSO_00001782
BINARY is ECSO_00001784 Class
BINARY SubClassOf ECSO_00001784 ECSO_00003109
BINARY is ECSO_00001785 Class
BINARY SubClassOf ECSO_00001785 ECSO_00001784
BINARY is ECSO_00001786 Class
BINARY SubClassOf ECSO_00001786 ECSO_00003109
BINARY is ECSO_00001787 Class
BINARY SubClassOf ECSO_00001787 ECSO_00002931
BINARY is ECSO_00001788 Class
BINARY SubClassOf ECSO_00001788 ECSO_00003109
BINARY is ECSO_00001789 Class
BINARY SubClassOf ECSO_00001789 ECSO_00001966
BINARY is ECSO_00001790 Class
BINARY SubClassOf ECSO_00001790 ECSO_00003109
BINARY is ECSO_00001791 Class
BINARY SubClassOf ECSO_00001791 ECSO_00001925
BINARY is ECSO_00001792 Class
BINARY SubClassOf ECSO_00001792 ECSO_00003109
BINARY is ECSO_00001793 Class
BINARY SubClassOf ECSO_00001793 ECSO_00002929
BINARY is ECSO_00001794 Class
BINARY SubClassOf ECSO_00001794 ECSO_00003109
BINARY is ECSO_00001795 Class
BINARY SubClassOf ECSO_00001795 ECSO_00001794
BINARY is ECSO_00001796 Class
BINARY SubClassOf ECSO_00001796 ECSO_00003109
BINARY is ECSO_00001797 Class
BINARY SubClassOf ECSO_00001797 ECSO_00001796
BINARY is ECSO_00001798 Class
BINARY SubClassOf ECSO_00001798 ECSO_00003109
BINARY is ECSO_00001799 Class
BINARY SubClassOf ECSO_00001799 ECSO_00002339
BINARY is ECSO_00001800 Class
BINARY SubClassOf ECSO_00001800 ECSO_00003109
BINARY is ECSO_00001801 Class
BINARY SubClassOf ECSO_00001801 ECSO_00002603
BINARY is ECSO_00001802 Class
BINARY SubClassOf ECSO_00001802 ECSO_00003109
BINARY is ECSO_00001803 Class
BINARY SubClassOf ECSO_00001803 ECSO_00001802
BINARY is ECSO_00001804 Class
BINARY SubClassOf ECSO_00001804 ECSO_00003109
BINARY is ECSO_00001805 Class
BINARY SubClassOf ECSO_00001805 ECSO_00002419
BINARY is ECSO_00001806 Class
BINARY SubClassOf ECSO_00001806 ECSO_00003109
BINARY is ECSO_00001807 Class
BINARY SubClassOf ECSO_00001807 ECSO_00002322
BINARY is ECSO_00001808 Class
BINARY SubClassOf ECSO_00001808 ECSO_00003109
BINARY is ECSO_00001809 Class
BINARY SubClassOf ECSO_00001809 ECSO_00001808
BINARY is ECSO_00001810 Class
BINARY SubClassOf ECSO_00001810 ECSO_00003109
BINARY is ECSO_00001811 Class
BINARY SubClassOf ECSO_00001811 ECSO_00001810
BINARY is ECSO_00001812 Class
BINARY SubClassOf ECSO_00001812 ECSO_00003109
BINARY is ECSO_00001813 Class
BINARY SubClassOf ECSO_00001813 ECSO_00001812
BINARY is ECSO_00001814 Class
BINARY SubClassOf ECSO_00001814 ECSO_00003109
BINARY is ECSO_00001815 Class
BINARY SubClassOf ECSO_00001815 ECSO_00001814
BINARY is ECSO_00001816 Class
BINARY SubClassOf ECSO_00001816 ECSO_00003109
BINARY is ECSO_00001817 Class
BINARY SubClassOf ECSO_00001817 ECSO_00001816
BINARY is ECSO_00001818 Class
BINARY SubClassOf ECSO_00001818 ECSO_00003109
BINARY is ECSO_00001819 Class
BINARY SubClassOf ECSO_00001819 ECSO_00001818
BINARY is ECSO_00001820 Class
BINARY SubClassOf ECSO_00001820 ECSO_00002216
BINARY is ECSO_00001855 Class
BINARY SubClassOf ECSO_00001855 ECSO_00001762
BINARY is ECSO_00001857 Class
BINARY SubClassOf ECSO_00001857 ECSO_00001762
BINARY is ECSO_00001861 Class
BINARY SubClassOf ECSO_00001861 ECSO_00001768
BINARY is ECSO_00001862 Class
BINARY SubClassOf ECSO_00001862 ECSO_00002928
BINARY is ECSO_00001865 Class
BINARY SubClassOf ECSO_00001865 ECSO_00001770
BINARY is ECSO_00001868 Class
BINARY SubClassOf ECSO_00001868 ECSO_00003109
BINARY is ECSO_00001869 Class
BINARY SubClassOf ECSO_00001869 ECSO_00001868
BINARY is ECSO_00001870 Class
BINARY SubClassOf ECSO_00001870 ECSO_00003109
BINARY is ECSO_00001871 Class
BINARY SubClassOf ECSO_00001871 ECSO_00001870
BINARY is ECSO_00001872 Class
BINARY SubClassOf ECSO_00001872 ECSO_00001870
BINARY is ECSO_00001873 Class
BINARY SubClassOf ECSO_00001873 ECSO_00002031
BINARY is ECSO_00001874 Class
BINARY SubClassOf ECSO_00001874 ECSO_00001873
BINARY is ECSO_00001875 Class
BINARY SubClassOf ECSO_00001875 ECSO_00003109
BINARY is ECSO_00001876 Class
BINARY SubClassOf ECSO_00001876 ECSO_00001875
BINARY is ECSO_00001877 Class
BINARY SubClassOf ECSO_00001877 ECSO_00001772
BINARY is ECSO_00001878 Class
BINARY SubClassOf ECSO_00001878 ECSO_00003109
BINARY is ECSO_00001879 Class
BINARY SubClassOf ECSO_00001879 ECSO_00001878
BINARY is ECSO_00001880 Class
BINARY SubClassOf ECSO_00001880 ECSO_00001772
BINARY is ECSO_00001882 Class
BINARY SubClassOf ECSO_00001882 ECSO_00002018
BINARY is ECSO_00001883 Class
BINARY SubClassOf ECSO_00001883 ECSO_00003109
BINARY is ECSO_00001884 Class
BINARY SubClassOf ECSO_00001884 ECSO_00001883
BINARY is ECSO_00001885 Class
BINARY SubClassOf ECSO_00001885 ECSO_00001782
BINARY is ECSO_00001892 Class
BINARY SubClassOf ECSO_00001892 ECSO_00002018
BINARY is ECSO_00001895 Class
BINARY SubClassOf ECSO_00001895 ECSO_00001883
BINARY is ECSO_00001896 Class
BINARY SubClassOf ECSO_00001896 ECSO_00002018
BINARY is ECSO_00001897 Class
BINARY SubClassOf ECSO_00001897 ECSO_00002328
BINARY is ECSO_00001898 Class
BINARY SubClassOf ECSO_00001898 ECSO_00002603
BINARY is ECSO_00001906 Class
BINARY SubClassOf ECSO_00001906 ECSO_00003109
BINARY is ECSO_00001907 Class
BINARY SubClassOf ECSO_00001907 ECSO_00001906
BINARY is ECSO_00001913 Class
BINARY SubClassOf ECSO_00001913 ECSO_00003109
BINARY is ECSO_00001914 Class
BINARY SubClassOf ECSO_00001914 ECSO_00001913
BINARY is ECSO_00001917 Class
BINARY SubClassOf ECSO_00001917 ECSO_00001784
BINARY is ECSO_00001919 Class
BINARY SubClassOf ECSO_00001919 ECSO_00003109
BINARY is ECSO_00001920 Class
BINARY SubClassOf ECSO_00001920 ECSO_00001919
BINARY is ECSO_00001921 Class
BINARY SubClassOf ECSO_00001921 ECSO_00001786
BINARY is ECSO_00001925 Class
BINARY SubClassOf ECSO_00001925 ECSO_00001790
BINARY is ECSO_00001926 Class
BINARY SubClassOf ECSO_00001926 ECSO_00001925
BINARY is ECSO_00001927 Class
BINARY SubClassOf ECSO_00001927 ECSO_00001790
BINARY is ECSO_00001931 Class
BINARY SubClassOf ECSO_00001931 ECSO_00001790
BINARY is ECSO_00001932 Class
BINARY SubClassOf ECSO_00001932 ECSO_00001792
BINARY is ECSO_00001933 Class
BINARY SubClassOf ECSO_00001933 ECSO_00000520
BINARY is ECSO_00001934 Class
BINARY SubClassOf ECSO_00001934 ECSO_00001792
BINARY is ECSO_00001946 Class
BINARY SubClassOf ECSO_00001946 ECSO_00001883
BINARY is ECSO_00001947 Class
BINARY SubClassOf ECSO_00001947 ECSO_00001999
BINARY is ECSO_00001966 Class
BINARY SubClassOf ECSO_00001966 ECSO_00001788
BINARY is ECSO_00001973 Class
BINARY SubClassOf ECSO_00001973 ECSO_00001816
BINARY is ECSO_00001974 Class
BINARY SubClassOf ECSO_00001974 ECSO_00003109
BINARY is ECSO_00001975 Class
BINARY SubClassOf ECSO_00001975 ECSO_00001974
BINARY is ECSO_00001978 Class
BINARY SubClassOf ECSO_00001978 ECSO_00001762
BINARY is ECSO_00001979 Class
BINARY SubClassOf ECSO_00001979 ECSO_00003109
BINARY is ECSO_00001980 Class
BINARY SubClassOf ECSO_00001980 ECSO_00001979
BINARY is ECSO_00001981 Class
BINARY SubClassOf ECSO_00001981 ECSO_00001766
BINARY is ECSO_00001982 Class
BINARY SubClassOf ECSO_00001982 ECSO_00001875
BINARY is ECSO_00001983 Class
BINARY SubClassOf ECSO_00001983 ECSO_00001772
BINARY is ECSO_00001984 Class
BINARY SubClassOf ECSO_00001984 ECSO_00003109
BINARY is ECSO_00001985 Class
BINARY SubClassOf ECSO_00001985 ECSO_00001984
BINARY is ECSO_00001986 Class
BINARY SubClassOf ECSO_00001986 ECSO_00001778
BINARY is ECSO_00001987 Class
BINARY SubClassOf ECSO_00001987 ECSO_00001780
BINARY is ECSO_00001988 Class
BINARY SubClassOf ECSO_00001988 ECSO_00003109
BINARY is ECSO_00001989 Class
BINARY SubClassOf ECSO_00001989 ECSO_00001988
BINARY is ECSO_00001990 Class
BINARY SubClassOf ECSO_00001990 ECSO_00003109
BINARY is ECSO_00001991 Class
BINARY SubClassOf ECSO_00001991 ECSO_00001990
BINARY is ECSO_00001992 Class
BINARY SubClassOf ECSO_00001992 ECSO_00003109
BINARY is ECSO_00001993 Class
BINARY SubClassOf ECSO_00001993 ECSO_00001992
BINARY is ECSO_00001994 Class
BINARY SubClassOf ECSO_00001994 ECSO_00001784
BINARY is ECSO_00001995 Class
BINARY SubClassOf ECSO_00001995 ECSO_00001919
BINARY is ECSO_00001996 Class
BINARY SubClassOf ECSO_00001996 ECSO_00001786
BINARY is ECSO_00001997 Class
BINARY SubClassOf ECSO_00001997 ECSO_00001790
BINARY is ECSO_00001998 Class
BINARY SubClassOf ECSO_00001998 ECSO_00001792
BINARY is ECSO_00001999 Class
BINARY SubClassOf ECSO_00001999 ECSO_00003109
BINARY is ECSO_00002000 Class
BINARY SubClassOf ECSO_00002000 ECSO_00001999
BINARY is ECSO_00002001 Class
BINARY SubClassOf ECSO_00002001 ECSO_00003109
BINARY is ECSO_00002002 Class
BINARY SubClassOf ECSO_00002002 ECSO_00002001
BINARY is ECSO_00002003 Class
BINARY SubClassOf ECSO_00002003 ECSO_00001798
BINARY is ECSO_00002004 Class
BINARY SubClassOf ECSO_00002004 ECSO_00002005
BINARY is ECSO_00002005 Class
BINARY SubClassOf ECSO_00002005 ECSO_00003109
BINARY is ECSO_00002006 Class
BINARY SubClassOf ECSO_00002006 ECSO_00002007
BINARY is ECSO_00002007 Class
BINARY SubClassOf ECSO_00002007 ECSO_00003109
BINARY is ECSO_00002008 Class
BINARY SubClassOf ECSO_00002008 ECSO_00001800
BINARY is ECSO_00002009 Class
BINARY SubClassOf ECSO_00002009 ECSO_00002419
BINARY is ECSO_00002010 Class
BINARY SubClassOf ECSO_00002010 ECSO_00001806
BINARY is ECSO_00002011 Class
BINARY SubClassOf ECSO_00002011 ECSO_00001808
BINARY is ECSO_00002012 Class
BINARY SubClassOf ECSO_00002012 ECSO_00001812
BINARY is ECSO_00002013 Class
BINARY SubClassOf ECSO_00002013 ECSO_00001974
BINARY is ECSO_00002014 Class
BINARY SubClassOf ECSO_00002014 ECSO_00001816
BINARY is ECSO_00002015 Class
BINARY SubClassOf ECSO_00002015 ECSO_00001818
BINARY is ECSO_00002016 Class
BINARY SubClassOf ECSO_00002016 ECSO_00003109
BINARY is ECSO_00002017 Class
BINARY SubClassOf ECSO_00002017 ECSO_00002016
BINARY is ECSO_00002018 Class
BINARY SubClassOf ECSO_00002018 ECSO_00001883
BINARY is ECSO_00002019 Class
BINARY SubClassOf ECSO_00002019 ECSO_00002020
BINARY is ECSO_00002020 Class
BINARY SubClassOf ECSO_00002020 ECSO_00002018
BINARY is ECSO_00002022 Class
BINARY SubClassOf ECSO_00002022 ECSO_00001868
BINARY is ECSO_00002023 Class
BINARY SubClassOf ECSO_00002023 ECSO_00001762
BINARY is ECSO_00002024 Class
BINARY SubClassOf ECSO_00002024 ECSO_00001772
BINARY is ECSO_00002025 Class
BINARY SubClassOf ECSO_00002025 ECSO_00001798
BINARY is ECSO_00002026 Class
BINARY SubClassOf ECSO_00002026 ECSO_00001790
BINARY is ECSO_00002027 Class
BINARY SubClassOf ECSO_00002027 ECSO_00001804
BINARY is ECSO_00002028 Class
BINARY SubClassOf ECSO_00002028 ECSO_00001869
BINARY is ECSO_00002029 Class
BINARY SubClassOf ECSO_00002029 ECSO_00001892
BINARY is ECSO_00002030 Class
BINARY SubClassOf ECSO_00002030 ECSO_00002020
BINARY is ECSO_00002031 Class
BINARY SubClassOf ECSO_00002031 ECSO_00001772
BINARY is ECSO_00002032 Class
BINARY SubClassOf ECSO_00002032 ECSO_00001984
BINARY is ECSO_00002033 Class
BINARY SubClassOf ECSO_00002033 ECSO_00001776
BINARY is ECSO_00002034 Class
BINARY SubClassOf ECSO_00002034 ECSO_00001776
BINARY is ECSO_00002035 Class
BINARY SubClassOf ECSO_00002035 ECSO_00001778
BINARY is ECSO_00002041 Class
BINARY SubClassOf ECSO_00002041 ECSO_00001762
BINARY is ECSO_00002042 Class
BINARY SubClassOf ECSO_00002042 ECSO_00001772
BINARY is ECSO_00002065 Class
BINARY SubClassOf ECSO_00002065 ECSO_00002101
BINARY is ECSO_00002073 Class
BINARY SubClassOf ECSO_00002073 ECSO_00001766
BINARY is ECSO_00002074 Class
BINARY SubClassOf ECSO_00002074 ECSO_00001768
BINARY is ECSO_00002076 Class
BINARY SubClassOf ECSO_00002076 ECSO_00001772
BINARY is ECSO_00002078 Class
BINARY SubClassOf ECSO_00002078 ECSO_00001776
BINARY is ECSO_00002079 Class
BINARY SubClassOf ECSO_00002079 ECSO_00001895
BINARY is ECSO_00002080 Class
BINARY SubClassOf ECSO_00002080 ECSO_00001798
BINARY is ECSO_00002081 Class
BINARY SubClassOf ECSO_00002081 ECSO_00002317
BINARY is ECSO_00002082 Class
BINARY SubClassOf ECSO_00002082 ECSO_00002603
BINARY is ECSO_00002083 Class
BINARY SubClassOf ECSO_00002083 ECSO_00002242
BINARY is ECSO_00002090 Class
BINARY SubClassOf ECSO_00002090 ECSO_00001116
BINARY is ECSO_00002091 Class
BINARY SubClassOf ECSO_00002091 ECSO_00001768
BINARY is ECSO_00002094 Class
BINARY SubClassOf ECSO_00002094 ECSO_00001984
BINARY is ECSO_00002095 Class
BINARY SubClassOf ECSO_00002095 ECSO_00001878
BINARY is ECSO_00002096 Class
BINARY SubClassOf ECSO_00002096 ECSO_00001778
BINARY is ECSO_00002099 Class
BINARY SubClassOf ECSO_00002099 ECSO_00001780
BINARY is ECSO_00002100 Class
BINARY SubClassOf ECSO_00002100 ECSO_00001782
BINARY is ECSO_00002101 Class
BINARY SubClassOf ECSO_00002101 ECSO_00001116
BINARY is ECSO_00002102 Class
BINARY SubClassOf ECSO_00002102 ECSO_00002113
BINARY is ECSO_00002105 Class
BINARY SubClassOf ECSO_00002105 ECSO_00001788
BINARY is ECSO_00002106 Class
BINARY SubClassOf ECSO_00002106 ECSO_00001790
BINARY is ECSO_00002107 Class
BINARY SubClassOf ECSO_00002107 ECSO_00002242
BINARY is ECSO_00002108 Class
BINARY SubClassOf ECSO_00002108 ECSO_00001804
BINARY is ECSO_00002109 Class
BINARY SubClassOf ECSO_00002109 ECSO_00001988
BINARY is ECSO_00002110 Class
BINARY SubClassOf ECSO_00002110 ECSO_00003109
BINARY is ECSO_00002111 Class
BINARY SubClassOf ECSO_00002111 ECSO_00001990
BINARY is ECSO_00002113 Class
BINARY SubClassOf ECSO_00002113 ECSO_00003109
BINARY is ECSO_00002115 Class
BINARY SubClassOf ECSO_00002115 ECSO_00001992
BINARY is ECSO_00002116 Class
BINARY SubClassOf ECSO_00002116 ECSO_00003109
BINARY is ECSO_00002117 Class
BINARY SubClassOf ECSO_00002117 ECSO_00003109
BINARY is ECSO_00002118 Class
BINARY SubClassOf ECSO_00002118 ECSO_00003109
BINARY is ECSO_00002119 Class
BINARY SubClassOf ECSO_00002119 ECSO_00001784
BINARY is ECSO_00002121 Class
BINARY SubClassOf ECSO_00002121 ECSO_00001919
BINARY is ECSO_00002124 Class
BINARY SubClassOf ECSO_00002124 ECSO_00001786
BINARY is ECSO_00002126 Class
BINARY SubClassOf ECSO_00002126 ECSO_00001788
BINARY is ECSO_00002127 Class
BINARY SubClassOf ECSO_00002127 ECSO_00003109
BINARY is ECSO_00002135 Class
BINARY SubClassOf ECSO_00002135 ECSO_00002144
BINARY is ECSO_00002143 Class
BINARY SubClassOf ECSO_00002143 ECSO_00001125
BINARY is ECSO_00002144 Class
BINARY SubClassOf ECSO_00002144 ECSO_00001883
BINARY is ECSO_00002146 Class
BINARY SubClassOf ECSO_00002146 ECSO_00001125
BINARY is ECSO_00002156 Class
BINARY SubClassOf ECSO_00002156 ECSO_00001808
BINARY is ECSO_00002157 Class
BINARY SubClassOf ECSO_00002157 ECSO_00002156
BINARY is ECSO_00002216 Class
BINARY SubClassOf ECSO_00002216 ECSO_00001883
BINARY is ECSO_00002217 Class
BINARY SubClassOf ECSO_00002217 ECSO_00001768
BINARY is ECSO_00002220 Class
BINARY SubClassOf ECSO_00002220 ECSO_00001125
BINARY is ECSO_00002235 Class
BINARY SubClassOf ECSO_00002235 ECSO_00001925
BINARY is ECSO_00002241 Class
BINARY SubClassOf ECSO_00002241 ECSO_00002083
BINARY is ECSO_00002242 Class
BINARY SubClassOf ECSO_00002242 ECSO_00003109
BINARY is ECSO_00002244 Class
BINARY SubClassOf ECSO_00002244 ECSO_00000615
BINARY is ECSO_00002245 Class
BINARY SubClassOf ECSO_00002245 ECSO_00001999
BINARY is ECSO_00002249 Class
BINARY SubClassOf ECSO_00002249 ECSO_00001796
BINARY is ECSO_00002253 Class
BINARY SubClassOf ECSO_00002253 ECSO_00002255
BINARY is ECSO_00002254 Class
BINARY SubClassOf ECSO_00002254 ECSO_00001883
BINARY is ECSO_00002255 Class
BINARY SubClassOf ECSO_00002255 ECSO_00002216
BINARY is ECSO_00002256 Class
BINARY SubClassOf ECSO_00002256 ECSO_00002257
BINARY is ECSO_00002257 Class
BINARY SubClassOf ECSO_00002257 ECSO_00001883
BINARY is ECSO_00002263 Class
BINARY SubClassOf ECSO_00002263 ECSO_00001792
BINARY is ECSO_00002266 Class
BINARY SubClassOf ECSO_00002266 ECSO_00001796
BINARY is ECSO_00002277 Class
BINARY SubClassOf ECSO_00002277 ECSO_00000520
BINARY is ECSO_00002295 Class
BINARY SubClassOf ECSO_00002295 ECSO_00002516
BINARY is ECSO_00002308 Class
BINARY SubClassOf ECSO_00002308 ECSO_00001776
BINARY is ECSO_00002316 Class
BINARY SubClassOf ECSO_00002316 ECSO_00001810
BINARY is ECSO_00002317 Class
BINARY SubClassOf ECSO_00002317 ECSO_00003109
BINARY is ECSO_00002318 Class
BINARY SubClassOf ECSO_00002318 ECSO_00002317
BINARY is ECSO_00002319 Class
BINARY SubClassOf ECSO_00002319 ECSO_00001804
BINARY is ECSO_00002320 Class
BINARY SubClassOf ECSO_00002320 ECSO_00001806
BINARY is ECSO_00002321 Class
BINARY SubClassOf ECSO_00002321 ECSO_00001808
BINARY is ECSO_00002322 Class
BINARY SubClassOf ECSO_00002322 ECSO_00001806
BINARY is ECSO_00002324 Class
BINARY SubClassOf ECSO_00002324 ECSO_00002001
BINARY is ECSO_00002325 Class
BINARY SubClassOf ECSO_00002325 ECSO_00001868
BINARY is ECSO_00002326 Class
BINARY SubClassOf ECSO_00002326 ECSO_00001798
BINARY is ECSO_00002327 Class
BINARY SubClassOf ECSO_00002327 ECSO_00001883
BINARY is ECSO_00002328 Class
BINARY SubClassOf ECSO_00002328 ECSO_00001868
BINARY is ECSO_00002329 Class
BINARY SubClassOf ECSO_00002329 ECSO_00002328
BINARY is ECSO_00002330 Class
BINARY SubClassOf ECSO_00002330 ECSO_00002329
BINARY is ECSO_00002331 Class
BINARY SubClassOf ECSO_00002331 ECSO_00002328
BINARY is ECSO_00002332 Class
BINARY SubClassOf ECSO_00002332 ECSO_00002329
BINARY is ECSO_00002337 Class
BINARY SubClassOf ECSO_00002337 ECSO_00001818
BINARY is ECSO_00002339 Class
BINARY SubClassOf ECSO_00002339 ECSO_00001798
BINARY is ECSO_00002340 Class
BINARY SubClassOf ECSO_00002340 ECSO_00001798
BINARY is ECSO_00002351 Class
BINARY SubClassOf ECSO_00002351 ECSO_00001870
BINARY is ECSO_00002352 Class
BINARY SubClassOf ECSO_00002352 ECSO_00001870
BINARY is ECSO_00002363 Class
BINARY SubClassOf ECSO_00002363 ECSO_00001798
BINARY is ECSO_00002373 Class
BINARY SubClassOf ECSO_00002373 ECSO_00001780
BINARY is ECSO_00002374 Class
BINARY SubClassOf ECSO_00002374 ECSO_00001784
BINARY is ECSO_00002375 Class
BINARY SubClassOf ECSO_00002375 ECSO_00002255
BINARY is ECSO_00002376 Class
BINARY SubClassOf ECSO_00002376 ECSO_00002339
BINARY is ECSO_00002377 Class
BINARY SubClassOf ECSO_00002377 ECSO_00002156
BINARY is ECSO_00002389 Class
BINARY SubClassOf ECSO_00002389 ECSO_00002156
BINARY is ECSO_00002390 Class
BINARY SubClassOf ECSO_00002390 ECSO_00002389
BINARY is ECSO_00002391 Class
BINARY SubClassOf ECSO_00002391 ECSO_00001808
BINARY is ECSO_00002413 Class
BINARY SubClassOf ECSO_00002413 ECSO_00001882
BINARY is ECSO_00002419 Class
