BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY SubClassOf nlx_subcell_090803 Role
BINARY is nlx_subcell_100207 Class
BINARY SubClassOf nlx_subcell_100207 sao187426937
BINARY is nlx_subcell_100208 Class
BINARY SubClassOf nlx_subcell_100208 sao187426937
BINARY is nlx_subcell_1005002 Class
BINARY SubClassOf nlx_subcell_1005002 sao187426937
BINARY is nlx_subcell_20090204 Class
BINARY SubClassOf nlx_subcell_20090204 sao1630537580
BINARY is nlx_subcell_20090205 Class
BINARY SubClassOf nlx_subcell_20090205 sao26622963
BINARY is nlx_subcell_20090206 Class
BINARY SubClassOf nlx_subcell_20090206 sao26622963
BINARY is nlx_subcell_20090208 Class
BINARY SubClassOf nlx_subcell_20090208 Site
BINARY DisjointWith nlx_subcell_20090208 sao1124888485
BINARY is nlx_subcell_20090211 Class
BINARY SubClassOf nlx_subcell_20090211 sao26622963
BINARY is nlx_subcell_20090502 Class
BINARY SubClassOf nlx_subcell_20090502 sao587858733
BINARY is nlx_subcell_20090503 Class
BINARY SubClassOf nlx_subcell_20090503 sao587858733
BINARY is nlx_subcell_20090512 Class
BINARY SubClassOf nlx_subcell_20090512 sao187426937,
BINARY is proper_part_of_some_sao1124888485, www.obofoundry.org/ro/ro.#
BINARY is proper_part_of_only_nlx_subcell_20090208 www.obofoundry.org/ro/ro.#
BINARY is sao-1367457321 Class
BINARY SubClassOf sao-1367457321 Site
BINARY DisjointWith sao-1367457321 sao553711217
BINARY DisjointWith sao-1367457321 sao1922892319
BINARY DisjointWith sao-1367457321 sao1877927224
BINARY DisjointWith sao-1367457321 sao1579007712
BINARY DisjointWith sao-1367457321 sao1425028079
BINARY DisjointWith sao-1367457321 sao1299635018
BINARY DisjointWith sao-1367457321 sao1289190043
BINARY DisjointWith sao-1367457321 sao1186862860
BINARY DisjointWith sao-1367457321 sao1049717962
BINARY DisjointWith sao-1367457321 sao-596411490
BINARY is sao-1899375636 Class
BINARY SubClassOf sao-1899375636 sao-343550527
BINARY DisjointWith sao-1899375636 sao508958414
BINARY DisjointWith sao-1899375636 sao118944228
BINARY is sao-206157942 Class
BINARY SubClassOf sao-206157942 sao-596411490
BINARY is sao-234066064 Class
BINARY SubClassOf sao-234066064 sao-596411490
BINARY is sao-343550527 Class
BINARY SubClassOf sao-343550527 sao1289190043
BINARY DisjointWith sao-343550527 sao927884761
BINARY DisjointWith sao-343550527 sao797538226
BINARY DisjointWith sao-343550527 sao254777664
BINARY DisjointWith sao-343550527 sao1956231674
BINARY DisjointWith sao-343550527 sao1908934319
BINARY DisjointWith sao-343550527 sao1819509473
BINARY DisjointWith sao-343550527 sao1547508851
BINARY is sao-596411490 Class
BINARY SubClassOf sao-596411490 Site
BINARY DisjointWith sao-596411490 sao553711217
BINARY DisjointWith sao-596411490 sao1922892319
BINARY DisjointWith sao-596411490 sao1877927224
BINARY DisjointWith sao-596411490 sao1579007712
BINARY DisjointWith sao-596411490 sao1425028079
BINARY DisjointWith sao-596411490 sao1299635018
BINARY DisjointWith sao-596411490 sao1289190043
BINARY DisjointWith sao-596411490 sao1186862860
BINARY DisjointWith sao-596411490 sao1049717962
BINARY DisjointWith sao-596411490 sao-1367457321
BINARY is sao-946766835 Class
BINARY SubClassOf sao-946766835 sao1922892319
BINARY DisjointWith sao-946766835 sao427941916
BINARY DisjointWith sao-946766835 sao1956738165
BINARY DisjointWith sao-946766835 sao1939999134
BINARY DisjointWith sao-946766835 sao1400623473
BINARY DisjointWith sao-946766835 sao118541872
BINARY is sao1049717962 Class
BINARY DisjointWith sao1049717962 sao553711217
BINARY DisjointWith sao1049717962 sao1922892319
BINARY DisjointWith sao1049717962 sao1877927224
BINARY DisjointWith sao1049717962 sao1579007712
BINARY DisjointWith sao1049717962 sao1425028079
BINARY DisjointWith sao1049717962 sao1299635018
BINARY DisjointWith sao1049717962 sao1289190043
BINARY DisjointWith sao1049717962 sao1186862860
BINARY DisjointWith sao1049717962 sao-596411490
BINARY DisjointWith sao1049717962 sao-1367457321
BINARY is sao1074198261 Class
BINARY SubClassOf sao1074198261 sao-946766835
BINARY is sao1124888485 Class
BINARY DisjointWith sao1124888485 nlx_subcell_20090208
BINARY is sao1152983960 Class
BINARY SubClassOf sao1152983960 sao1299635018
BINARY DisjointWith sao1152983960 sao1943947957
BINARY is sao118541872 Class
BINARY SubClassOf sao118541872 sao1922892319
BINARY DisjointWith sao118541872 sao427941916
BINARY DisjointWith sao118541872 sao1956738165
BINARY DisjointWith sao118541872 sao1939999134
BINARY DisjointWith sao118541872 sao1400623473
BINARY DisjointWith sao118541872 sao-946766835
BINARY is sao1186862860 Class
BINARY SubClassOf sao1186862860 Site
BINARY DisjointWith sao1186862860 sao553711217
BINARY DisjointWith sao1186862860 sao1922892319
BINARY DisjointWith sao1186862860 sao1877927224
BINARY DisjointWith sao1186862860 sao1579007712
BINARY DisjointWith sao1186862860 sao1425028079
BINARY DisjointWith sao1186862860 sao1299635018
BINARY DisjointWith sao1186862860 sao1289190043
BINARY DisjointWith sao1186862860 sao1049717962
BINARY DisjointWith sao1186862860 sao-596411490
BINARY DisjointWith sao1186862860 sao-1367457321
BINARY is sao118944228 Class
BINARY SubClassOf sao118944228 sao-343550527
BINARY DisjointWith sao118944228 sao508958414
BINARY DisjointWith sao118944228 sao-1899375636
BINARY is sao1289190043 Class
BINARY SubClassOf sao1289190043 Site
BINARY DisjointWith sao1289190043 sao553711217
BINARY DisjointWith sao1289190043 sao1922892319
BINARY DisjointWith sao1289190043 sao1877927224
BINARY DisjointWith sao1289190043 sao1579007712
BINARY DisjointWith sao1289190043 sao1425028079
BINARY DisjointWith sao1289190043 sao1299635018
BINARY DisjointWith sao1289190043 sao1186862860
BINARY DisjointWith sao1289190043 sao1049717962
BINARY DisjointWith sao1289190043 sao-596411490
BINARY DisjointWith sao1289190043 sao-1367457321
BINARY is sao1299635018 Class
BINARY equiv sao1299635018 sao1579007712
BINARY SubClassOf sao1299635018 Site
BINARY DisjointWith sao1299635018 sao553711217
BINARY DisjointWith sao1299635018 sao1922892319
BINARY DisjointWith sao1299635018 sao1877927224
BINARY DisjointWith sao1299635018 sao1579007712
BINARY DisjointWith sao1299635018 sao1425028079
BINARY DisjointWith sao1299635018 sao1289190043
BINARY DisjointWith sao1299635018 sao1186862860
BINARY DisjointWith sao1299635018 sao1049717962
BINARY DisjointWith sao1299635018 sao-596411490
BINARY DisjointWith sao1299635018 sao-1367457321
BINARY is sao1400623473 Class
BINARY SubClassOf sao1400623473 sao1922892319
BINARY DisjointWith sao1400623473 sao427941916
BINARY DisjointWith sao1400623473 sao1956738165
BINARY DisjointWith sao1400623473 sao1939999134
BINARY DisjointWith sao1400623473 sao118541872
BINARY DisjointWith sao1400623473 sao-946766835
BINARY is sao1425028079 Class
BINARY SubClassOf sao1425028079 Site
BINARY DisjointWith sao1425028079 sao553711217
BINARY DisjointWith sao1425028079 sao1922892319
BINARY DisjointWith sao1425028079 sao1877927224
BINARY DisjointWith sao1425028079 sao1579007712
BINARY DisjointWith sao1425028079 sao1299635018
BINARY DisjointWith sao1425028079 sao1289190043
BINARY DisjointWith sao1425028079 sao1186862860
BINARY DisjointWith sao1425028079 sao1049717962
BINARY DisjointWith sao1425028079 sao-596411490
BINARY DisjointWith sao1425028079 sao-1367457321
BINARY is sao1524397168 Class
BINARY SubClassOf sao1524397168 sao-946766835
BINARY is sao1547508851 Class
BINARY SubClassOf sao1547508851 sao1289190043
BINARY DisjointWith sao1547508851 sao927884761
BINARY DisjointWith sao1547508851 sao797538226
BINARY DisjointWith sao1547508851 sao254777664
BINARY DisjointWith sao1547508851 sao1956231674
BINARY DisjointWith sao1547508851 sao1908934319
BINARY DisjointWith sao1547508851 sao1819509473
BINARY DisjointWith sao1547508851 sao-343550527
BINARY is sao1579007712 Class
BINARY equiv sao1579007712 sao1299635018
BINARY SubClassOf sao1579007712 Site
BINARY DisjointWith sao1579007712 sao553711217
BINARY DisjointWith sao1579007712 sao1922892319
BINARY DisjointWith sao1579007712 sao1877927224
BINARY DisjointWith sao1579007712 sao1425028079
BINARY DisjointWith sao1579007712 sao1299635018
BINARY DisjointWith sao1579007712 sao1289190043
BINARY DisjointWith sao1579007712 sao1186862860
BINARY DisjointWith sao1579007712 sao1049717962
BINARY DisjointWith sao1579007712 sao-596411490
BINARY DisjointWith sao1579007712 sao-1367457321
BINARY is sao1630537580 Class
BINARY is sao1791490892 Class
BINARY SubClassOf sao1791490892 _birnlex_retired_class
BINARY is sao1799103720 Class
BINARY is sao1819509473 Class
BINARY SubClassOf sao1819509473 sao1289190043
BINARY DisjointWith sao1819509473 sao927884761
BINARY DisjointWith sao1819509473 sao797538226
BINARY DisjointWith sao1819509473 sao254777664
BINARY DisjointWith sao1819509473 sao1956231674
BINARY DisjointWith sao1819509473 sao1908934319
BINARY DisjointWith sao1819509473 sao1547508851
BINARY DisjointWith sao1819509473 sao-343550527
BINARY is sao1825845900 Class
BINARY SubClassOf sao1825845900 sao-1367457321
BINARY is sao1858501007 Class
BINARY SubClassOf sao1858501007 sao-1367457321
BINARY is sao187426937 Class
BINARY is sao1877927224 Class
BINARY SubClassOf sao1877927224 Site
BINARY DisjointWith sao1877927224 sao553711217
BINARY DisjointWith sao1877927224 sao1922892319
BINARY DisjointWith sao1877927224 sao1579007712
BINARY DisjointWith sao1877927224 sao1425028079
BINARY DisjointWith sao1877927224 sao1299635018
BINARY DisjointWith sao1877927224 sao1289190043
BINARY DisjointWith sao1877927224 sao1186862860
BINARY DisjointWith sao1877927224 sao1049717962
BINARY DisjointWith sao1877927224 sao-596411490
BINARY DisjointWith sao1877927224 sao-1367457321
BINARY is sao1908934319 Class
BINARY SubClassOf sao1908934319 sao1289190043
BINARY DisjointWith sao1908934319 sao927884761
BINARY DisjointWith sao1908934319 sao797538226
BINARY DisjointWith sao1908934319 sao254777664
BINARY DisjointWith sao1908934319 sao1956231674
BINARY DisjointWith sao1908934319 sao1819509473
BINARY DisjointWith sao1908934319 sao1547508851
BINARY DisjointWith sao1908934319 sao-343550527
BINARY is sao1922892319 Class
BINARY SubClassOf sao1922892319 Site
BINARY DisjointWith sao1922892319 sao553711217
BINARY DisjointWith sao1922892319 sao1877927224
BINARY DisjointWith sao1922892319 sao1579007712
BINARY DisjointWith sao1922892319 sao1425028079
BINARY DisjointWith sao1922892319 sao1299635018
BINARY DisjointWith sao1922892319 sao1289190043
BINARY DisjointWith sao1922892319 sao1186862860
BINARY DisjointWith sao1922892319 sao1049717962
BINARY DisjointWith sao1922892319 sao-596411490
BINARY DisjointWith sao1922892319 sao-1367457321
BINARY is sao1939999134 Class
BINARY SubClassOf sao1939999134 sao1922892319
BINARY DisjointWith sao1939999134 sao427941916
BINARY DisjointWith sao1939999134 sao1956738165
BINARY DisjointWith sao1939999134 sao1400623473
BINARY DisjointWith sao1939999134 sao118541872
BINARY DisjointWith sao1939999134 sao-946766835
BINARY is sao1943947957 Class
BINARY SubClassOf sao1943947957 sao1299635018
BINARY DisjointWith sao1943947957 sao1152983960
BINARY is sao1956231674 Class
BINARY SubClassOf sao1956231674 sao1289190043
BINARY DisjointWith sao1956231674 sao927884761
BINARY DisjointWith sao1956231674 sao797538226
BINARY DisjointWith sao1956231674 sao254777664
BINARY DisjointWith sao1956231674 sao1908934319
BINARY DisjointWith sao1956231674 sao1819509473
BINARY DisjointWith sao1956231674 sao1547508851
BINARY DisjointWith sao1956231674 sao-343550527
BINARY is sao1956738165 Class
BINARY SubClassOf sao1956738165 sao1922892319
BINARY DisjointWith sao1956738165 sao427941916
BINARY DisjointWith sao1956738165 sao1939999134
BINARY DisjointWith sao1956738165 sao1400623473
BINARY DisjointWith sao1956738165 sao118541872
BINARY DisjointWith sao1956738165 sao-946766835
BINARY is sao2108323256 Class
BINARY SubClassOf sao2108323256 sao-946766835
BINARY is sao2254405550 Class
BINARY SubClassOf sao2254405550 ObjectAggregate
BINARY is sao243541954 Class
BINARY SubClassOf sao243541954 sao1425028079
BINARY is sao254777664 Class
BINARY SubClassOf sao254777664 sao1289190043
BINARY DisjointWith sao254777664 sao927884761
BINARY DisjointWith sao254777664 sao797538226
BINARY DisjointWith sao254777664 sao1956231674
BINARY DisjointWith sao254777664 sao1908934319
BINARY DisjointWith sao254777664 sao1819509473
BINARY DisjointWith sao254777664 sao1547508851
BINARY DisjointWith sao254777664 sao-343550527
BINARY is sao257629430 Class
BINARY SubClassOf sao257629430 sao1400623473
BINARY is sao3826089237 Class
BINARY SubClassOf sao3826089237 ObjectAggregate
BINARY is sao427941916 Class
BINARY SubClassOf sao427941916 sao1922892319
BINARY DisjointWith sao427941916 sao1956738165
BINARY DisjointWith sao427941916 sao1939999134
BINARY DisjointWith sao427941916 sao1400623473
BINARY DisjointWith sao427941916 sao118541872
BINARY DisjointWith sao427941916 sao-946766835
BINARY is sao447856407 Class
BINARY SubClassOf sao447856407 sao-1367457321
BINARY is sao508958414 Class
BINARY SubClassOf sao508958414 sao-343550527
BINARY DisjointWith sao508958414 sao118944228
BINARY DisjointWith sao508958414 sao-1899375636
BINARY is sao517367952 Class
BINARY SubClassOf sao517367952 sao553711217
BINARY is sao553711217 Class
BINARY SubClassOf sao553711217 Site
BINARY DisjointWith sao553711217 sao1922892319
BINARY DisjointWith sao553711217 sao1877927224
BINARY DisjointWith sao553711217 sao1579007712
BINARY DisjointWith sao553711217 sao1425028079
BINARY DisjointWith sao553711217 sao1299635018
BINARY DisjointWith sao553711217 sao1289190043
BINARY DisjointWith sao553711217 sao1186862860
BINARY DisjointWith sao553711217 sao1049717962
BINARY DisjointWith sao553711217 sao-596411490
BINARY DisjointWith sao553711217 sao-1367457321
BINARY is sao571652273 Class
BINARY SubClassOf sao571652273 _birnlex_retired_class
BINARY is sao587858733 Class
BINARY is sao758620702 Class
BINARY SubClassOf sao758620702 sao-596411490
BINARY is sao792027222 Class
BINARY SubClassOf sao792027222 sao2108323256
BINARY is sao797538226 Class
BINARY SubClassOf sao797538226 sao1289190043
BINARY DisjointWith sao797538226 sao927884761
BINARY DisjointWith sao797538226 sao254777664
BINARY DisjointWith sao797538226 sao1956231674
BINARY DisjointWith sao797538226 sao1908934319
BINARY DisjointWith sao797538226 sao1819509473
BINARY DisjointWith sao797538226 sao1547508851
BINARY DisjointWith sao797538226 sao-343550527
BINARY is sao927884761 Class
BINARY SubClassOf sao927884761 sao1289190043
BINARY DisjointWith sao927884761 sao797538226
BINARY DisjointWith sao927884761 sao254777664
BINARY DisjointWith sao927884761 sao1956231674
BINARY DisjointWith sao927884761 sao1908934319
BINARY DisjointWith sao927884761 sao1819509473
BINARY DisjointWith sao927884761 sao1547508851
BINARY DisjointWith sao927884761 sao-343550527
BINARY is sao991156472 Class
BINARY SubClassOf sao991156472 _birnlex_retired_class
BINARY is Image Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is ObjectAggregate Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is Role Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is Site Class
BINARY SubClassOf Site sao1400623473,
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.w3.org/2002/07/# Class
