BINARY is HIO_0000422 ObjectProperty
BINARY is HIO_0000060 Class
BINARY SubClassOf HIO_0000060 HIO_0000003
BINARY is HIO_0000061 Class
BINARY is HIO_0000062 Class
BINARY SubClassOf HIO_0000062 HIO_0000036
BINARY is HIO_0000063 Class
BINARY SubClassOf HIO_0000063 HIO_0000036
BINARY is HIO_0000064 Class
BINARY SubClassOf HIO_0000064 HIO_0000036
BINARY is HIO_0000065 Class
BINARY SubClassOf HIO_0000065 HIO_0000036
BINARY is HIO_0000066 Class
BINARY SubClassOf HIO_0000066 HIO_0000036
BINARY is HIO_0000067 Class
BINARY SubClassOf HIO_0000067 HIO_0000035
BINARY is HIO_0000068 Class
BINARY SubClassOf HIO_0000068 HIO_0000035
BINARY is HIO_0000069 Class
BINARY SubClassOf HIO_0000069 HIO_0000035
BINARY is HIO_0000070 Class
BINARY SubClassOf HIO_0000070 HIO_0000033,
BINARY SubClassOf HIO_0000070 HIO_0000083
BINARY is HIO_0000071 Class
BINARY SubClassOf HIO_0000071 HIO_0000033
BINARY is HIO_0000072 Class
BINARY SubClassOf HIO_0000072 HIO_0000069
BINARY is HIO_0000073 Class
BINARY SubClassOf HIO_0000073 HIO_0000069
BINARY is HIO_0000074 Class
BINARY SubClassOf HIO_0000074 HIO_0000001
BINARY is HIO_0000075 Class
BINARY SubClassOf HIO_0000075 HIO_0000074
BINARY is HIO_0000076 Class
BINARY SubClassOf HIO_0000076 HIO_0000074
BINARY is HIO_0000077 Class
BINARY SubClassOf HIO_0000077 HIO_0000079
BINARY is HIO_0000079 Class
BINARY SubClassOf HIO_0000079 HIO_0000001
BINARY is HIO_0000080 Class
BINARY SubClassOf HIO_0000080 HIO_0000079
BINARY is HIO_0000081 Class
BINARY SubClassOf HIO_0000081 HIO_0000079
BINARY is HIO_0000082 Class
BINARY SubClassOf HIO_0000082 HIO_0000077
BINARY is HIO_0000083 Class
BINARY SubClassOf HIO_0000083 HIO_0000084
BINARY is HIO_0000084 Class
BINARY SubClassOf HIO_0000084 HIO_0000077
BINARY is HIO_0000085 Class
BINARY SubClassOf HIO_0000085 HIO_0000082
BINARY is HIO_0000086 Class
BINARY SubClassOf HIO_0000086 HIO_0000002
BINARY is HIO_0000087 Class
BINARY SubClassOf HIO_0000087 HIO_0000466
BINARY is HIO_0000089 Class
BINARY SubClassOf HIO_0000089 HIO_0000340
BINARY is HIO_0000090 Class
BINARY SubClassOf HIO_0000090 HIO_0000081
BINARY is HIO_0000091 Class
BINARY SubClassOf HIO_0000091 HIO_0000081
BINARY is HIO_0000093 Class
BINARY SubClassOf HIO_0000093 HIO_0000082
BINARY is HIO_0000094 Class
BINARY SubClassOf HIO_0000094 HIO_0000082
BINARY is HIO_0000095 Class
BINARY SubClassOf HIO_0000095 HIO_0000084
BINARY is HIO_0000098 Class
BINARY SubClassOf HIO_0000098 HIO_0000472
BINARY is HIO_0000099 Class
BINARY SubClassOf HIO_0000099 HIO_0000082
BINARY is HIO_0000100 Class
BINARY SubClassOf HIO_0000100 HIO_0000141
BINARY is HIO_0000101 Class
BINARY SubClassOf HIO_0000101 HIO_0000001
BINARY is HIO_0000102 Class
BINARY SubClassOf HIO_0000102 HIO_0000101
BINARY is HIO_0000103 Class
BINARY SubClassOf HIO_0000103 HIO_0000091
BINARY is HIO_0000104 Class
BINARY SubClassOf HIO_0000104 HIO_0000091
BINARY is HIO_0000105 Class
BINARY SubClassOf HIO_0000105 HIO_0000091
BINARY is HIO_0000106 Class
BINARY SubClassOf HIO_0000106 HIO_0000077
BINARY is HIO_0000107 Class
BINARY SubClassOf HIO_0000107 HIO_0000080
BINARY is HIO_0000108 Class
BINARY SubClassOf HIO_0000108 HIO_0000003
BINARY is HIO_0000109 Class
BINARY SubClassOf HIO_0000109 HIO_0000108
BINARY is HIO_0000110 Class
BINARY SubClassOf HIO_0000110 HIO_0000109,
BINARY SubClassOf HIO_0000110 HIO_0000252
BINARY is HIO_0000111 Class
BINARY SubClassOf HIO_0000111 HIO_0000057
BINARY is HIO_0000112 Class
BINARY SubClassOf HIO_0000112 HIO_0000057
BINARY is HIO_0000113 Class
BINARY SubClassOf HIO_0000113 HIO_0000062
BINARY is HIO_0000114 Class
BINARY SubClassOf HIO_0000114 HIO_0000113,
BINARY SubClassOf HIO_0000114 HIO_0000115
BINARY is HIO_0000115 Class
BINARY SubClassOf HIO_0000115 HIO_0000064
BINARY is HIO_0000116 Class
BINARY SubClassOf HIO_0000116 HIO_0000115
BINARY is HIO_0000117 Class
BINARY SubClassOf HIO_0000117 HIO_0000115
BINARY is HIO_0000118 Class
BINARY SubClassOf HIO_0000118 HIO_0000066
BINARY is HIO_0000119 Class
BINARY SubClassOf HIO_0000119 HIO_0000061
BINARY is HIO_0000120 Class
BINARY SubClassOf HIO_0000120 HIO_0000119
BINARY is HIO_0000121 Class
BINARY SubClassOf HIO_0000121 HIO_0000119
BINARY is HIO_0000126 Class
BINARY SubClassOf HIO_0000126 HIO_0000065,
BINARY SubClassOf HIO_0000126 HIO_0000169
BINARY is HIO_0000127 Class
BINARY SubClassOf HIO_0000127 HIO_0000126
BINARY is HIO_0000128 Class
BINARY SubClassOf HIO_0000128 HIO_0000061,
BINARY SubClassOf HIO_0000128 HIO_0000168
BINARY is HIO_0000129 Class
BINARY SubClassOf HIO_0000129 HIO_0000128
BINARY is HIO_0000130 Class
BINARY SubClassOf HIO_0000130 HIO_0000066,
BINARY SubClassOf HIO_0000130 HIO_0000120,
BINARY SubClassOf HIO_0000130 HIO_0000170
BINARY is HIO_0000131 Class
BINARY SubClassOf HIO_0000131 HIO_0000119,
BINARY SubClassOf HIO_0000131 HIO_0000168
BINARY is HIO_0000132 Class
BINARY SubClassOf HIO_0000132 HIO_0000065,
BINARY SubClassOf HIO_0000132 HIO_0000168
BINARY is HIO_0000133 Class
BINARY SubClassOf HIO_0000133 HIO_0000119,
BINARY SubClassOf HIO_0000133 HIO_0000167
BINARY is HIO_0000136 Class
BINARY SubClassOf HIO_0000136 HIO_0000057
BINARY is HIO_0000137 Class
BINARY SubClassOf HIO_0000137 HIO_0000061,
BINARY SubClassOf HIO_0000137 HIO_0000167
BINARY is HIO_0000138 Class
BINARY SubClassOf HIO_0000138 HIO_0000119
BINARY is HIO_0000140 Class
BINARY SubClassOf HIO_0000140 HIO_0000119
BINARY is HIO_0000141 Class
BINARY SubClassOf HIO_0000141 HIO_0000063
BINARY is HIO_0000142 Class
BINARY SubClassOf HIO_0000142 HIO_0000063
BINARY is HIO_0000143 Class
BINARY SubClassOf HIO_0000143 HIO_0000142
BINARY is HIO_0000144 Class
BINARY SubClassOf HIO_0000144 HIO_0000142
BINARY is HIO_0000145 Class
BINARY SubClassOf HIO_0000145 HIO_0000142
BINARY is HIO_0000146 Class
BINARY SubClassOf HIO_0000146 HIO_0000142
BINARY is HIO_0000148 Class
BINARY SubClassOf HIO_0000148 HIO_0000141
BINARY is HIO_0000150 Class
BINARY SubClassOf HIO_0000150 HIO_0000141
BINARY is HIO_0000153 Class
BINARY SubClassOf HIO_0000153 HIO_0000141
BINARY is HIO_0000158 Class
BINARY SubClassOf HIO_0000158 HIO_0000061,
BINARY SubClassOf HIO_0000158 HIO_0000167
BINARY is HIO_0000160 Class
BINARY SubClassOf HIO_0000160 HIO_0000141
BINARY is HIO_0000161 Class
BINARY SubClassOf HIO_0000161 HIO_0000141
BINARY is HIO_0000163 Class
BINARY SubClassOf HIO_0000163 HIO_0000141
BINARY is HIO_0000164 Class
BINARY SubClassOf HIO_0000164 HIO_0000036
BINARY is HIO_0000165 Class
BINARY SubClassOf HIO_0000165 HIO_0000164
BINARY is HIO_0000166 Class
BINARY SubClassOf HIO_0000166 HIO_0000164
BINARY is HIO_0000167 Class
BINARY SubClassOf HIO_0000167 HIO_0000164
BINARY is HIO_0000168 Class
BINARY SubClassOf HIO_0000168 HIO_0000164
BINARY is HIO_0000169 Class
BINARY SubClassOf HIO_0000169 HIO_0000164
BINARY is HIO_0000170 Class
BINARY SubClassOf HIO_0000170 HIO_0000164
BINARY is HIO_0000172 Class
BINARY SubClassOf HIO_0000172 HIO_0000057
BINARY is HIO_0000174 Class
BINARY SubClassOf HIO_0000174 HIO_0000119,
BINARY SubClassOf HIO_0000174 HIO_0000169
BINARY is HIO_0000175 Class
BINARY SubClassOf HIO_0000175 HIO_0000177
BINARY is HIO_0000176 Class
BINARY SubClassOf HIO_0000176 HIO_0000177
BINARY is HIO_0000177 Class
BINARY SubClassOf HIO_0000177 HIO_0000062,
BINARY SubClassOf HIO_0000177 HIO_0000165
BINARY is HIO_0000179 Class
BINARY SubClassOf HIO_0000179 HIO_0000166
BINARY is HIO_0000180 Class
BINARY SubClassOf HIO_0000180 HIO_0000170
BINARY is HIO_0000181 Class
BINARY SubClassOf HIO_0000181 HIO_0000057
BINARY is HIO_0000182 Class
BINARY SubClassOf HIO_0000182 HIO_0000170
BINARY is HIO_0000183 Class
BINARY SubClassOf HIO_0000183 HIO_0000128
BINARY is HIO_0000184 Class
BINARY SubClassOf HIO_0000184 HIO_0000128
BINARY is HIO_0000185 Class
BINARY SubClassOf HIO_0000185 HIO_0000065
BINARY is HIO_0000186 Class
BINARY SubClassOf HIO_0000186 HIO_0000185
BINARY is HIO_0000187 Class
BINARY SubClassOf HIO_0000187 HIO_0000185
BINARY is HIO_0000188 Class
BINARY SubClassOf HIO_0000188 HIO_0000185
BINARY is HIO_0000189 Class
BINARY SubClassOf HIO_0000189 HIO_0000185
BINARY is HIO_0000190 Class
BINARY SubClassOf HIO_0000190 HIO_0000128
BINARY is HIO_0000191 Class
BINARY SubClassOf HIO_0000191 HIO_0000185
BINARY is HIO_0000192 Class
BINARY SubClassOf HIO_0000192 HIO_0000128
BINARY is HIO_0000196 Class
BINARY SubClassOf HIO_0000196 HIO_0000060
BINARY is HIO_0000199 Class
BINARY SubClassOf HIO_0000199 HIO_0000006
BINARY is HIO_0000202 Class
BINARY SubClassOf HIO_0000202 HIO_0000065,
BINARY SubClassOf HIO_0000202 HIO_0000216
BINARY is HIO_0000203 Class
BINARY SubClassOf HIO_0000203 HIO_0000073
BINARY is HIO_0000205 Class
BINARY SubClassOf HIO_0000205 HIO_0000034
BINARY is HIO_0000206 Class
BINARY SubClassOf HIO_0000206 HIO_0000004
BINARY is HIO_0000207 Class
BINARY SubClassOf HIO_0000207 HIO_0000004
BINARY is HIO_0000208 Class
BINARY SubClassOf HIO_0000208 HIO_0000004
BINARY is HIO_0000209 Class
BINARY SubClassOf HIO_0000209 HIO_0000004
BINARY is HIO_0000210 Class
BINARY SubClassOf HIO_0000210 HIO_0000004
BINARY is HIO_0000211 Class
BINARY SubClassOf HIO_0000211 HIO_0000004
BINARY is HIO_0000212 Class
BINARY SubClassOf HIO_0000212 HIO_0000004
BINARY is HIO_0000213 Class
BINARY SubClassOf HIO_0000213 HIO_0000004
BINARY is HIO_0000214 Class
BINARY SubClassOf HIO_0000214 HIO_0000080
BINARY is HIO_0000216 Class
BINARY SubClassOf HIO_0000216 HIO_0000082
BINARY is HIO_0000217 Class
BINARY SubClassOf HIO_0000217 HIO_0000074
BINARY is HIO_0000218 Class
BINARY SubClassOf HIO_0000218 HIO_0000074
BINARY is HIO_0000228 Class
BINARY SubClassOf HIO_0000228 HIO_0000074
BINARY is HIO_0000230 Class
BINARY SubClassOf HIO_0000230 HIO_0000074
BINARY is HIO_0000231 Class
BINARY SubClassOf HIO_0000231 HIO_0000004
BINARY is HIO_0000232 Class
BINARY SubClassOf HIO_0000232 HIO_0000004
BINARY is HIO_0000233 Class
BINARY SubClassOf HIO_0000233 HIO_0000002
BINARY is HIO_0000240 Class
BINARY SubClassOf HIO_0000240 HIO_0000279
BINARY is HIO_0000241 Class
BINARY SubClassOf HIO_0000241 HIO_0000004
BINARY is HIO_0000242 Class
BINARY SubClassOf HIO_0000242 HIO_0000004
BINARY is HIO_0000243 Class
BINARY SubClassOf HIO_0000243 HIO_0000466
BINARY is HIO_0000245 Class
BINARY SubClassOf HIO_0000245 HIO_0000006
BINARY is HIO_0000246 Class
BINARY SubClassOf HIO_0000246 HIO_0000004
BINARY is HIO_0000247 Class
BINARY SubClassOf HIO_0000247 HIO_0000004
BINARY is HIO_0000248 Class
BINARY SubClassOf HIO_0000248 HIO_0000006
BINARY is HIO_0000249 Class
BINARY SubClassOf HIO_0000249 HIO_0000218
BINARY is HIO_0000250 Class
BINARY SubClassOf HIO_0000250 HIO_0000218
BINARY is HIO_0000251 Class
BINARY SubClassOf HIO_0000251 HIO_0000004
BINARY is HIO_0000252 Class
BINARY SubClassOf HIO_0000252 HIO_0000001
BINARY is HIO_0000253 Class
BINARY SubClassOf HIO_0000253 HIO_0000196
BINARY is HIO_0000260 Class
BINARY SubClassOf HIO_0000260 HIO_0000058
BINARY is HIO_0000261 Class
BINARY SubClassOf HIO_0000261 HIO_0000058
BINARY is HIO_0000262 Class
BINARY SubClassOf HIO_0000262 HIO_0000395
BINARY is HIO_0000263 Class
BINARY SubClassOf HIO_0000263 HIO_0000082
BINARY is HIO_0000265 Class
BINARY SubClassOf HIO_0000265 HIO_0000066
BINARY is HIO_0000266 Class
BINARY SubClassOf HIO_0000266 HIO_0000066
BINARY is HIO_0000267 Class
BINARY SubClassOf HIO_0000267 HIO_0000214
BINARY is HIO_0000279 Class
BINARY SubClassOf HIO_0000279 HIO_0000065
BINARY is HIO_0000281 Class
BINARY SubClassOf HIO_0000281 HIO_0000279
BINARY is HIO_0000282 Class
BINARY SubClassOf HIO_0000282 HIO_0000279
BINARY is HIO_0000283 Class
BINARY SubClassOf HIO_0000283 HIO_0000279
BINARY is HIO_0000289 Class
BINARY SubClassOf HIO_0000289 HIO_0000065
BINARY is HIO_0000290 Class
BINARY SubClassOf HIO_0000290 HIO_0000289
BINARY is HIO_0000291 Class
BINARY SubClassOf HIO_0000291 HIO_0000289
BINARY is HIO_0000298 Class
BINARY SubClassOf HIO_0000298 HIO_0000006
BINARY is HIO_0000299 Class
BINARY SubClassOf HIO_0000299 HIO_0000006
BINARY is HIO_0000300 Class
BINARY SubClassOf HIO_0000300 HIO_0000004
BINARY is HIO_0000301 Class
BINARY SubClassOf HIO_0000301 HIO_0000006
BINARY is HIO_0000302 Class
BINARY SubClassOf HIO_0000302 HIO_0000004
BINARY is HIO_0000303 Class
BINARY SubClassOf HIO_0000303 HIO_0000006
BINARY is HIO_0000304 Class
BINARY SubClassOf HIO_0000304 HIO_0000065
BINARY is HIO_0000305 Class
BINARY SubClassOf HIO_0000305 HIO_0000004
BINARY is HIO_0000306 Class
BINARY SubClassOf HIO_0000306 HIO_0000071
BINARY is HIO_0000308 Class
BINARY SubClassOf HIO_0000308 HIO_0000004
BINARY is HIO_0000309 Class
BINARY SubClassOf HIO_0000309 HIO_0000004
BINARY is HIO_0000310 Class
BINARY SubClassOf HIO_0000310 HIO_0000004
BINARY is HIO_0000311 Class
BINARY SubClassOf HIO_0000311 HIO_0000004
BINARY is HIO_0000312 Class
BINARY SubClassOf HIO_0000312 HIO_0000004
BINARY is HIO_0000313 Class
BINARY SubClassOf HIO_0000313 HIO_0000395
BINARY is HIO_0000315 Class
BINARY SubClassOf HIO_0000315 HIO_0000313
BINARY is HIO_0000318 Class
BINARY SubClassOf HIO_0000318 HIO_0000395
BINARY is HIO_0000319 Class
BINARY SubClassOf HIO_0000319 HIO_0000395
BINARY is HIO_0000320 Class
BINARY SubClassOf HIO_0000320 HIO_0000395
BINARY is HIO_0000321 Class
BINARY SubClassOf HIO_0000321 HIO_0000340
BINARY is HIO_0000322 Class
BINARY SubClassOf HIO_0000322 HIO_0000340
BINARY is HIO_0000323 Class
BINARY SubClassOf HIO_0000323 HIO_0000006
BINARY is HIO_0000324 Class
BINARY SubClassOf HIO_0000324 HIO_0000004
BINARY is HIO_0000326 Class
BINARY SubClassOf HIO_0000326 HIO_0000102
BINARY is HIO_0000327 Class
BINARY SubClassOf HIO_0000327 HIO_0000101,
BINARY SubClassOf HIO_0000327 HIO_0000376
BINARY is HIO_0000329 Class
BINARY SubClassOf HIO_0000329 HIO_0000101
BINARY is HIO_0000330 Class
BINARY SubClassOf HIO_0000330 HIO_0000101
BINARY is HIO_0000331 Class
BINARY SubClassOf HIO_0000331 HIO_0000101,
BINARY SubClassOf HIO_0000331 HIO_0000376
BINARY is HIO_0000332 Class
BINARY SubClassOf HIO_0000332 HIO_0000101,
BINARY SubClassOf HIO_0000332 HIO_0000376
BINARY is HIO_0000333 Class
BINARY SubClassOf HIO_0000333 HIO_0000101,
BINARY SubClassOf HIO_0000333 HIO_0000376
BINARY is HIO_0000334 Class
BINARY SubClassOf HIO_0000334 HIO_0000101
BINARY is HIO_0000335 Class
BINARY SubClassOf HIO_0000335 HIO_0000101
BINARY is HIO_0000336 Class
BINARY SubClassOf HIO_0000336 HIO_0000101
BINARY is HIO_0000337 Class
BINARY SubClassOf HIO_0000337 HIO_0000101
BINARY is HIO_0000338 Class
BINARY SubClassOf HIO_0000338 HIO_0000101,
BINARY SubClassOf HIO_0000338 HIO_0000376
BINARY is HIO_0000339 Class
BINARY SubClassOf HIO_0000339 HIO_0000101,
BINARY SubClassOf HIO_0000339 HIO_0000376
BINARY is HIO_0000340 Class
BINARY SubClassOf HIO_0000340 HIO_0000101
BINARY is HIO_0000341 Class
BINARY SubClassOf HIO_0000341 HIO_0000101
BINARY is HIO_0000342 Class
BINARY SubClassOf HIO_0000342 HIO_0000101
BINARY is HIO_0000343 Class
BINARY SubClassOf HIO_0000343 HIO_0000065
BINARY is HIO_0000344 Class
BINARY SubClassOf HIO_0000344 HIO_0000004
BINARY is HIO_0000345 Class
BINARY SubClassOf HIO_0000345 HIO_0000004
BINARY is HIO_0000346 Class
BINARY SubClassOf HIO_0000346 HIO_0000252
BINARY is HIO_0000347 Class
BINARY SubClassOf HIO_0000347 HIO_0000252
BINARY is HIO_0000348 Class
BINARY SubClassOf HIO_0000348 HIO_0000252
BINARY is HIO_0000350 Class
BINARY SubClassOf HIO_0000350 HIO_0000252
BINARY is HIO_0000351 Class
BINARY SubClassOf HIO_0000351 HIO_0000252
BINARY is HIO_0000352 Class
BINARY SubClassOf HIO_0000352 HIO_0000205
BINARY is HIO_0000353 Class
BINARY SubClassOf HIO_0000353 HIO_0000205
BINARY is HIO_0000358 Class
BINARY SubClassOf HIO_0000358 HIO_0000252
BINARY is HIO_0000359 Class
BINARY SubClassOf HIO_0000359 HIO_0000058
BINARY is HIO_0000360 Class
BINARY SubClassOf HIO_0000360 HIO_0000058
BINARY is HIO_0000361 Class
BINARY SubClassOf HIO_0000361 HIO_0000340
BINARY is HIO_0000362 Class
BINARY SubClassOf HIO_0000362 HIO_0000101
BINARY is HIO_0000363 Class
BINARY SubClassOf HIO_0000363 HIO_0000233
BINARY is HIO_0000364 Class
BINARY SubClassOf HIO_0000364 HIO_0000233
BINARY is HIO_0000365 Class
BINARY SubClassOf HIO_0000365 HIO_0000364
BINARY is HIO_0000366 Class
BINARY SubClassOf HIO_0000366 HIO_0000364
BINARY is HIO_0000367 Class
BINARY SubClassOf HIO_0000367 HIO_0000362
BINARY is HIO_0000368 Class
BINARY SubClassOf HIO_0000368 HIO_0000058
BINARY is HIO_0000369 Class
BINARY SubClassOf HIO_0000369 HIO_0000467
BINARY is HIO_0000371 Class
BINARY SubClassOf HIO_0000371 HIO_0000388
BINARY is HIO_0000372 Class
BINARY SubClassOf HIO_0000372 HIO_0000371
BINARY is HIO_0000373 Class
BINARY SubClassOf HIO_0000373 HIO_0000371
BINARY is HIO_0000374 Class
BINARY SubClassOf HIO_0000374 HIO_0000373
BINARY is HIO_0000375 Class
BINARY SubClassOf HIO_0000375 HIO_0000373
BINARY is HIO_0000376 Class
BINARY SubClassOf HIO_0000376 HIO_0000372
BINARY is HIO_0000378 Class
BINARY SubClassOf HIO_0000378 HIO_0000371
BINARY is HIO_0000379 Class
BINARY SubClassOf HIO_0000379 HIO_0000372
BINARY is HIO_0000380 Class
BINARY SubClassOf HIO_0000380 HIO_0000371
BINARY is HIO_0000381 Class
BINARY SubClassOf HIO_0000381 HIO_0000380
BINARY is HIO_0000383 Class
BINARY SubClassOf HIO_0000383 HIO_0000380
BINARY is HIO_0000388 Class
BINARY SubClassOf HIO_0000388 HIO_0000001
BINARY is HIO_0000389 Class
BINARY SubClassOf HIO_0000389 HIO_0000388
BINARY is HIO_0000390 Class
BINARY SubClassOf HIO_0000390 HIO_0000214
BINARY is HIO_0000391 Class
BINARY SubClassOf HIO_0000391 HIO_0000214
BINARY is HIO_0000392 Class
BINARY SubClassOf HIO_0000392 HIO_0000080
BINARY is HIO_0000393 Class
BINARY SubClassOf HIO_0000393 HIO_0000214
BINARY is HIO_0000394 Class
BINARY SubClassOf HIO_0000394 HIO_0000395
BINARY is HIO_0000395 Class
BINARY SubClassOf HIO_0000395 HIO_0000079
BINARY is HIO_0000396 Class
BINARY SubClassOf HIO_0000396 HIO_0000395
BINARY is HIO_0000397 Class
BINARY SubClassOf HIO_0000397 HIO_0000340
BINARY is HIO_0000398 Class
BINARY SubClassOf HIO_0000398 HIO_0000101
BINARY is HIO_0000399 Class
BINARY SubClassOf HIO_0000399 HIO_0000102
BINARY is HIO_0000400 Class
BINARY SubClassOf HIO_0000400 HIO_0000389
BINARY is HIO_0000401 Class
BINARY SubClassOf HIO_0000401 HIO_0000389
BINARY is HIO_0000446 Class
BINARY SubClassOf HIO_0000446 HIO_0000205
BINARY is HIO_0000447 Class
BINARY SubClassOf HIO_0000447 HIO_0000205
BINARY is HIO_0000448 Class
BINARY SubClassOf HIO_0000448 HIO_0000205
BINARY is HIO_0000449 Class
BINARY SubClassOf HIO_0000449 HIO_0000205
BINARY is HIO_0000453 Class
BINARY SubClassOf HIO_0000453 HIO_0000034
BINARY is HIO_0000454 Class
BINARY SubClassOf HIO_0000454 HIO_0000034
BINARY is HIO_0000455 Class
BINARY SubClassOf HIO_0000455 HIO_0000453
BINARY is HIO_0000456 Class
BINARY SubClassOf HIO_0000456 HIO_0000453
BINARY is HIO_0000457 Class
BINARY SubClassOf HIO_0000457 HIO_0000454
BINARY is HIO_0000459 Class
BINARY SubClassOf HIO_0000459 HIO_0000071
BINARY is HIO_0000460 Class
BINARY SubClassOf HIO_0000460 HIO_0000459
BINARY is HIO_0000461 Class
BINARY SubClassOf HIO_0000461 HIO_0000459
BINARY is HIO_0000464 Class
BINARY SubClassOf HIO_0000464 HIO_0000002
BINARY is HIO_0000466 Class
BINARY SubClassOf HIO_0000466 HIO_0000464
BINARY is HIO_0000467 Class
BINARY SubClassOf HIO_0000467 HIO_0000464
BINARY is HIO_0000472 Class
BINARY SubClassOf HIO_0000472 HIO_0000002
BINARY is HIO_0000473 Class
BINARY SubClassOf HIO_0000473 HIO_0000472
BINARY is HIO_0000474 Class
BINARY SubClassOf HIO_0000474 HIO_0000472
BINARY is HIO_0000475 Class
BINARY SubClassOf HIO_0000475 HIO_0000098,
BINARY SubClassOf HIO_0000475 HIO_0000473
BINARY is HIO_0000476 Class
BINARY SubClassOf HIO_0000476 HIO_0000098
BINARY is HIO_0000477 Class
BINARY SubClassOf HIO_0000477 HIO_0000473
BINARY is HIO_0000478 Class
BINARY SubClassOf HIO_0000478 HIO_0000473
BINARY is HIO_0000482 Class
BINARY SubClassOf HIO_0000482 HIO_0000473
BINARY is HIO_0000483 Class
BINARY SubClassOf HIO_0000483 HIO_0000067
BINARY is HIO_0000484 Class
BINARY SubClassOf HIO_0000484 HIO_0000067
BINARY is HIO_0000485 Class
BINARY SubClassOf HIO_0000485 HIO_0000056
BINARY is HIO_0000486 Class
BINARY SubClassOf HIO_0000486 HIO_0000485
BINARY is HIO_0000487 Class
BINARY SubClassOf HIO_0000487 HIO_0000056
BINARY is HIO_0000488 Class
BINARY SubClassOf HIO_0000488 HIO_0000067
BINARY is HIO_0000489 Class
BINARY SubClassOf HIO_0000489 HIO_0000067
BINARY is HIO_0000491 Class
BINARY SubClassOf HIO_0000491 HIO_0000073
BINARY is HIO_0000494 Class
BINARY SubClassOf HIO_0000494 HIO_0000073
BINARY is HIO_0000496 Class
BINARY SubClassOf HIO_0000496 HIO_0000073
BINARY is HIO_0000497 Class
BINARY SubClassOf HIO_0000497 HIO_0000067
BINARY is HIO_0000498 Class
BINARY SubClassOf HIO_0000498 HIO_0000067
BINARY is HIO_0000499 Class
BINARY SubClassOf HIO_0000499 HIO_0000067
BINARY is HIO_0000500 Class
BINARY SubClassOf HIO_0000500 HIO_0000067
BINARY is HIO_0000504 Class
BINARY SubClassOf HIO_0000504 HIO_0000067
BINARY is HIO_0000508 Class
BINARY SubClassOf HIO_0000508 HIO_0000073
BINARY is HIO_0000510 Class
BINARY SubClassOf HIO_0000510 HIO_0000067
BINARY is HIO_0000512 Class
BINARY SubClassOf HIO_0000512 HIO_0000067
BINARY is HIO_0000513 Class
BINARY SubClassOf HIO_0000513 HIO_0000056
BINARY is HIO_0000514 Class
BINARY SubClassOf HIO_0000514 HIO_0000466
BINARY is R2ennw99WiJ415xKdHT6C1 Class
BINARY SubClassOf R2ennw99WiJ415xKdHT6C1 HIO_0000101
BINARY is R7Ss9Q2KdIvAJzwNyph6WwV Class
BINARY SubClassOf R7Ss9Q2KdIvAJzwNyph6WwV HIO_0000068
BINARY is R8DJ4mCSQgf774D7YYUPimR Class
BINARY SubClassOf R8DJ4mCSQgf774D7YYUPimR HIO_0000141
BINARY is R8dA1STzRv1jH3qlwJ8katW Class
BINARY SubClassOf R8dA1STzRv1jH3qlwJ8katW HIO_0000196
BINARY is R9EhfyaMJXGJhPlJPPjFprA Class
BINARY SubClassOf R9EhfyaMJXGJhPlJPPjFprA HIO_0000340
