BINARY is encodes ObjectProperty
BINARY is DRB1_0341_Chain Class
BINARY is DRB1_0342 Class
BINARY SubClassOf DRB1_0342 DRB1_03,
BINARY SubClassOf DRB1_0342 encodes_some_DRB1_0342_Chain
BINARY is DRB1_0342_Chain Class
BINARY is DRB1_0343 Class
BINARY SubClassOf DRB1_0343 DRB1_03,
BINARY SubClassOf DRB1_0343 encodes_some_DRB1_0343_Chain
BINARY is DRB1_0343_Chain Class
BINARY is DRB1_0344 Class
BINARY SubClassOf DRB1_0344 DRB1_03,
BINARY SubClassOf DRB1_0344 encodes_some_DRB1_0344_Chain
BINARY is DRB1_0344_Chain Class
BINARY is DRB1_0345 Class
BINARY SubClassOf DRB1_0345 DRB1_03,
BINARY SubClassOf DRB1_0345 encodes_some_DRB1_0345_Chain
BINARY is DRB1_0345_Chain Class
BINARY is DRB1_0346 Class
BINARY SubClassOf DRB1_0346 DRB1_03,
BINARY SubClassOf DRB1_0346 encodes_some_DRB1_0346_Chain
BINARY is DRB1_0346_Chain Class
BINARY is DRB1_0347 Class
BINARY SubClassOf DRB1_0347 DRB1_03,
BINARY SubClassOf DRB1_0347 encodes_some_DRB1_0347_Chain
BINARY is DRB1_0347_Chain Class
BINARY is DRB1_0348 Class
BINARY SubClassOf DRB1_0348 DRB1_03,
BINARY SubClassOf DRB1_0348 encodes_some_DRB1_0348_Chain
BINARY is DRB1_0348_Chain Class
BINARY is DRB1_03_Chain Class
BINARY is DRB1_04 Class
BINARY SubClassOf DRB1_04 HLA-DRB1,
BINARY SubClassOf DRB1_04 encodes_some_DRB1_04_Chain
BINARY is DRB1_0401 Class
BINARY SubClassOf DRB1_0401 DR4,
BINARY SubClassOf DRB1_0401 DRB1_04,
BINARY SubClassOf DRB1_0401 encodes_some_DRB1_0401_Chain
BINARY is DRB1_040101 Class
BINARY SubClassOf DRB1_040101 DRB1_0401
BINARY is DRB1_040102 Class
BINARY SubClassOf DRB1_040102 DRB1_0401
BINARY is DRB1_040103 Class
BINARY SubClassOf DRB1_040103 DRB1_0401
BINARY is DRB1_0401_Chain Class
BINARY is DRB1_0402 Class
BINARY SubClassOf DRB1_0402 DR4,
BINARY SubClassOf DRB1_0402 DRB1_04,
BINARY SubClassOf DRB1_0402 encodes_some_DRB1_0402_Chain
BINARY is DRB1_0402_Chain Class
BINARY is DRB1_0403 Class
BINARY SubClassOf DRB1_0403 DR4,
BINARY SubClassOf DRB1_0403 DRB1_04,
BINARY SubClassOf DRB1_0403 encodes_some_DRB1_0403_Chain
BINARY is DRB1_040301 Class
BINARY SubClassOf DRB1_040301 DRB1_0403
BINARY is DRB1_040302 Class
BINARY SubClassOf DRB1_040302 DRB1_0403
BINARY is DRB1_040303 Class
BINARY SubClassOf DRB1_040303 DRB1_0403
BINARY is DRB1_040304 Class
BINARY SubClassOf DRB1_040304 DRB1_0403
BINARY is DRB1_0403_Chain Class
BINARY is DRB1_0404 Class
BINARY SubClassOf DRB1_0404 DR4,
BINARY SubClassOf DRB1_0404 DRB1_04,
BINARY SubClassOf DRB1_0404 encodes_some_DRB1_0404_Chain
BINARY is DRB1_0404_Chain Class
BINARY is DRB1_0405 Class
BINARY SubClassOf DRB1_0405 DR4,
BINARY SubClassOf DRB1_0405 DRB1_04,
BINARY SubClassOf DRB1_0405 encodes_some_DRB1_0405_Chain
BINARY is DRB1_040501 Class
BINARY SubClassOf DRB1_040501 DRB1_0405
BINARY is DRB1_040502 Class
BINARY SubClassOf DRB1_040502 DRB1_0405
BINARY is DRB1_040503 Class
BINARY SubClassOf DRB1_040503 DRB1_0405
BINARY is DRB1_040504 Class
BINARY SubClassOf DRB1_040504 DRB1_0405
BINARY is DRB1_040505 Class
BINARY SubClassOf DRB1_040505 DRB1_0405
BINARY is DRB1_040506 Class
BINARY SubClassOf DRB1_040506 DRB1_0405
BINARY is DRB1_0405_Chain Class
BINARY is DRB1_0406 Class
BINARY SubClassOf DRB1_0406 DR4,
BINARY SubClassOf DRB1_0406 DRB1_04,
BINARY SubClassOf DRB1_0406 encodes_some_DRB1_0406_Chain
BINARY is DRB1_040601 Class
BINARY SubClassOf DRB1_040601 DRB1_0406
BINARY is DRB1_040602 Class
BINARY SubClassOf DRB1_040602 DRB1_0406
BINARY is DRB1_0406_Chain Class
BINARY is DRB1_0407 Class
BINARY SubClassOf DRB1_0407 DR4,
BINARY SubClassOf DRB1_0407 DRB1_04,
BINARY SubClassOf DRB1_0407 encodes_some_DRB1_0407_Chain
BINARY is DRB1_040701 Class
BINARY SubClassOf DRB1_040701 DRB1_0407
BINARY is DRB1_040702 Class
BINARY SubClassOf DRB1_040702 DRB1_0407
BINARY is DRB1_040703 Class
BINARY SubClassOf DRB1_040703 DRB1_0407
BINARY is DRB1_0407_Chain Class
BINARY is DRB1_0408 Class
BINARY SubClassOf DRB1_0408 DR4,
BINARY SubClassOf DRB1_0408 DRB1_04,
BINARY SubClassOf DRB1_0408 encodes_some_DRB1_0408_Chain
BINARY is DRB1_0408_Chain Class
BINARY is DRB1_0409 Class
BINARY SubClassOf DRB1_0409 DR4,
BINARY SubClassOf DRB1_0409 DRB1_04,
BINARY SubClassOf DRB1_0409 encodes_some_DRB1_0409_Chain
BINARY is DRB1_0409_Chain Class
BINARY is DRB1_0410 Class
BINARY SubClassOf DRB1_0410 DR4,
BINARY SubClassOf DRB1_0410 DRB1_04,
BINARY SubClassOf DRB1_0410 encodes_some_DRB1_0410_Chain
BINARY is DRB1_0410_Chain Class
BINARY is DRB1_0411 Class
BINARY SubClassOf DRB1_0411 DR4,
BINARY SubClassOf DRB1_0411 DRB1_04,
BINARY SubClassOf DRB1_0411 encodes_some_DRB1_0411_Chain
BINARY is DRB1_0411_Chain Class
BINARY is DRB1_0412 Class
BINARY SubClassOf DRB1_0412 DR4,
BINARY SubClassOf DRB1_0412 DRB1_04,
BINARY SubClassOf DRB1_0412 encodes_some_DRB1_0412_Chain
BINARY is DRB1_0412_Chain Class
BINARY is DRB1_0413 Class
BINARY SubClassOf DRB1_0413 DR4,
BINARY SubClassOf DRB1_0413 DRB1_04,
BINARY SubClassOf DRB1_0413 encodes_some_DRB1_0413_Chain
BINARY is DRB1_0413_Chain Class
BINARY is DRB1_0414 Class
BINARY SubClassOf DRB1_0414 DR4,
BINARY SubClassOf DRB1_0414 DRB1_04,
BINARY SubClassOf DRB1_0414 encodes_some_DRB1_0414_Chain
BINARY is DRB1_0414_Chain Class
BINARY is DRB1_0415 Class
BINARY SubClassOf DRB1_0415 DR4,
BINARY SubClassOf DRB1_0415 DRB1_04,
BINARY SubClassOf DRB1_0415 encodes_some_DRB1_0415_Chain
BINARY is DRB1_0415_Chain Class
BINARY is DRB1_0416 Class
BINARY SubClassOf DRB1_0416 DR4,
BINARY SubClassOf DRB1_0416 DRB1_04,
BINARY SubClassOf DRB1_0416 encodes_some_DRB1_0416_Chain
BINARY is DRB1_0416_Chain Class
BINARY is DRB1_0417 Class
BINARY SubClassOf DRB1_0417 DR4,
BINARY SubClassOf DRB1_0417 DRB1_04,
BINARY SubClassOf DRB1_0417 encodes_some_DRB1_0417_Chain
BINARY is DRB1_0417_Chain Class
BINARY is DRB1_0418 Class
BINARY SubClassOf DRB1_0418 DRB1_04,
BINARY SubClassOf DRB1_0418 encodes_some_DRB1_0418_Chain
BINARY is DRB1_0418_Chain Class
BINARY is DRB1_0419 Class
BINARY SubClassOf DRB1_0419 DR4,
BINARY SubClassOf DRB1_0419 DRB1_04,
BINARY SubClassOf DRB1_0419 encodes_some_DRB1_0419_Chain
BINARY is DRB1_0419_Chain Class
BINARY is DRB1_0420 Class
BINARY SubClassOf DRB1_0420 DR4,
BINARY SubClassOf DRB1_0420 DRB1_04,
BINARY SubClassOf DRB1_0420 encodes_some_DRB1_0420_Chain
BINARY is DRB1_0420_Chain Class
BINARY is DRB1_0421 Class
BINARY SubClassOf DRB1_0421 DR4,
BINARY SubClassOf DRB1_0421 DRB1_04,
BINARY SubClassOf DRB1_0421 encodes_some_DRB1_0421_Chain
BINARY is DRB1_0421_Chain Class
BINARY is DRB1_0422 Class
BINARY SubClassOf DRB1_0422 DR4,
BINARY SubClassOf DRB1_0422 DRB1_04,
BINARY SubClassOf DRB1_0422 encodes_some_DRB1_0422_Chain
BINARY is DRB1_0422_Chain Class
BINARY is DRB1_0423 Class
BINARY SubClassOf DRB1_0423 DR4,
