BINARY is BFO_0000162 ObjectProperty
BINARY is CHEBI_55380 Class
BINARY SubClassOf CHEBI_55380 CHEBI_52395
BINARY is CHEBI_5653 Class
BINARY SubClassOf CHEBI_5653 CHEBI_30879
BINARY is CHEBI_5686 Class
BINARY SubClassOf CHEBI_5686 CHEBI_33595
BINARY is CHEBI_59656 Class
BINARY SubClassOf CHEBI_59656 CHEBI_23367
BINARY is CHEBI_59769 Class
BINARY SubClassOf CHEBI_59769 CHEBI_36963
BINARY is CHEBI_59831 Class
BINARY SubClassOf CHEBI_59831 CHEBI_23367
BINARY is CHEBI_60983 Class
BINARY SubClassOf CHEBI_60983 CHEBI_37592
BINARY is CHEBI_61111 Class
BINARY SubClassOf CHEBI_61111 CHEBI_35352,
BINARY SubClassOf CHEBI_61111 CHEBI_37592
BINARY is CHEBI_68452 Class
BINARY SubClassOf CHEBI_68452 CHEBI_38101
BINARY is CHEBI_72695 Class
BINARY SubClassOf CHEBI_72695 CHEBI_23367
BINARY is CHEBI_73474 Class
BINARY SubClassOf CHEBI_73474 CHEBI_72695
BINARY is CHEBI_73477 Class
BINARY SubClassOf CHEBI_73477 CHEBI_73474
BINARY is MOP_0000717 Class
BINARY DisjointWith MOP_0000717 CHEBI_18310
BINARY is MOP_0000718 Class
BINARY equiv MOP_0000718 CHEBI_36587_and_(BFO_0000162_some_MOP_0000717)
BINARY SubClassOf MOP_0000718 CHEBI_36587,
BINARY SubClassOf MOP_0000718 BFO_0000162_some_MOP_0000717,
BINARY SubClassOf MOP_0000718 BFO_0000162_only_CHEBI_18310
BINARY DisjointWith MOP_0000718 CHEBI_36587_and_(BFO_0000162_some_MOP_0000717)
BINARY is www.w3.org/2002/07/# Class
