BINARY is hasGrade ObjectProperty
BINARY SubClassOf C13 C00-C14
BINARY is C130 Class
BINARY SubClassOf C130 C13
BINARY is C131 Class
BINARY SubClassOf C131 C13
BINARY is C132 Class
BINARY SubClassOf C132 C13
BINARY is C138 Class
BINARY SubClassOf C138 C13
BINARY is C139 Class
BINARY SubClassOf C139 C13
BINARY is C14 Class
BINARY SubClassOf C14 C00-C14
BINARY is C140 Class
BINARY SubClassOf C140 C14
BINARY is C142 Class
BINARY SubClassOf C142 C14
BINARY is C148 Class
BINARY SubClassOf C148 C14
BINARY is C15 Class
BINARY SubClassOf C15 C15-C26
BINARY is C15-C26 Class
BINARY SubClassOf C15-C26 ICDO3Topography
BINARY is C150 Class
BINARY SubClassOf C150 C15
BINARY is C151 Class
BINARY SubClassOf C151 C15
BINARY is C152 Class
BINARY SubClassOf C152 C15
BINARY is C153 Class
BINARY SubClassOf C153 C15
BINARY is C154 Class
BINARY SubClassOf C154 C15
BINARY is C155 Class
BINARY SubClassOf C155 C15
BINARY is C158 Class
BINARY SubClassOf C158 C15
BINARY is C159 Class
BINARY SubClassOf C159 C15
BINARY is C16 Class
BINARY SubClassOf C16 C15-C26
BINARY is C160 Class
BINARY SubClassOf C160 C16
BINARY is C161 Class
BINARY SubClassOf C161 C16
BINARY is C162 Class
BINARY SubClassOf C162 C16
BINARY is C163 Class
BINARY SubClassOf C163 C16
BINARY is C164 Class
BINARY SubClassOf C164 C16
BINARY is C165 Class
BINARY SubClassOf C165 C16
BINARY is C166 Class
BINARY SubClassOf C166 C16
BINARY is C168 Class
BINARY SubClassOf C168 C16
BINARY is C169 Class
BINARY SubClassOf C169 C16
BINARY is C17 Class
BINARY SubClassOf C17 C15-C26
BINARY is C170 Class
BINARY SubClassOf C170 C17
BINARY is C171 Class
BINARY SubClassOf C171 C17
BINARY is C172 Class
BINARY SubClassOf C172 C17
BINARY is C173 Class
BINARY SubClassOf C173 C17
BINARY is C178 Class
BINARY SubClassOf C178 C17
BINARY is C179 Class
BINARY SubClassOf C179 C17
BINARY is C18 Class
BINARY SubClassOf C18 C15-C26
BINARY is C180 Class
BINARY SubClassOf C180 C18
BINARY is C181 Class
BINARY SubClassOf C181 C18
BINARY is C182 Class
BINARY SubClassOf C182 C18
BINARY is C183 Class
BINARY SubClassOf C183 C18
BINARY is C184 Class
BINARY SubClassOf C184 C18
BINARY is C185 Class
BINARY SubClassOf C185 C18
BINARY is C186 Class
BINARY SubClassOf C186 C18
BINARY is C187 Class
BINARY SubClassOf C187 C18
BINARY is C188 Class
BINARY SubClassOf C188 C18
BINARY is C189 Class
BINARY SubClassOf C189 C18
BINARY is C19 Class
BINARY SubClassOf C19 C15-C26
BINARY is C199 Class
BINARY SubClassOf C199 C19
BINARY is C20 Class
BINARY SubClassOf C20 C15-C26
BINARY is C209 Class
BINARY SubClassOf C209 C20
BINARY is C21 Class
BINARY SubClassOf C21 C15-C26
BINARY is C210 Class
BINARY SubClassOf C210 C21
BINARY is C211 Class
BINARY SubClassOf C211 C21
BINARY is C212 Class
BINARY SubClassOf C212 C21
BINARY is C218 Class
BINARY SubClassOf C218 C21
BINARY is C22 Class
BINARY SubClassOf C22 C15-C26
BINARY is C220 Class
BINARY SubClassOf C220 C22
BINARY is C221 Class
BINARY SubClassOf C221 C22
BINARY is C23 Class
BINARY SubClassOf C23 C15-C26
BINARY is C239 Class
BINARY SubClassOf C239 C23
BINARY is C24 Class
BINARY SubClassOf C24 C15-C26
BINARY is C240 Class
BINARY SubClassOf C240 C24
BINARY is C241 Class
BINARY SubClassOf C241 C24
BINARY is C248 Class
BINARY SubClassOf C248 C24
BINARY is C249 Class
BINARY SubClassOf C249 C24
BINARY is C25 Class
BINARY SubClassOf C25 C15-C26
BINARY is C250 Class
BINARY SubClassOf C250 C25
BINARY is C251 Class
BINARY SubClassOf C251 C25
BINARY is C252 Class
BINARY SubClassOf C252 C25
BINARY is C253 Class
BINARY SubClassOf C253 C25
BINARY is C254 Class
BINARY SubClassOf C254 C25
BINARY is C257 Class
BINARY SubClassOf C257 C25
BINARY is C258 Class
BINARY SubClassOf C258 C25
BINARY is C259 Class
BINARY SubClassOf C259 C25
BINARY is C26 Class
BINARY SubClassOf C26 C15-C26
BINARY is C260 Class
BINARY SubClassOf C260 C26
BINARY is C268 Class
BINARY SubClassOf C268 C26
BINARY is C269 Class
BINARY SubClassOf C269 C26
BINARY is C30 Class
BINARY SubClassOf C30 C30-C39
BINARY is C30-C39 Class
BINARY SubClassOf C30-C39 ICDO3Topography
BINARY is C300 Class
BINARY SubClassOf C300 C30
BINARY is C301 Class
BINARY SubClassOf C301 C30
BINARY is C31 Class
BINARY SubClassOf C31 C30-C39
BINARY is C310 Class
BINARY SubClassOf C310 C31
BINARY is C311 Class
BINARY SubClassOf C311 C31
BINARY is C312 Class
BINARY SubClassOf C312 C31
BINARY is C313 Class
BINARY SubClassOf C313 C31
BINARY is C318 Class
BINARY SubClassOf C318 C31
BINARY is C319 Class
BINARY SubClassOf C319 C31
BINARY is C32 Class
BINARY SubClassOf C32 C30-C39
BINARY is C320 Class
BINARY SubClassOf C320 C32
BINARY is C321 Class
BINARY SubClassOf C321 C32
BINARY is C322 Class
BINARY SubClassOf C322 C32
BINARY is C323 Class
BINARY SubClassOf C323 C32
BINARY is C328 Class
BINARY SubClassOf C328 C32
BINARY is C329 Class
BINARY SubClassOf C329 C32
BINARY is C33 Class
BINARY SubClassOf C33 C30-C39
BINARY is C339 Class
BINARY SubClassOf C339 C33
BINARY is C34 Class
BINARY SubClassOf C34 C30-C39
BINARY is C340 Class
BINARY SubClassOf C340 C34
BINARY is C341 Class
BINARY SubClassOf C341 C34
BINARY is C342 Class
BINARY SubClassOf C342 C34
BINARY is C343 Class
BINARY SubClassOf C343 C34
BINARY is C348 Class
BINARY SubClassOf C348 C34
BINARY is C349 Class
BINARY SubClassOf C349 C34
BINARY is C37 Class
BINARY SubClassOf C37 C30-C39
BINARY is C379 Class
BINARY SubClassOf C379 C37
BINARY is C38 Class
BINARY SubClassOf C38 C30-C39
BINARY is C380 Class
BINARY SubClassOf C380 C38
BINARY is C381 Class
BINARY SubClassOf C381 C38
BINARY is C382 Class
BINARY SubClassOf C382 C38
BINARY is C383 Class
BINARY SubClassOf C383 C38
BINARY is C384 Class
BINARY SubClassOf C384 C38
BINARY is C388 Class
BINARY SubClassOf C388 C38
BINARY is C39 Class
BINARY SubClassOf C39 C30-C39
BINARY is C390 Class
BINARY SubClassOf C390 C39
BINARY is C398 Class
BINARY SubClassOf C398 C39
BINARY is C399 Class
BINARY SubClassOf C399 C39
BINARY is C40 Class
BINARY SubClassOf C40 C40-C41
BINARY is C40-C41 Class
BINARY SubClassOf C40-C41 ICDO3Topography
BINARY is C400 Class
BINARY SubClassOf C400 C40
BINARY is C401 Class
BINARY SubClassOf C401 C40
BINARY is C402 Class
BINARY SubClassOf C402 C40
BINARY is C403 Class
BINARY SubClassOf C403 C40
BINARY is C408 Class
BINARY SubClassOf C408 C40
BINARY is C409 Class
BINARY SubClassOf C409 C40
BINARY is C41 Class
BINARY SubClassOf C41 C40-C41
BINARY is C410 Class
BINARY SubClassOf C410 C41
BINARY is C411 Class
BINARY SubClassOf C411 C41
BINARY is C412 Class
BINARY SubClassOf C412 C41
BINARY is C413 Class
BINARY SubClassOf C413 C41
BINARY is C414 Class
BINARY SubClassOf C414 C41
BINARY is C418 Class
BINARY SubClassOf C418 C41
BINARY is C419 Class
BINARY SubClassOf C419 C41
BINARY is C42 Class
BINARY SubClassOf C42 ICDO3Topography
BINARY is C420 Class
BINARY SubClassOf C420 C42
BINARY is C421 Class
BINARY SubClassOf C421 C42
BINARY is C422 Class
BINARY SubClassOf C422 C42
BINARY is C423 Class
BINARY SubClassOf C423 C42
BINARY is C424 Class
BINARY SubClassOf C424 C42
BINARY is C44 Class
BINARY SubClassOf C44 ICDO3Topography
BINARY is C440 Class
BINARY SubClassOf C440 C44
BINARY is C441 Class
BINARY SubClassOf C441 C44
BINARY is C442 Class
BINARY SubClassOf C442 C44
BINARY is C443 Class
BINARY SubClassOf C443 C44
BINARY is C444 Class
BINARY SubClassOf C444 C44
BINARY is C445 Class
BINARY SubClassOf C445 C44
BINARY is C446 Class
BINARY SubClassOf C446 C44
BINARY is C447 Class
BINARY SubClassOf C447 C44
BINARY is C448 Class
BINARY SubClassOf C448 C44
BINARY is C449 Class
BINARY SubClassOf C449 C44
BINARY is C47 Class
BINARY SubClassOf C47 ICDO3Topography
BINARY is C470 Class
BINARY SubClassOf C470 C47
BINARY is C471 Class
BINARY SubClassOf C471 C47
BINARY is C472 Class
BINARY SubClassOf C472 C47
BINARY is C473 Class
BINARY SubClassOf C473 C47
BINARY is C474 Class
BINARY SubClassOf C474 C47
BINARY is C475 Class
BINARY SubClassOf C475 C47
BINARY is C476 Class
BINARY SubClassOf C476 C47
BINARY is C478 Class
BINARY SubClassOf C478 C47
BINARY is C479 Class
BINARY SubClassOf C479 C47
BINARY is C48 Class
BINARY SubClassOf C48 ICDO3Topography
BINARY is C480 Class
BINARY SubClassOf C480 C48
BINARY is C481 Class
BINARY SubClassOf C481 C48
BINARY is C482 Class
BINARY SubClassOf C482 C48
BINARY is C488 Class
BINARY SubClassOf C488 C48
BINARY is C49 Class
BINARY SubClassOf C49 ICDO3Topography
BINARY is C490 Class
BINARY SubClassOf C490 C49
BINARY is C491 Class
BINARY SubClassOf C491 C49
BINARY is C492 Class
BINARY SubClassOf C492 C49
BINARY is C493 Class
BINARY SubClassOf C493 C49
BINARY is C494 Class
BINARY SubClassOf C494 C49
BINARY is C495 Class
BINARY SubClassOf C495 C49
BINARY is C496 Class
BINARY SubClassOf C496 C49
BINARY is C498 Class
BINARY SubClassOf C498 C49
BINARY is C499 Class
BINARY SubClassOf C499 C49
BINARY is C50 Class
BINARY SubClassOf C50 ICDO3Topography
BINARY is C500 Class
BINARY SubClassOf C500 C50
BINARY is C501 Class
BINARY SubClassOf C501 C50
BINARY is C502 Class
BINARY SubClassOf C502 C50
BINARY is C503 Class
BINARY SubClassOf C503 C50
BINARY is C504 Class
BINARY SubClassOf C504 C50
BINARY is C505 Class
BINARY SubClassOf C505 C50
BINARY is C506 Class
BINARY SubClassOf C506 C50
BINARY is C508 Class
BINARY SubClassOf C508 C50
BINARY is C509 Class
BINARY SubClassOf C509 C50
BINARY is C51 Class
BINARY SubClassOf C51 C51-C58
BINARY is C51-C58 Class
BINARY SubClassOf C51-C58 ICDO3Topography
BINARY is C510 Class
BINARY SubClassOf C510 C51
BINARY is C511 Class
BINARY SubClassOf C511 C51
BINARY is C512 Class
BINARY SubClassOf C512 C51
BINARY is C518 Class
BINARY SubClassOf C518 C51
BINARY is C519 Class
BINARY SubClassOf C519 C51
BINARY is C52 Class
BINARY SubClassOf C52 C51-C58
BINARY is C529 Class
BINARY SubClassOf C529 C52
BINARY is C53 Class
BINARY SubClassOf C53 C51-C58
BINARY is C530 Class
BINARY SubClassOf C530 C53
BINARY is C531 Class
BINARY SubClassOf C531 C53
BINARY is C538 Class
BINARY SubClassOf C538 C53
BINARY is C539 Class
BINARY SubClassOf C539 C53
BINARY is C54 Class
BINARY SubClassOf C54 C51-C58
BINARY is C540 Class
BINARY SubClassOf C540 C54
BINARY is C541 Class
BINARY SubClassOf C541 C54
BINARY is C542 Class
BINARY SubClassOf C542 C54
BINARY is C543 Class
BINARY SubClassOf C543 C54
BINARY is C548 Class
BINARY SubClassOf C548 C54
BINARY is C549 Class
BINARY SubClassOf C549 C54
BINARY is C55 Class
BINARY SubClassOf C55 C51-C58
BINARY is C559 Class
BINARY SubClassOf C559 C55
BINARY is C56 Class
BINARY SubClassOf C56 C51-C58
BINARY is C569 Class
BINARY SubClassOf C569 C56
BINARY is C57 Class
BINARY SubClassOf C57 C51-C58
BINARY is C570 Class
BINARY SubClassOf C570 C57
BINARY is C571 Class
BINARY SubClassOf C571 C57
BINARY is C572 Class
BINARY SubClassOf C572 C57
BINARY is C573 Class
BINARY SubClassOf C573 C57
BINARY is C574 Class
BINARY SubClassOf C574 C57
BINARY is C577 Class
BINARY SubClassOf C577 C57
BINARY is C578 Class
BINARY SubClassOf C578 C57
BINARY is C579 Class
BINARY SubClassOf C579 C57
BINARY is C58 Class
BINARY SubClassOf C58 C51-C58
BINARY is C589 Class
BINARY SubClassOf C589 C58
BINARY is C60 Class
BINARY SubClassOf C60 C60-C63
BINARY is C60-C63 Class
BINARY SubClassOf C60-C63 ICDO3Topography
BINARY is C600 Class
BINARY SubClassOf C600 C60
BINARY is C601 Class
BINARY SubClassOf C601 C60
BINARY is C602 Class
BINARY SubClassOf C602 C60
BINARY is C608 Class
BINARY SubClassOf C608 C60
BINARY is C609 Class
BINARY SubClassOf C609 C60
BINARY is C61 Class
BINARY SubClassOf C61 C60-C63
BINARY is C619 Class
BINARY SubClassOf C619 C61
BINARY is C62 Class
BINARY SubClassOf C62 C60-C63
BINARY is C620 Class
BINARY SubClassOf C620 C62
BINARY is C621 Class
BINARY SubClassOf C621 C62
BINARY is C629 Class
BINARY SubClassOf C629 C62
BINARY is C63 Class
BINARY SubClassOf C63 C60-C63
BINARY is C630 Class
BINARY SubClassOf C630 C63
BINARY is C631 Class
BINARY SubClassOf C631 C63
BINARY is C632 Class
BINARY SubClassOf C632 C63
BINARY is C637 Class
BINARY SubClassOf C637 C63
BINARY is C638 Class
BINARY SubClassOf C638 C63
BINARY is C639 Class
BINARY SubClassOf C639 C63
BINARY is C64 Class
BINARY SubClassOf C64 C64-C68
BINARY is C64-C68 Class
BINARY SubClassOf C64-C68 ICDO3Topography
BINARY is C649 Class
BINARY SubClassOf C649 C64
BINARY is C65 Class
BINARY SubClassOf C65 C64-C68
BINARY is C659 Class
BINARY SubClassOf C659 C65
BINARY is C66 Class
BINARY SubClassOf C66 C64-C68
BINARY is C669 Class
BINARY SubClassOf C669 C66
BINARY is C67 Class
BINARY SubClassOf C67 C64-C68
BINARY is C670 Class
BINARY SubClassOf C670 C67
BINARY is C671 Class
BINARY SubClassOf C671 C67
BINARY is C672 Class
BINARY SubClassOf C672 C67
BINARY is C673 Class
BINARY SubClassOf C673 C67
BINARY is C674 Class
BINARY SubClassOf C674 C67
BINARY is C675 Class
BINARY SubClassOf C675 C67
BINARY is C676 Class
BINARY SubClassOf C676 C67
BINARY is C677 Class
BINARY SubClassOf C677 C67
BINARY is C678 Class
BINARY SubClassOf C678 C67
BINARY is C679 Class
BINARY SubClassOf C679 C67
BINARY is C68 Class
BINARY SubClassOf C68 C64-C68
BINARY is C680 Class
BINARY SubClassOf C680 C68
BINARY is C681 Class
BINARY SubClassOf C681 C68
BINARY is C688 Class
BINARY SubClassOf C688 C68
BINARY is C689 Class
BINARY SubClassOf C689 C68
BINARY is C69 Class
BINARY SubClassOf C69 C69-C72
BINARY is C69-C72 Class
BINARY SubClassOf C69-C72 ICDO3Topography
BINARY is C690 Class
BINARY SubClassOf C690 C69
BINARY is C691 Class
BINARY SubClassOf C691 C69
BINARY is C692 Class
BINARY SubClassOf C692 C69
BINARY is C693 Class
BINARY SubClassOf C693 C69
BINARY is C694 Class
BINARY SubClassOf C694 C69
BINARY is C695 Class
BINARY SubClassOf C695 C69
BINARY is C696 Class
BINARY SubClassOf C696 C69
BINARY is C698 Class
BINARY SubClassOf C698 C69
BINARY is C699 Class
BINARY SubClassOf C699 C69
BINARY is C70 Class
BINARY SubClassOf C70 C69-C72
BINARY is C700 Class
BINARY SubClassOf C700 C70
BINARY is C701 Class
BINARY SubClassOf C701 C70
BINARY is C709 Class
BINARY SubClassOf C709 C70
BINARY is C71 Class
BINARY SubClassOf C71 C69-C72
BINARY is C710 Class
BINARY SubClassOf C710 C71
BINARY is C711 Class
BINARY SubClassOf C711 C71
BINARY is C712 Class
BINARY SubClassOf C712 C71
BINARY is C713 Class
BINARY SubClassOf C713 C71
BINARY is C714 Class
BINARY SubClassOf C714 C71
BINARY is C715 Class
BINARY SubClassOf C715 C71
BINARY is C716 Class
BINARY SubClassOf C716 C71
BINARY is C717 Class
BINARY SubClassOf C717 C71
BINARY is C718 Class
BINARY SubClassOf C718 C71
BINARY is C719 Class
BINARY SubClassOf C719 C71
BINARY is C72 Class
BINARY SubClassOf C72 C69-C72
BINARY is C720 Class
BINARY SubClassOf C720 C72
BINARY is C721 Class
BINARY SubClassOf C721 C72
BINARY is C722 Class
BINARY SubClassOf C722 C72
BINARY is C723 Class
BINARY SubClassOf C723 C72
BINARY is C724 Class
BINARY SubClassOf C724 C72
BINARY is C725 Class
BINARY SubClassOf C725 C72
BINARY is C728 Class
BINARY SubClassOf C728 C72
BINARY is C729 Class
BINARY SubClassOf C729 C72
BINARY is C73 Class
BINARY SubClassOf C73 C73-C75
BINARY is C73-C75 Class
BINARY SubClassOf C73-C75 ICDO3Topography
BINARY is C739 Class
BINARY SubClassOf C739 C73
BINARY is C74 Class
BINARY SubClassOf C74 C73-C75
BINARY is C740 Class
BINARY SubClassOf C740 C74
BINARY is C741 Class
BINARY SubClassOf C741 C74
BINARY is C749 Class
BINARY SubClassOf C749 C74
BINARY is C75 Class
BINARY SubClassOf C75 C73-C75
BINARY is C750 Class
BINARY SubClassOf C750 C75
BINARY is C751 Class
BINARY SubClassOf C751 C75
BINARY is C752 Class
BINARY SubClassOf C752 C75
BINARY is C753 Class
BINARY SubClassOf C753 C75
BINARY is C754 Class
BINARY SubClassOf C754 C75
BINARY is C755 Class
BINARY SubClassOf C755 C75
BINARY is C758 Class
BINARY SubClassOf C758 C75
BINARY is C759 Class
BINARY SubClassOf C759 C75
BINARY is C76 Class
BINARY SubClassOf C76 ICDO3Topography
BINARY is C760 Class
BINARY SubClassOf C760 C76
BINARY is C761 Class
BINARY SubClassOf C761 C76
BINARY is C762 Class
BINARY SubClassOf C762 C76
BINARY is C763 Class
BINARY SubClassOf C763 C76
BINARY is C764 Class
BINARY SubClassOf C764 C76
BINARY is C765 Class
BINARY SubClassOf C765 C76
BINARY is C767 Class
BINARY SubClassOf C767 C76
BINARY is C768 Class
BINARY SubClassOf C768 C76
BINARY is C77 Class
BINARY SubClassOf C77 ICDO3Topography
BINARY is C770 Class
BINARY SubClassOf C770 C77
BINARY is C771 Class
BINARY SubClassOf C771 C77
BINARY is C772 Class
BINARY SubClassOf C772 C77
BINARY is C773 Class
BINARY SubClassOf C773 C77
BINARY is C774 Class
BINARY SubClassOf C774 C77
BINARY is C775 Class
BINARY SubClassOf C775 C77
BINARY is C778 Class
BINARY SubClassOf C778 C77
BINARY is C779 Class
BINARY SubClassOf C779 C77
BINARY is C80 Class
BINARY SubClassOf C80 ICDO3Topography
BINARY is C809 Class
BINARY SubClassOf C809 C80
BINARY is Grade Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is GradeCellLineage Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is GradeCellLineageCode0_NotApplicable Class
BINARY SubClassOf GradeCellLineageCode0_NotApplicable GradeCellLineage
BINARY DisjointWith GradeCellLineageCode0_NotApplicable GradeCellLineageCode9_Unknown
BINARY is GradeCellLineageCode9_Unknown Class
BINARY SubClassOf GradeCellLineageCode9_Unknown GradeCellLineage
BINARY DisjointWith GradeCellLineageCode9_Unknown GradeCellLineageCode0_NotApplicable
BINARY is GradeCode1_WellDifferentiated Class
BINARY SubClassOf GradeCode1_WellDifferentiated Grade
BINARY is GradeCode2_ModeratelyDifferentiated Class
BINARY SubClassOf GradeCode2_ModeratelyDifferentiated Grade
BINARY is GradeCode3_PoorlyDifferentiated Class
BINARY SubClassOf GradeCode3_PoorlyDifferentiated Grade
BINARY is GradeCode4_Undifferentiated Class
BINARY SubClassOf GradeCode4_Undifferentiated Grade
BINARY is ICDO3 Class
BINARY is ICDO3Topography Class
BINARY SubClassOf ICDO3Topography ICDO3
BINARY is ICDOsixthDigit Class
BINARY is ICDOsixthDigitCode9 Class
BINARY equiv ICDOsixthDigitCode9 hasGrade_some_GradeCellLineageCode9_Unknown
BINARY SubClassOf ICDOsixthDigitCode9 ICDOsixthDigit
BINARY DisjointWith ICDOsixthDigitCode9 hasGrade_some_GradeCellLineageCode9_Unknown
BINARY is M_8830 Class
BINARY is M_8830_1 Class
BINARY SubClassOf M_8830_1 M_8830
BINARY is M_9251 Class
BINARY is M_9251_1 Class
BINARY SubClassOf M_9251_1 M_9251
BINARY is M_9541 Class
BINARY is M_9541_0 Class
BINARY SubClassOf M_9541_0 M_9541
BINARY is M_9597 Class
BINARY is M_9597_3 Class
BINARY SubClassOf M_9597_3 M_9597
BINARY is TopographyGroup Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is www.w3.org/2002/07/# Class
BINARY DisjointClasses www.w3.org/2002/07/# GradeCode1_WellDifferentiated,GradeCode2_ModeratelyDifferentiated,GradeCode3_PoorlyDifferentiated,GradeCode4_Undifferentiated
