BINARY is AssociatedWith ObjectProperty
BINARY SubClassOf GermCellAndEmbryonicNeoplasm Neoplasm
BINARY is GiantCellCarcinoma Class
BINARY SubClassOf GiantCellCarcinoma Carcinoma
BINARY is GingivalNeoplasm Class
BINARY SubClassOf GingivalNeoplasm MouthNeoplasm
BINARY is HairyCellLeukemia Class
BINARY SubClassOf HairyCellLeukemia Leukemia
BINARY is HeadAndNeckNeoplasm Class
BINARY SubClassOf HeadAndNeckNeoplasm Neoplasm
BINARY is Hemangioendothelioma Class
BINARY SubClassOf Hemangioendothelioma Hemangioma
BINARY is Hemangioma Class
BINARY SubClassOf Hemangioma VascularTissueNeoplasm
BINARY is HematologicDisease Class
BINARY SubClassOf HematologicDisease HemicAndLymphaticDisease
BINARY is HemicAndLymphaticDisease Class
BINARY SubClassOf HemicAndLymphaticDisease PathologicalCondition
BINARY is Hepatoblastoma Class
BINARY SubClassOf Hepatoblastoma ComplexAndMixedNeoplasm
BINARY is HepatocellularCarcinoma Class
BINARY SubClassOf HepatocellularCarcinoma LiverNeoplasm
BINARY is HereditarySpherocytoses Class
BINARY SubClassOf HereditarySpherocytoses CongenitalHemolyticAnemia
BINARY is HistiocyticSarcoma Class
BINARY SubClassOf HistiocyticSarcoma MalignantHistiocyticDisorder
BINARY is HodgkinDisease Class
BINARY SubClassOf HodgkinDisease Lymphoma
BINARY is InbornError-LipidMetabolism Class
BINARY SubClassOf InbornError-LipidMetabolism InbornError-Metabolism
BINARY is InbornError-Metabolism Class
BINARY SubClassOf InbornError-Metabolism InbornGeneticDisease
BINARY is InbornGeneticDisease Class
BINARY SubClassOf InbornGeneticDisease CongenitalAbnormality
BINARY is IntestinalNeoplasm Class
BINARY SubClassOf IntestinalNeoplasm GastrointestinalNeoplasm
BINARY is KidneyNeoplasm Class
BINARY SubClassOf KidneyNeoplasm UrologicNeoplasm
BINARY is LargeCellCarcinoma Class
BINARY SubClassOf LargeCellCarcinoma Carcinoma
BINARY is LaryngealNeoplasm Class
BINARY SubClassOf LaryngealNeoplasm OtorhinolaryngologicNeoplasm
BINARY is Leiomyoma Class
BINARY SubClassOf Leiomyoma MuscleTissueNeoplasm
BINARY is Leukemia Class
BINARY SubClassOf Leukemia Neoplasm
BINARY is LewisLungCarcinoma Class
BINARY SubClassOf LewisLungCarcinoma ExperimentalNeoplasm
BINARY is Liposarcoma Class
BINARY SubClassOf Liposarcoma AdiposeTissueNeoplasm
BINARY is LiverNeoplasm Class
BINARY SubClassOf LiverNeoplasm DigestiveSystemNeoplasm
BINARY is LungDisease Class
BINARY SubClassOf LungDisease RespiratoryTractDisease
BINARY is LungNeoplasm Class
BINARY SubClassOf LungNeoplasm RespiratoryTractNeoplasm
BINARY DisjointWith LungNeoplasm T-CellLymphocyticLeukemia
BINARY is LymphoidLeukemia Class
BINARY SubClassOf LymphoidLeukemia Leukemia
BINARY is Lymphoma Class
BINARY SubClassOf Lymphoma Leukemia
BINARY is Macrocephaly Class
BINARY SubClassOf Macrocephaly MalformationsOfCorticalDevelopment
BINARY is MaleGenitalDisease Class
BINARY SubClassOf MaleGenitalDisease MaleUrogenitalDisease
BINARY is MaleGenitalNeoplasm Class
BINARY SubClassOf MaleGenitalNeoplasm UrogenitalNeoplasm
BINARY is MaleUrogenitalDisease Class
BINARY SubClassOf MaleUrogenitalDisease UrogenitalDisease
BINARY is MalformationsOfCorticalDevelopment Class
BINARY SubClassOf MalformationsOfCorticalDevelopment NervousSystemMalformation
BINARY is MalignantHistiocyticDisorder Class
BINARY SubClassOf MalignantHistiocyticDisorder Neoplasm
BINARY is MammaryDuctalCarcinoma Class
BINARY SubClassOf MammaryDuctalCarcinoma BreastNeoplasm
BINARY is Mastocytosis Class
BINARY SubClassOf Mastocytosis AdiposeTissueNeoplasm
BINARY is Meningioma Class
BINARY SubClassOf Meningioma NervousTissueNeoplasm
BINARY is Mesothelioma Class
BINARY SubClassOf Mesothelioma Adenoma
BINARY is MouthNeoplasm Class
BINARY SubClassOf MouthNeoplasm HeadAndNeckNeoplasm
BINARY DisjointWith MouthNeoplasm OtorhinolaryngologicNeoplasm
BINARY is MultipleAbnormalities Class
BINARY SubClassOf MultipleAbnormalities CongenitalAbnormality
BINARY is MultipleMyeloma Class
BINARY SubClassOf MultipleMyeloma PlasmaCellNeoplasm
BINARY is MuscleTissueNeoplasm Class
BINARY SubClassOf MuscleTissueNeoplasm ConnectiveAndSoftTissueNeoplasm
BINARY is MyeloidLeukemia Class
BINARY SubClassOf MyeloidLeukemia Leukemia
BINARY is MyelomonocyticLeukemia Class
BINARY SubClassOf MyelomonocyticLeukemia MyeloidLeukemia
BINARY is MyeloproliferativeDisorders Class
BINARY SubClassOf MyeloproliferativeDisorders BoneMarrowDiseases
BINARY is N-nitrosoethyl-2-hydroxyethylamineInducedBrainNeoplasm Class
BINARY SubClassOf N-nitrosoethyl-2-hydroxyethylamineInducedBrainNeoplasm ChemicalInducedNeoplasm
BINARY is Neoplasm Class
BINARY SubClassOf Neoplasm PathologicalCondition
BINARY DisjointWith Neoplasm DigestiveSystemDisease
BINARY is NervousSystemDiseases Class
BINARY SubClassOf NervousSystemDiseases PathologicalCondition
BINARY is NervousSystemMalformation Class
BINARY SubClassOf NervousSystemMalformation NervousSystemDiseases
BINARY is NervousSystemNeoplasm Class
BINARY SubClassOf NervousSystemNeoplasm Neoplasm
BINARY is NervousTissueNeoplasm Class
BINARY equiv NervousTissueNeoplasm CentralNervousSystemNeoplasm
BINARY SubClassOf NervousTissueNeoplasm NervousSystemNeoplasm
BINARY DisjointWith NervousTissueNeoplasm CentralNervousSystemNeoplasm
BINARY is NeuroectodermalTumor Class
BINARY SubClassOf NeuroectodermalTumor NervousTissueNeoplasm
BINARY is Non-HodgkinsLymphoma Class
BINARY SubClassOf Non-HodgkinsLymphoma Lymphoma
BINARY is OralLeukoplakia Class
BINARY SubClassOf OralLeukoplakia MouthNeoplasm
BINARY is OtorhinolaryngologicNeoplasm Class
BINARY SubClassOf OtorhinolaryngologicNeoplasm HeadAndNeckNeoplasm
BINARY DisjointWith OtorhinolaryngologicNeoplasm MouthNeoplasm
BINARY is OvarianNeoplasm Class
BINARY SubClassOf OvarianNeoplasm FemaleGenitalNeoplasm
BINARY is PancreaticNeoplasm Class
BINARY SubClassOf PancreaticNeoplasm EndocrineGlandNeoplasm
BINARY is PancreaticNeoplasm-endocrine Class
BINARY SubClassOf PancreaticNeoplasm-endocrine PancreaticNeoplasm
BINARY is PancreaticNeoplasm-exocrine Class
BINARY SubClassOf PancreaticNeoplasm-exocrine PancreaticNeoplasm
BINARY is PapillaryThyroidCarcinoma Class
BINARY SubClassOf PapillaryThyroidCarcinoma ThyroidNeoplasm
BINARY is PathologicProcess Class
BINARY SubClassOf PathologicProcess PathologicalCondition
BINARY is PathologicalCondition Class
BINARY SubClassOf PathologicalCondition PathologicalCondition
BINARY is PharyngealNeoplasm Class
BINARY SubClassOf PharyngealNeoplasm OtorhinolaryngologicNeoplasm
BINARY is Philadelphia-PositiveMyeloidLeukemia Class
BINARY SubClassOf Philadelphia-PositiveMyeloidLeukemia MyeloidLeukemia
BINARY is PituitaryNeoplasm Class
BINARY SubClassOf PituitaryNeoplasm EndocrineGlandNeoplasm
BINARY is PlasmaCellLeukemia Class
BINARY SubClassOf PlasmaCellLeukemia MultipleMyeloma
BINARY is PlasmaCellNeoplasm Class
BINARY SubClassOf PlasmaCellNeoplasm Neoplasm
BINARY is Plasmacytoma Class
BINARY SubClassOf Plasmacytoma PlasmaCellNeoplasm
BINARY is ProstaticDisease Class
BINARY SubClassOf ProstaticDisease MaleGenitalDisease
BINARY is ProstaticNeoplasm Class
BINARY SubClassOf ProstaticNeoplasm MaleGenitalNeoplasm
BINARY is RespiratoryTractDisease Class
BINARY SubClassOf RespiratoryTractDisease PathologicalCondition
BINARY is RespiratoryTractNeoplasm Class
BINARY SubClassOf RespiratoryTractNeoplasm ThoracicNeoplasm
BINARY is RetinalNeoplasm Class
BINARY SubClassOf RetinalNeoplasm EyeNeoplasm
BINARY is Retinoblastoma Class
BINARY SubClassOf Retinoblastoma RetinalNeoplasm
BINARY is RhabdoidTumor Class
BINARY SubClassOf RhabdoidTumor Neoplasm
BINARY is Sarcoma Class
BINARY SubClassOf Sarcoma ConnectiveTissueNeoplasm
BINARY is SkinAndConnectiveTissueDiseases Class
BINARY SubClassOf SkinAndConnectiveTissueDiseases PathologicalCondition
BINARY is SkinDiseases Class
BINARY SubClassOf SkinDiseases SkinAndConnectiveTissueDiseases
BINARY is SkinDiseasesGenetic Class
BINARY SubClassOf SkinDiseasesGenetic SkinDiseases
BINARY is SkinNeoplasms Class
BINARY SubClassOf SkinNeoplasms SkinDiseases
BINARY is SkinPapilloma Class
BINARY SubClassOf SkinPapilloma ChemicalInducedNeoplasm
BINARY is SmallCellCarcinoma Class
BINARY SubClassOf SmallCellCarcinoma Carcinoma
BINARY is SquamousCellCarcinoma Class
BINARY SubClassOf SquamousCellCarcinoma Carcinoma
BINARY is T-CellLymphocyticLeukemia Class
BINARY SubClassOf T-CellLymphocyticLeukemia LymphoidLeukemia
BINARY DisjointWith T-CellLymphocyticLeukemia LungNeoplasm
BINARY is Teratocarcinoma Class
BINARY SubClassOf Teratocarcinoma GermCellAndEmbryonicNeoplasm
BINARY is Teratoma Class
BINARY SubClassOf Teratoma GermCellAndEmbryonicNeoplasm
BINARY is TesticularNeoplasms Class
BINARY SubClassOf TesticularNeoplasms EndocrineGlandNeoplasm
BINARY is ThoracicNeoplasm Class
BINARY SubClassOf ThoracicNeoplasm Neoplasm
BINARY is Thrombocytosis Class
BINARY SubClassOf Thrombocytosis BloodPlateletDisorders
BINARY is Thymoma Class
BINARY SubClassOf Thymoma ThymusNeoplasms
BINARY is ThymusNeoplasms Class
BINARY SubClassOf ThymusNeoplasms ThoracicNeoplasm
BINARY is ThyroidNeoplasm Class
BINARY SubClassOf ThyroidNeoplasm EndocrineGlandNeoplasm
BINARY is TongueNeoplasms Class
BINARY SubClassOf TongueNeoplasms MouthNeoplasm
BINARY is TransitionalCellCarcinoma Class
BINARY SubClassOf TransitionalCellCarcinoma Carcinoma
BINARY is Triple-NegativeBreastNeoplasm Class
BINARY SubClassOf Triple-NegativeBreastNeoplasm BreastNeoplasm
BINARY is TrophoblasticNeoplasm Class
BINARY SubClassOf TrophoblasticNeoplasm GermCellAndEmbryonicNeoplasm
BINARY is UrinaryBladderNeoplasm Class
BINARY SubClassOf UrinaryBladderNeoplasm UrologicNeoplasm
BINARY is UrogenitalDisease Class
BINARY SubClassOf UrogenitalDisease PathologicalCondition
BINARY is UrogenitalNeoplasm Class
BINARY SubClassOf UrogenitalNeoplasm Neoplasm
BINARY is UrologicNeoplasm Class
BINARY SubClassOf UrologicNeoplasm UrogenitalNeoplasm
BINARY is UterineNeoplasm Class
BINARY SubClassOf UterineNeoplasm FemaleGenitalNeoplasm
BINARY is UvealMelanoma Class
BINARY SubClassOf UvealMelanoma UvealNeoplasm
BINARY is UvealNeoplasm Class
BINARY SubClassOf UvealNeoplasm EyeNeoplasm
BINARY is VascularTissueNeoplasm Class
BINARY SubClassOf VascularTissueNeoplasm Neoplasm
BINARY is WaldenstromMacroglobulinemia Class
BINARY SubClassOf WaldenstromMacroglobulinemia PlasmaCellNeoplasm
BINARY is XerodermaPigmentosum Class
BINARY SubClassOf XerodermaPigmentosum SkinDiseasesGenetic
BINARY is www.w3.org/2002/07/# Class
BINARY DisjointClasses www.w3.org/2002/07/# Adenoma,BoneNeoplasm,BreastNeoplasm,Carcinoma,ConnectiveAndSoftTissueNeoplasm,DigestiveSystemNeoplasm,EndocrineGlandNeoplasm,EyeNeoplasm,GermCellAndEmbryonicNeoplasm,HeadAndNeckNeoplasm,Leukemia,NervousSystemNeoplasm,PlasmaCellNeoplasm,ThoracicNeoplasm,UrogenitalNeoplasm
BINARY DisjointClasses www.w3.org/2002/07/# BiliaryTractNeoplasm,GastrointestinalNeoplasm,LiverNeoplasm,PancreaticNeoplasm-exocrine
BINARY DisjointClasses www.w3.org/2002/07/# EmbryonalCarcinoma,Teratoma,TrophoblasticNeoplasm
BINARY DisjointClasses www.w3.org/2002/07/# FemaleGenitalNeoplasm,MaleGenitalNeoplasm,UrologicNeoplasm
BINARY DisjointClasses www.w3.org/2002/07/# LymphoidLeukemia,Lymphoma,MyeloidLeukemia
