BINARY is has_template ObjectProperty
BINARY SubClassOf C1Q_mRNA UnprocessedmRNA
BINARY is C2orf28_mRNA Class
BINARY SubClassOf C2orf28_mRNA UnprocessedmRNA
BINARY is C3_mRNA Class
BINARY SubClassOf C3_mRNA UnprocessedmRNA
BINARY is C5B_mRNA Class
BINARY SubClassOf C5B_mRNA UnprocessedmRNA
BINARY is C6_mRNA Class
BINARY SubClassOf C6_mRNA UnprocessedmRNA
BINARY is C7_mRNA Class
BINARY SubClassOf C7_mRNA UnprocessedmRNA
BINARY is C8_mRNA Class
BINARY SubClassOf C8_mRNA UnprocessedmRNA
BINARY is CACNA1_mRNA Class
BINARY SubClassOf CACNA1_mRNA UnprocessedmRNA
BINARY is CALM_mRNA Class
BINARY SubClassOf CALM_mRNA UnprocessedmRNA
BINARY is CAMK2_mRNA Class
BINARY SubClassOf CAMK2_mRNA UnprocessedmRNA
BINARY is CAPN2_mRNA Class
BINARY SubClassOf CAPN2_mRNA UnprocessedmRNA
BINARY is CAPN_mRNA Class
BINARY SubClassOf CAPN_mRNA UnprocessedmRNA
BINARY is CASK_mRNA Class
BINARY SubClassOf CASK_mRNA UnprocessedmRNA
BINARY is CASP12_mRNA Class
BINARY SubClassOf CASP12_mRNA UnprocessedmRNA
BINARY is CASP1_mRNA Class
BINARY SubClassOf CASP1_mRNA UnprocessedmRNA
BINARY is CASP2_mRNA Class
BINARY SubClassOf CASP2_mRNA UnprocessedmRNA
BINARY is CASP3_mRNA Class
BINARY SubClassOf CASP3_mRNA UnprocessedmRNA
BINARY is CASP6_mRNA Class
BINARY SubClassOf CASP6_mRNA UnprocessedmRNA
BINARY is CASP7_mRNA Class
BINARY SubClassOf CASP7_mRNA UnprocessedmRNA
BINARY is CASP8_mRNA Class
BINARY SubClassOf CASP8_mRNA UnprocessedmRNA
BINARY is CASP9_mRNA Class
BINARY SubClassOf CASP9_mRNA UnprocessedmRNA
BINARY is CAT_mRNA Class
BINARY SubClassOf CAT_mRNA UnprocessedmRNA
BINARY is CAV1_mRNA Class
BINARY SubClassOf CAV1_mRNA UnprocessedmRNA
BINARY is CBS_mRNA Class
BINARY SubClassOf CBS_mRNA UnprocessedmRNA
BINARY is CCL2_mRNA Class
BINARY SubClassOf CCL2_mRNA UnprocessedmRNA
BINARY is CCNA_mRNA Class
BINARY SubClassOf CCNA_mRNA UnprocessedmRNA
BINARY is CCNB_mRNA Class
BINARY SubClassOf CCNB_mRNA UnprocessedmRNA
BINARY is CCND1_mRNA Class
BINARY SubClassOf CCND1_mRNA UnprocessedmRNA
BINARY is CCNE_mRNA Class
BINARY SubClassOf CCNE_mRNA UnprocessedmRNA
BINARY is CD93_mRNA Class
BINARY SubClassOf CD93_mRNA UnprocessedmRNA
BINARY is CDC42_mRNA Class
BINARY SubClassOf CDC42_mRNA UnprocessedmRNA
BINARY is CDK1_mRNA Class
BINARY SubClassOf CDK1_mRNA UnprocessedmRNA
BINARY is CDK4-6_mRNA Class
BINARY SubClassOf CDK4-6_mRNA UnprocessedmRNA
BINARY is CDK4_mRNA Class
BINARY SubClassOf CDK4_mRNA UnprocessedmRNA
BINARY is CDKN1A_mRNA Class
BINARY SubClassOf CDKN1A_mRNA UnprocessedmRNA
BINARY is CDKN2A_mRNA Class
BINARY SubClassOf CDKN2A_mRNA UnprocessedmRNA
BINARY is CDO_mRNA Class
BINARY SubClassOf CDO_mRNA UnprocessedmRNA
BINARY is CEX1_mRNA Class
BINARY SubClassOf CEX1_mRNA UnprocessedmRNA
BINARY is CHRFAM7A_mRNA Class
BINARY SubClassOf CHRFAM7A_mRNA UnprocessedmRNA
BINARY is CHRM1_mRNA Class
BINARY SubClassOf CHRM1_mRNA UnprocessedmRNA
BINARY is CHRM_mRNA Class
BINARY SubClassOf CHRM_mRNA UnprocessedmRNA
BINARY is CHRNA4_mRNA Class
BINARY SubClassOf CHRNA4_mRNA UnprocessedmRNA
BINARY is CHRNA_mRNA Class
BINARY SubClassOf CHRNA_mRNA UnprocessedmRNA
BINARY is CHRN_mRNA Class
BINARY SubClassOf CHRN_mRNA UnprocessedmRNA
BINARY is CIB1_mRNA Class
BINARY SubClassOf CIB1_mRNA UnprocessedmRNA
BINARY is CLU_mRNA Class
BINARY SubClassOf CLU_mRNA UnprocessedmRNA
BINARY is CN_mRNA Class
BINARY SubClassOf CN_mRNA UnprocessedmRNA
BINARY is COX2_mRNA Class
BINARY SubClassOf COX2_mRNA UnprocessedmRNA
BINARY is CREB_mRNA Class
BINARY SubClassOf CREB_mRNA UnprocessedmRNA
BINARY is CSAD_mRNA Class
BINARY SubClassOf CSAD_mRNA UnprocessedmRNA
BINARY is CSNK1A1_mRNA Class
BINARY SubClassOf CSNK1A1_mRNA UnprocessedmRNA
BINARY is CTH_mRNA Class
BINARY SubClassOf CTH_mRNA UnprocessedmRNA
BINARY is CTNNB1_mRNA Class
BINARY SubClassOf CTNNB1_mRNA UnprocessedmRNA
BINARY is CYC_mRNA Class
BINARY SubClassOf CYC_mRNA UnprocessedmRNA
BINARY is CYP19A1_mRNA Class
BINARY SubClassOf CYP19A1_mRNA UnprocessedmRNA
BINARY is CYP46A1_mRNA Class
BINARY SubClassOf CYP46A1_mRNA UnprocessedmRNA
BINARY is DAB1_mRNA Class
BINARY SubClassOf DAB1_mRNA UnprocessedmRNA
BINARY is DKK1_mRNA Class
BINARY SubClassOf DKK1_mRNA UnprocessedmRNA
BINARY is DMRT1_mRNA Class
BINARY SubClassOf DMRT1_mRNA UnprocessedmRNA
BINARY is DR6_mRNA Class
BINARY SubClassOf DR6_mRNA UnprocessedmRNA
BINARY is DVL_mRNA Class
BINARY SubClassOf DVL_mRNA UnprocessedmRNA
BINARY is Delta_mRNA Class
BINARY SubClassOf Delta_mRNA UnprocessedmRNA
BINARY is EDN1_mRNA Class
BINARY SubClassOf EDN1_mRNA UnprocessedmRNA
BINARY is EGFR_mRNA Class
BINARY SubClassOf EGFR_mRNA UnprocessedmRNA
BINARY is EGF_mRNA Class
BINARY SubClassOf EGF_mRNA UnprocessedmRNA
BINARY is EIF2AK3_mRNA Class
BINARY SubClassOf EIF2AK3_mRNA UnprocessedmRNA
BINARY is EIF2A_mRNA Class
BINARY SubClassOf EIF2A_mRNA UnprocessedmRNA
BINARY is EIF4EBP1_mRNA Class
BINARY SubClassOf EIF4EBP1_mRNA UnprocessedmRNA
BINARY is ENAH_mRNA Class
BINARY SubClassOf ENAH_mRNA UnprocessedmRNA
BINARY is ERN1_mRNA Class
BINARY SubClassOf ERN1_mRNA UnprocessedmRNA
BINARY is ESR1_mRNA Class
BINARY SubClassOf ESR1_mRNA UnprocessedmRNA
BINARY is Exendin4_mRNA Class
BINARY SubClassOf Exendin4_mRNA UnprocessedmRNA
BINARY is FADD_mRNA Class
BINARY SubClassOf FADD_mRNA UnprocessedmRNA
BINARY is FAS_mRNA Class
BINARY SubClassOf FAS_mRNA UnprocessedmRNA
BINARY is FDFT1_mRNA Class
BINARY SubClassOf FDFT1_mRNA UnprocessedmRNA
BINARY is FDPS_mRNA Class
BINARY SubClassOf FDPS_mRNA UnprocessedmRNA
BINARY is FKBP8_mRNA Class
BINARY SubClassOf FKBP8_mRNA UnprocessedmRNA
BINARY is FMR1_mRNA Class
BINARY SubClassOf FMR1_mRNA UnprocessedmRNA
BINARY is FNTA_mRNA Class
BINARY SubClassOf FNTA_mRNA UnprocessedmRNA
BINARY is FOXO1_mRNA Class
BINARY SubClassOf FOXO1_mRNA UnprocessedmRNA
BINARY is FPRL1_mRNA Class
BINARY SubClassOf FPRL1_mRNA UnprocessedmRNA
BINARY is FTH_mRNA Class
BINARY SubClassOf FTH_mRNA UnprocessedmRNA
BINARY is FYN_mRNA Class
BINARY SubClassOf FYN_mRNA UnprocessedmRNA
BINARY is GABARAPL2_mRNA Class
BINARY SubClassOf GABARAPL2_mRNA UnprocessedmRNA
BINARY is GABR_mRNA Class
BINARY SubClassOf GABR_mRNA UnprocessedmRNA
BINARY is GAPDH_mRNA Class
BINARY SubClassOf GAPDH_mRNA UnprocessedmRNA
BINARY is GAP_mRNA Class
BINARY SubClassOf GAP_mRNA UnprocessedmRNA
BINARY is GDF_mRNA Class
BINARY SubClassOf GDF_mRNA UnprocessedmRNA
BINARY is GDI_mRNA Class
BINARY SubClassOf GDI_mRNA UnprocessedmRNA
BINARY is GEF_mRNA Class
BINARY SubClassOf GEF_mRNA UnprocessedmRNA
BINARY is GFAT_mRNA Class
BINARY SubClassOf GFAT_mRNA UnprocessedmRNA
BINARY is GGPS1_mRNA Class
BINARY SubClassOf GGPS1_mRNA UnprocessedmRNA
BINARY is GGTI_mRNA Class
BINARY SubClassOf GGTI_mRNA UnprocessedmRNA
BINARY is GLP1_mRNA Class
BINARY SubClassOf GLP1_mRNA UnprocessedmRNA
BINARY is GLUT1_mRNA Class
BINARY SubClassOf GLUT1_mRNA UnprocessedmRNA
BINARY is GLUT3_mRNA Class
BINARY SubClassOf GLUT3_mRNA UnprocessedmRNA
BINARY is GLUT_mRNA Class
BINARY SubClassOf GLUT_mRNA UnprocessedmRNA
BINARY is GNAQ_mRNA Class
BINARY SubClassOf GNAQ_mRNA UnprocessedmRNA
BINARY is GNB2L1_mRNA Class
BINARY SubClassOf GNB2L1_mRNA UnprocessedmRNA
BINARY is GOT1_mRNA Class
BINARY SubClassOf GOT1_mRNA UnprocessedmRNA
BINARY is GOT2_mRNA Class
BINARY SubClassOf GOT2_mRNA UnprocessedmRNA
BINARY is GPCR_mRNA Class
BINARY SubClassOf GPCR_mRNA UnprocessedmRNA
BINARY is GPCRhomolog_mRNA Class
BINARY SubClassOf GPCRhomolog_mRNA UnprocessedmRNA
BINARY is GPX_mRNA Class
BINARY SubClassOf GPX_mRNA UnprocessedmRNA
BINARY is GRIA_mRNA Class
BINARY SubClassOf GRIA_mRNA UnprocessedmRNA
BINARY is GRI_mRNA Class
BINARY SubClassOf GRI_mRNA UnprocessedmRNA
BINARY is GRN_mRNA Class
BINARY SubClassOf GRN_mRNA UnprocessedmRNA
BINARY is GR_mRNA Class
BINARY SubClassOf GR_mRNA UnprocessedmRNA
BINARY is GSK3B_mRNA Class
BINARY SubClassOf GSK3B_mRNA UnprocessedmRNA
BINARY is GSK3Binhibitors_mRNA Class
BINARY SubClassOf GSK3Binhibitors_mRNA UnprocessedmRNA
BINARY is GSR_mRNA Class
BINARY SubClassOf GSR_mRNA UnprocessedmRNA
BINARY is GTPase_mRNA Class
BINARY SubClassOf GTPase_mRNA UnprocessedmRNA
BINARY is GUCY1_mRNA Class
BINARY SubClassOf GUCY1_mRNA UnprocessedmRNA
BINARY is GluR_mRNA Class
BINARY SubClassOf GluR_mRNA UnprocessedmRNA
BINARY is Glucosamine-6-phosphateAcetyltransferase_mRNA Class
BINARY SubClassOf Glucosamine-6-phosphateAcetyltransferase_mRNA UnprocessedmRNA
BINARY is GrowthFactor_mRNA Class
BINARY SubClassOf GrowthFactor_mRNA UnprocessedmRNA
BINARY is HAT1_mRNA Class
BINARY SubClassOf HAT1_mRNA UnprocessedmRNA
BINARY is HDAC_mRNA Class
BINARY SubClassOf HDAC_mRNA UnprocessedmRNA
BINARY is HIF_mRNA Class
BINARY SubClassOf HIF_mRNA UnprocessedmRNA
BINARY is HK_mRNA Class
BINARY SubClassOf HK_mRNA UnprocessedmRNA
BINARY is HMGB1_mRNA Class
BINARY SubClassOf HMGB1_mRNA UnprocessedmRNA
BINARY is HMGCRI_mRNA Class
BINARY SubClassOf HMGCRI_mRNA UnprocessedmRNA
BINARY is HMGCR_mRNA Class
BINARY SubClassOf HMGCR_mRNA UnprocessedmRNA
BINARY is HMGCS_mRNA Class
BINARY SubClassOf HMGCS_mRNA UnprocessedmRNA
BINARY is HRK_mRNA Class
BINARY SubClassOf HRK_mRNA UnprocessedmRNA
BINARY is HSD17B10_mRNA Class
BINARY SubClassOf HSD17B10_mRNA UnprocessedmRNA
BINARY is HSP60_mRNA Class
BINARY SubClassOf HSP60_mRNA UnprocessedmRNA
BINARY is HSPA5_mRNA Class
BINARY SubClassOf HSPA5_mRNA UnprocessedmRNA
BINARY is Hexokinase_mRNA Class
BINARY SubClassOf Hexokinase_mRNA UnprocessedmRNA
BINARY is ICAM1_mRNA Class
BINARY SubClassOf ICAM1_mRNA UnprocessedmRNA
BINARY is IDE_mRNA Class
BINARY SubClassOf IDE_mRNA UnprocessedmRNA
BINARY is IDI_mRNA Class
BINARY SubClassOf IDI_mRNA UnprocessedmRNA
BINARY is IFI44_mRNA Class
BINARY SubClassOf IFI44_mRNA UnprocessedmRNA
BINARY is IGF1R_mRNA Class
BINARY SubClassOf IGF1R_mRNA UnprocessedmRNA
BINARY is IGF1_mRNA Class
BINARY SubClassOf IGF1_mRNA UnprocessedmRNA
BINARY is IKBKB_mRNA Class
BINARY SubClassOf IKBKB_mRNA UnprocessedmRNA
BINARY is IKBK_mRNA Class
BINARY SubClassOf IKBK_mRNA UnprocessedmRNA
BINARY is IL1B_mRNA Class
BINARY SubClassOf IL1B_mRNA UnprocessedmRNA
BINARY is IL1_mRNA Class
BINARY SubClassOf IL1_mRNA UnprocessedmRNA
BINARY is IL4R_mRNA Class
BINARY SubClassOf IL4R_mRNA UnprocessedmRNA
BINARY is IL4_mRNA Class
BINARY SubClassOf IL4_mRNA UnprocessedmRNA
BINARY is IL6R_mRNA Class
BINARY SubClassOf IL6R_mRNA UnprocessedmRNA
BINARY is IL6_mRNA Class
BINARY SubClassOf IL6_mRNA UnprocessedmRNA
BINARY is INFG_mRNA Class
BINARY SubClassOf INFG_mRNA UnprocessedmRNA
BINARY is INPP5K_mRNA Class
BINARY SubClassOf INPP5K_mRNA UnprocessedmRNA
BINARY is INSR_mRNA Class
BINARY SubClassOf INSR_mRNA UnprocessedmRNA
BINARY is IPAF_mRNA Class
BINARY SubClassOf IPAF_mRNA UnprocessedmRNA
BINARY is IREB2_mRNA Class
BINARY SubClassOf IREB2_mRNA UnprocessedmRNA
BINARY is IRF_mRNA Class
BINARY SubClassOf IRF_mRNA UnprocessedmRNA
BINARY is IRS1_mRNA Class
BINARY SubClassOf IRS1_mRNA UnprocessedmRNA
BINARY is IRS2_mRNA Class
BINARY SubClassOf IRS2_mRNA UnprocessedmRNA
BINARY is IRS_mRNA Class
BINARY SubClassOf IRS_mRNA UnprocessedmRNA
BINARY is ITPR_mRNA Class
BINARY SubClassOf ITPR_mRNA UnprocessedmRNA
BINARY is Insulinreceptor_mRNA Class
BINARY SubClassOf Insulinreceptor_mRNA UnprocessedmRNA
BINARY is JAK2_mRNA Class
BINARY SubClassOf JAK2_mRNA UnprocessedmRNA
BINARY is JUN_mRNA Class
BINARY SubClassOf JUN_mRNA UnprocessedmRNA
BINARY is KAT5_mRNA Class
BINARY SubClassOf KAT5_mRNA UnprocessedmRNA
BINARY is KCNIP3_mRNA Class
BINARY SubClassOf KCNIP3_mRNA UnprocessedmRNA
BINARY is KCN_mRNA Class
BINARY SubClassOf KCN_mRNA UnprocessedmRNA
BINARY is KREMEN2_mRNA Class
BINARY SubClassOf KREMEN2_mRNA UnprocessedmRNA
BINARY is Kv3_4_mRNA Class
BINARY SubClassOf Kv3_4_mRNA UnprocessedmRNA
BINARY is LAG3_mRNA Class
BINARY SubClassOf LAG3_mRNA UnprocessedmRNA
BINARY is LCK_mRNA Class
BINARY SubClassOf LCK_mRNA UnprocessedmRNA
BINARY is LDLR_mRNA Class
BINARY SubClassOf LDLR_mRNA UnprocessedmRNA
BINARY is LGALS1_mRNA Class
BINARY SubClassOf LGALS1_mRNA UnprocessedmRNA
BINARY is LIN7_mRNA Class
BINARY SubClassOf LIN7_mRNA UnprocessedmRNA
BINARY is LIPC_mRNA Class
BINARY SubClassOf LIPC_mRNA UnprocessedmRNA
BINARY is LOX_mRNA Class
BINARY SubClassOf LOX_mRNA UnprocessedmRNA
BINARY is LPL_mRNA Class
BINARY SubClassOf LPL_mRNA UnprocessedmRNA
BINARY is LRP1_mRNA Class
BINARY SubClassOf LRP1_mRNA UnprocessedmRNA
BINARY is LRP5-6_mRNA Class
BINARY SubClassOf LRP5-6_mRNA UnprocessedmRNA
BINARY is LRP8_mRNA Class
BINARY SubClassOf LRP8_mRNA UnprocessedmRNA
BINARY is LRP_mRNA Class
BINARY SubClassOf LRP_mRNA UnprocessedmRNA
BINARY is MAP2K1_mRNA Class
BINARY SubClassOf MAP2K1_mRNA UnprocessedmRNA
BINARY is MAP2K3_mRNA Class
BINARY SubClassOf MAP2K3_mRNA UnprocessedmRNA
BINARY is MAP2K4_mRNA Class
BINARY SubClassOf MAP2K4_mRNA UnprocessedmRNA
BINARY is MAP2K6_mRNA Class
BINARY SubClassOf MAP2K6_mRNA UnprocessedmRNA
BINARY is MAP2K7_mRNA Class
BINARY SubClassOf MAP2K7_mRNA UnprocessedmRNA
BINARY is MAP2K_mRNA Class
BINARY SubClassOf MAP2K_mRNA UnprocessedmRNA
BINARY is MAP3K9-10-11_mRNA Class
BINARY SubClassOf MAP3K9-10-11_mRNA UnprocessedmRNA
BINARY is MAP3K_mRNA Class
BINARY SubClassOf MAP3K_mRNA UnprocessedmRNA
BINARY is MAPK1-3_mRNA Class
BINARY SubClassOf MAPK1-3_mRNA UnprocessedmRNA
BINARY is MAPK11_mRNA Class
BINARY SubClassOf MAPK11_mRNA UnprocessedmRNA
BINARY is MAPK12_mRNA Class
BINARY SubClassOf MAPK12_mRNA UnprocessedmRNA
BINARY is MAPK13_mRNA Class
BINARY SubClassOf MAPK13_mRNA UnprocessedmRNA
BINARY is MAPK14_mRNA Class
BINARY SubClassOf MAPK14_mRNA UnprocessedmRNA
BINARY is MAPK8IP1_mRNA Class
BINARY SubClassOf MAPK8IP1_mRNA UnprocessedmRNA
BINARY is MAPK8_mRNA Class
BINARY SubClassOf MAPK8_mRNA UnprocessedmRNA
BINARY is MAPT_mRNA Class
BINARY SubClassOf MAPT_mRNA UnprocessedmRNA
BINARY is MARCO_mRNA Class
BINARY SubClassOf MARCO_mRNA UnprocessedmRNA
BINARY is MAT1A_mRNA Class
BINARY SubClassOf MAT1A_mRNA UnprocessedmRNA
BINARY is MIF_mRNA Class
BINARY SubClassOf MIF_mRNA UnprocessedmRNA
BINARY is MME_mRNA Class
BINARY SubClassOf MME_mRNA UnprocessedmRNA
BINARY is MMP2_mRNA Class
BINARY SubClassOf MMP2_mRNA UnprocessedmRNA
BINARY is MMP3_mRNA Class
BINARY SubClassOf MMP3_mRNA UnprocessedmRNA
BINARY is MMP_mRNA Class
BINARY SubClassOf MMP_mRNA UnprocessedmRNA
BINARY is MPM-2_mRNA Class
BINARY SubClassOf MPM-2_mRNA UnprocessedmRNA
BINARY is MPST_mRNA Class
BINARY SubClassOf MPST_mRNA UnprocessedmRNA
BINARY is MSRA_mRNA Class
BINARY SubClassOf MSRA_mRNA UnprocessedmRNA
BINARY is MSRB2_mRNA Class
BINARY SubClassOf MSRB2_mRNA UnprocessedmRNA
BINARY is MT-ND_mRNA Class
BINARY SubClassOf MT-ND_mRNA UnprocessedmRNA
BINARY is MTHFR_mRNA Class
BINARY SubClassOf MTHFR_mRNA UnprocessedmRNA
BINARY is MTOR_mRNA Class
BINARY SubClassOf MTOR_mRNA UnprocessedmRNA
BINARY is MVD_mRNA Class
BINARY SubClassOf MVD_mRNA UnprocessedmRNA
BINARY is MVK_mRNA Class
BINARY SubClassOf MVK_mRNA UnprocessedmRNA
BINARY is MY_mRNA Class
BINARY SubClassOf MY_mRNA UnprocessedmRNA
BINARY is NALP1_mRNA Class
BINARY SubClassOf NALP1_mRNA UnprocessedmRNA
BINARY is NALP3_mRNA Class
BINARY SubClassOf NALP3_mRNA UnprocessedmRNA
BINARY is NALP_mRNA Class
BINARY SubClassOf NALP_mRNA UnprocessedmRNA
BINARY is NCOR2_mRNA Class
BINARY SubClassOf NCOR2_mRNA UnprocessedmRNA
BINARY is NEDD8_mRNA Class
BINARY SubClassOf NEDD8_mRNA UnprocessedmRNA
BINARY is NF1_mRNA Class
BINARY SubClassOf NF1_mRNA UnprocessedmRNA
BINARY is NFAT_mRNA Class
BINARY SubClassOf NFAT_mRNA UnprocessedmRNA
BINARY is NFKB1_mRNA Class
BINARY SubClassOf NFKB1_mRNA UnprocessedmRNA
BINARY is NFKBI_mRNA Class
BINARY SubClassOf NFKBI_mRNA UnprocessedmRNA
BINARY is NFKBResponsivegenes_mRNA Class
BINARY SubClassOf NFKBResponsivegenes_mRNA UnprocessedmRNA
BINARY is NFKB_mRNA Class
BINARY SubClassOf NFKB_mRNA UnprocessedmRNA
BINARY is NGFR_mRNA Class
BINARY SubClassOf NGFR_mRNA UnprocessedmRNA
BINARY is NLRs_mRNA Class
BINARY SubClassOf NLRs_mRNA UnprocessedmRNA
BINARY is NMDAR_mRNA Class
BINARY SubClassOf NMDAR_mRNA UnprocessedmRNA
BINARY is NOD1_mRNA Class
BINARY SubClassOf NOD1_mRNA UnprocessedmRNA
BINARY is NOD2_mRNA Class
BINARY SubClassOf NOD2_mRNA UnprocessedmRNA
BINARY is NOS_mRNA Class
BINARY SubClassOf NOS_mRNA UnprocessedmRNA
BINARY is NPC_mRNA Class
BINARY SubClassOf NPC_mRNA UnprocessedmRNA
BINARY is NR1-NR2BR_mRNA Class
BINARY SubClassOf NR1-NR2BR_mRNA UnprocessedmRNA
BINARY is NR1H_mRNA Class
BINARY SubClassOf NR1H_mRNA UnprocessedmRNA
BINARY is NTF3_mRNA Class
BINARY SubClassOf NTF3_mRNA UnprocessedmRNA
BINARY is NTF4_mRNA Class
BINARY SubClassOf NTF4_mRNA UnprocessedmRNA
BINARY is NTRK1_mRNA Class
BINARY SubClassOf NTRK1_mRNA UnprocessedmRNA
BINARY is NTRK2_mRNA Class
BINARY SubClassOf NTRK2_mRNA UnprocessedmRNA
BINARY is NTRK3_mRNA Class
BINARY SubClassOf NTRK3_mRNA UnprocessedmRNA
BINARY is NUDT6_mRNA Class
BINARY SubClassOf NUDT6_mRNA UnprocessedmRNA
BINARY is O-acetylhomoserineaminocarboxypropyltransferase_mRNA Class
BINARY SubClassOf O-acetylhomoserineaminocarboxypropyltransferase_mRNA UnprocessedmRNA
BINARY is OGT_mRNA Class
BINARY SubClassOf OGT_mRNA UnprocessedmRNA
BINARY is ORAI1_mRNA Class
