BINARY is OPB_00320 ObjectProperty
BINARY is OPB_00247 Class
BINARY is OPB_00283 Class
BINARY SubClassOf OPB_00283 OPB_00055
BINARY is OPB_00321 Class
BINARY is OPB_00331 Class
BINARY SubClassOf OPB_00331 OPB_00514,
BINARY SubClassOf OPB_00331 OPB_00320_exactly_1_OPB_00380
BINARY is OPB_00337 Class
BINARY SubClassOf OPB_00337 OPB_00514,
BINARY SubClassOf OPB_00337 OPB_00320_exactly_1_OPB_00473
BINARY is OPB_00376 Class
BINARY SubClassOf OPB_00376 OPB_00019
BINARY is OPB_00380 Class
BINARY SubClassOf OPB_00380 OPB_01113
BINARY is OPB_00410 Class
BINARY SubClassOf OPB_00410 OPB_01687
BINARY is OPB_00414 Class
BINARY SubClassOf OPB_00414 OPB_00132,
BINARY SubClassOf OPB_00414 OPB_00320_exactly_1_OPB_00195
BINARY is OPB_00421 Class
BINARY SubClassOf OPB_00421 OPB_00423,
BINARY SubClassOf OPB_00421 OPB_00320_exactly_1_OPB_00195
BINARY is OPB_00423 Class
BINARY SubClassOf OPB_00423 OPB_00546
BINARY is OPB_00434 Class
BINARY SubClassOf OPB_00434 OPB_01208
BINARY is OPB_00435 Class
BINARY is OPB_00446 Class
BINARY SubClassOf OPB_00446 OPB_00514,
BINARY SubClassOf OPB_00446 OPB_00320_exactly_1_OPB_00211
BINARY is OPB_00454 Class
BINARY SubClassOf OPB_00454 OPB_01190
BINARY is OPB_00473 Class
BINARY is OPB_00514 Class
BINARY SubClassOf OPB_00514 OPB_01027
BINARY is OPB_00532 Class
BINARY SubClassOf OPB_00532 OPB_01538,
BINARY SubClassOf OPB_00532 OPB_00320_exactly_1_OPB_00017
BINARY is OPB_00546 Class
BINARY SubClassOf OPB_00546 OPB_00055
BINARY is OPB_00556 Class
BINARY SubClassOf OPB_00556 OPB_00009
BINARY is OPB_01002 Class
BINARY SubClassOf OPB_01002 OPB_00132,
BINARY SubClassOf OPB_01002 OPB_00320_exactly_1_OPB_00195
BINARY is OPB_01011 Class
BINARY is OPB_01022 Class
BINARY SubClassOf OPB_01022 OPB_00423
BINARY DisjointWith OPB_01022 OPB_00017
BINARY is OPB_01027 Class
BINARY SubClassOf OPB_01027 OPB_00055
BINARY is OPB_01053 Class
BINARY SubClassOf OPB_01053 OPB_01198
BINARY is OPB_01093 Class
BINARY SubClassOf OPB_01093 OPB_01053
BINARY is OPB_01108 Class
BINARY SubClassOf OPB_01108 OPB_00055
BINARY is OPB_01110 Class
BINARY SubClassOf OPB_01110 OPB_00041
BINARY is OPB_01113 Class
BINARY is OPB_01125 Class
BINARY SubClassOf OPB_01125 OPB_01053
BINARY is OPB_01132 Class
BINARY SubClassOf OPB_01132 OPB_01538,
BINARY SubClassOf OPB_01132 OPB_00320_exactly_1_OPB_00473
BINARY is OPB_01143 Class
BINARY SubClassOf OPB_01143 OPB_00532
BINARY is OPB_01144 Class
BINARY SubClassOf OPB_01144 OPB_00532
BINARY is OPB_01174 Class
BINARY SubClassOf OPB_01174 OPB_00283
BINARY is OPB_01175 Class
BINARY SubClassOf OPB_01175 OPB_00283
BINARY is OPB_01189 Class
BINARY SubClassOf OPB_01189 OPB_01190
BINARY is OPB_01190 Class
BINARY SubClassOf OPB_01190 OPB_00423
BINARY is OPB_01198 Class
BINARY is OPB_01208 Class
BINARY SubClassOf OPB_01208 OPB_00055
BINARY is OPB_01230 Class
BINARY SubClassOf OPB_01230 OPB_01174
BINARY is OPB_01231 Class
BINARY SubClassOf OPB_01231 OPB_01174
BINARY is OPB_01289 Class
BINARY SubClassOf OPB_01289 OPB_01208
BINARY is OPB_01296 Class
BINARY SubClassOf OPB_01296 OPB_01289,
BINARY SubClassOf OPB_01296 OPB_00320_exactly_1_OPB_00435
BINARY is OPB_01301 Class
BINARY SubClassOf OPB_01301 OPB_00380
BINARY is OPB_01302 Class
BINARY SubClassOf OPB_01302 OPB_00380
BINARY is OPB_01306 Class
BINARY SubClassOf OPB_01306 OPB_01289,
BINARY SubClassOf OPB_01306 OPB_00320_exactly_1_OPB_00017
BINARY is OPB_01326 Class
BINARY SubClassOf OPB_01326 OPB_01328
BINARY is OPB_01327 Class
BINARY SubClassOf OPB_01327 OPB_01328
BINARY is OPB_01328 Class
BINARY SubClassOf OPB_01328 OPB_01449
BINARY is OPB_01338 Class
BINARY SubClassOf OPB_01338 OPB_00434
BINARY is OPB_01394 Class
BINARY is OPB_01436 Class
BINARY SubClassOf OPB_01436 OPB_00041
BINARY is OPB_01437 Class
BINARY SubClassOf OPB_01437 OPB_00221
BINARY is OPB_01449 Class
BINARY is OPB_01486 Class
BINARY SubClassOf OPB_01486 OPB_00132,
BINARY SubClassOf OPB_01486 OPB_00320_exactly_1_OPB_01011
BINARY is OPB_01502 Class
BINARY is OPB_01511 Class
BINARY is OPB_01538 Class
BINARY SubClassOf OPB_01538 OPB_00546
BINARY is OPB_01687 Class
BINARY SubClassOf OPB_01687 OPB_00423
BINARY is OPB_01695 Class
BINARY SubClassOf OPB_01695 OPB_01511
BINARY is OPB_01706 Class
BINARY SubClassOf OPB_01706 OPB_01687
BINARY is OPB_01707 Class
BINARY SubClassOf OPB_01707 OPB_01687
BINARY is OPB_01708 Class
BINARY SubClassOf OPB_01708 OPB_01687
BINARY is OPB_01709 Class
BINARY SubClassOf OPB_01709 OPB_01687
BINARY is www.w3.org/2002/07/# Class
