BINARY is www.genomic-cds.org/ont/genomic-cds.# ObjectProperty
BINARY SubClassOf C0006434 C0043251,
BINARY SubClassOf C0006434 C1456601
BINARY is C0006444 Class
BINARY SubClassOf C0006444 C1456595
BINARY is C0006644 Class
BINARY SubClassOf C0006644 C2362501
BINARY is C0006726 Class
BINARY SubClassOf C0006726 C1456595,
BINARY SubClassOf C0006726 C2362501
BINARY is C0006818 Class
BINARY SubClassOf C0006818 C3714514
BINARY is C0006826 Class
BINARY SubClassOf C0006826 C1456590
BINARY is C0007004 Class
BINARY SubClassOf C0007004 C2362501
BINARY is C0007020 Class
BINARY SubClassOf C0007020 C1456610
BINARY is C0007095 Class
BINARY SubClassOf C0007095 C0006826
BINARY is C0007114 Class
BINARY SubClassOf C0007114 C0006826,
BINARY SubClassOf C0007114 C1456601
BINARY is C0007203 Class
BINARY SubClassOf C0007203 C0043251,
BINARY SubClassOf C0007203 C2362499
BINARY is C0007273 Class
BINARY SubClassOf C0007273 C2362499
BINARY is C0007286 Class
BINARY SubClassOf C0007286 C1456595,
BINARY SubClassOf C0007286 C2362500
BINARY is C0007302 Class
BINARY SubClassOf C0007302 C1456595
BINARY is C0007361 Class
BINARY SubClassOf C0007361 C3714514
BINARY is C0007570 Class
BINARY SubClassOf C0007570 C0012240,
BINARY SubClassOf C0007570 C2362507
BINARY is C0007642 Class
BINARY SubClassOf C0007642 C1456601,
BINARY SubClassOf C0007642 C3714514
BINARY is C0007760 Class
BINARY SubClassOf C0007760 C2362500
BINARY is C0007787 Class
BINARY SubClassOf C0007787 C2362499,
BINARY SubClassOf C0007787 C2362500
BINARY is C0007789 Class
BINARY SubClassOf C0007789 C1456603,
BINARY SubClassOf C0007789 C2362500
BINARY is C0007867 Class
BINARY SubClassOf C0007867 C0700038
BINARY is C0007876 Class
BINARY SubClassOf C0007876 C0043210,
BINARY SubClassOf C0007876 C0700038,
BINARY SubClassOf C0007876 C1456602
BINARY is C0007959 Class
BINARY SubClassOf C0007959 C1456603,
BINARY SubClassOf C0007959 C2362500
BINARY is C0008031 Class
BINARY SubClassOf C0008031 C1457887,
BINARY SubClassOf C0008031 C2362499
BINARY is C0008049 Class
BINARY SubClassOf C0008049 C1456601,
BINARY SubClassOf C0008049 C2362498,
BINARY SubClassOf C0008049 C3714514
BINARY is C0008055 Class
BINARY SubClassOf C0008055 C3714514
BINARY is C0008060 Class
BINARY SubClassOf C0008060 C0043251,
BINARY SubClassOf C0008060 C1456611,
BINARY SubClassOf C0008060 C2362498
BINARY is C0008062 Class
BINARY SubClassOf C0008062 C2362498,
BINARY SubClassOf C0008062 C2362503
BINARY is C0008066 Class
BINARY SubClassOf C0008066 C1832070,
BINARY SubClassOf C0008066 C2362498
BINARY is C0008071 Class
BINARY SubClassOf C0008071 C2362498
BINARY is C0008073 Class
BINARY SubClassOf C0008073 C1832070,
BINARY SubClassOf C0008073 C2362498
BINARY is C0008078 Class
BINARY SubClassOf C0008078 C1257890,
BINARY SubClassOf C0008078 C2362498
BINARY is C0008138 Class
BINARY SubClassOf C0008138 C1456846
BINARY is C0008149 Class
BINARY SubClassOf C0008149 C0700038,
BINARY SubClassOf C0008149 C1963704,
BINARY SubClassOf C0008149 C2362503,
BINARY SubClassOf C0008149 C3714514
BINARY is C0008301 Class
BINARY SubClassOf C0008301 C0043251,
BINARY SubClassOf C0008301 C1456599,
BINARY SubClassOf C0008301 C1457887
BINARY is C0008354 Class
BINARY SubClassOf C0008354 C3714514
BINARY is C0008377 Class
BINARY SubClassOf C0008377 C2362499,
BINARY SubClassOf C0008377 C2362501
BINARY is C0008677 Class
BINARY SubClassOf C0008677 C1456599,
BINARY SubClassOf C0008677 C3714514
BINARY is C0008819 Class
BINARY SubClassOf C0008819 C0025266,
BINARY SubClassOf C0008819 C1963704,
BINARY SubClassOf C0008819 C2362498
BINARY is C0008976 Class
BINARY SubClassOf C0008976 C2362508
BINARY is C0009015 Class
BINARY SubClassOf C0009015 C1456603
BINARY is C0009170 Class
BINARY SubClassOf C0009170 C0740858
BINARY is C0009186 Class
BINARY SubClassOf C0009186 C3714514
BINARY is C0009324 Class
BINARY SubClassOf C0009324 C0012240
BINARY is C0009373 Class
BINARY SubClassOf C0009373 C0012240
BINARY is C0009376 Class
BINARY SubClassOf C0009376 C0006826,
BINARY SubClassOf C0009376 C0012240
BINARY is C0009378 Class
BINARY SubClassOf C0009378 C0012240,
BINARY SubClassOf C0009378 C0086143
BINARY is C0009402 Class
BINARY SubClassOf C0009402 C0006826,
BINARY SubClassOf C0009402 C0012240
BINARY is C0009421 Class
BINARY SubClassOf C0009421 C2362500
BINARY is C0009443 Class
BINARY SubClassOf C0009443 C0150934,
BINARY SubClassOf C0009443 C3714514
BINARY is C0009450 Class
BINARY SubClassOf C0009450 C0020962,
BINARY SubClassOf C0009450 C3714514
BINARY is C0009555 Class
BINARY SubClassOf C0009555 C2362499
BINARY is C0009663 Class
BINARY SubClassOf C0009663 C0700038,
BINARY SubClassOf C0009663 C1963704,
BINARY SubClassOf C0009663 C2362503,
BINARY SubClassOf C0009663 C3714514
BINARY is C0009763 Class
BINARY SubClassOf C0009763 C0150933,
BINARY SubClassOf C0009763 C3714514
BINARY is C0009782 Class
BINARY SubClassOf C0009782 C1456595
BINARY is C0009806 Class
BINARY SubClassOf C0009806 C0012240,
BINARY SubClassOf C0009806 C1457887
BINARY is C0009938 Class
BINARY SubClassOf C0009938 C0043251,
BINARY SubClassOf C0009938 C1456601,
BINARY SubClassOf C0009938 C1457887
BINARY is C0010034 Class
BINARY SubClassOf C0010034 C0150933
BINARY is C0010055 Class
BINARY SubClassOf C0010055 C2362499,
BINARY SubClassOf C0010055 C2362504
BINARY is C0010164 Class
BINARY SubClassOf C0010164 C1456601
BINARY is C0010200 Class
BINARY SubClassOf C0010200 C0150934,
BINARY SubClassOf C0010200 C1456599,
BINARY SubClassOf C0010200 C1457887
BINARY is C0010337 Class
BINARY SubClassOf C0010337 C2362504
BINARY is C0010346 Class
BINARY SubClassOf C0010346 C0012240
BINARY is C0010380 Class
BINARY SubClassOf C0010380 C1456599,
BINARY SubClassOf C0010380 C2362498
BINARY is C0010418 Class
BINARY SubClassOf C0010418 C0020962,
BINARY SubClassOf C0010418 C3714514
BINARY is C0010481 Class
BINARY SubClassOf C0010481 C0014136
BINARY is C0010674 Class
BINARY SubClassOf C0010674 C1456599,
BINARY SubClassOf C0010674 C1456603
BINARY is C0010823 Class
BINARY SubClassOf C0010823 C3714514
BINARY is C0011135 Class
BINARY SubClassOf C0011135 C0012240
BINARY is C0011168 Class
BINARY SubClassOf C0011168 C0012240
BINARY is C0011175 Class
BINARY SubClassOf C0011175 C1457887,
BINARY SubClassOf C0011175 C2362507
BINARY is C0011206 Class
BINARY SubClassOf C0011206 C1832070,
BINARY SubClassOf C0011206 C2362500
BINARY is C0011311 Class
BINARY SubClassOf C0011311 C3714514
BINARY is C0011334 Class
BINARY SubClassOf C0011334 C1456600
BINARY is C0011394 Class
BINARY SubClassOf C0011394 C1456600
BINARY is C0011570 Class
BINARY SubClassOf C0011570 C1832070
BINARY is C0011644 Class
BINARY SubClassOf C0011644 C0020962,
BINARY SubClassOf C0011644 C1456601
BINARY is C0011848 Class
BINARY SubClassOf C0011848 C0014136,
BINARY SubClassOf C0011848 C1456596,
BINARY SubClassOf C0011848 C2362507
BINARY is C0011849 Class
BINARY SubClassOf C0011849 C0001792,
BINARY SubClassOf C0011849 C0011849,
BINARY SubClassOf C0011849 C0014136,
BINARY SubClassOf C0011849 C1456590,
BINARY SubClassOf C0011849 C2362507,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0011854 Class
BINARY SubClassOf C0011854 C0011849,
BINARY SubClassOf C0011854 C0014136,
BINARY SubClassOf C0011854 C0020962,
BINARY SubClassOf C0011854 C2362498
BINARY is C0011860 Class
BINARY SubClassOf C0011860 C0011849,
BINARY SubClassOf C0011860 C0014136,
BINARY SubClassOf C0011860 C2362498
BINARY is C0011878 Class
BINARY SubClassOf C0011878 C0011849,
BINARY SubClassOf C0011878 C0014136,
BINARY SubClassOf C0011878 C2362501
BINARY is C0011881 Class
BINARY SubClassOf C0011881 C0011849,
BINARY SubClassOf C0011881 C0014136,
BINARY SubClassOf C0011881 C1456596
BINARY is C0011892 Class
BINARY SubClassOf C0011892 C0740858
BINARY is C0011923 Class
BINARY SubClassOf C0011923 C0086143
BINARY is C0011991 Class
BINARY SubClassOf C0011991 C0012240,
BINARY SubClassOf C0011991 C1457887
BINARY is C0012155 Class
BINARY SubClassOf C0012155 C1456609,
BINARY SubClassOf C0012155 C2362501
BINARY is C0012171 Class
BINARY SubClassOf C0012171 C2362501
BINARY is C0012173 Class
BINARY SubClassOf C0012173 C2362501
BINARY is C0012177 Class
BINARY SubClassOf C0012177 C2362501
BINARY is C0012240 Class
BINARY SubClassOf C0012240 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0012242 Class
BINARY SubClassOf C0012242 C0012240
BINARY is C0012546 Class
BINARY SubClassOf C0012546 C0150934,
BINARY SubClassOf C0012546 C3714514
BINARY is C0012618 Class
BINARY SubClassOf C0012618 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0012691 Class
BINARY SubClassOf C0012691 C0043251,
BINARY SubClassOf C0012691 C1456595
BINARY is C0013080 Class
BINARY SubClassOf C0013080 C1456603
BINARY is C0013142 Class
BINARY SubClassOf C0013142 C0043251
BINARY is C0013216 Class
BINARY SubClassOf C0013216 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0013227 Class
BINARY SubClassOf C0013227 C0013216
BINARY is C0013231 Class
BINARY SubClassOf C0013231 C0013216
BINARY is C0013336 Class
BINARY SubClassOf C0013336 C0014136,
BINARY SubClassOf C0013336 C1456595,
BINARY SubClassOf C0013336 C1456603
BINARY is C0013390 Class
BINARY SubClassOf C0013390 C0043210,
BINARY SubClassOf C0013390 C0700038
BINARY is C0013395 Class
BINARY SubClassOf C0013395 C0012240,
BINARY SubClassOf C0013395 C1457887
BINARY is C0013447 Class
BINARY SubClassOf C0013447 C0150934
BINARY is C0013463 Class
BINARY SubClassOf C0013463 C0012618
BINARY is C0013473 Class
BINARY SubClassOf C0013473 C1832070,
BINARY SubClassOf C0013473 C2362501
BINARY is C0013595 Class
BINARY SubClassOf C0013595 C1456601
BINARY is C0013604 Class
BINARY SubClassOf C0013604 C1457887,
BINARY SubClassOf C0013604 C2362499
BINARY is C0013720 Class
BINARY SubClassOf C0013720 C1456595,
BINARY SubClassOf C0013720 C1456603
BINARY is C0013772 Class
BINARY SubClassOf C0013772 C0001792,
BINARY SubClassOf C0013772 C0043251,
BINARY SubClassOf C0013772 C1456611
BINARY is C0013835 Class
BINARY SubClassOf C0013835 C1456610
BINARY is C0013961 Class
BINARY SubClassOf C0013961 C1456613
BINARY is C0014038 Class
BINARY SubClassOf C0014038 C2362500
BINARY is C0014118 Class
BINARY SubClassOf C0014118 C2362499
BINARY is C0014130 Class
BINARY SubClassOf C0014130 C0014136
BINARY is C0014136 Class
BINARY SubClassOf C0014136 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0014175 Class
BINARY SubClassOf C0014175 C0043210,
BINARY SubClassOf C0014175 C0700038
BINARY is C0014245 Class
BINARY SubClassOf C0014245 C0086143,
BINARY SubClassOf C0014245 C2362504
BINARY is C0014413 Class
BINARY SubClassOf C0014413 C1456610
BINARY is C0014544 Class
BINARY SubClassOf C0014544 C2362500
BINARY is C0014836 Class
BINARY SubClassOf C0014836 C3714514
BINARY is C0014852 Class
BINARY SubClassOf C0014852 C0012240,
BINARY SubClassOf C0014852 C0150934
BINARY is C0015004 Class
BINARY SubClassOf C0015004 C1456611,
BINARY SubClassOf C0015004 C1456613,
BINARY SubClassOf C0015004 C2362508
BINARY is C0015333 Class
BINARY SubClassOf C0015333 C0043251,
BINARY SubClassOf C0015333 C1456610
BINARY is C0015397 Class
BINARY SubClassOf C0015397 C0150933
BINARY is C0015403 Class
BINARY SubClassOf C0015403 C0150933
BINARY is C0015408 Class
BINARY SubClassOf C0015408 C0043251,
BINARY SubClassOf C0015408 C0150933
BINARY is C0015423 Class
BINARY SubClassOf C0015423 C0150933
BINARY is C0015672 Class
BINARY SubClassOf C0015672 C1457887
BINARY is C0015674 Class
BINARY SubClassOf C0015674 C1456595,
BINARY SubClassOf C0015674 C3714514
BINARY is C0015732 Class
BINARY SubClassOf C0015732 C0012240
BINARY is C0015923 Class
BINARY SubClassOf C0015923 C0740858,
BINARY SubClassOf C0015923 C1456602,
BINARY SubClassOf C0015923 C1456603
BINARY is C0015967 Class
BINARY SubClassOf C0015967 C1457887,
BINARY SubClassOf C0015967 C3714514
BINARY is C0016053 Class
BINARY SubClassOf C0016053 C1456595
BINARY is C0016124 Class
BINARY SubClassOf C0016124 C0043251,
BINARY SubClassOf C0016124 C1456595
BINARY is C0016143 Class
BINARY SubClassOf C0016143 C0043251,
BINARY SubClassOf C0016143 C2362502
BINARY is C0016169 Class
BINARY SubClassOf C0016169 C0012240,
BINARY SubClassOf C0016169 C1456599
BINARY is C0016248 Class
BINARY SubClassOf C0016248 C0012618
BINARY is C0016410 Class
BINARY SubClassOf C0016410 C2362501
BINARY is C0016470 Class
BINARY SubClassOf C0016470 C0020962,
BINARY SubClassOf C0016470 C2362501
BINARY is C0016475 Class
BINARY SubClassOf C0016475 C2362501
BINARY is C0016542 Class
BINARY SubClassOf C0016542 C0043251
BINARY is C0016627 Class
BINARY SubClassOf C0016627 C1456599,
BINARY SubClassOf C0016627 C3714514
BINARY is C0016658 Class
BINARY SubClassOf C0016658 C0043251,
BINARY SubClassOf C0016658 C1456595
BINARY is C0016667 Class
BINARY SubClassOf C0016667 C1456603
BINARY is C0016719 Class
BINARY SubClassOf C0016719 C1456603,
BINARY SubClassOf C0016719 C2362500
BINARY is C0016736 Class
BINARY SubClassOf C0016736 C0043251,
BINARY SubClassOf C0016736 C1457887
BINARY is C0016977 Class
BINARY SubClassOf C0016977 C0012240
BINARY is C0017086 Class
BINARY SubClassOf C0017086 C2362499
BINARY is C0017160 Class
BINARY SubClassOf C0017160 C0012240,
BINARY SubClassOf C0017160 C3714514
BINARY is C0017168 Class
BINARY SubClassOf C0017168 C0012240
BINARY is C0017181 Class
BINARY SubClassOf C0017181 C0012240,
BINARY SubClassOf C0017181 C1457887
BINARY is C0017205 Class
BINARY SubClassOf C0017205 C1456603,
BINARY SubClassOf C0017205 C2362507
BINARY is C0017382 Class
BINARY SubClassOf C0017382 C1456602,
BINARY SubClassOf C0017382 C1456603
BINARY is C0017536 Class
BINARY SubClassOf C0017536 C3714514
BINARY is C0017563 Class
BINARY SubClassOf C0017563 C1456600
BINARY is C0017601 Class
BINARY SubClassOf C0017601 C0001792,
BINARY SubClassOf C0017601 C0150933
BINARY is C0018081 Class
BINARY SubClassOf C0018081 C0700038,
BINARY SubClassOf C0018081 C1963704,
BINARY SubClassOf C0018081 C2362503,
BINARY SubClassOf C0018081 C3714514
BINARY is C0018099 Class
BINARY SubClassOf C0018099 C1456595
BINARY is C0018273 Class
BINARY SubClassOf C0018273 C0014136,
BINARY SubClassOf C0018273 C2362498
BINARY is C0018378 Class
BINARY SubClassOf C0018378 C2362500
BINARY is C0018482 Class
BINARY SubClassOf C0018482 C3714514
BINARY is C0018500 Class
BINARY SubClassOf C0018500 C1456601
BINARY is C0018520 Class
BINARY SubClassOf C0018520 C1456600,
BINARY SubClassOf C0018520 C1457887
BINARY is C0018621 Class
BINARY SubClassOf C0018621 C0020962,
BINARY SubClassOf C0018621 C0150934
BINARY is C0018674 Class
BINARY SubClassOf C0018674 C0043251
BINARY is C0018681 Class
BINARY SubClassOf C0018681 C1457887,
BINARY SubClassOf C0018681 C2362500
BINARY is C0018704 Class
BINARY SubClassOf C0018704 C1456613
BINARY is C0018717 Class
BINARY SubClassOf C0018717 C0001792,
BINARY SubClassOf C0018717 C1456613
BINARY is C0018722 Class
BINARY SubClassOf C0018722 C1456613
BINARY is C0018739 Class
BINARY SubClassOf C0018739 C1456611,
BINARY SubClassOf C0018739 C1456613,
BINARY SubClassOf C0018739 C2362508
BINARY is C0018768 Class
BINARY SubClassOf C0018768 C0150934
BINARY is C0018798 Class
BINARY SubClassOf C0018798 C1456603,
BINARY SubClassOf C0018798 C2362499
BINARY is C0018799 Class
BINARY SubClassOf C0018799 C0001792,
BINARY SubClassOf C0018799 C2362499
BINARY is C0018801 Class
BINARY SubClassOf C0018801 C0001792,
BINARY SubClassOf C0018801 C2362499
BINARY is C0018821 Class
BINARY SubClassOf C0018821 C2362499,
BINARY SubClassOf C0018821 C2362504
BINARY is C0018823 Class
BINARY SubClassOf C0018823 C2362499,
BINARY SubClassOf C0018823 C2362505
BINARY is C0018824 Class
BINARY SubClassOf C0018824 C2362499
BINARY is C0018834 Class
BINARY SubClassOf C0018834 C0012240,
BINARY SubClassOf C0018834 C1457887
BINARY is C0018939 Class
BINARY SubClassOf C0018939 C2362499
BINARY is C0018995 Class
BINARY SubClassOf C0018995 C0012240,
BINARY SubClassOf C0018995 C1456603,
BINARY SubClassOf C0018995 C2362507
BINARY is C0019080 Class
BINARY SubClassOf C0019080 C0043251,
BINARY SubClassOf C0019080 C1457887,
BINARY SubClassOf C0019080 C2362499
BINARY is C0019104 Class
BINARY SubClassOf C0019104 C3714514
BINARY is C0019112 Class
BINARY SubClassOf C0019112 C0012240
BINARY is C0019158 Class
BINARY SubClassOf C0019158 C0012240,
BINARY SubClassOf C0019158 C3714514
BINARY is C0019159 Class
BINARY SubClassOf C0019159 C0012240,
BINARY SubClassOf C0019159 C3714514
BINARY is C0019163 Class
BINARY SubClassOf C0019163 C0012240,
BINARY SubClassOf C0019163 C3714514
BINARY is C0019196 Class
BINARY SubClassOf C0019196 C0012240,
BINARY SubClassOf C0019196 C3714514
BINARY is C0019202 Class
BINARY SubClassOf C0019202 C0012240,
BINARY SubClassOf C0019202 C1456603,
BINARY SubClassOf C0019202 C2362500,
BINARY SubClassOf C0019202 C2362507
BINARY is C0019247 Class
BINARY SubClassOf C0019247 C1456603
BINARY is C0019270 Class
BINARY SubClassOf C0019270 C0012240
BINARY is C0019342 Class
BINARY SubClassOf C0019342 C0700038,
BINARY SubClassOf C0019342 C1963704,
BINARY SubClassOf C0019342 C2362503,
BINARY SubClassOf C0019342 C3714514
BINARY is C0019345 Class
BINARY SubClassOf C0019345 C1456600,
BINARY SubClassOf C0019345 C3714514
BINARY is C0019348 Class
BINARY SubClassOf C0019348 C0700038,
BINARY SubClassOf C0019348 C1456600,
BINARY SubClassOf C0019348 C1963704,
BINARY SubClassOf C0019348 C2362503,
BINARY SubClassOf C0019348 C3714514
BINARY is C0019360 Class
BINARY SubClassOf C0019360 C0001792,
BINARY SubClassOf C0019360 C1456601,
BINARY SubClassOf C0019360 C2362500,
BINARY SubClassOf C0019360 C3714514
BINARY is C0019521 Class
BINARY SubClassOf C0019521 C0012240
BINARY is C0019562 Class
BINARY SubClassOf C0019562 C1456603
BINARY is C0019590 Class
BINARY is C0019655 Class
BINARY SubClassOf C0019655 C3714514
BINARY is C0019682 Class
BINARY SubClassOf C0019682 C0020962,
BINARY SubClassOf C0019682 C3714514
BINARY is C0019829 Class
BINARY SubClassOf C0019829 C0006826,
BINARY SubClassOf C0019829 C0020962
BINARY is C0019855 Class
BINARY SubClassOf C0019855 C0001792,
BINARY SubClassOf C0019855 C1456613
BINARY is C0019932 Class
BINARY SubClassOf C0019932 C0014136
BINARY is C0020050 Class
BINARY SubClassOf C0020050 C1456610,
BINARY SubClassOf C0020050 C2362502
BINARY is C0020179 Class
BINARY SubClassOf C0020179 C1456603,
BINARY SubClassOf C0020179 C2362500
BINARY is C0020183 Class
BINARY SubClassOf C0020183 C0012618
BINARY is C0020255 Class
BINARY SubClassOf C0020255 C1456603,
BINARY SubClassOf C0020255 C2362500
BINARY is C0020456 Class
BINARY SubClassOf C0020456 C0011849,
BINARY SubClassOf C0020456 C0014136,
BINARY SubClassOf C0020456 C2362507
BINARY is C0020517 Class
BINARY SubClassOf C0020517 C0020962,
