BINARY is MFOEM_000008 ObjectProperty
BINARY SubClassOf MFOEM_000076 MFOEM_000075
BINARY is MFOEM_000077 Class
BINARY SubClassOf MFOEM_000077 MFOEM_000075
BINARY is MFOEM_000078 Class
BINARY SubClassOf MFOEM_000078 MFOEM_000075
BINARY is MFOEM_000081 Class
BINARY SubClassOf MFOEM_000081 MFOEM_000075
BINARY is MFOEM_000082 Class
BINARY SubClassOf MFOEM_000082 MFOEM_000005
BINARY is MFOEM_000083 Class
BINARY SubClassOf MFOEM_000083 MFOEM_000082
BINARY is MFOEM_000084 Class
BINARY SubClassOf MFOEM_000084 MFOEM_000082
BINARY is MFOEM_000085 Class
BINARY SubClassOf MFOEM_000085 MFOEM_000005
BINARY is MFOEM_000086 Class
BINARY SubClassOf MFOEM_000086 MFOEM_000085
BINARY DisjointWith MFOEM_000086 MFOEM_000002
BINARY is MFOEM_000087 Class
BINARY SubClassOf MFOEM_000087 MFOEM_000085
BINARY is MFOEM_000088 Class
BINARY SubClassOf MFOEM_000088 MFOEM_000005
BINARY is MFOEM_000089 Class
BINARY SubClassOf MFOEM_000089 MFOEM_000088
BINARY is MFOEM_000090 Class
BINARY SubClassOf MFOEM_000090 MFOEM_000088
BINARY is MFOEM_000091 Class
BINARY SubClassOf MFOEM_000091 MFOEM_000005
BINARY is MFOEM_000092 Class
BINARY SubClassOf MFOEM_000092 MFOEM_000091
BINARY is MFOEM_000093 Class
BINARY SubClassOf MFOEM_000093 MFOEM_000091
BINARY is MFOEM_000094 Class
BINARY SubClassOf MFOEM_000094 MFOEM_000005
BINARY is MFOEM_000095 Class
BINARY SubClassOf MFOEM_000095 MFOEM_000094
BINARY is MFOEM_000096 Class
BINARY SubClassOf MFOEM_000096 MFOEM_000094
BINARY is MFOEM_000097 Class
BINARY SubClassOf MFOEM_000097 MFOEM_000005
BINARY is MFOEM_000098 Class
BINARY SubClassOf MFOEM_000098 MFOEM_000097
BINARY is MFOEM_000099 Class
BINARY SubClassOf MFOEM_000099 MFOEM_000097
BINARY is MFOEM_000100 Class
BINARY SubClassOf MFOEM_000100 MFOEM_000005
BINARY is MFOEM_000101 Class
BINARY SubClassOf MFOEM_000101 MFOEM_000100
BINARY is MFOEM_000102 Class
BINARY SubClassOf MFOEM_000102 MFOEM_000100
BINARY is MFOEM_000103 Class
BINARY SubClassOf MFOEM_000103 MFOEM_000005
BINARY is MFOEM_000104 Class
BINARY SubClassOf MFOEM_000104 MFOEM_000103
BINARY is MFOEM_000105 Class
BINARY SubClassOf MFOEM_000105 MFOEM_000103
BINARY is MFOEM_000106 Class
BINARY SubClassOf MFOEM_000106 MFOEM_000005
BINARY is MFOEM_000191 Class
BINARY SubClassOf MFOEM_000191 MFOEM_000005
BINARY is MFOEM_000192 Class
BINARY SubClassOf MFOEM_000192 MFOEM_000005
BINARY is MF_0000030 Class
BINARY SubClassOf MF_0000030 BFO_0000020
BINARY is MF_0000031 Class
BINARY SubClassOf MF_0000031 MF_0000030
BINARY is MF_0000039 Class
BINARY SubClassOf MF_0000039 MF_0000031
BINARY is www.w3.org/2002/07/# Class
