BINARY is hadUsage ObjectProperty
BINARY is AttentionDeficitHyperactivityDisorderSelf-reportScale Class
BINARY SubClassOf AttentionDeficitHyperactivityDisorderSelf-reportScale MentalStateAssessmentScale
BINARY is AuditoryHallucinationsSubscaleofPsychoticSymptomsRatingScale Class
BINARY SubClassOf AuditoryHallucinationsSubscaleofPsychoticSymptomsRatingScale PsychopathologyScale
BINARY is AwarenessofSocialInferenceTestRevised Class
BINARY SubClassOf AwarenessofSocialInferenceTestRevised SocialFunctionRatingScale
BINARY is BarnesAkathisiaRatingScale Class
BINARY SubClassOf BarnesAkathisiaRatingScale ExtrapyramidalSymptomRating
BINARY is BarrattImpulsivenessQuestionnaire Class
BINARY SubClassOf BarrattImpulsivenessQuestionnaire ImpulsivityScale
BINARY is BeckAnxietyInventory Class
BINARY SubClassOf BeckAnxietyInventory AnxietyRatingScale
BINARY is BeckCognitiveInsightScale Class
BINARY SubClassOf BeckCognitiveInsightScale MentalStateAssessmentScale
BINARY is BeckDepressionInventory Class
BINARY SubClassOf BeckDepressionInventory DepressionRatingScale
BINARY is BehavioralActivationScale Class
BINARY SubClassOf BehavioralActivationScale PersonalityRatingScale
BINARY is BehavioralInhibition Class
BINARY SubClassOf BehavioralInhibition PersonalityRatingScale
BINARY is BeliefsAboutVoicesQuestionnaire Class
BINARY SubClassOf BeliefsAboutVoicesQuestionnaire PsychopathologyScale
BINARY is BiphasicAlcoholEffectsScale Class
BINARY SubClassOf BiphasicAlcoholEffectsScale AlcoholUseScale
BINARY is BirchwoodSocialFunctioningScale Class
BINARY SubClassOf BirchwoodSocialFunctioningScale SocialFunctionRatingScale
BINARY is BreathalyzerTest Class
BINARY SubClassOf BreathalyzerTest AlcoholUseScale
BINARY is BriefAssessmentofCognitioninSchizophrenia Class
BINARY SubClassOf BriefAssessmentofCognitioninSchizophrenia PsychopathologyScale
BINARY is BriefNegativeSymptomScale Class
BINARY SubClassOf BriefNegativeSymptomScale PsychopathologyScale
BINARY is BriefPsychiatricRatingScale Class
BINARY SubClassOf BriefPsychiatricRatingScale PsychopathologyScale
BINARY is BriefSymptomInventory Class
BINARY SubClassOf BriefSymptomInventory MentalStateAssessmentScale
BINARY is BriefVisuospatialMemoryTest-Revised Class
BINARY SubClassOf BriefVisuospatialMemoryTest-Revised NeurocognitiveTest
BINARY is Bush-FrancisCatatoniaRatingScale Class
BINARY SubClassOf Bush-FrancisCatatoniaRatingScale PsychopathologyScale
BINARY is CAARMSPsychosisThresholdCriteria Class
BINARY SubClassOf CAARMSPsychosisThresholdCriteria PsychopathologyScale
BINARY is COPEScale Class
BINARY SubClassOf COPEScale MentalStateAssessmentScale
BINARY is CalgaryDepressionScale Class
BINARY SubClassOf CalgaryDepressionScale DepressionRatingScale
BINARY is CaliforniaVerbalLearningTest-II Class
BINARY SubClassOf CaliforniaVerbalLearningTest-II NeurocognitiveTest
BINARY is CambridgeNeuropsychologicalTestAutomatedBattery Class
BINARY SubClassOf CambridgeNeuropsychologicalTestAutomatedBattery NeurocognitiveTest
BINARY is CannabisWithdrawalScale Class
BINARY SubClassOf CannabisWithdrawalScale SubstanceCravingScale
BINARY is CategoryFluency Class
BINARY SubClassOf CategoryFluency NeurocognitiveTest
BINARY is ChapmanPsychosisProneness Class
BINARY SubClassOf ChapmanPsychosisProneness PsychopathologyScale
BINARY is ChildhoodExperienceofCareandAbuseQuestionnaire Class
BINARY SubClassOf ChildhoodExperienceofCareandAbuseQuestionnaire LifeHistoryScale
BINARY is ChildhoodTraumaQuestionnaire Class
BINARY SubClassOf ChildhoodTraumaQuestionnaire LifeHistoryScale
BINARY is ChildrensMemoryScale Class
BINARY SubClassOf ChildrensMemoryScale NeurocognitiveTest
BINARY is ClinicalDecisionSupportforSubstanceAbuse Class
BINARY SubClassOf ClinicalDecisionSupportforSubstanceAbuse SubstanceUseScale
BINARY is ClinicalGlobalImpressionsScale Class
BINARY SubClassOf ClinicalGlobalImpressionsScale TreatmentResponseProgressScale
BINARY is CocaineCravingQuestionnaire_BriefVersion Class
BINARY SubClassOf CocaineCravingQuestionnaire_BriefVersion SubstanceCravingScale
BINARY is CocaineSelectiveSeverityAssessmentScale Class
BINARY SubClassOf CocaineSelectiveSeverityAssessmentScale SubstanceUseScale
BINARY is ComprehensiveAssessmentofAt-RiskMentalStates Class
BINARY SubClassOf ComprehensiveAssessmentofAt-RiskMentalStates PsychopathologyScale
BINARY is ComprehensiveAssessmentofSymptomsandHistory Class
BINARY SubClassOf ComprehensiveAssessmentofSymptomsandHistory PsychopathologyScale
BINARY is CumulativeIllnessRatingScale Class
BINARY SubClassOf CumulativeIllnessRatingScale LifeHistoryScale
BINARY is CustomaryDrinkingandDrugUseRecord Class
BINARY SubClassOf CustomaryDrinkingandDrugUseRecord SubstanceUseScale
BINARY is Depression Class
BINARY is DepressionRatingScale Class
BINARY SubClassOf DepressionRatingScale MentalStateAssessmentScale,
BINARY SubClassOf DepressionRatingScale hadUsage_some_Depression
BINARY is DiagnosticInterviewforGeneticStudies Class
BINARY SubClassOf DiagnosticInterviewforGeneticStudies PsychopathologyScale
BINARY is DrinkingandDrugHistoryQuestionnaire Class
BINARY SubClassOf DrinkingandDrugHistoryQuestionnaire SubstanceUseScale
BINARY is DrugAbuseScreeningTest-10 Class
BINARY SubClassOf DrugAbuseScreeningTest-10 SubstanceUseScale
BINARY is EdinburghHandednessInventoryQuestionnaire Class
BINARY SubClassOf EdinburghHandednessInventoryQuestionnaire HandednessQuestionnaire
BINARY is ExtrapyramidalSymptom Class
BINARY is ExtrapyramidalSymptomRating Class
BINARY SubClassOf ExtrapyramidalSymptomRating RatingScale,
BINARY SubClassOf ExtrapyramidalSymptomRating hadUsage_some_ExtrapyramidalSymptom
BINARY is ExtrapyramidalSymptomRatingScale Class
BINARY SubClassOf ExtrapyramidalSymptomRatingScale ExtrapyramidalSymptomRating
BINARY is EysenckImpulsivityScale Class
BINARY SubClassOf EysenckImpulsivityScale ImpulsivityScale
BINARY is FagerstromTestforNicotineDependence Class
BINARY SubClassOf FagerstromTestforNicotineDependence NicotineDependenceRatingScale
BINARY is FamilyHistoryAssessmentModule Class
BINARY SubClassOf FamilyHistoryAssessmentModule AlcoholUseScale
BINARY is FetalAlcoholBehaviorScale Class
BINARY SubClassOf FetalAlcoholBehaviorScale AlcoholUseScale
BINARY is FrontalAssessmentBattery Class
BINARY SubClassOf FrontalAssessmentBattery MentalHealthDiagnosisScale
BINARY is FrustrationEmotionTaskforChildren Class
BINARY SubClassOf FrustrationEmotionTaskforChildren MentalStateAssessmentScale
BINARY is FullScaleIntelligenceQuotient Class
BINARY SubClassOf FullScaleIntelligenceQuotient NeurocognitiveTest
BINARY is FunctionalCapacityRatingScale Class
BINARY SubClassOf FunctionalCapacityRatingScale RatingScale
BINARY is HamiltonAnxietyRatingScale Class
BINARY SubClassOf HamiltonAnxietyRatingScale AnxietyRatingScale
BINARY is HandednessQuestionnaire Class
BINARY SubClassOf HandednessQuestionnaire RatingScale
BINARY is ImpulsiveSensationSeekingScale Class
BINARY SubClassOf ImpulsiveSensationSeekingScale ImpulsivityScale
BINARY is ImpulsivityScale Class
BINARY SubClassOf ImpulsivityScale PersonalityRatingScale
BINARY is InterSePTScaleforSuicidalThinkingScale Class
BINARY SubClassOf InterSePTScaleforSuicidalThinkingScale SuicidalIdeationRatingScale
BINARY is LifeHistoryScale Class
BINARY SubClassOf LifeHistoryScale RatingScale
BINARY is MentalHealthDiagnosisScale Class
BINARY SubClassOf MentalHealthDiagnosisScale RatingScale
BINARY is MentalStateAssessmentScale Class
BINARY SubClassOf MentalStateAssessmentScale RatingScale
BINARY is MotorSkillHistory Class
BINARY SubClassOf MotorSkillHistory FunctionalCapacityRatingScale
BINARY is N-BackTaskTest Class
BINARY SubClassOf N-BackTaskTest NeurocognitiveTest
BINARY is NEOPersonalityInventoryRevised Class
BINARY SubClassOf NEOPersonalityInventoryRevised PersonalityRatingScale
BINARY is NationalAdultReadingTest Class
BINARY SubClassOf NationalAdultReadingTest PsychopathologyScale
BINARY is NegativeSymptomScale Class
BINARY SubClassOf NegativeSymptomScale PositiveNegativeSymptomRatingScale
BINARY is NicotineDependenceRatingScale Class
BINARY SubClassOf NicotineDependenceRatingScale SubstanceDependenceScale
BINARY is PROMISPainIntensity-ShortForm3a Class
BINARY SubClassOf PROMISPainIntensity-ShortForm3a PainIntensityInstrument
BINARY is PROMISPainIntensity-ShortForm6b Class
BINARY SubClassOf PROMISPainIntensity-ShortForm6b PainIntensityInstrument
BINARY is PROMISPainIntensity-ShortForm8a Class
BINARY SubClassOf PROMISPainIntensity-ShortForm8a PainIntensityInstrument
BINARY is PROMISParentProxyPainInterference-ShortForm8a Class
BINARY SubClassOf PROMISParentProxyPainInterference-ShortForm8a PainIntensityInstrument
BINARY is PROMISPediatricPainInterference-ShortForm8a Class
BINARY SubClassOf PROMISPediatricPainInterference-ShortForm8a PainIntensityInstrument
BINARY is PainIntensityInstrument Class
BINARY SubClassOf PainIntensityInstrument RatingScale
BINARY is PatientHealthQuestionnaire-2 Class
BINARY SubClassOf PatientHealthQuestionnaire-2 DepressionRatingScale
BINARY is PatientHealthQuestionnaire-9 Class
BINARY SubClassOf PatientHealthQuestionnaire-9 DepressionRatingScale
BINARY is PennEmotionRecognitionTask Class
BINARY SubClassOf PennEmotionRecognitionTask AffectiveProcessingScale
BINARY is PersonalandSocialPerformanceScale Class
BINARY SubClassOf PersonalandSocialPerformanceScale SocialFunctionRatingScale
BINARY is PersonalityRatingScale Class
BINARY SubClassOf PersonalityRatingScale RatingScale
BINARY is PositiveNegativeSymptomRatingScale Class
BINARY SubClassOf PositiveNegativeSymptomRatingScale PsychopathologyScale,
BINARY SubClassOf PositiveNegativeSymptomRatingScale hadUsage_some_PyschopathologyPositiveNegativeSymptom
BINARY is PositiveSymptomScale Class
BINARY SubClassOf PositiveSymptomScale PositiveNegativeSymptomRatingScale
BINARY is PositiveandNegativeSyndromeScale Class
BINARY SubClassOf PositiveandNegativeSyndromeScale PositiveNegativeSymptomRatingScale
BINARY is PosttraumaticStressDisorderSymptomsScale Class
BINARY SubClassOf PosttraumaticStressDisorderSymptomsScale MentalHealthDiagnosisScale
BINARY is ProdromalSymptomRatingScale Class
BINARY SubClassOf ProdromalSymptomRatingScale PsychopathologyScale
BINARY is PsychopathologyScale Class
BINARY SubClassOf PsychopathologyScale RatingScale
BINARY is PyschopathologyPositiveNegativeSymptom Class
BINARY is QualityofLifeRatingScale Class
BINARY SubClassOf QualityofLifeRatingScale RatingScale
BINARY is QualityofLifeScale Class
BINARY SubClassOf QualityofLifeScale QualityofLifeRatingScale
BINARY is QuestionnaireonSmokingUrges Class
BINARY SubClassOf QuestionnaireonSmokingUrges SubstanceCravingScale
BINARY is RatingScale Class
BINARY SubClassOf RatingScale DataCollectionInstrument
BINARY is ReadingtheMindintheEyesTest Class
BINARY SubClassOf ReadingtheMindintheEyesTest AffectiveProcessingScale
BINARY is RewardSensitivitySubscale Class
BINARY SubClassOf RewardSensitivitySubscale PersonalityRatingScale
BINARY is ScaletoAssessUnawarenessofMentalDisorder Class
BINARY SubClassOf ScaletoAssessUnawarenessofMentalDisorder PsychopathologyScale
BINARY is SchizoBipolarScale Class
BINARY SubClassOf SchizoBipolarScale PsychopathologyScale
BINARY is SchizotypalPersonalityQuestionnaire Class
BINARY SubClassOf SchizotypalPersonalityQuestionnaire MentalHealthDiagnosisScale
BINARY is Sedative-hypnotic-anxiolyticUseDisorderScale Class
BINARY SubClassOf Sedative-hypnotic-anxiolyticUseDisorderScale SubstanceUseScale
BINARY is Self-orderedPointingTest Class
BINARY SubClassOf Self-orderedPointingTest NeurocognitiveTest
BINARY is Semi-StructuredAssessmentfortheGeneticsofAlcoholism Class
BINARY SubClassOf Semi-StructuredAssessmentfortheGeneticsofAlcoholism AlcoholUseScale
BINARY is SimpsonAngusScale Class
BINARY SubClassOf SimpsonAngusScale ExtrapyramidalSymptomRating
BINARY is Single-QuestionScreeningTest-HealthProfessionalAdministered Class
BINARY SubClassOf Single-QuestionScreeningTest-HealthProfessionalAdministered SubstanceUseScale
BINARY is Single-QuestionScreeningTest-Self-Administered Class
BINARY SubClassOf Single-QuestionScreeningTest-Self-Administered SubstanceUseScale
BINARY is SocialFunctionRatingScale Class
BINARY SubClassOf SocialFunctionRatingScale RatingScale
BINARY is SocialResponsivenessScale Class
BINARY SubClassOf SocialResponsivenessScale SocialFunctionRatingScale
BINARY is SpatialWorkingMemory Class
BINARY SubClassOf SpatialWorkingMemory NeurocognitiveTest
BINARY is StructuredClinicalInterviewfortheDiagnosticStatisticalManualofMentalDisorder Class
BINARY SubClassOf StructuredClinicalInterviewfortheDiagnosticStatisticalManualofMentalDisorder RatingScale
BINARY is StructuredClinicalInterviewfortheDiagnosticStatisticalManualofMentalDisorder-5 Class
BINARY SubClassOf StructuredClinicalInterviewfortheDiagnosticStatisticalManualofMentalDisorder-5 StructuredClinicalInterviewfortheDiagnosticStatisticalManualofMentalDisorder
BINARY is StructuredInterviewforProdromalSyndromesRatingScale Class
BINARY SubClassOf StructuredInterviewforProdromalSyndromesRatingScale ProdromalSymptomRatingScale
BINARY is SubstanceCravingScale Class
BINARY SubClassOf SubstanceCravingScale RatingScale
BINARY is SubstanceDependenceScale Class
BINARY SubClassOf SubstanceDependenceScale RatingScale
BINARY is SubstanceUseScale Class
BINARY SubClassOf SubstanceUseScale RatingScale
BINARY is SuicidalIdeationRatingScale Class
BINARY SubClassOf SuicidalIdeationRatingScale PsychopathologyScale
BINARY is TemperamentandCharacterInventoryScale Class
BINARY SubClassOf TemperamentandCharacterInventoryScale PersonalityRatingScale
BINARY is TestofNonverbalIntelligence Class
BINARY SubClassOf TestofNonverbalIntelligence NeurocognitiveTest
BINARY is TheMontrealCognitiveAssessment Class
BINARY SubClassOf TheMontrealCognitiveAssessment NeurocognitiveTest
BINARY is TheSocialFunctionQuestionnaire Class
BINARY SubClassOf TheSocialFunctionQuestionnaire SocialFunctionRatingScale
BINARY is TimelineFollowbackMethodAssessment Class
BINARY SubClassOf TimelineFollowbackMethodAssessment SubstanceUseScale
BINARY is TobaccoAlcoholPrescriptionMedicationsOtherSubstance Class
BINARY SubClassOf TobaccoAlcoholPrescriptionMedicationsOtherSubstance SubstanceUseScale
BINARY is TopographyofVoicesRatingScale Class
BINARY SubClassOf TopographyofVoicesRatingScale PsychopathologyScale
BINARY is TreatmentResponseProgressScale Class
BINARY SubClassOf TreatmentResponseProgressScale RatingScale
BINARY is UCSDPerformancebasedSkillsAssessment Class
BINARY SubClassOf UCSDPerformancebasedSkillsAssessment FunctionalCapacityRatingScale
BINARY is VerbalFluencyTask Class
BINARY SubClassOf VerbalFluencyTask NeurocognitiveTest
BINARY is WechslerMemoryScale-Revised Class
BINARY SubClassOf WechslerMemoryScale-Revised NeurocognitiveTest
BINARY is WideRangeAchievementTest Class
BINARY SubClassOf WideRangeAchievementTest NeurocognitiveTest
BINARY is WisconsinSmokingWithdrawalScale Class
BINARY SubClassOf WisconsinSmokingWithdrawalScale SubstanceCravingScale
BINARY is YoungManiaRatingScale Class
BINARY SubClassOf YoungManiaRatingScale PsychopathologyScale
BINARY is AbdominalInductanceRespiratoryPlethysmography Class
BINARY SubClassOf AbdominalInductanceRespiratoryPlethysmography Inductance
BINARY is AcousticPharyngometer Class
BINARY SubClassOf AcousticPharyngometer DataCollectionInstrument
BINARY is Actigraph Class
BINARY SubClassOf Actigraph DataCollectionInstrument
BINARY is AirAudiometer Class
BINARY SubClassOf AirAudiometer Audiometer
BINARY is AlternativeHealthyEatingIndex2010 Class
BINARY SubClassOf AlternativeHealthyEatingIndex2010 NutritionQuestionnaire
BINARY is AmbulatoryAutomatedOscillometricSphygmomanometer Class
BINARY SubClassOf AmbulatoryAutomatedOscillometricSphygmomanometer AutomatedOscillometricSphygmomanometer
BINARY is Analyzer Class
BINARY SubClassOf Analyzer DataCollectionInstrument
BINARY is Audiometer Class
BINARY SubClassOf Audiometer DataCollectionInstrument
BINARY is AutomatedOscillometricSphygmomanometer Class
BINARY SubClassOf AutomatedOscillometricSphygmomanometer OscillometricSphygmomanometer
BINARY is BalanceBeamScale Class
BINARY SubClassOf BalanceBeamScale Scale
BINARY is BehaviorRatingInventoryOfExecutiveFunction Class
BINARY SubClassOf BehaviorRatingInventoryOfExecutiveFunction NeurocognitiveFunctionQuestionnaire
BINARY is BerlinQuestionnaire Class
BINARY SubClassOf BerlinQuestionnaire SleepQuestionnaire
BINARY is BipolarElectrocardiograph Class
BINARY SubClassOf BipolarElectrocardiograph Electrocardiograph
BINARY is BipolarSubmentalElectromyograph Class
BINARY SubClassOf BipolarSubmentalElectromyograph Electromyograph
BINARY is BoneConductionAudiometer Class
BINARY SubClassOf BoneConductionAudiometer Audiometer
BINARY is Caliper Class
BINARY SubClassOf Caliper DataCollectionInstrument
BINARY is Capnograph Class
BINARY SubClassOf Capnograph DataCollectionInstrument
BINARY is CenterForEpidemiologicStudiesDepressionScale Class
BINARY SubClassOf CenterForEpidemiologicStudiesDepressionScale MentalHealthQuestionnaire
BINARY is ChestWallImpedanceRespiratoryPlethysmography Class
BINARY SubClassOf ChestWallImpedanceRespiratoryPlethysmography Impedance
BINARY is CognitiveAbilitiesScreeningInstrument Class
BINARY SubClassOf CognitiveAbilitiesScreeningInstrument NeurocognitiveTest
BINARY is ComputedTomographyScan Class
BINARY SubClassOf ComputedTomographyScan Radiograph
BINARY is ConnersRatingScaleRevised Class
BINARY SubClassOf ConnersRatingScaleRevised NeurocognitiveFunctionQuestionnaire
BINARY is ControlledOralWordAssociationTestOfTheMultilingualAphasiaExamination Class
BINARY SubClassOf ControlledOralWordAssociationTestOfTheMultilingualAphasiaExamination NeurocognitiveFunctionQuestionnaire
BINARY is CoronaryComputedTomographyScan Class
BINARY SubClassOf CoronaryComputedTomographyScan ComputedTomographyScan
BINARY is DataCollectionInstrument Class
BINARY SubClassOf DataCollectionInstrument StudyInstrument
BINARY is DevelopmentalNeuropsychologicalAssessment Class
BINARY SubClassOf DevelopmentalNeuropsychologicalAssessment NeurocognitiveTest
BINARY is DigitSymbolSubstitutionOfTheWechslerAdultIntelligenceScaleRevised Class
BINARY SubClassOf DigitSymbolSubstitutionOfTheWechslerAdultIntelligenceScaleRevised NeurocognitiveTest
BINARY is DigitalScale Class
BINARY SubClassOf DigitalScale Scale
BINARY is DualEnergyXRayAbsorptiometry Class
BINARY SubClassOf DualEnergyXRayAbsorptiometry Radiograph
BINARY is ElectrocardiogramInstrument Class
BINARY SubClassOf ElectrocardiogramInstrument ElectrophysiologySignalMeasurementInstrument
BINARY is Electrocardiograph Class
BINARY SubClassOf Electrocardiograph DataCollectionInstrument
BINARY is ElectroencephalogramInstrument Class
BINARY SubClassOf ElectroencephalogramInstrument ElectrophysiologySignalMeasurementInstrument
BINARY is ElectromyogramInstrument Class
BINARY SubClassOf ElectromyogramInstrument ElectrophysiologySignalMeasurementInstrument
BINARY is Electromyograph Class
BINARY SubClassOf Electromyograph DataCollectionInstrument
BINARY is ElectrooculogramInstrument Class
BINARY SubClassOf ElectrooculogramInstrument ElectrophysiologySignalMeasurementInstrument
BINARY is ElectrophysiologySignalMeasurementInstrument Class
BINARY SubClassOf ElectrophysiologySignalMeasurementInstrument DataCollectionInstrument
BINARY is EpworthSleepinessScale Class
BINARY SubClassOf EpworthSleepinessScale SleepQuestionnaire
BINARY is FingertipPulseOximetry Class
BINARY SubClassOf FingertipPulseOximetry PulseOximetry
BINARY is GenotypingPlatform Class
BINARY SubClassOf GenotypingPlatform DataCollectionInstrument
BINARY is GeriatricDepressionScale Class
BINARY SubClassOf GeriatricDepressionScale MentalHealthQuestionnaire
BINARY is GlobalPhysicalActivityQuestionnaire Class
BINARY SubClassOf GlobalPhysicalActivityQuestionnaire PhysicalActivityQuestionnaire
BINARY is HarpendenStadiometer Class
BINARY SubClassOf HarpendenStadiometer Stadiometer
BINARY is HealthStatusQuestionnaire Class
BINARY SubClassOf HealthStatusQuestionnaire Questionnaire
BINARY is HispanicCommunityHealthStudySleepQuestionnaire Class
BINARY SubClassOf HispanicCommunityHealthStudySleepQuestionnaire SleepQuestionnaire
BINARY is ImagingInstrument Class
BINARY SubClassOf ImagingInstrument DataCollectionInstrument
BINARY is Impedance Class
BINARY SubClassOf Impedance RespiratoryPlethysmography
BINARY is Inductance Class
BINARY SubClassOf Inductance RespiratoryPlethysmography
BINARY is InsomniaSeverityIndex Class
BINARY SubClassOf InsomniaSeverityIndex SleepQuestionnaire
BINARY is IntracranialElectrode Class
BINARY SubClassOf IntracranialElectrode ElectroencephalogramInstrument
BINARY is LateralLumbarSpineXRay Class
BINARY SubClassOf LateralLumbarSpineXRay XRay
BINARY is LateralThoracicSpineXRay Class
BINARY SubClassOf LateralThoracicSpineXRay XRay
BINARY is MacarthurSubjectiveStatusScale Class
BINARY SubClassOf MacarthurSubjectiveStatusScale SocialStatusQuestionnaire
BINARY is MagneticResonanceImagingInstrument Class
BINARY SubClassOf MagneticResonanceImagingInstrument ImagingInstrument
BINARY is MentalHealthQuestionnaire Class
BINARY SubClassOf MentalHealthQuestionnaire Questionnaire
BINARY is MercurySphygmomanometer Class
BINARY SubClassOf MercurySphygmomanometer Sphygmomanometer
BINARY is Middle-ChildhoodHomeObservationforMeasurementoftheEnvironment Class
BINARY SubClassOf Middle-ChildhoodHomeObservationforMeasurementoftheEnvironment QualityOfLifeQuestionnaire
BINARY is ModifiedMiniMentalState Class
BINARY SubClassOf ModifiedMiniMentalState NeurocognitiveFunctionQuestionnaire
BINARY is NasalCannulaPressureTransducer Class
BINARY SubClassOf NasalCannulaPressureTransducer PressureTransducer
BINARY is NeurocognitiveFunctionQuestionnaire Class
BINARY SubClassOf NeurocognitiveFunctionQuestionnaire Questionnaire
BINARY is NeurocognitiveTest Class
BINARY SubClassOf NeurocognitiveTest RatingScale
BINARY is NutritionDataSystemForResearch24HourDietaryRecall Class
BINARY SubClassOf NutritionDataSystemForResearch24HourDietaryRecall NutritionQuestionnaire
BINARY is NutritionQuestionnaire Class
BINARY SubClassOf NutritionQuestionnaire Questionnaire
BINARY is ObstructiveSleepApnea18 Class
BINARY SubClassOf ObstructiveSleepApnea18 SleepQuestionnaire
BINARY is OneLeadElectrocardiograph Class
BINARY SubClassOf OneLeadElectrocardiograph Electrocardiograph
BINARY is OronasalThermistor Class
BINARY SubClassOf OronasalThermistor Thermistor
BINARY is OscillometricSphygmomanometer Class
BINARY SubClassOf OscillometricSphygmomanometer Sphygmomanometer
BINARY is PediatricQualityOfLifeInventory Class
BINARY SubClassOf PediatricQualityOfLifeInventory QualityOfLifeQuestionnaire
BINARY is PediatricSleepQuestionnaire Class
BINARY SubClassOf PediatricSleepQuestionnaire SleepQuestionnaire
BINARY is PhysicalActivityQuestionnaire Class
BINARY SubClassOf PhysicalActivityQuestionnaire Questionnaire
BINARY is PhysicalActivityScaleForTheElderly Class
BINARY SubClassOf PhysicalActivityScaleForTheElderly PhysicalActivityQuestionnaire
BINARY is PittsburghSleepQualityIndex Class
BINARY SubClassOf PittsburghSleepQualityIndex SleepQuestionnaire
BINARY is PositronEmissionTomographyInstrument Class
BINARY SubClassOf PositronEmissionTomographyInstrument ImagingInstrument
BINARY is PressureTransducer Class
BINARY SubClassOf PressureTransducer DataCollectionInstrument
BINARY is PulseOximetry Class
BINARY SubClassOf PulseOximetry DataCollectionInstrument
BINARY is QualityOfLifeQuestionnaire Class
BINARY SubClassOf QualityOfLifeQuestionnaire Questionnaire
BINARY is Questionnaire Class
BINARY SubClassOf Questionnaire DataCollectionInstrument
BINARY is Radiograph Class
BINARY SubClassOf Radiograph DataCollectionInstrument
BINARY is RadiographyInstrument Class
BINARY SubClassOf RadiographyInstrument ImagingInstrument
BINARY is RespiratoryPlethysmography Class
BINARY SubClassOf RespiratoryPlethysmography DataCollectionInstrument
BINARY is SF36Questionnaire Class
BINARY SubClassOf SF36Questionnaire HealthStatusQuestionnaire
BINARY is Scale Class
BINARY SubClassOf Scale DataCollectionInstrument
BINARY is ScalpElectrode Class
BINARY SubClassOf ScalpElectrode ElectroencephalogramInstrument
BINARY is SkinfoldCaliper Class
BINARY SubClassOf SkinfoldCaliper Caliper
BINARY is SleepAndHealthModifiedScoreQuestionnaire Class
BINARY SubClassOf SleepAndHealthModifiedScoreQuestionnaire SleepQuestionnaire
BINARY is SleepDiary Class
BINARY SubClassOf SleepDiary DataCollectionInstrument
BINARY is SleepHeartHealthStudySleepHabitsQuestionnaire Class
BINARY SubClassOf SleepHeartHealthStudySleepHabitsQuestionnaire SleepQuestionnaire
BINARY is SleepHeartHealthStudySleepQuestionnaire Class
BINARY SubClassOf SleepHeartHealthStudySleepQuestionnaire SleepQuestionnaire
BINARY is SleepQuestionnaire Class
BINARY SubClassOf SleepQuestionnaire Questionnaire
BINARY is SocialStatusQuestionnaire Class
BINARY SubClassOf SocialStatusQuestionnaire Questionnaire
BINARY is SpanishEnglishVerbalLearningTest Class
BINARY SubClassOf SpanishEnglishVerbalLearningTest NeurocognitiveTest
BINARY is Sphygmomanometer Class
BINARY SubClassOf Sphygmomanometer DataCollectionInstrument
BINARY is SpielbergerState-TraitAnxietyInventory Class
BINARY SubClassOf SpielbergerState-TraitAnxietyInventory MentalHealthQuestionnaire
