BINARY is namespacestring Datatype
BINARY SubClassOf CDNO_0100045 RO_0001000_some_CDNO_0100008
BINARY is CDNO_0100046 Class
BINARY SubClassOf CDNO_0100046 CHEBI_37684
BINARY is CDNO_0100047 Class
BINARY SubClassOf CDNO_0100047 CHEBI_22599
BINARY is CDNO_0100048 Class
BINARY SubClassOf CDNO_0100048 CHEBI_18222
BINARY is CDNO_0100050 Class
BINARY SubClassOf CDNO_0100050 CHEBI_28757
BINARY is CDNO_0100051 Class
BINARY equiv CDNO_0100051 CHEBI_33709_and_(RO_0001000_some_CHEBI_36080)
BINARY SubClassOf CDNO_0100051 CHEBI_33709,
BINARY SubClassOf CDNO_0100051 RO_0001000_some_CHEBI_36080
BINARY is CDNO_0300001 Class
BINARY SubClassOf CDNO_0300001 PATO_0000001
BINARY is CHEBI_10086 Class
BINARY SubClassOf CHEBI_10086 CHEBI_26873
BINARY is CHEBI_10136 Class
BINARY SubClassOf CHEBI_10136 CHEBI_22315
BINARY is CHEBI_10607 Class
BINARY SubClassOf CHEBI_10607 CHEBI_24676
BINARY is CHEBI_12777 Class
BINARY SubClassOf CHEBI_12777 CDNO_0000014
BINARY is CHEBI_131371 Class
BINARY SubClassOf CHEBI_131371 CDNO_0000026
BINARY is CHEBI_132141 Class
BINARY SubClassOf CHEBI_132141 CHEBI_25481
BINARY is CHEBI_132142 Class
BINARY SubClassOf CHEBI_132142 CHEBI_25481
BINARY is CHEBI_132853 Class
BINARY SubClassOf CHEBI_132853 CHEBI_26195
BINARY is CHEBI_133365 Class
BINARY SubClassOf CHEBI_133365 CHEBI_26195
BINARY is CHEBI_134345 Class
BINARY SubClassOf CHEBI_134345 CHEBI_33853
BINARY is CHEBI_141540 Class
BINARY SubClassOf CHEBI_141540 CHEBI_78802
BINARY is CHEBI_143237 Class
BINARY SubClassOf CHEBI_143237 CHEBI_33853
BINARY is CHEBI_145012 Class
BINARY SubClassOf CHEBI_145012 CHEBI_26873
BINARY is CHEBI_145013 Class
BINARY SubClassOf CHEBI_145013 CHEBI_26873
BINARY is CHEBI_145018 Class
BINARY SubClassOf CHEBI_145018 CHEBI_26873
BINARY is CHEBI_145022 Class
BINARY SubClassOf CHEBI_145022 CHEBI_26873
BINARY is CHEBI_145829 Class
BINARY SubClassOf CHEBI_145829 CHEBI_47916
BINARY is CHEBI_145967 Class
BINARY SubClassOf CHEBI_145967 CHEBI_33570
BINARY is CHEBI_145969 Class
BINARY SubClassOf CHEBI_145969 CHEBI_33570
BINARY is CHEBI_149610 Class
BINARY SubClassOf CHEBI_149610 CHEBI_26195
BINARY is CHEBI_150326 Class
BINARY SubClassOf CHEBI_150326 CHEBI_26191
BINARY is CHEBI_15035 Class
BINARY SubClassOf CHEBI_15035 CHEBI_26873
BINARY is CHEBI_15138 Class
BINARY SubClassOf CHEBI_15138 CDNO_0000021
BINARY is CHEBI_15354 Class
BINARY SubClassOf CHEBI_15354 CHEBI_72544
BINARY is CHEBI_15356 Class
BINARY SubClassOf CHEBI_15356 CHEBI_33261,
BINARY SubClassOf CHEBI_15356 CHEBI_33709
BINARY is CHEBI_15366 Class
BINARY SubClassOf CHEBI_15366 CHEBI_64709
BINARY is CHEBI_15377 Class
BINARY SubClassOf CHEBI_15377 CDNO_0000001
BINARY is CHEBI_15396 Class
BINARY SubClassOf CHEBI_15396 CHEBI_26873
BINARY is CHEBI_15398 Class
BINARY SubClassOf CHEBI_15398 CHEBI_26873
BINARY is CHEBI_15399 Class
BINARY SubClassOf CHEBI_15399 CHEBI_26873
BINARY is CHEBI_15420 Class
BINARY SubClassOf CHEBI_15420 CHEBI_26873
BINARY is CHEBI_15428 Class
BINARY SubClassOf CHEBI_15428 CHEBI_33709
BINARY is CHEBI_15443 Class
BINARY SubClassOf CHEBI_15443 CHEBI_28796
BINARY is CHEBI_15649 Class
BINARY SubClassOf CHEBI_15649 CHEBI_47916
BINARY is CHEBI_15712 Class
BINARY SubClassOf CHEBI_15712 CHEBI_33853
BINARY is CHEBI_15741 Class
BINARY SubClassOf CHEBI_15741 CHEBI_64709
BINARY is CHEBI_15756 Class
BINARY SubClassOf CHEBI_15756 CHEBI_26607
BINARY is CHEBI_15760 Class
BINARY SubClassOf CHEBI_15760 CHEBI_33853
BINARY is CHEBI_15858 Class
BINARY SubClassOf CHEBI_15858 CHEBI_24866
BINARY is CHEBI_15889 Class
BINARY SubClassOf CHEBI_15889 CHEBI_18059
BINARY is CHEBI_15891 Class
BINARY SubClassOf CHEBI_15891 CHEBI_72544
BINARY is CHEBI_15939 Class
BINARY SubClassOf CHEBI_15939 CHEBI_26873
BINARY is CHEBI_15940 Class
BINARY SubClassOf CHEBI_15940 CHEBI_176839
BINARY is CHEBI_15956 Class
BINARY SubClassOf CHEBI_15956 CHEBI_176841
BINARY is CHEBI_16024 Class
BINARY SubClassOf CHEBI_16024 CHEBI_37684
BINARY is CHEBI_16038 Class
BINARY SubClassOf CHEBI_16038 CHEBI_16247,
BINARY SubClassOf CHEBI_16038 CHEBI_190516
BINARY is CHEBI_16104 Class
BINARY SubClassOf CHEBI_16104 CHEBI_33853
BINARY is CHEBI_16113 Class
BINARY SubClassOf CHEBI_16113 CHEBI_15889
BINARY is CHEBI_16119 Class
BINARY SubClassOf CHEBI_16119 CHEBI_64709
BINARY is CHEBI_16164 Class
BINARY SubClassOf CHEBI_16164 CHEBI_22707
BINARY is CHEBI_16196 Class
BINARY SubClassOf CHEBI_16196 CHEBI_25413
BINARY is CHEBI_16226 Class
BINARY SubClassOf CHEBI_16226 CHEBI_26873
BINARY is CHEBI_16247 Class
BINARY SubClassOf CHEBI_16247 CHEBI_18059
BINARY is CHEBI_16261 Class
BINARY SubClassOf CHEBI_16261 CHEBI_16646
BINARY is CHEBI_16374 Class
BINARY SubClassOf CHEBI_16374 CHEBI_28384
BINARY is CHEBI_16382 Class
BINARY SubClassOf CHEBI_16382 CDNO_0000025
BINARY is CHEBI_16388 Class
BINARY SubClassOf CHEBI_16388 CHEBI_33853
BINARY is CHEBI_16449 Class
BINARY SubClassOf CHEBI_16449 CHEBI_33709
BINARY is CHEBI_165 Class
BINARY SubClassOf CHEBI_165 CHEBI_26873
BINARY is CHEBI_165217 Class
BINARY SubClassOf CHEBI_165217 CHEBI_24676
BINARY is CHEBI_16634 Class
BINARY SubClassOf CHEBI_16634 CHEBI_74961
BINARY is CHEBI_16646 Class
BINARY SubClassOf CHEBI_16646 CDNO_0000001
BINARY is CHEBI_166885 Class
BINARY SubClassOf CHEBI_166885 CHEBI_166899
BINARY is CHEBI_166886 Class
BINARY SubClassOf CHEBI_166886 CHEBI_166899
BINARY is CHEBI_166887 Class
BINARY SubClassOf CHEBI_166887 CHEBI_166899
BINARY is CHEBI_166888 Class
BINARY SubClassOf CHEBI_166888 CHEBI_26125
BINARY is CHEBI_16689 Class
BINARY SubClassOf CHEBI_16689 CHEBI_35381
BINARY is CHEBI_166890 Class
BINARY SubClassOf CHEBI_166890 CDNO_0000013
BINARY is CHEBI_166892 Class
BINARY SubClassOf CHEBI_166892 CHEBI_22580
BINARY is CHEBI_166894 Class
BINARY SubClassOf CHEBI_166894 CHEBI_51149
BINARY is CHEBI_166896 Class
BINARY SubClassOf CHEBI_166896 CHEBI_47916
BINARY is CHEBI_166899 Class
BINARY SubClassOf CHEBI_166899 CDNO_0000009
BINARY is CHEBI_166964 Class
BINARY SubClassOf CHEBI_166964 CDNO_0000009
BINARY is CHEBI_166965 Class
BINARY SubClassOf CHEBI_166965 CHEBI_51149
BINARY is CHEBI_166966 Class
BINARY SubClassOf CHEBI_166966 CHEBI_51149
BINARY is CHEBI_166967 Class
BINARY SubClassOf CHEBI_166967 CHEBI_35366
BINARY is CHEBI_166968 Class
BINARY SubClassOf CHEBI_166968 CHEBI_35366
BINARY is CHEBI_16709 Class
BINARY SubClassOf CHEBI_16709 CHEBI_27306
BINARY is CHEBI_167164 Class
BINARY SubClassOf CHEBI_167164 CDNO_0000001
BINARY is CHEBI_16786 Class
BINARY SubClassOf CHEBI_16786 CHEBI_33853
BINARY is CHEBI_16793 Class
BINARY SubClassOf CHEBI_16793 CDNO_0000012
BINARY is CHEBI_16811 Class
BINARY SubClassOf CHEBI_16811 CHEBI_33261,
BINARY SubClassOf CHEBI_16811 CHEBI_33709
BINARY is CHEBI_16832 Class
BINARY SubClassOf CHEBI_16832 CHEBI_33853
BINARY is CHEBI_16914 Class
BINARY SubClassOf CHEBI_16914 CHEBI_24676,
BINARY SubClassOf CHEBI_16914 CHEBI_64709
BINARY is CHEBI_16933 Class
BINARY SubClassOf CHEBI_16933 CHEBI_26125
BINARY is CHEBI_16966 Class
BINARY SubClassOf CHEBI_16966 CDNO_0000031
BINARY is CHEBI_16995 Class
BINARY SubClassOf CHEBI_16995 CHEBI_64709
BINARY is CHEBI_16997 Class
BINARY SubClassOf CHEBI_16997 CHEBI_26191
BINARY is CHEBI_17015 Class
BINARY SubClassOf CHEBI_17015 CHEBI_176838
BINARY is CHEBI_17020 Class
BINARY SubClassOf CHEBI_17020 CHEBI_61266
BINARY is CHEBI_17043 Class
BINARY SubClassOf CHEBI_17043 CHEBI_33853
BINARY is CHEBI_17051 Class
BINARY SubClassOf CHEBI_17051 CDNO_0000024
BINARY is CHEBI_17113 Class
BINARY SubClassOf CHEBI_17113 CHEBI_26191
BINARY is CHEBI_17151 Class
BINARY SubClassOf CHEBI_17151 CHEBI_26191
BINARY is CHEBI_17164 Class
BINARY SubClassOf CHEBI_17164 CHEBI_74961
BINARY is CHEBI_17189 Class
BINARY SubClassOf CHEBI_17189 CHEBI_24676
BINARY is CHEBI_17219 Class
BINARY SubClassOf CHEBI_17219 CHEBI_26873
BINARY is CHEBI_17234 Class
BINARY SubClassOf CHEBI_17234 CDNO_0000004,
BINARY SubClassOf CHEBI_17234 CHEBI_35381
BINARY is CHEBI_17268 Class
BINARY SubClassOf CHEBI_17268 CHEBI_17401
BINARY is CHEBI_17306 Class
BINARY SubClassOf CHEBI_17306 CDNO_0000004,
BINARY SubClassOf CHEBI_17306 CHEBI_36233,
BINARY SubClassOf CHEBI_17306 CHEBI_50699
BINARY is CHEBI_17309 Class
BINARY SubClassOf CHEBI_17309 CDNO_0000006,
BINARY SubClassOf CHEBI_17309 CHEBI_18154
BINARY is CHEBI_17327 Class
BINARY SubClassOf CHEBI_17327 CHEBI_26873
BINARY is CHEBI_17336 Class
BINARY SubClassOf CHEBI_17336 CHEBI_12777
BINARY is CHEBI_17359 Class
BINARY SubClassOf CHEBI_17359 CDNO_0000021
BINARY is CHEBI_17401 Class
BINARY SubClassOf CHEBI_17401 CHEBI_190516,
BINARY SubClassOf CHEBI_17401 CHEBI_24848,
BINARY SubClassOf CHEBI_17401 CHEBI_64709
BINARY is CHEBI_17407 Class
BINARY SubClassOf CHEBI_17407 CHEBI_26873
BINARY is CHEBI_17439 Class
BINARY SubClassOf CHEBI_17439 CHEBI_176843
BINARY is CHEBI_17445 Class
BINARY SubClassOf CHEBI_17445 CHEBI_33853
BINARY is CHEBI_17447 Class
BINARY SubClassOf CHEBI_17447 CHEBI_26873
BINARY is CHEBI_174910 Class
BINARY SubClassOf CHEBI_174910 CHEBI_26195
BINARY is CHEBI_17522 Class
BINARY SubClassOf CHEBI_17522 CHEBI_26191
BINARY is CHEBI_175304 Class
BINARY SubClassOf CHEBI_175304 CHEBI_22707
BINARY is CHEBI_17535 Class
BINARY SubClassOf CHEBI_17535 CHEBI_22599
BINARY is CHEBI_17556 Class
BINARY SubClassOf CHEBI_17556 CHEBI_47916
BINARY is CHEBI_17594 Class
BINARY SubClassOf CHEBI_17594 CHEBI_33570
BINARY is CHEBI_17597 Class
BINARY SubClassOf CHEBI_17597 CHEBI_24673
BINARY is CHEBI_176783 Class
BINARY SubClassOf CHEBI_176783 CDNO_0000014
BINARY is CHEBI_176838 Class
BINARY SubClassOf CHEBI_176838 CHEBI_75769
BINARY is CHEBI_176839 Class
BINARY SubClassOf CHEBI_176839 CHEBI_75769
BINARY is CHEBI_176840 Class
BINARY SubClassOf CHEBI_176840 CHEBI_75769
BINARY is CHEBI_176841 Class
BINARY SubClassOf CHEBI_176841 CHEBI_75769
BINARY is CHEBI_176842 Class
BINARY SubClassOf CHEBI_176842 CHEBI_75769
BINARY is CHEBI_176843 Class
BINARY SubClassOf CHEBI_176843 CHEBI_75769
BINARY is CHEBI_17716 Class
BINARY SubClassOf CHEBI_17716 CDNO_0000004,
BINARY SubClassOf CHEBI_17716 CHEBI_36233
BINARY is CHEBI_17750 Class
BINARY SubClassOf CHEBI_17750 CHEBI_15428
BINARY is CHEBI_17754 Class
BINARY SubClassOf CHEBI_17754 CHEBI_26191
BINARY is CHEBI_17822 Class
BINARY SubClassOf CHEBI_17822 CHEBI_33709
BINARY is CHEBI_17855 Class
BINARY SubClassOf CHEBI_17855 CHEBI_18059
BINARY is CHEBI_17883 Class
BINARY SubClassOf CHEBI_17883 CHEBI_17996
BINARY is CHEBI_17898 Class
BINARY SubClassOf CHEBI_17898 CHEBI_26873
BINARY is CHEBI_17933 Class
BINARY SubClassOf CHEBI_17933 CHEBI_73558
BINARY is CHEBI_17992 Class
BINARY SubClassOf CHEBI_17992 CDNO_0000004,
BINARY SubClassOf CHEBI_17992 CHEBI_36233
BINARY is CHEBI_17996 Class
BINARY SubClassOf CHEBI_17996 CDNO_0000016
BINARY is CHEBI_18024 Class
BINARY SubClassOf CHEBI_18024 CHEBI_33830
BINARY is CHEBI_18026 Class
BINARY SubClassOf CHEBI_18026 CHEBI_24676
BINARY is CHEBI_18035 Class
BINARY SubClassOf CHEBI_18035 CHEBI_18059
BINARY is CHEBI_18059 Class
BINARY SubClassOf CHEBI_18059 CDNO_0000001
BINARY is CHEBI_18067 Class
BINARY SubClassOf CHEBI_18067 CHEBI_28384
BINARY is CHEBI_18101 Class
BINARY SubClassOf CHEBI_18101 CHEBI_33853
BINARY is CHEBI_18125 Class
BINARY SubClassOf CHEBI_18125 CHEBI_33853
BINARY is CHEBI_18135 Class
BINARY SubClassOf CHEBI_18135 CHEBI_33570
BINARY is CHEBI_18154 Class
BINARY SubClassOf CHEBI_18154 CHEBI_16646
BINARY is CHEBI_18176 Class
BINARY SubClassOf CHEBI_18176 CHEBI_23401
BINARY is CHEBI_18185 Class
BINARY SubClassOf CHEBI_18185 CHEBI_27013
BINARY is CHEBI_18186 Class
BINARY SubClassOf CHEBI_18186 CHEBI_33709
BINARY is CHEBI_181906 Class
BINARY SubClassOf CHEBI_181906 CHEBI_16646
BINARY is CHEBI_18211 Class
BINARY SubClassOf CHEBI_18211 CHEBI_83820
BINARY is CHEBI_18222 Class
BINARY SubClassOf CHEBI_18222 CHEBI_35381
BINARY is CHEBI_18233 Class
BINARY SubClassOf CHEBI_18233 CHEBI_61266
BINARY is CHEBI_18237 Class
BINARY SubClassOf CHEBI_18237 CHEBI_33709
BINARY is CHEBI_18243 Class
BINARY SubClassOf CHEBI_18243 CHEBI_33570
BINARY is CHEBI_18257 Class
BINARY SubClassOf CHEBI_18257 CHEBI_83820
BINARY is CHEBI_18287 Class
BINARY SubClassOf CHEBI_18287 CHEBI_33984
BINARY is CHEBI_18291 Class
BINARY SubClassOf CHEBI_18291 CDNO_0000027
BINARY is CHEBI_18303 Class
BINARY SubClassOf CHEBI_18303 CHEBI_16247
BINARY is CHEBI_18305 Class
BINARY SubClassOf CHEBI_18305 CHEBI_15891
BINARY is CHEBI_18346 Class
BINARY SubClassOf CHEBI_18346 CHEBI_33853
BINARY is CHEBI_18353 Class
BINARY SubClassOf CHEBI_18353 CHEBI_33853
BINARY is CHEBI_18394 Class
BINARY SubClassOf CHEBI_18394 CHEBI_36233
BINARY is CHEBI_18414 Class
BINARY SubClassOf CHEBI_18414 CHEBI_33570
BINARY is CHEBI_18420 Class
BINARY SubClassOf CHEBI_18420 CDNO_0000017
BINARY is CHEBI_1879 Class
BINARY SubClassOf CHEBI_1879 CHEBI_33853
BINARY is CHEBI_1883 Class
BINARY SubClassOf CHEBI_1883 CHEBI_33853
BINARY is CHEBI_189560 Class
BINARY SubClassOf CHEBI_189560 CDNO_0000031
BINARY is CHEBI_190295 Class
BINARY SubClassOf CHEBI_190295 CDNO_0000015
BINARY is CHEBI_190297 Class
BINARY SubClassOf CHEBI_190297 CDNO_0000017
BINARY is CHEBI_190299 Class
BINARY SubClassOf CHEBI_190299 CDNO_0000017
BINARY is CHEBI_190300 Class
BINARY SubClassOf CHEBI_190300 CDNO_0000018
BINARY is CHEBI_190302 Class
BINARY SubClassOf CHEBI_190302 CDNO_0000018
BINARY is CHEBI_190303 Class
BINARY SubClassOf CHEBI_190303 CDNO_0000019
BINARY is CHEBI_190412 Class
BINARY SubClassOf CHEBI_190412 CDNO_0000022
BINARY is CHEBI_190413 Class
BINARY SubClassOf CHEBI_190413 CDNO_0000022
BINARY is CHEBI_190414 Class
BINARY SubClassOf CHEBI_190414 CDNO_0000023
BINARY is CHEBI_190415 Class
BINARY SubClassOf CHEBI_190415 CDNO_0000023
BINARY is CHEBI_190416 Class
BINARY SubClassOf CHEBI_190416 CDNO_0000024
BINARY is CHEBI_190417 Class
BINARY SubClassOf CHEBI_190417 CDNO_0000024
BINARY is CHEBI_190418 Class
BINARY SubClassOf CHEBI_190418 CDNO_0000025
BINARY is CHEBI_190419 Class
BINARY SubClassOf CHEBI_190419 CDNO_0000025
BINARY is CHEBI_190420 Class
BINARY SubClassOf CHEBI_190420 CDNO_0000026
BINARY is CHEBI_190421 Class
BINARY SubClassOf CHEBI_190421 CDNO_0000026
BINARY is CHEBI_190422 Class
BINARY SubClassOf CHEBI_190422 CDNO_0000027
BINARY is CHEBI_190423 Class
BINARY SubClassOf CHEBI_190423 CDNO_0000027
BINARY is CHEBI_190424 Class
BINARY SubClassOf CHEBI_190424 CDNO_0000028
BINARY is CHEBI_190425 Class
BINARY SubClassOf CHEBI_190425 CDNO_0000028
BINARY is CHEBI_190426 Class
BINARY SubClassOf CHEBI_190426 CDNO_0000029
BINARY is CHEBI_190427 Class
BINARY SubClassOf CHEBI_190427 CDNO_0000029
BINARY is CHEBI_190428 Class
BINARY SubClassOf CHEBI_190428 CDNO_0000029
BINARY is CHEBI_190429 Class
