www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
06N40Z is Class.
www.w3.org/2000/01/-schema# is Annotations.
Thing is www.w3.org/2002/07/#.
LION 0000682 is Class.
LION 0000691 is Class.
LION 0000692 is Class.
LION 0000693 is Class.
LION 0000694 is Class.
LION 0000705 is Class.
LION 0000706 is Class.
LION 0000707 is Class.
LION 0000708 is Class.
LION 0000709 is Class.
LION 0000710 is Class.
LION 0000714 is Class.
LION 0000720 is Class.
LION 0000721 is Class.
LION 0000722 is Class.
LION 0000723 is Class.
LION 0000724 is Class.
LION 0000725 is Class.
LION 0000728 is Class.
LION 0000882 is Class.
LION 0000882 SubClassOf LION 0000622.
LION 0001222 is Class.
LION 0001222 SubClassOf LION 0000728.
LION 0001284 is Class.
LION 0001285 is Class.
LION 0001294 is Class.
LION 0001295 is Class.
LION 0001296 is Class.
LION 0001297 is Class.
LION 0001305 is Class.
LION 0001307 is Class.
LION 0001308 is Class.
LION 0001309 is Class.
LION 0001310 is Class.
LION 0001313 is Class.
LION 0001332 is Class.
LION 0001332 SubClassOf LION 0000031.
LION 0001337 is Class.
LION 0001338 is Class.
LION 0001339 is Class.
LION 0001340 is Class.
LION 0001341 is Class.
LION 0001345 is Class.
LION 0001346 is Class.
LION 0001359 is Class.
LION 0001363 is Class.
LION 0001368 is Class.
LION 0001369 is Class.
LION 0001374 is Class.
LION 0001375 is Class.
LION 0001376 is Class.
LION 0001380 is Class.
LION 0001382 is Class.
LION 0001383 is Class.
LION 0001384 is Class.
LION 0001385 is Class.
LION 0001393 is Class.
LION 0001394 is Class.
LION 0001395 is Class.
LION 0001396 is Class.
LION 0001398 is Class.
LION 0001405 is Class.
LION 0001405 SubClassOf LION 0000060.
LION 0001411 is Class.
LION 0001412 is Class.
LION 0001412 SubClassOf LION 0000060.
LION 0001417 is Class.
LION 0001418 is Class.
LION 0001423 is Class.
LION 0001424 is Class.
LION 0001437 is Class.
LION 0001441 is Class.
LION 0001442 is Class.
LION 0001447 is Class.
LION 0001448 is Class.
LION 0001449 is Class.
LION 0001453 is Class.
LION 0001455 is Class.
LION 0001463 is Class.
LION 0001465 is Class.
LION 0001465 SubClassOf LION 0000054.
LION 0001466 is Class.
LION 0001469 is Class.
LION 0001470 is Class.
LION 0001472 is Class.
LION 0001473 is Class.
LION 0001475 is Class.
LION 0001476 is Class.
LION 0001477 is Class.
LION 0001479 is Class.
LION 0001486 is Class.
LION 0001489 is Class.
LION 0001491 is Class.
LION 0001495 is Class.
LION 0001503 is Class.
LION 0001504 is Class.
LION 0001537 is Class.
LION 0001539 is Class.
LION 0001541 is Class.
LION 0001542 is Class.
LION 0001675 is Class.
LION 0001675 SubClassOf LION 0012441.
LION 0001676 is Class.
LION 0001676 SubClassOf LION 0001675.
LION 0001677 is Class.
LION 0001677 SubClassOf LION 0001675.
LION 0001735 is Class.
LION 0001736 is Class.
LION 0001737 is Class.
LION 0001738 is Class.
LION 0001739 is Class.
LION 0001742 is Class.
LION 0001783 is Class.
LION 0001790 is Class.
LION 0001806 is Class.
LION 0001811 is Class.
LION 0001818 is Class.
LION 0001819 is Class.
LION 0001820 is Class.
LION 0001821 is Class.
LION 0001829 is Class.
LION 0001831 is Class.
LION 0001832 is Class.
LION 0001843 is Class.
LION 0001844 is Class.
LION 0001845 is Class.
LION 0001846 is Class.
LION 0001858 is Class.
LION 0001859 is Class.
LION 0001860 is Class.
LION 0001861 is Class.
LION 0001861 SubClassOf LION 0000067.
LION 0001862 is Class.
LION 0001863 is Class.
LION 0002311 is Class.
LION 0002312 is Class.
LION 0002313 is Class.
LION 0002314 is Class.
LION 0002315 is Class.
LION 0002325 is Class.
LION 0002326 is Class.
LION 0002327 is Class.
LION 0002328 is Class.
LION 0002329 is Class.
LION 0002330 is Class.
LION 0002576 is Class.
LION 0002577 is Class.
LION 0002582 is Class.
LION 0002583 is Class.
LION 0002584 is Class.
LION 0002585 is Class.
LION 0002586 is Class.
LION 0002596 is Class.
LION 0002597 is Class.
LION 0002598 is Class.
LION 0002599 is Class.
LION 0002600 is Class.
LION 0002601 is Class.
LION 0002890 is Class.
LION 0002890 SubClassOf LION 0001861.
LION 0002906 is Class.
LION 0002906 SubClassOf LION 0001861.
LION 0002920 is Class.
LION 0002920 SubClassOf LION 0001861.
LION 0002951 is Class.
LION 0002954 is Class.
LION 0002958 is Class.
LION 0002960 is Class.
LION 0002962 is Class.
LION 0002964 is Class.
LION 0002964 SubClassOf LION 0002951.
LION 0002968 is Class.
LION 0002969 is Class.
LION 0002970 is Class.
LION 0002971 is Class.
LION 0002972 is Class.
LION 0003439 is Class.
LION 0003439 SubClassOf LION 0000305.
LION 0003440 is Class.
LION 0003440 SubClassOf LION 0000305.
LION 0003441 is Class.
LION 0003441 SubClassOf LION 0000305.
LION 0003442 is Class.
LION 0003442 SubClassOf LION 0000305.
LION 0003443 is Class.
LION 0003443 SubClassOf LION 0000305.
LION 0003444 is Class.
LION 0003444 SubClassOf LION 0000305.
LION 0003445 is Class.
LION 0003445 SubClassOf LION 0000305.
LION 0003462 is Class.
LION 0003462 SubClassOf LION 0000308.
LION 0003463 is Class.
LION 0003463 SubClassOf LION 0000308.
LION 0003464 is Class.
LION 0003464 SubClassOf LION 0000308.
LION 0003465 is Class.
LION 0003465 SubClassOf LION 0000308.
LION 0003466 is Class.
LION 0003466 SubClassOf LION 0000308.
LION 0003467 is Class.
LION 0003467 SubClassOf LION 0000308.
LION 0003468 is Class.
LION 0003468 SubClassOf LION 0000308.
LION 0003469 is Class.
LION 0003469 SubClassOf LION 0000308.
LION 0003711 is Class.
LION 0003711 SubClassOf LION 0000375.
LION 0003712 is Class.
LION 0003712 SubClassOf LION 0000375.
LION 0003713 is Class.
LION 0003713 SubClassOf LION 0000375.
LION 0003714 is Class.
LION 0003714 SubClassOf LION 0000375.
LION 0003715 is Class.
LION 0003715 SubClassOf LION 0000375.
LION 0003716 is Class.
LION 0003716 SubClassOf LION 0000375.
LION 0003717 is Class.
LION 0003717 SubClassOf LION 0000375.
LION 0003893 is Class.
LION 0003893 SubClassOf LION 0000430.
LION 0003894 is Class.
LION 0003894 SubClassOf LION 0000430.
LION 0003895 is Class.
LION 0003895 SubClassOf LION 0000430.
LION 0003896 is Class.
LION 0003896 SubClassOf LION 0000430.
LION 0003897 is Class.
LION 0003897 SubClassOf LION 0000430.
LION 0003898 is Class.
LION 0003898 SubClassOf LION 0000430.
LION 0009949 is Class.
LION 0009949 SubClassOf LION 0000882.
LION 0009950 is Class.
LION 0009950 SubClassOf LION 0000882.
LION 0009951 is Class.
LION 0009951 SubClassOf LION 0000882.
LION 0009952 is Class.
LION 0009952 SubClassOf LION 0000882.
LION 0009953 is Class.
LION 0009953 SubClassOf LION 0000882.
LION 0009954 is Class.
LION 0009954 SubClassOf LION 0000882.
LION 0009955 is Class.
LION 0009955 SubClassOf LION 0000882.
LION 0009956 is Class.
LION 0009956 SubClassOf LION 0000882.
LION 0009957 is Class.
LION 0009957 SubClassOf LION 0000882.
LION 0009958 is Class.
LION 0009958 SubClassOf LION 0000882.
LION 0009959 is Class.
LION 0009959 SubClassOf LION 0000882.
LION 0009960 is Class.
LION 0009960 SubClassOf LION 0000882.
LION 0009961 is Class.
LION 0009961 SubClassOf LION 0000882.
LION 0009962 is Class.
LION 0009962 SubClassOf LION 0000882.
LION 0009963 is Class.
LION 0009963 SubClassOf LION 0000882.
LION 0009964 is Class.
LION 0009964 SubClassOf LION 0000882.
LION 0009965 is Class.
LION 0009965 SubClassOf LION 0000882.
LION 0009966 is Class.
LION 0009966 SubClassOf LION 0000882.
LION 0009967 is Class.
LION 0009967 SubClassOf LION 0000882.
LION 0009968 is Class.
LION 0009968 SubClassOf LION 0000882.
LION 0009969 is Class.
LION 0009969 SubClassOf LION 0000882.
LION 0009970 is Class.
LION 0009970 SubClassOf LION 0000882.
LION 0009971 is Class.
LION 0009971 SubClassOf LION 0000882.
LION 0009972 is Class.
LION 0009972 SubClassOf LION 0000882.
LION 0009973 is Class.
LION 0009973 SubClassOf LION 0000882.
LION 0009974 is Class.
LION 0009974 SubClassOf LION 0000882.
LION 0009975 is Class.
LION 0009975 SubClassOf LION 0000882.
LION 0009976 is Class.
LION 0009976 SubClassOf LION 0000882.
LION 0009977 is Class.
LION 0009977 SubClassOf LION 0000882.
LION 0009978 is Class.
LION 0009978 SubClassOf LION 0000882.
LION 0009979 is Class.
LION 0009979 SubClassOf LION 0000882.
LION 0009980 is Class.
LION 0009980 SubClassOf LION 0000882.
LION 0009981 is Class.
LION 0009981 SubClassOf LION 0000882.
LION 0009982 is Class.
LION 0009982 SubClassOf LION 0000882.
LION 0009983 is Class.
LION 0009983 SubClassOf LION 0000882.
LION 0009984 is Class.
LION 0009984 SubClassOf LION 0000882.
LION 0009985 is Class.
LION 0009985 SubClassOf LION 0000882.
LION 0009986 is Class.
LION 0009986 SubClassOf LION 0000882.
LION 0009987 is Class.
LION 0009987 SubClassOf LION 0000882.
LION 0009988 is Class.
LION 0009988 SubClassOf LION 0000882.
LION 0009989 is Class.
LION 0009989 SubClassOf LION 0000882.
LION 0009990 is Class.
LION 0009990 SubClassOf LION 0000882.
LION 0009991 is Class.
LION 0009991 SubClassOf LION 0000882.
LION 0012012 is Class.
LION 0012015 is Class.
LION 0012015 SubClassOf LION 0012012.
LION 0012023 is Class.
LION 0012047 is Class.
LION 0012047 SubClassOf LION 0012023.
LION 0012056 is Class.
LION 0012101 is Class.
LION 0012101 SubClassOf LION 0001861.
LION 0012115 is Class.
LION 0012115 SubClassOf LION 0001861.
LION 0012133 is Class.
LION 0012133 SubClassOf LION 0001861.
LION 0012144 is Class.
LION 0012144 SubClassOf LION 0001861.
LION 0012161 is Class.
LION 0012161 SubClassOf LION 0001861.
LION 0012166 is Class.
LION 0012166 SubClassOf LION 0001861.
LION 0012170 is Class.
LION 0012170 SubClassOf LION 0001861.
LION 0012173 is Class.
LION 0012173 SubClassOf LION 0001861.
LION 0012189 is Class.
LION 0012189 SubClassOf LION 0000067.
LION 0012246 is Class.
LION 0012246 SubClassOf CAT 0000100.
LION 0012247 is Class.
LION 0012247 SubClassOf CAT 0000100.
LION 0012308 is Class.
LION 0012308 SubClassOf CAT 0000100.
LION 0012318 is Class.
LION 0012318 SubClassOf LION 0012745.
LION 0012332 is Class.
LION 0012332 SubClassOf LION 0012750.
LION 0012333 is Class.
LION 0012333 SubClassOf LION 0012751.
LION 0012334 is Class.
LION 0012334 SubClassOf LION 0012752.
LION 0012335 is Class.
LION 0012335 SubClassOf LION 0012753.
LION 0012336 is Class.
LION 0012336 SubClassOf LION 0012754.
LION 0012362 is Class.
LION 0012362 SubClassOf LION 0012750.
LION 0012363 is Class.
LION 0012363 SubClassOf LION 0012751.
LION 0012364 is Class.
LION 0012364 SubClassOf LION 0012752.
LION 0012365 is Class.
LION 0012365 SubClassOf LION 0012753.
LION 0012366 is Class.
LION 0012366 SubClassOf LION 0012754.
LION 0012368 is Class.
LION 0012368 SubClassOf LION 0012756.
LION 0012380 is Class.
LION 0012380 SubClassOf LION 0012751.
LION 0012381 is Class.
LION 0012381 SubClassOf LION 0012752.
LION 0012382 is Class.
LION 0012382 SubClassOf LION 0012753.
LION 0012383 is Class.
LION 0012383 SubClassOf LION 0012754.
LION 0012386 is Class.
LION 0012386 SubClassOf LION 0012756.
LION 0012388 is Class.
LION 0012388 SubClassOf LION 0012757.
LION 0012413 is Class.
LION 0012413 SubClassOf LION 0012745.
LION 0012414 is Class.
LION 0012414 SubClassOf LION 0012752.
LION 0012415 is Class.
LION 0012415 SubClassOf LION 0012753.
LION 0012416 is Class.
LION 0012416 SubClassOf LION 0012754.
LION 0012418 is Class.
LION 0012418 SubClassOf LION 0012756.
LION 0012419 is Class.
LION 0012419 SubClassOf LION 0012757.
LION 0012420 is Class.
LION 0012420 SubClassOf LION 0012758.
LION 0012433 is Class.
LION 0012433 SubClassOf LION 0012745.
LION 0012434 is Class.
LION 0012434 SubClassOf LION 0012759.
LION 0012435 is Class.
LION 0012435 SubClassOf LION 0012753.
LION 0012436 is Class.
LION 0012436 SubClassOf LION 0012754.
LION 0012441 is Class.
LION 0012442 is Class.
LION 0012442 SubClassOf LION 0012756.
LION 0012448 is Class.
LION 0012448 SubClassOf LION 0012757.
LION 0012454 is Class.
LION 0012454 SubClassOf LION 0012758.
LION 0012467 is Class.
LION 0012467 SubClassOf LION 0012745.
LION 0012468 is Class.
LION 0012468 SubClassOf LION 0012759.
LION 0012470 is Class.
LION 0012470 SubClassOf LION 0012754.
LION 0012472 is Class.
LION 0012472 SubClassOf LION 0012756.
LION 0012473 is Class.
LION 0012473 SubClassOf LION 0012757.
LION 0012474 is Class.
LION 0012474 SubClassOf LION 0012758.
LION 0012483 is Class.
LION 0012483 SubClassOf LION 0012750.
LION 0012484 is Class.
LION 0012484 SubClassOf LION 0012751.
LION 0012485 is Class.
LION 0012485 SubClassOf LION 0012752.
LION 0012486 is Class.
LION 0012486 SubClassOf LION 0012753.
LION 0012487 is Class.
LION 0012487 SubClassOf LION 0012754.
LION 0012516 is Class.
LION 0012516 SubClassOf LION 0012750.
LION 0012517 is Class.
LION 0012517 SubClassOf LION 0012751.
LION 0012518 is Class.
LION 0012518 SubClassOf LION 0012752.
LION 0012519 is Class.
LION 0012519 SubClassOf LION 0012753.
LION 0012520 is Class.
LION 0012520 SubClassOf LION 0012754.
LION 0012522 is Class.
LION 0012522 SubClassOf LION 0012756.
LION 0012535 is Class.
LION 0012535 SubClassOf LION 0012751.
LION 0012536 is Class.
LION 0012536 SubClassOf LION 0012752.
LION 0012537 is Class.
LION 0012537 SubClassOf LION 0012753.
LION 0012538 is Class.
LION 0012538 SubClassOf LION 0012754.
LION 0012551 is Class.
LION 0012551 SubClassOf LION 0012756.
LION 0012552 is Class.
LION 0012552 SubClassOf LION 0012757.
LION 0012563 is Class.
LION 0012563 SubClassOf LION 0012745.
LION 0012564 is Class.
LION 0012564 SubClassOf LION 0012752.
LION 0012565 is Class.
LION 0012565 SubClassOf LION 0012753.
LION 0012566 is Class.
LION 0012566 SubClassOf LION 0012754.
LION 0012568 is Class.
LION 0012568 SubClassOf LION 0012756.
LION 0012569 is Class.
LION 0012569 SubClassOf LION 0012757.
LION 0012570 is Class.
LION 0012570 SubClassOf LION 0012758.
LION 0012585 is Class.
LION 0012585 SubClassOf LION 0012745.
LION 0012586 is Class.
LION 0012586 SubClassOf LION 0012759.
LION 0012587 is Class.
LION 0012587 SubClassOf LION 0012753.
LION 0012588 is Class.
LION 0012588 SubClassOf LION 0012754.
LION 0012590 is Class.
LION 0012590 SubClassOf LION 0012756.
LION 0012591 is Class.
LION 0012591 SubClassOf LION 0012757.
LION 0012592 is Class.
LION 0012592 SubClassOf LION 0012758.
LION 0012603 is Class.
LION 0012603 SubClassOf LION 0012759.
LION 0012605 is Class.
LION 0012605 SubClassOf LION 0012754.
LION 0012607 is Class.
LION 0012607 SubClassOf LION 0012756.
LION 0012608 is Class.
LION 0012608 SubClassOf LION 0012757.
LION 0012609 is Class.
LION 0012609 SubClassOf LION 0012758.
LION 0012627 is Class.
LION 0012627 SubClassOf LION 0012759.
LION 0012631 is Class.
LION 0012631 SubClassOf LION 0012756.
LION 0012632 is Class.
LION 0012632 SubClassOf LION 0012757.
LION 0012633 is Class.
LION 0012633 SubClassOf LION 0012758.
LION 0012688 is Class.
LION 0012688 SubClassOf LION 0000047.
LION 0012697 is Class.
LION 0012709 is Class.
LION 0012733 is Class.
LION 0012739 is Class.
LION 0012740 is Class.
LION 0012741 is Class.
LION 0012742 is Class.
LION 0012743 is Class.
LION 0012744 is Class.
LION 0012745 is Class.
LION 0012745 SubClassOf LION 0000047.
LION 0012750 is Class.
LION 0012750 SubClassOf LION 0000047.
LION 0012751 is Class.
LION 0012751 SubClassOf LION 0000047.
LION 0012752 is Class.
LION 0012752 SubClassOf LION 0000047.
LION 0012753 is Class.
LION 0012753 SubClassOf LION 0000047.
LION 0012754 is Class.
LION 0012754 SubClassOf LION 0000047.
LION 0012755 is Class.
LION 0012756 is Class.
LION 0012756 SubClassOf LION 0000047.
LION 0012757 is Class.
LION 0012757 SubClassOf LION 0000047.
LION 0012758 is Class.
LION 0012758 SubClassOf LION 0000047.
LION 0012759 is Class.
LION 0012759 SubClassOf LION 0000047.
LION 0012764 is Class.
LION 0012766 is Class.
LION 0012767 is Class.
LION 0012771 is Class.
LION 0012772 is Class.
LION 0012776 is Class.
LION 0012777 is Class.
LION 0012925 is Class.
LION 0012925 SubClassOf LION 0013327.
LION 0012950 is Class.
LION 0012950 SubClassOf LION 0013327.
LION 0012976 is Class.
LION 0012976 SubClassOf LION 0013327.
LION 0012992 is Class.
LION 0012992 SubClassOf LION 0013327.
LION 0013012 is Class.
LION 0013012 SubClassOf LION 0013327.
LION 0013060 is Class.
LION 0013060 SubClassOf LION 0013327.
LION 0013072 is Class.
LION 0013072 SubClassOf LION 0013327.
LION 0013087 is Class.
LION 0013087 SubClassOf LION 0013327.
LION 0013120 is Class.
LION 0013120 SubClassOf LION 0013327.
LION 0013136 is Class.
LION 0013136 SubClassOf LION 0013327.
LION 0013164 is Class.
LION 0013164 SubClassOf LION 0013327.
LION 0013194 is Class.
LION 0013194 SubClassOf LION 0013327.
LION 0013209 is Class.
LION 0013209 SubClassOf LION 0013327.
LION 0013289 is Class.
LION 0013303 is Class.
LION 0013306 is Class.
LION 0013314 is Class.
LION 0013315 is Class.
LION 0013325 is Class.
LION 0013326 is Class.
LION 0013327 is Class.
LION 0013327 SubClassOf LION 0000053,.
LION 0013327 SubClassOf LION 0001739,.
LION 0013327 SubClassOf LION 0080972,.
LION 0013327 SubClassOf LION 0080977.
LION 0013333 is Class.
LION 0013335 is Class.
LION 0013366 is Class.
LION 0013367 is Class.
LION 0013368 is Class.
LION 0013369 is Class.
LION 0013370 is Class.
LION 0013371 is Class.
LION 0013379 is Class.
LION 0013379 SubClassOf LION 0013945.
LION 0013387 is Class.
LION 0013387 SubClassOf LION 0013953.
LION 0013393 is Class.
LION 0013393 SubClassOf LION 0013953.
LION 0013402 is Class.
LION 0013402 SubClassOf LION 0013953.
LION 0013409 is Class.
LION 0013409 SubClassOf LION 0013965.
LION 0013427 is Class.
LION 0013427 SubClassOf LION 0013953.
LION 0013447 is Class.
LION 0013447 SubClassOf LION 0013965.
LION 0013464 is Class.
LION 0013464 SubClassOf LION 0013953.
LION 0013471 is Class.
LION 0013471 SubClassOf LION 0013965.
LION 0013478 is Class.
LION 0013478 SubClassOf LION 0013953.
LION 0013485 is Class.
LION 0013485 SubClassOf LION 0013965.
LION 0013495 is Class.
LION 0013495 SubClassOf LION 0013953.
LION 0013502 is Class.
LION 0013502 SubClassOf LION 0013965.
LION 0013506 is Class.
LION 0013506 SubClassOf LION 0013975.
LION 0013515 is Class.
LION 0013515 SubClassOf LION 0013953.
LION 0013537 is Class.
LION 0013537 SubClassOf LION 0013965.
LION 0013576 is Class.
LION 0013576 SubClassOf LION 0013953.
LION 0013583 is Class.
LION 0013583 SubClassOf LION 0013965.
LION 0013596 is Class.
LION 0013596 SubClassOf LION 0013953.
LION 0013603 is Class.
LION 0013603 SubClassOf LION 0013965.
LION 0013707 is Class.
LION 0013707 SubClassOf LION 0013965.
LION 0013711 is Class.
LION 0013711 SubClassOf LION 0013975.
LION 0013726 is Class.
LION 0013726 SubClassOf LION 0013965.
LION 0013944 is Class.
LION 0013945 is Class.
LION 0013945 SubClassOf LION 0000069,.
LION 0013945 SubClassOf LION 0001737,.
LION 0013945 SubClassOf LION 0080968,.
LION 0013945 SubClassOf LION 0080979.
LION 0013948 is Class.
LION 0013951 is Class.
LION 0013952 is Class.
LION 0013953 is Class.
LION 0013953 SubClassOf LION 0000069,.
LION 0013953 SubClassOf LION 0001737,.
LION 0013953 SubClassOf LION 0080972,.
LION 0013953 SubClassOf LION 0080977.
LION 0013954 is Class.
LION 0013955 is Class.
LION 0013959 is Class.
LION 0013964 is Class.
LION 0013965 is Class.
LION 0013965 SubClassOf LION 0000069,.
LION 0013965 SubClassOf LION 0001737,.
LION 0013965 SubClassOf LION 0080972,.
LION 0013965 SubClassOf LION 0080976.
LION 0013966 is Class.
LION 0013967 is Class.
LION 0013968 is Class.
LION 0013969 is Class.
LION 0013971 is Class.
LION 0013975 is Class.
LION 0013975 SubClassOf LION 0000069,.
LION 0013975 SubClassOf LION 0001739,.
LION 0013975 SubClassOf LION 0080972,.
LION 0013975 SubClassOf LION 0080976.
LION 0013976 is Class.
LION 0013977 is Class.
LION 0013978 is Class.
LION 0013979 is Class.
LION 0013980 is Class.
LION 0013981 is Class.
LION 0013982 is Class.
LION 0013983 is Class.
LION 0013996 is Class.
LION 0014005 is Class.
LION 0014012 is Class.
LION 0014024 is Class.
LION 0014025 is Class.
LION 0014026 is Class.
LION 0014027 is Class.
LION 0014034 is Class.
LION 0014034 SubClassOf LION 0014721.
LION 0014427 is Class.
LION 0014427 SubClassOf LION 0014850.
LION 0014455 is Class.
LION 0014455 SubClassOf LION 0014850.
LION 0014590 is Class.
LION 0014590 SubClassOf LION 0014850.
LION 0014640 is Class.
LION 0014640 SubClassOf LION 0014850.
LION 0014661 is Class.
LION 0014661 SubClassOf LION 0014865.
LION 0014678 is Class.
LION 0014678 SubClassOf LION 0014850.
LION 0014686 is Class.
LION 0014686 SubClassOf LION 0014865.
LION 0014718 is Class.
LION 0014718 SubClassOf LION 0014865.
LION 0014721 is Class.
LION 0014721 SubClassOf LION 0000059,.
LION 0014721 SubClassOf LION 0001735,.
LION 0014721 SubClassOf LION 0080968,.
LION 0014721 SubClassOf LION 0080978.
LION 0014725 is Class.
LION 0014727 is Class.
LION 0014729 is Class.
LION 0014740 is Class.
LION 0014747 is Class.
LION 0014748 is Class.
LION 0014749 is Class.
LION 0014788 is Class.
LION 0014789 is Class.
LION 0014792 is Class.
LION 0014793 is Class.
LION 0014794 is Class.
LION 0014798 is Class.
LION 0014803 is Class.
LION 0014825 is Class.
LION 0014827 is Class.
LION 0014832 is Class.
LION 0014833 is Class.
LION 0014837 is Class.
LION 0014850 is Class.
LION 0014850 SubClassOf LION 0000059,.
LION 0014850 SubClassOf LION 0001739,.
LION 0014850 SubClassOf LION 0080970,.
LION 0014850 SubClassOf LION 0080980.
LION 0014857 is Class.
LION 0014858 is Class.
LION 0014859 is Class.
LION 0014860 is Class.
LION 0014861 is Class.
LION 0014862 is Class.
LION 0014865 is Class.
LION 0014865 SubClassOf LION 0000059,.
LION 0014865 SubClassOf LION 0001739,.
LION 0014865 SubClassOf LION 0080970,.
LION 0014865 SubClassOf LION 0080980.
LION 0014870 is Class.
LION 0014871 is Class.
LION 0014872 is Class.
LION 0014924 is Class.
LION 0014924 SubClassOf LION 0014870.
LION 0015045 is Class.
LION 0015045 SubClassOf LION 0014870.
LION 0015075 is Class.
LION 0015075 SubClassOf LION 0014870.
LION 0015122 is Class.
LION 0015122 SubClassOf LION 0014870.
LION 0015181 is Class.
LION 0015181 SubClassOf LION 0014871.
LION 0015225 is Class.
LION 0015225 SubClassOf LION 0014871.
LION 0015235 is Class.
LION 0015235 SubClassOf LION 0014871.
LION 0015275 is Class.
LION 0015275 SubClassOf LION 0014871.
LION 0015287 is Class.
LION 0015287 SubClassOf LION 0014872.
LION 0015306 is Class.
LION 0015333 is Class.
LION 0015376 is Class.
LION 0015376 SubClassOf LION 0000032.
LION 0015384 is Class.
LION 0015391 is Class.
LION 0015392 is Class.
LION 0015393 is Class.
LION 0015394 is Class.
LION 0015396 is Class.
LION 0015397 is Class.
LION 0015404 is Class.
LION 0015405 is Class.
LION 0015406 is Class.
LION 0015416 is Class.
LION 0015417 is Class.
LION 0015418 is Class.
LION 0015419 is Class.
LION 0015423 is Class.
LION 0015423 SubClassOf LION 0000032.
LION 0015440 is Class.
LION 0015443 is Class.
LION 0015452 is Class.
LION 0015454 is Class.
LION 0015454 SubClassOf LION 0000032.
LION 0015456 is Class.
LION 0015490 is Class.
LION 0015491 is Class.
LION 0015506 is Class.
LION 0015507 is Class.
LION 0015508 is Class.
LION 0015509 is Class.
LION 0015512 is Class.
LION 0015512 SubClassOf LION 0000032.
LION 0015515 is Class.
LION 0015515 SubClassOf LION 0000032.
LION 0015521 is Class.
LION 0015522 is Class.
LION 0015523 is Class.
LION 0015524 is Class.
LION 0015525 is Class.
