double is Datatype.
ito is ObjectProperty.
CHEBI 16240 is Class.
CHEBI 16243 is Class.
CHEBI 16247 is Class.
CHEBI 16422 is Class.
CHEBI 16449 is Class.
CHEBI 16454 is Class.
CHEBI 16526 is Class.
CHEBI 16586 is Class.
CHEBI 16664 is Class.
CHEBI 16684 is Class.
CHEBI 166975 is Class.
CHEBI 16709 is Class.
CHEBI 16714 is Class.
CHEBI 16794 is Class.
CHEBI 16796 is Class.
CHEBI 16811 is Class.
CHEBI 168398 is Class.
CHEBI 16842 is Class.
CHEBI 168426 is Class.
CHEBI 168721 is Class.
CHEBI 16914 is Class.
CHEBI 16962 is Class.
CHEBI 16973 is Class.
CHEBI 16997 is Class.
CHEBI 17015 is Class.
CHEBI 17026 is Class.
CHEBI 17045 is Class.
CHEBI 17151 is Class.
CHEBI 17154 is Class.
CHEBI 17231 is Class.
CHEBI 17234 is Class.
CHEBI 17246 is Class.
CHEBI 17252 is Class.
CHEBI 17263 is Class.
CHEBI 172677 is Class.
CHEBI 172944 is Class.
CHEBI 17303 is Class.
CHEBI 17306 is Class.
CHEBI 17309 is Class.
CHEBI 17347 is Class.
CHEBI 174175 is Class.
CHEBI 17439 is Class.
CHEBI 174690 is Class.
CHEBI 17486 is Class.
CHEBI 17548 is Class.
CHEBI 17579 is Class.
CHEBI 175901 is Class.
CHEBI 17594 is Class.
CHEBI 17650 is Class.
CHEBI 17698 is Class.
CHEBI 17716 is Class.
CHEBI 177453 is Class.
CHEBI 17750 is Class.
CHEBI 17754 is Class.
CHEBI 177570 is Class.
CHEBI 177658 is Class.
CHEBI 177795 is Class.
CHEBI 17822 is Class.
CHEBI 17823 is Class.
CHEBI 17824 is Class.
CHEBI 178256 is Class.
CHEBI 17833 is Class.
CHEBI 17883 is Class.
CHEBI 17976 is Class.
CHEBI 17987 is Class.
CHEBI 17992 is Class.
CHEBI 18067 is Class.
CHEBI 18145 is Class.
CHEBI 18186 is Class.
CHEBI 181906 is Class.
CHEBI 18208 is Class.
CHEBI 18246 is Class.
CHEBI 18258 is Class.
CHEBI 183310 is Class.
CHEBI 183394 is Class.
CHEBI 18346 is Class.
CHEBI 18357 is Class.
CHEBI 183688 is Class.
CHEBI 183811 is Class.
CHEBI 183823 is Class.
CHEBI 186221 is Class.
CHEBI 188719 is Class.
CHEBI 190296 is Class.
CHEBI 190513 is Class.
CHEBI 194186 is Class.
CHEBI 195250 is Class.
CHEBI 2038 is Class.
CHEBI 209807 is Class.
CHEBI 22198 is Class.
CHEBI 22494 is Class.
CHEBI 22652 is Class.
CHEBI 22653 is Class.
CHEBI 228304 is Class.
CHEBI 229223 is Class.
CHEBI 229657 is Class.
CHEBI 229764 is Class.
CHEBI 231601 is Class.
CHEBI 23359 is Class.
CHEBI 23414 is Class.
CHEBI 2379 is Class.
CHEBI 23965 is Class.
CHEBI 2401 is Class.
CHEBI 24267 is Class.
CHEBI 2453 is Class.
CHEBI 24848 is Class.
CHEBI 24859 is Class.
CHEBI 24898 is Class.
CHEBI 24996 is Class.
CHEBI 25017 is Class.
CHEBI 25094 is Class.
CHEBI 25107 is Class.
CHEBI 25140 is Class.
CHEBI 2524 is Class.
CHEBI 2549 is Class.
CHEBI 25555 is Class.
CHEBI 25805 is Class.
CHEBI 258351 is Class.
CHEBI 26078 is Class.
CHEBI 261649 is Class.
CHEBI 2618 is Class.
CHEBI 26216 is Class.
CHEBI 26271 is Class.
CHEBI 2637 is Class.
CHEBI 2659 is Class.
CHEBI 2663 is Class.
CHEBI 26642 is Class.
CHEBI 2666 is Class.
CHEBI 2668 is Class.
CHEBI 26709 is Class.
CHEBI 26710 is Class.
CHEBI 2676 is Class.
CHEBI 2679 is Class.
CHEBI 2682 is Class.
CHEBI 26833 is Class.
CHEBI 26836 is Class.
CHEBI 26849 is Class.
CHEBI 2687 is Class.
CHEBI 26948 is Class.
CHEBI 26986 is Class.
CHEBI 27013 is Class.
CHEBI 27266 is Class.
CHEBI 27306 is Class.
CHEBI 27363 is Class.
CHEBI 27373 is Class.
CHEBI 27446 is Class.
CHEBI 27455 is Class.
CHEBI 27470 is Class.
CHEBI 27547 is Class.
CHEBI 27560 is Class.
CHEBI 27565 is Class.
CHEBI 27570 is Class.
CHEBI 27573 is Class.
CHEBI 27607 is Class.
CHEBI 27690 is Class.
CHEBI 27701 is Class.
CHEBI 27732 is Class.
CHEBI 27779 is Class.
CHEBI 27786 is Class.
CHEBI 27881 is Class.
CHEBI 27897 is Class.
CHEBI 27902 is Class.
CHEBI 27953 is Class.
CHEBI 28001 is Class.
CHEBI 28017 is Class.
CHEBI 28044 is Class.
CHEBI 28077 is Class.
CHEBI 28115 is Class.
CHEBI 28171 is Class.
CHEBI 28177 is Class.
CHEBI 28241 is Class.
CHEBI 28243 is Class.
CHEBI 28262 is Class.
CHEBI 28300 is Class.
CHEBI 28384 is Class.
CHEBI 28487 is Class.
CHEBI 28527 is Class.
CHEBI 28544 is Class.
CHEBI 28568 is Class.
CHEBI 28591 is Class.
CHEBI 28593 is Class.
CHEBI 28621 is Class.
CHEBI 28669 is Class.
CHEBI 28674 is Class.
CHEBI 28680 is Class.
CHEBI 28685 is Class.
CHEBI 28689 is Class.
CHEBI 28741 is Class.
CHEBI 28748 is Class.
CHEBI 28757 is Class.
CHEBI 2877 is Class.
CHEBI 28775 is Class.
CHEBI 28787 is Class.
CHEBI 28838 is Class.
CHEBI 28864 is Class.
CHEBI 28885 is Class.
CHEBI 28915 is Class.
CHEBI 28918 is Class.
CHEBI 28934 is Class.
CHEBI 28940 is Class.
CHEBI 2896 is Class.
CHEBI 28966 is Class.
CHEBI 28971 is Class.
CHEBI 28984 is Class.
CHEBI 29016 is Class.
CHEBI 2930 is Class.
CHEBI 29377 is Class.
CHEBI 2955 is Class.
CHEBI 2968 is Class.
CHEBI 29708 is Class.
CHEBI 2972 is Class.
CHEBI 29805 is Class.
CHEBI 29864 is Class.
CHEBI 29987 is Class.
CHEBI 3001 is Class.
CHEBI 30187 is Class.
CHEBI 30207 is Class.
CHEBI 30217 is Class.
CHEBI 30245 is Class.
CHEBI 30251 is Class.
CHEBI 30313 is Class.
CHEBI 30441 is Class.
CHEBI 30563 is Class.
CHEBI 30618 is Class.
CHEBI 30660 is Class.
CHEBI 30753 is Class.
CHEBI 30769 is Class.
CHEBI 3077 is Class.
CHEBI 3082 is Class.
CHEBI 30830 is Class.
CHEBI 3084 is Class.
CHEBI 30911 is Class.
CHEBI 31206 is Class.
CHEBI 31225 is Class.
CHEBI 3127 is Class.
CHEBI 31291 is Class.
CHEBI 31292 is Class.
CHEBI 31302 is Class.
CHEBI 31306 is Class.
CHEBI 31336 is Class.
CHEBI 31403 is Class.
CHEBI 31413 is Class.
CHEBI 31424 is Class.
CHEBI 31431 is Class.
CHEBI 31444 is Class.
CHEBI 31485 is Class.
CHEBI 31515 is Class.
CHEBI 31530 is Class.
CHEBI 31531 is Class.
CHEBI 31607 is Class.
CHEBI 31608 is Class.
CHEBI 31625 is Class.
CHEBI 31650 is Class.
CHEBI 31654 is Class.
CHEBI 31678 is Class.
CHEBI 31739 is Class.
CHEBI 3175 is Class.
CHEBI 3176 is Class.
CHEBI 31765 is Class.
CHEBI 31781 is Class.
CHEBI 31784 is Class.
CHEBI 31790 is Class.
CHEBI 31793 is Class.
CHEBI 31794 is Class.
CHEBI 31809 is Class.
CHEBI 3181 is Class.
CHEBI 31810 is Class.
CHEBI 31827 is Class.
CHEBI 3183 is Class.
CHEBI 31832 is Class.
CHEBI 31835 is Class.
CHEBI 31845 is Class.
CHEBI 31859 is Class.
CHEBI 31911 is Class.
CHEBI 31943 is Class.
CHEBI 31981 is Class.
CHEBI 32016 is Class.
CHEBI 32026 is Class.
CHEBI 32027 is Class.
CHEBI 32028 is Class.
CHEBI 32035 is Class.
CHEBI 32063 is Class.
CHEBI 32064 is Class.
CHEBI 32066 is Class.
CHEBI 3207 is Class.
CHEBI 32076 is Class.
CHEBI 32111 is Class.
CHEBI 32114 is Class.
CHEBI 32139 is Class.
CHEBI 32145 is Class.
CHEBI 32149 is Class.
CHEBI 3215 is Class.
CHEBI 32150 is Class.
CHEBI 32154 is Class.
CHEBI 32159 is Class.
CHEBI 3216 is Class.
CHEBI 32161 is Class.
CHEBI 32162 is Class.
CHEBI 32168 is Class.
CHEBI 32178 is Class.
CHEBI 32215 is Class.
CHEBI 32229 is Class.
CHEBI 32234 is Class.
CHEBI 32243 is Class.
CHEBI 32278 is Class.
CHEBI 3228 is Class.
CHEBI 32285 is Class.
CHEBI 32391 is Class.
CHEBI 32588 is Class.
CHEBI 32596 is Class.
CHEBI 32599 is Class.
CHEBI 32687 is Class.
CHEBI 3286 is Class.
CHEBI 32954 is Class.
CHEBI 3309 is Class.
CHEBI 3310 is Class.
CHEBI 3311 is Class.
CHEBI 33118 is Class.
CHEBI 3312 is Class.
CHEBI 33130 is Class.
CHEBI 3314 is Class.
CHEBI 33234 is Class.
CHEBI 33301 is Class.
CHEBI 33374 is Class.
CHEBI 3347 is Class.
CHEBI 337298 is Class.
CHEBI 3374 is Class.
CHEBI 3380 is Class.
CHEBI 3385 is Class.
CHEBI 3387 is Class.
CHEBI 3395 is Class.
CHEBI 3398 is Class.
CHEBI 34056 is Class.
CHEBI 34247 is Class.
CHEBI 34288 is Class.
CHEBI 3435 is Class.
CHEBI 34393 is Class.
CHEBI 34683 is Class.
CHEBI 34687 is Class.
CHEBI 34698 is Class.
CHEBI 34706 is Class.
CHEBI 3478 is Class.
CHEBI 3479 is Class.
CHEBI 34829 is Class.
CHEBI 3485 is Class.
CHEBI 34914 is Class.
CHEBI 34918 is Class.
CHEBI 35018 is Class.
CHEBI 3504 is Class.
CHEBI 3506 is Class.
CHEBI 3510 is Class.
CHEBI 35149 is Class.
CHEBI 3515 is Class.
CHEBI 35150 is Class.
CHEBI 35176 is Class.
CHEBI 3534 is Class.
CHEBI 3547 is Class.
CHEBI 3561 is Class.
CHEBI 3565 is Class.
CHEBI 35702 is Class.
CHEBI 35720 is Class.
CHEBI 35812 is Class.
CHEBI 35859 is Class.
CHEBI 36080 is Class.
CHEBI 3611 is Class.
CHEBI 3614 is Class.
CHEBI 3619 is Class.
CHEBI 3638 is Class.
CHEBI 3640 is Class.
CHEBI 3642 is Class.
CHEBI 3647 is Class.
CHEBI 3651 is Class.
CHEBI 36560 is Class.
CHEBI 367163 is Class.
CHEBI 36791 is Class.
CHEBI 36796 is Class.
CHEBI 3682 is Class.
CHEBI 3697 is Class.
CHEBI 3698 is Class.
CHEBI 3699 is Class.
CHEBI 3716 is Class.
CHEBI 3720 is Class.
CHEBI 3732 is Class.
CHEBI 37397 is Class.
CHEBI 3745 is Class.
CHEBI 3756 is Class.
CHEBI 37560 is Class.
CHEBI 37585 is Class.
CHEBI 37586 is Class.
CHEBI 3764 is Class.
CHEBI 3766 is Class.
CHEBI 37767 is Class.
CHEBI 37943 is Class.
CHEBI 3814 is Class.
CHEBI 3892 is Class.
CHEBI 3901 is Class.
CHEBI 39098 is Class.
CHEBI 39462 is Class.
CHEBI 39465 is Class.
CHEBI 39548 is Class.
CHEBI 3988 is Class.
CHEBI 3994 is Class.
CHEBI 3996 is Class.
CHEBI 40050 is Class.
CHEBI 40237 is Class.
CHEBI 4027 is Class.
CHEBI 4031 is Class.
CHEBI 40572 is Class.
CHEBI 4109 is Class.
CHEBI 41237 is Class.
CHEBI 41423 is Class.
CHEBI 41462 is Class.
CHEBI 41872 is Class.
CHEBI 41879 is Class.
CHEBI 41922 is Class.
CHEBI 42191 is Class.
CHEBI 42797 is Class.
CHEBI 42944 is Class.
CHEBI 4315 is Class.
CHEBI 4317 is Class.
CHEBI 4325 is Class.
CHEBI 44423 is Class.
CHEBI 44445 is Class.
CHEBI 4453 is Class.
CHEBI 4464 is Class.
CHEBI 4466 is Class.
CHEBI 4469 is Class.
CHEBI 4470 is Class.
CHEBI 4474 is Class.
CHEBI 4489 is Class.
CHEBI 44915 is Class.
CHEBI 4495 is Class.
CHEBI 4511 is Class.
CHEBI 4518 is Class.
CHEBI 45267 is Class.
CHEBI 45285 is Class.
CHEBI 45409 is Class.
CHEBI 4562 is Class.
CHEBI 45735 is Class.
CHEBI 45863 is Class.
CHEBI 4591 is Class.
CHEBI 45924 is Class.
CHEBI 45951 is Class.
CHEBI 45979 is Class.
CHEBI 4604 is Class.
CHEBI 46081 is Class.
CHEBI 46195 is Class.
CHEBI 46245 is Class.
CHEBI 46345 is Class.
CHEBI 4636 is Class.
CHEBI 4646 is Class.
CHEBI 4653 is Class.
CHEBI 46631 is Class.
CHEBI 46726 is Class.
CHEBI 46793 is Class.
CHEBI 46859 is Class.
CHEBI 4708 is Class.
CHEBI 471744 is Class.
CHEBI 472657 is Class.
CHEBI 4728 is Class.
CHEBI 47381 is Class.
CHEBI 4740 is Class.
CHEBI 47426 is Class.
CHEBI 474859 is Class.
CHEBI 47544 is Class.
CHEBI 47780 is Class.
CHEBI 47782 is Class.
CHEBI 4781 is Class.
CHEBI 48140 is Class.
CHEBI 48273 is Class.
CHEBI 48339 is Class.
CHEBI 48408 is Class.
CHEBI 48416 is Class.
CHEBI 48432 is Class.
CHEBI 4873 is Class.
CHEBI 4875 is Class.
CHEBI 4877 is Class.
CHEBI 487869 is Class.
CHEBI 48923 is Class.
CHEBI 48981 is Class.
CHEBI 49000 is Class.
CHEBI 49005 is Class.
CHEBI 4903 is Class.
CHEBI 490877 is Class.
CHEBI 4917 is Class.
CHEBI 49566 is Class.
CHEBI 49575 is Class.
CHEBI 49662 is Class.
CHEBI 4975 is Class.
CHEBI 499361 is Class.
CHEBI 4995 is Class.
CHEBI 49976 is Class.
CHEBI 50122 is Class.
CHEBI 50172 is Class.
CHEBI 50275 is Class.
CHEBI 50369 is Class.
CHEBI 50378 is Class.
CHEBI 5050 is Class.
CHEBI 50667 is Class.
CHEBI 50693 is Class.
CHEBI 50694 is Class.
CHEBI 50749 is Class.
CHEBI 50819 is Class.
CHEBI 50820 is Class.
CHEBI 50821 is Class.
CHEBI 50845 is Class.
CHEBI 50861 is Class.
CHEBI 5098 is Class.
CHEBI 51038 is Class.
CHEBI 5108 is Class.
CHEBI 51137 is Class.
CHEBI 5118 is Class.
CHEBI 51209 is Class.
CHEBI 5121 is Class.
CHEBI 5123 is Class.
CHEBI 5134 is Class.
CHEBI 51380 is Class.
CHEBI 5141 is Class.
CHEBI 5163 is Class.
CHEBI 51770 is Class.
CHEBI 51804 is Class.
CHEBI 51805 is Class.
CHEBI 518413 is Class.
CHEBI 5195 is Class.
CHEBI 52010 is Class.
CHEBI 52139 is Class.
CHEBI 52683 is Class.
CHEBI 5280 is Class.
CHEBI 5291 is Class.
CHEBI 53248 is Class.
CHEBI 53258 is Class.
CHEBI 53279 is Class.
CHEBI 53289 is Class.
CHEBI 53351 is Class.
CHEBI 534 is Class.
CHEBI 53424 is Class.
CHEBI 53425 is Class.
CHEBI 53426 is Class.
CHEBI 53438 is Class.
CHEBI 53448 is Class.
CHEBI 53700 is Class.
CHEBI 53775 is Class.
CHEBI 53778 is Class.
CHEBI 5384 is Class.
CHEBI 5391 is Class.
CHEBI 5417 is Class.
CHEBI 5523 is Class.
CHEBI 553473 is Class.
CHEBI 5537 is Class.
CHEBI 5551 is Class.
CHEBI 5557 is Class.
CHEBI 5612 is Class.
CHEBI 5613 is Class.
CHEBI 5747 is Class.
CHEBI 575568 is Class.
CHEBI 5764 is Class.
CHEBI 5778 is Class.
CHEBI 5779 is Class.
CHEBI 5784 is Class.
CHEBI 5790 is Class.
CHEBI 5801 is Class.
CHEBI 5818 is Class.
CHEBI 5855 is Class.
CHEBI 5893 is Class.
CHEBI 59008 is Class.
CHEBI 59033 is Class.
CHEBI 59254 is Class.
CHEBI 59269 is Class.
CHEBI 5950 is Class.
CHEBI 59590 is Class.
CHEBI 59594 is Class.
CHEBI 59909 is Class.
CHEBI 59912 is Class.
CHEBI 601027 is Class.
CHEBI 6030 is Class.
CHEBI 6060 is Class.
CHEBI 6061 is Class.
CHEBI 60654 is Class.
CHEBI 6067 is Class.
CHEBI 6073 is Class.
CHEBI 6076 is Class.
CHEBI 6078 is Class.
CHEBI 60802 is Class.
CHEBI 61000 is Class.
CHEBI 61033 is Class.
CHEBI 61057 is Class.
CHEBI 61058 is Class.
CHEBI 61203 is Class.
CHEBI 6128 is Class.
CHEBI 61468 is Class.
CHEBI 61995 is Class.
CHEBI 62070 is Class.
CHEBI 62968 is Class.
CHEBI 62995 is Class.
CHEBI 63017 is Class.
CHEBI 63036 is Class.
CHEBI 63045 is Class.
CHEBI 63554 is Class.
CHEBI 63577 is Class.
CHEBI 63580 is Class.
CHEBI 63606 is Class.
CHEBI 63607 is Class.
CHEBI 63613 is Class.
CHEBI 63619 is Class.
CHEBI 63622 is Class.
CHEBI 63627 is Class.
CHEBI 63631 is Class.
CHEBI 63633 is Class.
CHEBI 63638 is Class.
CHEBI 6367 is Class.
CHEBI 6375 is Class.
CHEBI 63791 is Class.
CHEBI 6384 is Class.
CHEBI 63845 is Class.
CHEBI 64073 is Class.
CHEBI 6427 is Class.
CHEBI 64275 is Class.
CHEBI 64312 is Class.
CHEBI 64355 is Class.
CHEBI 6456 is Class.
CHEBI 64736 is Class.
CHEBI 64746 is Class.
CHEBI 6504 is Class.
CHEBI 6520 is Class.
CHEBI 6532 is Class.
CHEBI 65349 is Class.
CHEBI 6538 is Class.
CHEBI 6541 is Class.
CHEBI 6636 is Class.
CHEBI 6640 is Class.
CHEBI 6650 is Class.
CHEBI 6651 is Class.
CHEBI 66901 is Class.
CHEBI 66919 is Class.
CHEBI 66964 is Class.
CHEBI 6704 is Class.
CHEBI 6709 is Class.
CHEBI 67121 is Class.
CHEBI 6715 is Class.
CHEBI 6717 is Class.
CHEBI 6722 is Class.
CHEBI 6741 is Class.
CHEBI 6754 is Class.
CHEBI 6759 is Class.
CHEBI 6761 is Class.
CHEBI 6762 is Class.
CHEBI 6775 is Class.
CHEBI 6801 is Class.
CHEBI 6807 is Class.
CHEBI 6820 is Class.
CHEBI 6823 is Class.
CHEBI 6824 is Class.
CHEBI 6838 is Class.
CHEBI 68478 is Class.
CHEBI 68579 is Class.
CHEBI 68584 is Class.
CHEBI 68590 is Class.
CHEBI 68606 is Class.
CHEBI 6872 is Class.
CHEBI 6887 is Class.
CHEBI 6888 is Class.
CHEBI 6900 is Class.
CHEBI 6904 is Class.
CHEBI 6909 is Class.
CHEBI 6916 is Class.
CHEBI 6923 is Class.
CHEBI 6931 is Class.
CHEBI 6933 is Class.
CHEBI 6950 is Class.
CHEBI 6960 is Class.
CHEBI 6970 is Class.
CHEBI 70735 is Class.
CHEBI 70746 is Class.
CHEBI 70976 is Class.
CHEBI 71013 is Class.
CHEBI 71028 is Class.
CHEBI 71272 is Class.
CHEBI 71321 is Class.
CHEBI 71415 is Class.
CHEBI 71416 is Class.
CHEBI 71940 is Class.
CHEBI 72564 is Class.
CHEBI 73032 is Class.
CHEBI 73235 is Class.
CHEBI 73237 is Class.
CHEBI 73274 is Class.
CHEBI 73504 is Class.
CHEBI 74274 is Class.
CHEBI 7443 is Class.
CHEBI 74460 is Class.
CHEBI 7447 is Class.
CHEBI 7454 is Class.
CHEBI 7459 is Class.
CHEBI 7465 is Class.
CHEBI 7466 is Class.
CHEBI 7470 is Class.
CHEBI 7476 is Class.
CHEBI 74821 is Class.
CHEBI 7488 is Class.
CHEBI 74951 is Class.
CHEBI 75045 is Class.
CHEBI 7507 is Class.
CHEBI 7508 is Class.
CHEBI 7514 is Class.
CHEBI 75172 is Class.
CHEBI 75179 is Class.
CHEBI 75211 is Class.
CHEBI 75246 is Class.
CHEBI 75323 is Class.
CHEBI 7550 is Class.
CHEBI 7553 is Class.
CHEBI 75584 is Class.
CHEBI 7565 is Class.
CHEBI 7581 is Class.
CHEBI 75832 is Class.
CHEBI 75922 is Class.
CHEBI 76128 is Class.
CHEBI 7627 is Class.
CHEBI 76359 is Class.
CHEBI 7660 is Class.
CHEBI 76612 is Class.
CHEBI 77032 is Class.
CHEBI 77092 is Class.
CHEBI 77095 is Class.
CHEBI 7726 is Class.
CHEBI 7735 is Class.
CHEBI 77635 is Class.
CHEBI 7772 is Class.
CHEBI 7773 is Class.
CHEBI 77868 is Class.
CHEBI 7789 is Class.
CHEBI 7798 is Class.
CHEBI 78074 is Class.
CHEBI 7809 is Class.
CHEBI 7819 is Class.
CHEBI 7820 is Class.
CHEBI 7824 is Class.
CHEBI 7852 is Class.
CHEBI 78549 is Class.
CHEBI 7856 is Class.
CHEBI 78604 is Class.
CHEBI 79042 is Class.
CHEBI 7915 is Class.
CHEBI 7916 is Class.
CHEBI 7922 is Class.
CHEBI 7936 is Class.
CHEBI 7954 is Class.
CHEBI 7983 is Class.
CHEBI 8024 is Class.
CHEBI 8056 is Class.
CHEBI 80630 is Class.
CHEBI 8064 is Class.
CHEBI 8069 is Class.
CHEBI 8080 is Class.
CHEBI 8093 is Class.
CHEBI 8104 is Class.
CHEBI 8107 is Class.
CHEBI 81862 is Class.
CHEBI 8212 is Class.
CHEBI 82365 is Class.
CHEBI 82405 is Class.
CHEBI 82465 is Class.
CHEBI 82482 is Class.
CHEBI 8249 is Class.
CHEBI 82530 is Class.
CHEBI 8255 is Class.
CHEBI 82661 is Class.
CHEBI 82716 is Class.
CHEBI 82865 is Class.
CHEBI 82941 is Class.
CHEBI 82960 is Class.
CHEBI 82978 is Class.
CHEBI 8309 is Class.
CHEBI 8346 is Class.
CHEBI 8347 is Class.
CHEBI 83499 is Class.
CHEBI 8356 is Class.
CHEBI 8357 is Class.
CHEBI 8362 is Class.
CHEBI 83629 is Class.
CHEBI 8364 is Class.
CHEBI 8378 is Class.
CHEBI 8382 is Class.
CHEBI 84115 is Class.
CHEBI 84116 is Class.
CHEBI 8412 is Class.
CHEBI 8426 is Class.
CHEBI 84262 is Class.
CHEBI 8428 is Class.
CHEBI 8430 is Class.
CHEBI 8435 is Class.
CHEBI 8459 is Class.
CHEBI 8461 is Class.
CHEBI 8497 is Class.
CHEBI 8499 is Class.
CHEBI 85010 is Class.
CHEBI 85078 is Class.
CHEBI 85146 is Class.
CHEBI 85176 is Class.
CHEBI 85249 is Class.
CHEBI 86364 is Class.
CHEBI 8654 is Class.
CHEBI 8673 is Class.
CHEBI 8687 is Class.
CHEBI 8707 is Class.
CHEBI 87192 is Class.
CHEBI 8764 is Class.
CHEBI 8776 is Class.
CHEBI 88258 is Class.
CHEBI 88542 is Class.
CHEBI 8871 is Class.
CHEBI 8874 is Class.
CHEBI 8887 is Class.
CHEBI 8913 is Class.
CHEBI 90184 is Class.
CHEBI 90227 is Class.
CHEBI 9073 is Class.
CHEBI 90844 is Class.
CHEBI 90879 is Class.
CHEBI 90908 is Class.
CHEBI 90951 is Class.
CHEBI 90953 is Class.
CHEBI 90960 is Class.
CHEBI 91090 is Class.
CHEBI 9137 is Class.
CHEBI 9139 is Class.
CHEBI 9144 is Class.
CHEBI 9147 is Class.
CHEBI 9150 is Class.
CHEBI 91656 is Class.
CHEBI 9215 is Class.
CHEBI 9241 is Class.
CHEBI 92675 is Class.
CHEBI 9313 is Class.
CHEBI 9321 is Class.
CHEBI 9328 is Class.
CHEBI 9332 is Class.
CHEBI 9334 is Class.
CHEBI 9336 is Class.
CHEBI 9349 is Class.
CHEBI 9391 is Class.
CHEBI 9405 is Class.
CHEBI 9434 is Class.
