BFO 0000050 is ObjectProperty.
fig 28234.svg is Class.
fig 28386.svg is Class.
fig 28394.svg is Class.
fig 28406.svg is Class.
fig 28412.svg is Class.
fig 28413.svg is Class.
fig 28436.svg is Class.
fig 28440.svg is Class.
fig 28448.svg is Class.
fig 28459.svg is Class.
fig 28483.svg is Class.
fig 28487.svg is Class.
fig 28623.svg is Class.
fig 28707.svg is Class.
fig 29017.svg is Class.
fig 29048.svg is Class.
fig 29058.svg is Class.
fig 29066.svg is Class.
fig 29092.svg is Class.
fig 29094.svg is Class.
fig 29095.svg is Class.
fig 29096.svg is Class.
fig 29097.svg is Class.
fig 29098.svg is Class.
fig 29099.svg is Class.
fig 29110.svg is Class.
fig 29117.svg is Class.
fig 29119.svg is Class.
fig 29127.svg is Class.
fig 29150.svg is Class.
fig 29171.svg is Class.
fig 29177.svg is Class.
fig 29210.svg is Class.
fig 29232.svg is Class.
fig 29236.svg is Class.
fig 29239.svg is Class.
fig 29245.svg is Class.
fig 29267.svg is Class.
fig 29281.svg is Class.
fig 29282.svg is Class.
fig 29286.svg is Class.
fig 29288.svg is Class.
fig 29299.svg is Class.
fig 29309.svg is Class.
fig 29311.svg is Class.
fig 29315.svg is Class.
fig 29317.svg is Class.
fig 29338.svg is Class.
fig 29352.svg is Class.
fig 29388.svg is Class.
fig 29391.svg is Class.
fig 29413.svg is Class.
fig 29428.svg is Class.
fig 29429.svg is Class.
fig 29432.svg is Class.
fig 29452.svg is Class.
fig 8435.svg is Class.
fig 8436.svg is Class.
fig 8452.svg is Class.
fig 8467.svg is Class.
fig 8474.svg is Class.
fig 8495.svg is Class.
fig 8506.svg is Class.
fig 8552.svg is Class.
fig 8563.svg is Class.
fig 8580.svg is Class.
fig 8640.svg is Class.
fig 8682.svg is Class.
fig 8684.svg is Class.
fig 8689.svg is Class.
fig 8711.svg is Class.
fig 8719.svg is Class.
fig 8720.svg is Class.
fig 8726.svg is Class.
fig 8750.svg is Class.
fig 8751.svg is Class.
fig 8752.svg is Class.
fig 8762.svg is Class.
fig 8771.svg is Class.
fig 8772.svg is Class.
fig 8776.svg is Class.
fig 8780.svg is Class.
fig 8788.svg is Class.
fig 8791.svg is Class.
fig 8798.svg is Class.
fig 8800.svg is Class.
fig 8806.svg is Class.
fig 8807.svg is Class.
fig 8808.svg is Class.
fig 8824.svg is Class.
fig 8840.svg is Class.
fig 8841.svg is Class.
fig 8886.svg is Class.
fig 8892.svg is Class.
fig 8906.svg is Class.
fig 8908.svg is Class.
fig 8909.svg is Class.
fig 8910.svg is Class.
fig 8923.svg is Class.
fig 8924.svg is Class.
fig 8933.svg is Class.
fig 8939.svg is Class.
fig 8972.svg is Class.
fig 8976.svg is Class.
fig 8979.svg is Class.
fig 8982.svg is Class.
fig 8998.svg is Class.
fig 9000.svg is Class.
fig 9009.svg is Class.
fig 9012.svg is Class.
fig 9040.svg is Class.
fig 9045.svg is Class.
fig 9065.svg is Class.
fig 9072.svg is Class.
fig 9084.svg is Class.
fig 9091.svg is Class.
fig 9093.svg is Class.
fig 9094.svg is Class.
fig 9095.svg is Class.
fig 9096.svg is Class.
fig 9097.svg is Class.
fig 9098.svg is Class.
fig 9099.svg is Class.
fig 9146.svg is Class.
fig 9153.svg is Class.
fig 9190.svg is Class.
fig 9191.svg is Class.
fig 9200.svg is Class.
fig 9204.svg is Class.
fig 9233.svg is Class.
fig 9248.svg is Class.
fig 9266.svg is Class.
fig 9276.svg is Class.
fig 9279.svg is Class.
fig 9285.svg is Class.
fig 9288.svg is Class.
fig 9295.svg is Class.
fig 9296.svg is Class.
fig 9325.svg is Class.
fig 9326.svg is Class.
fig 9346.svg is Class.
fig 9350.svg is Class.
fig 9359.svg is Class.
fig 9379.svg is Class.
fig 9380.svg is Class.
fig 9387.svg is Class.
fig 9393.svg is Class.
fig 9397.svg is Class.
fig 9401.svg is Class.
fig 9436.svg is Class.
fig 9441.svg is Class.
fig 9442.svg is Class.
fig 9450.svg is Class.
fig 9453.svg is Class.
fig 9456.svg is Class.
fig 9497.svg is Class.
fig 9507.svg is Class.
fig 9520.svg is Class.
fig 9534.svg is Class.
fig 9554.svg is Class.
fig 9565.svg is Class.
fig 9600.svg is Class.
fig 9964.svg is Class.
HAO 0000035 is Class.
HAO 0000036 is Class.
HAO 0000037 is Class.
HAO 0000038 is Class.
HAO 0000039 is Class.
HAO 0000044 is Class.
HAO 0000047 is Class.
HAO 0000051 is Class.
HAO 0000052 is Class.
HAO 0000053 is Class.
HAO 0000056 is Class.
HAO 0000057 is Class.
HAO 0000058 is Class.
HAO 0000059 is Class.
HAO 0000060 is Class.
HAO 0000061 is Class.
HAO 0000075 is Class.
HAO 0000096 is Class.
HAO 0000096 SubClassOf HAO 0000909.
HAO 0000101 is Class.
HAO 0000112 is Class.
HAO 0000112 SubClassOf HAO 0000909.
HAO 0000119 is Class.
HAO 0000137 is Class.
HAO 0000137 SubClassOf HAO 0000342.
HAO 0000146 is Class.
HAO 0000154 is Class.
HAO 0000154 SubClassOf HAO 0000909.
HAO 0000159 is Class.
HAO 0000159 SubClassOf HAO 0000909.
HAO 0000167 is Class.
HAO 0000171 is Class.
HAO 0000171 SubClassOf HAO 0000909.
HAO 0000178 is Class.
HAO 0000178 SubClassOf HAO 0000991,.
HAO 0000178 SubClassOf BFO 0000050 some HAO 0000992.
HAO 0000187 is Class.
HAO 0000187 SubClassOf HAO 0000909.
HAO 0000195 is Class.
HAO 0000203 is Class.
HAO 0000234 is Class.
HAO 0000234 SubClassOf HAO 0000909.
HAO 0000238 is Class.
HAO 0000238 SubClassOf HAO 0000909.
HAO 0000240 is Class.
HAO 0000259 is Class.
HAO 0000259 SubClassOf HAO 0000648,.
HAO 0000259 SubClassOf BFO 0000050 some HAO 0000567.
HAO 0000273 is Class.
HAO 0000273 SubClassOf HAO 0000909.
HAO 0000287 is Class.
HAO 0000287 SubClassOf HAO 0000342,.
HAO 0000287 SubClassOf BFO 0000050 some HAO 0000343.
HAO 0000309 is Class.
HAO 0000309 SubClassOf HAO 0000909.
HAO 0000322 is Class.
HAO 0000327 is Class.
HAO 0000328 is Class.
HAO 0000328 SubClassOf HAO 0000909.
HAO 0000330 is Class.
HAO 0000331 is Class.
HAO 0000331 SubClassOf HAO 0000909.
HAO 0000341 is Class.
HAO 0000341 SubClassOf HAO 0000909.
HAO 0000342 is Class.
HAO 0000343 is Class.
HAO 0000362 is Class.
HAO 0000381 is Class.
HAO 0000381 SubClassOf HAO 0000909.
HAO 0000385 is Class.
HAO 0000385 SubClassOf HAO 0000909.
HAO 0000386 is Class.
HAO 0000386 SubClassOf HAO 0000909.
HAO 0000391 is Class.
HAO 0000395 is Class.
HAO 0000395 SubClassOf HAO 0000909.
HAO 0000403 is Class.
HAO 0000403 SubClassOf HAO 0000909.
HAO 0000404 is Class.
HAO 0000404 SubClassOf HAO 0000909.
HAO 0000436 is Class.
HAO 0000436 SubClassOf HAO 0000909.
HAO 0000440 is Class.
HAO 0000440 SubClassOf HAO 0000909.
HAO 0000456 is Class.
HAO 0000456 SubClassOf HAO 0000909.
HAO 0000479 is Class.
HAO 0000531 is Class.
HAO 0000531 SubClassOf HAO 0000909.
HAO 0000555 is Class.
HAO 0000555 SubClassOf HAO 0000909.
HAO 0000557 is Class.
HAO 0000557 SubClassOf HAO 0000909.
HAO 0000558 is Class.
HAO 0000567 is Class.
HAO 0000567 SubClassOf HAO 0000909.
HAO 0000583 is Class.
HAO 0000603 is Class.
HAO 0000604 is Class.
HAO 0000604 SubClassOf HAO 0000909.
HAO 0000606 is Class.
HAO 0000617 is Class.
HAO 0000621 is Class.
HAO 0000630 is Class.
HAO 0000636 is Class.
HAO 0000648 is Class.
HAO 0000668 is Class.
HAO 0000668 SubClassOf HAO 0000909.
HAO 0000669 is Class.
HAO 0000671 is Class.
HAO 0000671 SubClassOf HAO 0000909.
HAO 0000703 is Class.
HAO 0000703 SubClassOf HAO 0000909.
HAO 0000707 is Class.
HAO 0000707 SubClassOf HAO 0000909.
HAO 0000709 is Class.
Thing, is www.w3.org/2002/07/#.
 attached to some HAO 0000385, is HAO#.
 attached to some HAO 0000707 is HAO#.
HAO 0000712 is Class.
HAO 0000712 SubClassOf HAO 0000909.
HAO 0000716 is Class.
HAO 0000719 is Class.
HAO 0000719 SubClassOf HAO 0000909.
HAO 0000727 is Class.
HAO 0000727 SubClassOf HAO 0000909.
HAO 0000729 is Class.
HAO 0000729 SubClassOf HAO 0000909.
HAO 0000747 is Class.
HAO 0000747 SubClassOf HAO 0000909.
HAO 0000748 is Class.
HAO 0000748 SubClassOf HAO 0000909.
HAO 0000786 is Class.
HAO 0000786 SubClassOf HAO 0000909.
HAO 0000795 is Class.
HAO 0000795 SubClassOf HAO 0000716.
HAO 0000804 is Class.
HAO 0000804 SubClassOf HAO 0000909.
HAO 0000843 is Class.
HAO 0000843 SubClassOf HAO 0001076,.
HAO 0000843 SubClassOf BFO 0000050 some HAO 0000853.
HAO 0000853 is Class.
HAO 0000879 is Class.
HAO 0000879 SubClassOf HAO 0002052,.
 attached to some HAO 0000386, is HAO#.
 attached to some HAO 0000707 is HAO#.
HAO 0000893 is Class.
HAO 0000909 is Class.
HAO 0000909 SubClassOf HAO 0000146,.
HAO 0000909 SubClassOf BFO 0000050 some HAO 0000240.
HAO 0000921 is Class.
HAO 0000923 is Class.
HAO 0000923 SubClassOf HAO 0000909.
HAO 0000925 is Class.
HAO 0000935 is Class.
HAO 0000937 is Class.
HAO 0000937 SubClassOf HAO 0000342.
HAO 0000939 is Class.
HAO 0000939 SubClassOf HAO 0000909.
HAO 0000942 is Class.
HAO 0000942 SubClassOf HAO 0000909.
HAO 0000948 is Class.
HAO 0000948 SubClassOf HAO 0000909.
HAO 0000955 is Class.
HAO 0000955 SubClassOf HAO 0000909.
HAO 0000958 is Class.
HAO 0000958 SubClassOf HAO 0000909.
HAO 0000962 is Class.
HAO 0000962 SubClassOf HAO 0000909.
HAO 0000963 is Class.
HAO 0000963 SubClassOf HAO 0000909.
HAO 0000980 is Class.
HAO 0000980 SubClassOf HAO 0000909.
HAO 0000985 is Class.
HAO 0000985 SubClassOf HAO 0000909.
HAO 0000987 is Class.
HAO 0000987 SubClassOf HAO 0000909.
HAO 0000991 is Class.
HAO 0000992 is Class.
HAO 0000994 is Class.
HAO 0000994 SubClassOf HAO 0000991,.
HAO 0000994 SubClassOf BFO 0000050 some HAO 0000992.
HAO 0001004 is Class.
HAO 0001005 is Class.
HAO 0001005 SubClassOf HAO 0000909.
HAO 0001009 is Class.
HAO 0001012 is Class.
HAO 0001012 SubClassOf HAO 0000909.
HAO 0001034 is Class.
HAO 0001035 is Class.
HAO 0001035 SubClassOf HAO 0000909.
HAO 0001043 is Class.
HAO 0001043 SubClassOf HAO 0000909.
HAO 0001076 is Class.
HAO 0001106 is Class.
HAO 0001106 SubClassOf HAO 0000178.
HAO 0001120 is Class.
HAO 0001125 is Class.
HAO 0001126 is Class.
HAO 0001126 SubClassOf HAO 0000991,.
HAO 0001126 SubClassOf BFO 0000050 some HAO 0001125.
HAO 0001127 is Class.
HAO 0001127 SubClassOf HAO 0000991,.
HAO 0001127 SubClassOf BFO 0000050 some HAO 0001125.
HAO 0001128 is Class.
HAO 0001128 SubClassOf HAO 0000991,.
HAO 0001128 SubClassOf BFO 0000050 some HAO 0001125.
HAO 0001129 is Class.
HAO 0001129 SubClassOf HAO 0000991,.
HAO 0001129 SubClassOf BFO 0000050 some HAO 0001125.
HAO 0001130 is Class.
HAO 0001130 SubClassOf HAO 0001034,.
HAO 0001130 SubClassOf BFO 0000050 some HAO 0000636.
HAO 0001132 is Class.
HAO 0001133 is Class.
HAO 0001133 SubClassOf HAO 0000178.
HAO 0001134 is Class.
HAO 0001134 SubClassOf HAO 0000991,.
HAO 0001134 SubClassOf BFO 0000050 some HAO 0001132.
HAO 0001135 is Class.
HAO 0001135 SubClassOf HAO 0000991,.
HAO 0001135 SubClassOf BFO 0000050 some HAO 0001141.
HAO 0001136 is Class.
HAO 0001136 SubClassOf HAO 0000991,.
HAO 0001136 SubClassOf BFO 0000050 some HAO 0001132.
HAO 0001137 is Class.
HAO 0001137 SubClassOf HAO 0000991,.
HAO 0001137 SubClassOf BFO 0000050 some HAO 0001132.
HAO 0001138 is Class.
HAO 0001138 SubClassOf HAO 0000991,.
HAO 0001138 SubClassOf BFO 0000050 some HAO 0001132.
HAO 0001141 is Class.
HAO 0001142 is Class.
HAO 0001142 SubClassOf HAO 0000178.
HAO 0001143 is Class.
HAO 0001143 SubClassOf HAO 0000991,.
HAO 0001143 SubClassOf BFO 0000050 some HAO 0001141.
HAO 0001144 is Class.
HAO 0001144 SubClassOf HAO 0000991,.
HAO 0001144 SubClassOf BFO 0000050 some HAO 0001141.
HAO 0001145 is Class.
HAO 0001145 SubClassOf HAO 0000991,.
HAO 0001145 SubClassOf BFO 0000050 some HAO 0001141.
HAO 0001147 is Class.
HAO 0001147 SubClassOf HAO 0001783,.
HAO 0001147 SubClassOf BFO 0000050 some HAO 0000056.
HAO 0001148 is Class.
HAO 0001148 SubClassOf HAO 0000342,.
HAO 0001148 SubClassOf BFO 0000050 some HAO 0000343.
HAO 0001150 is Class.
HAO 0001150 SubClassOf HAO 0001783,.
HAO 0001150 SubClassOf BFO 0000050 some HAO 0000053.
HAO 0001151 is Class.
HAO 0001151 SubClassOf HAO 0001783,.
HAO 0001151 SubClassOf BFO 0000050 some HAO 0000057.
HAO 0001152 is Class.
HAO 0001152 SubClassOf HAO 0001783,.
HAO 0001152 SubClassOf BFO 0000050 some HAO 0000058.
HAO 0001153 is Class.
HAO 0001153 SubClassOf HAO 0001783,.
HAO 0001153 SubClassOf BFO 0000050 some HAO 0000059.
HAO 0001186 is Class.
HAO 0001186 SubClassOf HAO 0000342,.
HAO 0001186 SubClassOf BFO 0000050 some HAO 0000203.
HAO 0001242 is Class.
HAO 0001242 SubClassOf HAO 0000909.
HAO 0001247 is Class.
HAO 0001247 SubClassOf HAO 0000994.
HAO 0001256 is Class.
HAO 0001256 SubClassOf HAO 0000909.
HAO 0001269 is Class.
HAO 0001269 SubClassOf HAO 0000909.
HAO 0001275 is Class.
HAO 0001275 SubClassOf HAO 0000994.
HAO 0001279 is Class.
HAO 0001279 SubClassOf HAO 0000909.
HAO 0001283 is Class.
HAO 0001327 is Class.
HAO 0001327 SubClassOf HAO 0001870.
HAO 0001351 is Class.
HAO 0001352 is Class.
HAO 0001352 SubClassOf HAO 0000994.
HAO 0001409 is Class.
HAO 0001409 SubClassOf HAO 0000925,.
 attached to some HAO 0000558, is HAO#.
 attached to some HAO 0000606 is HAO#.
HAO 0001414 is Class.
HAO 0001463 is Class.
HAO 0001463 SubClassOf HAO 0001783,.
HAO 0001463 SubClassOf BFO 0000050 some HAO 0000051.
HAO 0001465 is Class.
HAO 0001465 SubClassOf HAO 0001783,.
HAO 0001465 SubClassOf BFO 0000050 some HAO 0000052.
HAO 0001468 is Class.
HAO 0001468 SubClassOf HAO 0001783,.
HAO 0001468 SubClassOf BFO 0000050 some HAO 0000060.
HAO 0001469 is Class.
HAO 0001469 SubClassOf HAO 0001783,.
HAO 0001469 SubClassOf BFO 0000050 some HAO 0000061.
HAO 0001470 is Class.
HAO 0001470 SubClassOf HAO 0001783,.
HAO 0001470 SubClassOf BFO 0000050 some HAO 0000075.
HAO 0001488 is Class.
HAO 0001488 SubClassOf HAO 0000909.
HAO 0001491 is Class.
HAO 0001491 SubClassOf HAO 0001870.
HAO 0001529 is Class.
HAO 0001529 SubClassOf HAO 0000909.
HAO 0001531 is Class.
HAO 0001619 is Class.
HAO 0001619 SubClassOf HAO 0000909.
HAO 0001631 is Class.
HAO 0001631 SubClassOf HAO 0001009,.
HAO 0001631 SubClassOf BFO 0000050 some HAO 0000630.
HAO 0001632 is Class.
HAO 0001632 SubClassOf HAO 0001009,.
HAO 0001632 SubClassOf BFO 0000050 some HAO 0000583.
HAO 0001654 is Class.
HAO 0001657 is Class.
HAO 0001657 SubClassOf HAO 0000909.
HAO 0001658 is Class.
HAO 0001673 is Class.
HAO 0001673 SubClassOf HAO 0000921,.
HAO 0001673 SubClassOf BFO 0000050 some HAO 0000583.
HAO 0001682 is Class.
HAO 0001682 SubClassOf HAO 0000909.
HAO 0001690 is Class.
HAO 0001753 is Class.
HAO 0001753 SubClassOf HAO 0000342,.
HAO 0001753 SubClassOf BFO 0000050 some HAO 0000362.
HAO 0001772 is Class.
HAO 0001772 SubClassOf HAO 0000330,.
HAO 0001772 SubClassOf BFO 0000050 some HAO 0001690.
HAO 0001776 is Class.
HAO 0001776 SubClassOf HAO 0001283,.
 attached to some HAO 0000075, is HAO#.
 attached to some HAO 0002188 is HAO#.
HAO 0001783 is Class.
HAO 0001829 is Class.
HAO 0001829 SubClassOf HAO 0001654,.
HAO 0001829 SubClassOf BFO 0000050 some HAO 0000035.
HAO 0001830 is Class.
HAO 0001830 SubClassOf HAO 0001654,.
HAO 0001830 SubClassOf BFO 0000050 some HAO 0000036.
HAO 0001831 is Class.
HAO 0001831 SubClassOf HAO 0001654,.
HAO 0001831 SubClassOf BFO 0000050 some HAO 0000037.
HAO 0001832 is Class.
HAO 0001832 SubClassOf HAO 0001654,.
HAO 0001832 SubClassOf BFO 0000050 some HAO 0000038.
HAO 0001833 is Class.
HAO 0001833 SubClassOf HAO 0001654,.
HAO 0001833 SubClassOf BFO 0000050 some HAO 0000039.
HAO 0001834 is Class.
HAO 0001834 SubClassOf HAO 0001654,.
HAO 0001834 SubClassOf BFO 0000050 some HAO 0000044.
HAO 0001835 is Class.
HAO 0001835 SubClassOf HAO 0001654,.
HAO 0001835 SubClassOf BFO 0000050 some HAO 0001531.
HAO 0001836 is Class.
HAO 0001836 SubClassOf HAO 0001654,.
HAO 0001836 SubClassOf BFO 0000050 some HAO 0000047.
HAO 0001837 is Class.
HAO 0001837 SubClassOf HAO 0001654,.
HAO 0001837 SubClassOf BFO 0000050 some HAO 0001890.
HAO 0001838 is Class.
HAO 0001839 is Class.
HAO 0001839 SubClassOf HAO 0001838,.
HAO 0001839 SubClassOf BFO 0000050 some HAO 0000035.
HAO 0001840 is Class.
HAO 0001840 SubClassOf HAO 0001838,.
HAO 0001840 SubClassOf BFO 0000050 some HAO 0000036.
HAO 0001841 is Class.
HAO 0001841 SubClassOf HAO 0001838,.
HAO 0001841 SubClassOf BFO 0000050 some HAO 0000038.
HAO 0001842 is Class.
HAO 0001842 SubClassOf HAO 0001838,.
HAO 0001842 SubClassOf BFO 0000050 some HAO 0000039.
HAO 0001843 is Class.
HAO 0001843 SubClassOf HAO 0001838,.
HAO 0001843 SubClassOf BFO 0000050 some HAO 0000044.
HAO 0001844 is Class.
HAO 0001844 SubClassOf HAO 0001838,.
HAO 0001844 SubClassOf BFO 0000050 some HAO 0001531.
HAO 0001845 is Class.
HAO 0001845 SubClassOf HAO 0001838,.
HAO 0001845 SubClassOf BFO 0000050 some HAO 0000047.
HAO 0001846 is Class.
HAO 0001846 SubClassOf HAO 0001838,.
HAO 0001846 SubClassOf BFO 0000050 some HAO 0001890.
HAO 0001848 is Class.
HAO 0001848 SubClassOf HAO 0001838,.
HAO 0001848 SubClassOf BFO 0000050 some HAO 0000037.
HAO 0001855 is Class.
HAO 0001855 SubClassOf HAO 0000909.
HAO 0001864 is Class.
HAO 0001864 SubClassOf HAO 0000991.
HAO 0001865 is Class.
HAO 0001865 SubClassOf HAO 0000991.
HAO 0001866 is Class.
HAO 0001866 SubClassOf HAO 0000909.
HAO 0001867 is Class.
HAO 0001867 SubClassOf HAO 0000991.
HAO 0001868 is Class.
HAO 0001868 SubClassOf HAO 0000991.
HAO 0001870 is Class.
HAO 0001870 SubClassOf HAO 0000617,.
 attached to some HAO 0000603, is HAO#.
 attached to some HAO 0000621 is HAO#.
HAO 0001883 is Class.
HAO 0001883 SubClassOf HAO 0000342,.
HAO 0001883 SubClassOf BFO 0000050 some HAO 0000343.
HAO 0001884 is Class.
HAO 0001884 SubClassOf HAO 0000342,.
HAO 0001884 SubClassOf BFO 0000050 some HAO 0000343.
HAO 0001885 is Class.
HAO 0001885 SubClassOf HAO 0000342,.
HAO 0001885 SubClassOf BFO 0000050 some HAO 0000343.
HAO 0001890 is Class.
HAO 0001895 is Class.
HAO 0001895 SubClassOf HAO 0000342.
HAO 0001896 is Class.
HAO 0001896 SubClassOf HAO 0000342.
HAO 0001897 is Class.
HAO 0001897 SubClassOf HAO 0000342.
HAO 0001898 is Class.
HAO 0001898 SubClassOf HAO 0000342.
HAO 0001899 is Class.
HAO 0001899 SubClassOf HAO 0000342.
HAO 0001900 is Class.
HAO 0001900 SubClassOf HAO 0000342.
HAO 0001901 is Class.
HAO 0001901 SubClassOf HAO 0000342.
HAO 0001921 is Class.
HAO 0001921 SubClassOf HAO 0000909.
HAO 0001964 is Class.
HAO 0001979 is Class.
HAO 0001979 SubClassOf HAO 0000909.
HAO 0001993 is Class.
HAO 0001993 SubClassOf HAO 0000322,.
HAO 0001993 SubClassOf BFO 0000050 some HAO 0000037.
HAO 0002001 is Class.
HAO 0002001 SubClassOf HAO 0001964.
HAO 0002029 is Class.
HAO 0002029 SubClassOf HAO 0000909.
HAO 0002030 is Class.
HAO 0002030 SubClassOf HAO 0000909.
HAO 0002052 is Class.
HAO 0002057 is Class.
HAO 0002057 SubClassOf HAO 0000909.
HAO 0002067 is Class.
HAO 0002067 SubClassOf HAO 0000342,.
HAO 0002067 SubClassOf BFO 0000050 some HAO 0000343.
HAO 0002069 is Class.
HAO 0002069 SubClassOf HAO 0001120,.
HAO 0002069 SubClassOf BFO 0000050 some HAO 0001351.
HAO 0002070 is Class.
HAO 0002070 SubClassOf HAO 0000991,.
HAO 0002070 SubClassOf BFO 0000050 some HAO 0001141.
HAO 0002072 is Class.
HAO 0002072 SubClassOf HAO 0000909.
HAO 0002093 is Class.
HAO 0002093 SubClassOf HAO 0000909.
HAO 0002096 is Class.
HAO 0002096 SubClassOf HAO 0000909.
HAO 0002098 is Class.
HAO 0002098 SubClassOf HAO 0000909.
HAO 0002105 is Class.
HAO 0002105 SubClassOf HAO 0000909.
HAO 0002109 is Class.
HAO 0002109 SubClassOf HAO 0000909.
HAO 0002111 is Class.
HAO 0002111 SubClassOf HAO 0000909.
HAO 0002112 is Class.
HAO 0002112 SubClassOf HAO 0000909.
HAO 0002113 is Class.
HAO 0002113 SubClassOf HAO 0000909.
HAO 0002117 is Class.
HAO 0002117 SubClassOf HAO 0000909.
HAO 0002127 is Class.
HAO 0002127 SubClassOf HAO 0000909.
HAO 0002130 is Class.
HAO 0002130 SubClassOf HAO 0000909.
HAO 0002141 is Class.
HAO 0002141 SubClassOf HAO 0002001.
HAO 0002142 is Class.
HAO 0002142 SubClassOf HAO 0000909.
HAO 0002143 is Class.
HAO 0002143 SubClassOf HAO 0000909.
HAO 0002148 is Class.
HAO 0002148 SubClassOf HAO 0000909.
HAO 0002163 is Class.
HAO 0002163 SubClassOf HAO 0000909.
HAO 0002164 is Class.
HAO 0002164 SubClassOf HAO 0000909.
HAO 0002179 is Class.
HAO 0002179 SubClassOf HAO 0000648,.
HAO 0002179 SubClassOf BFO 0000050 some HAO 0001658.
HAO 0002181 is Class.
HAO 0002181 SubClassOf HAO 0000909.
HAO 0002183 is Class.
HAO 0002183 SubClassOf HAO 0000909.
HAO 0002188 is Class.
HAO 0002194 is Class.
HAO 0002194 SubClassOf HAO 0000909.
HAO 0002195 is Class.
HAO 0002195 SubClassOf HAO 0000909.
HAO 0002196 is Class.
HAO 0002196 SubClassOf HAO 0000909.
HAO 0002200 is Class.
HAO 0002200 SubClassOf HAO 0000909.
HAO 0002201 is Class.
HAO 0002201 SubClassOf HAO 0000909.
HAO 0002204 is Class.
HAO 0002204 SubClassOf HAO 0000909.
HAO 0002206 is Class.
HAO 0002209 is Class.
HAO 0002209 SubClassOf BFO 0000050 some HAO 0002206.
HAO 0002220 is Class.
HAO 0002220 SubClassOf HAO 0000909.
HAO 0002223 is Class.
HAO 0002223 SubClassOf HAO 0000909.
HAO 0002228 is Class.
HAO 0002228 SubClassOf HAO 0000909.
HAO 0002232 is Class.
HAO 0002232 SubClassOf HAO 0000909.
HAO 0002246 is Class.
HAO 0002246 SubClassOf HAO 0000909.
HAO 0002272 is Class.
HAO 0002304 is Class.
HAO 0002304 SubClassOf HAO 0002001.
HAO 0002305 is Class.
HAO 0002305 SubClassOf HAO 0002001.
HAO 0002329 is Class.
Thing is www.w3.org/2002/07/#.
HAO 0002349 is Class.
Thing is www.w3.org/2002/07/#.
HAO 0002350 is Class.
HAO 0002350 SubClassOf HAO 0002349.
HAO 0002361 is Class.
HAO 0002361 SubClassOf HAO 0000909.
HAO 0002424 is Class.
HAO 0002424 SubClassOf HAO 0000342,.
HAO 0002424 SubClassOf BFO 0000050 some HAO 0000101.
HAO 0002445 is Class.
HAO 0002445 SubClassOf HAO 0000909.
HAO 0002451 is Class.
HAO 0002451 SubClassOf HAO 0000342,.
