string is Datatype.
subject has association is ObjectProperty.
subject has association Characteristics Irreflexive.
subject has association Domain OrphaCode.
subject has association Range Association.
with frequency is DataProperty.
Orphanet 100988 SubClassOf OrphaCode.
Orphanet 100989 is Class.
Orphanet 100989 SubClassOf OrphaCode.
Orphanet 100991 is Class.
Orphanet 100991 SubClassOf OrphaCode.
Orphanet 100993 is Class.
Orphanet 100993 SubClassOf OrphaCode.
Orphanet 100994 is Class.
Orphanet 100994 SubClassOf OrphaCode.
Orphanet 100995 is Class.
Orphanet 100995 SubClassOf OrphaCode.
Orphanet 100996 is Class.
Orphanet 100996 SubClassOf OrphaCode.
Orphanet 100997 is Class.
Orphanet 100997 SubClassOf OrphaCode.
Orphanet 100998 is Class.
Orphanet 100998 SubClassOf OrphaCode.
Orphanet 100999 is Class.
Orphanet 100999 SubClassOf OrphaCode.
Orphanet 101 is Class.
Orphanet 101 SubClassOf OrphaCode.
Orphanet 1010 is Class.
Orphanet 1010 SubClassOf OrphaCode.
Orphanet 101000 is Class.
Orphanet 101000 SubClassOf OrphaCode.
Orphanet 101001 is Class.
Orphanet 101001 SubClassOf OrphaCode.
Orphanet 101003 is Class.
Orphanet 101003 SubClassOf OrphaCode.
Orphanet 101004 is Class.
Orphanet 101004 SubClassOf OrphaCode.
Orphanet 101005 is Class.
Orphanet 101005 SubClassOf OrphaCode.
Orphanet 101006 is Class.
Orphanet 101006 SubClassOf OrphaCode.
Orphanet 101007 is Class.
Orphanet 101007 SubClassOf OrphaCode.
Orphanet 101008 is Class.
Orphanet 101008 SubClassOf OrphaCode.
Orphanet 101009 is Class.
Orphanet 101009 SubClassOf OrphaCode.
Orphanet 101010 is Class.
Orphanet 101010 SubClassOf OrphaCode.
Orphanet 101011 is Class.
Orphanet 101011 SubClassOf OrphaCode.
Orphanet 101016 is Class.
Orphanet 101016 SubClassOf OrphaCode.
Orphanet 101028 is Class.
Orphanet 101028 SubClassOf OrphaCode.
Orphanet 101029 is Class.
Orphanet 101029 SubClassOf OrphaCode.
Orphanet 101030 is Class.
Orphanet 101030 SubClassOf OrphaCode.
Orphanet 101039 is Class.
Orphanet 101039 SubClassOf OrphaCode.
Orphanet 101041 is Class.
Orphanet 101041 SubClassOf OrphaCode.
Orphanet 101046 is Class.
Orphanet 101046 SubClassOf OrphaCode.
Orphanet 101070 is Class.
Orphanet 101070 SubClassOf OrphaCode.
Orphanet 101071 is Class.
Orphanet 101071 SubClassOf OrphaCode.
Orphanet 101075 is Class.
Orphanet 101075 SubClassOf OrphaCode.
Orphanet 101076 is Class.
Orphanet 101076 SubClassOf OrphaCode.
Orphanet 101077 is Class.
Orphanet 101077 SubClassOf OrphaCode.
Orphanet 101078 is Class.
Orphanet 101078 SubClassOf OrphaCode.
Orphanet 101081 is Class.
Orphanet 101081 SubClassOf OrphaCode.
Orphanet 101082 is Class.
Orphanet 101082 SubClassOf OrphaCode.
Orphanet 101085 is Class.
Orphanet 101085 SubClassOf OrphaCode.
Orphanet 101096 is Class.
Orphanet 101096 SubClassOf OrphaCode.
Orphanet 101097 is Class.
Orphanet 101097 SubClassOf OrphaCode.
Orphanet 101108 is Class.
Orphanet 101108 SubClassOf OrphaCode.
Orphanet 101109 is Class.
Orphanet 101109 SubClassOf OrphaCode.
Orphanet 101110 is Class.
Orphanet 101110 SubClassOf OrphaCode.
Orphanet 101111 is Class.
Orphanet 101111 SubClassOf OrphaCode.
Orphanet 101112 is Class.
Orphanet 101112 SubClassOf OrphaCode.
Orphanet 101150 is Class.
Orphanet 101150 SubClassOf OrphaCode.
Orphanet 101330 is Class.
Orphanet 101330 SubClassOf OrphaCode.
Orphanet 1014 is Class.
Orphanet 1014 SubClassOf OrphaCode.
Orphanet 1018 is Class.
Orphanet 1018 SubClassOf OrphaCode.
Orphanet 102 is Class.
Orphanet 102 SubClassOf OrphaCode.
Orphanet 1020 is Class.
Orphanet 1020 SubClassOf OrphaCode.
Orphanet 1021 is Class.
Orphanet 1021 SubClassOf OrphaCode.
Orphanet 1027 is Class.
Orphanet 1027 SubClassOf OrphaCode.
Orphanet 1028 is Class.
Orphanet 1028 SubClassOf OrphaCode.
Orphanet 1031 is Class.
Orphanet 1031 SubClassOf OrphaCode.
Orphanet 1035 is Class.
Orphanet 1035 SubClassOf OrphaCode.
Orphanet 103907 is Class.
Orphanet 103907 SubClassOf OrphaCode.
Orphanet 103909 is Class.
Orphanet 103909 SubClassOf OrphaCode.
Orphanet 103910 is Class.
Orphanet 103910 SubClassOf OrphaCode.
Orphanet 103918 is Class.
Orphanet 103918 SubClassOf OrphaCode.
Orphanet 104 is Class.
Orphanet 104 SubClassOf OrphaCode.
Orphanet 1040 is Class.
Orphanet 1040 SubClassOf OrphaCode.
Orphanet 1041 is Class.
Orphanet 1041 SubClassOf OrphaCode.
Orphanet 1046 is Class.
Orphanet 1046 SubClassOf OrphaCode.
Orphanet 1048 is Class.
Orphanet 1048 SubClassOf OrphaCode.
Orphanet 105 is Class.
Orphanet 105 SubClassOf OrphaCode.
Orphanet 1051 is Class.
Orphanet 1051 SubClassOf OrphaCode.
Orphanet 1052 is Class.
Orphanet 1052 SubClassOf OrphaCode.
Orphanet 1053 is Class.
Orphanet 1053 SubClassOf OrphaCode.
Orphanet 1054 is Class.
Orphanet 1054 SubClassOf OrphaCode.
Orphanet 1055 is Class.
Orphanet 1055 SubClassOf OrphaCode.
Orphanet 1059 is Class.
Orphanet 1059 SubClassOf OrphaCode.
Orphanet 1062 is Class.
Orphanet 1062 SubClassOf OrphaCode.
Orphanet 1063 is Class.
Orphanet 1063 SubClassOf OrphaCode.
Orphanet 1064 is Class.
Orphanet 1064 SubClassOf OrphaCode.
Orphanet 1065 is Class.
Orphanet 1065 SubClassOf OrphaCode.
Orphanet 1067 is Class.
Orphanet 1067 SubClassOf OrphaCode.
Orphanet 1068 is Class.
Orphanet 1068 SubClassOf OrphaCode.
Orphanet 1069 is Class.
Orphanet 1069 SubClassOf OrphaCode.
Orphanet 107 is Class.
Orphanet 107 SubClassOf OrphaCode.
Orphanet 1071 is Class.
Orphanet 1071 SubClassOf OrphaCode.
Orphanet 1072 is Class.
Orphanet 1072 SubClassOf OrphaCode.
Orphanet 1074 is Class.
Orphanet 1074 SubClassOf OrphaCode.
Orphanet 1077 is Class.
Orphanet 1077 SubClassOf OrphaCode.
Orphanet 1078 is Class.
Orphanet 1078 SubClassOf OrphaCode.
Orphanet 108 is Class.
Orphanet 108 SubClassOf OrphaCode.
Orphanet 1083 is Class.
Orphanet 1083 SubClassOf OrphaCode.
Orphanet 1084 is Class.
Orphanet 1084 SubClassOf OrphaCode.
Orphanet 109 is Class.
Orphanet 109 SubClassOf OrphaCode.
Orphanet 1094 is Class.
Orphanet 1094 SubClassOf OrphaCode.
Orphanet 11 is Class.
Orphanet 11 SubClassOf OrphaCode.
Orphanet 110 is Class.
Orphanet 110 SubClassOf OrphaCode.
Orphanet 1101 is Class.
Orphanet 1101 SubClassOf OrphaCode.
Orphanet 1104 is Class.
Orphanet 1104 SubClassOf OrphaCode.
Orphanet 1106 is Class.
Orphanet 1106 SubClassOf OrphaCode.
Orphanet 111 is Class.
Orphanet 111 SubClassOf OrphaCode.
Orphanet 1110 is Class.
Orphanet 1110 SubClassOf OrphaCode.
Orphanet 1112 is Class.
Orphanet 1112 SubClassOf OrphaCode.
Orphanet 1113 is Class.
Orphanet 1113 SubClassOf OrphaCode.
Orphanet 1114 is Class.
Orphanet 1114 SubClassOf OrphaCode.
Orphanet 1116 is Class.
Orphanet 1116 SubClassOf OrphaCode.
Orphanet 1117 is Class.
Orphanet 1117 SubClassOf OrphaCode.
Orphanet 1118 is Class.
Orphanet 1118 SubClassOf OrphaCode.
Orphanet 112 is Class.
Orphanet 112 SubClassOf OrphaCode.
Orphanet 1120 is Class.
Orphanet 1120 SubClassOf OrphaCode.
Orphanet 1122 is Class.
Orphanet 1122 SubClassOf OrphaCode.
Orphanet 1123 is Class.
Orphanet 1123 SubClassOf OrphaCode.
Orphanet 1129 is Class.
Orphanet 1129 SubClassOf OrphaCode.
Orphanet 113 is Class.
Orphanet 113 SubClassOf OrphaCode.
Orphanet 1131 is Class.
Orphanet 1131 SubClassOf OrphaCode.
Orphanet 1133 is Class.
Orphanet 1133 SubClassOf OrphaCode.
Orphanet 1134 is Class.
Orphanet 1134 SubClassOf OrphaCode.
Orphanet 1135 is Class.
Orphanet 1135 SubClassOf OrphaCode.
Orphanet 114 is Class.
Orphanet 114 SubClassOf OrphaCode.
Orphanet 1143 is Class.
Orphanet 1143 SubClassOf OrphaCode.
Orphanet 1144 is Class.
Orphanet 1144 SubClassOf OrphaCode.
Orphanet 1145 is Class.
Orphanet 1145 SubClassOf OrphaCode.
Orphanet 1146 is Class.
Orphanet 1146 SubClassOf OrphaCode.
Orphanet 1147 is Class.
Orphanet 1147 SubClassOf OrphaCode.
Orphanet 1149 is Class.
Orphanet 1149 SubClassOf OrphaCode.
Orphanet 115 is Class.
Orphanet 115 SubClassOf OrphaCode.
Orphanet 1150 is Class.
Orphanet 1150 SubClassOf OrphaCode.
Orphanet 1154 is Class.
Orphanet 1154 SubClassOf OrphaCode.
Orphanet 1159 is Class.
Orphanet 1159 SubClassOf OrphaCode.
Orphanet 116 is Class.
Orphanet 116 SubClassOf OrphaCode.
Orphanet 1160 is Class.
Orphanet 1160 SubClassOf OrphaCode.
Orphanet 1163 is Class.
Orphanet 1163 SubClassOf OrphaCode.
Orphanet 1164 is Class.
Orphanet 1164 SubClassOf OrphaCode.
Orphanet 1166 is Class.
Orphanet 1166 SubClassOf OrphaCode.
Orphanet 1168 is Class.
Orphanet 1168 SubClassOf OrphaCode.
Orphanet 117 is Class.
Orphanet 117 SubClassOf OrphaCode.
Orphanet 1170 is Class.
Orphanet 1170 SubClassOf OrphaCode.
Orphanet 1171 is Class.
Orphanet 1171 SubClassOf OrphaCode.
Orphanet 1173 is Class.
Orphanet 1173 SubClassOf OrphaCode.
Orphanet 1174 is Class.
Orphanet 1174 SubClassOf OrphaCode.
Orphanet 1175 is Class.
Orphanet 1175 SubClassOf OrphaCode.
Orphanet 1177 is Class.
Orphanet 1177 SubClassOf OrphaCode.
Orphanet 1178 is Class.
Orphanet 1178 SubClassOf OrphaCode.
Orphanet 1179 is Class.
Orphanet 1179 SubClassOf OrphaCode.
Orphanet 118 is Class.
Orphanet 118 SubClassOf OrphaCode.
Orphanet 1180 is Class.
Orphanet 1180 SubClassOf OrphaCode.
Orphanet 1182 is Class.
Orphanet 1182 SubClassOf OrphaCode.
Orphanet 1183 is Class.
Orphanet 1183 SubClassOf OrphaCode.
Orphanet 1184 is Class.
Orphanet 1184 SubClassOf OrphaCode.
Orphanet 1185 is Class.
Orphanet 1185 SubClassOf OrphaCode.
Orphanet 1186 is Class.
Orphanet 1186 SubClassOf OrphaCode.
Orphanet 1187 is Class.
Orphanet 1187 SubClassOf OrphaCode.
Orphanet 1188 is Class.
Orphanet 1188 SubClassOf OrphaCode.
Orphanet 119 is Class.
Orphanet 119 SubClassOf OrphaCode.
Orphanet 1190 is Class.
Orphanet 1190 SubClassOf OrphaCode.
Orphanet 1192 is Class.
Orphanet 1192 SubClassOf OrphaCode.
Orphanet 1193 is Class.
Orphanet 1193 SubClassOf OrphaCode.
Orphanet 1194 is Class.
Orphanet 1194 SubClassOf OrphaCode.
Orphanet 1195 is Class.
Orphanet 1195 SubClassOf OrphaCode.
Orphanet 1198 is Class.
Orphanet 1198 SubClassOf OrphaCode.
Orphanet 1199 is Class.
Orphanet 1199 SubClassOf OrphaCode.
Orphanet 1200 is Class.
Orphanet 1200 SubClassOf OrphaCode.
Orphanet 1201 is Class.
Orphanet 1201 SubClassOf OrphaCode.
Orphanet 1202 is Class.
Orphanet 1202 SubClassOf OrphaCode.
Orphanet 1203 is Class.
Orphanet 1203 SubClassOf OrphaCode.
Orphanet 1208 is Class.
Orphanet 1208 SubClassOf OrphaCode.
Orphanet 1209 is Class.
Orphanet 1209 SubClassOf OrphaCode.
Orphanet 1214 is Class.
Orphanet 1214 SubClassOf OrphaCode.
Orphanet 1215 is Class.
Orphanet 1215 SubClassOf OrphaCode.
Orphanet 1216 is Class.
Orphanet 1216 SubClassOf OrphaCode.
Orphanet 122 is Class.
Orphanet 122 SubClassOf OrphaCode.
Orphanet 1221 is Class.
Orphanet 1221 SubClassOf OrphaCode.
Orphanet 1225 is Class.
Orphanet 1225 SubClassOf OrphaCode.
Orphanet 1226 is Class.
Orphanet 1226 SubClassOf OrphaCode.
Orphanet 1227 is Class.
Orphanet 1227 SubClassOf OrphaCode.
Orphanet 1228 is Class.
Orphanet 1228 SubClassOf OrphaCode.
Orphanet 1229 is Class.
Orphanet 1229 SubClassOf OrphaCode.
Orphanet 123 is Class.
Orphanet 123 SubClassOf OrphaCode.
Orphanet 1231 is Class.
Orphanet 1231 SubClassOf OrphaCode.
Orphanet 1234 is Class.
Orphanet 1234 SubClassOf OrphaCode.
Orphanet 1236 is Class.
Orphanet 1236 SubClassOf OrphaCode.
Orphanet 1237 is Class.
Orphanet 1237 SubClassOf OrphaCode.
Orphanet 124 is Class.
Orphanet 124 SubClassOf OrphaCode.
Orphanet 1241 is Class.
Orphanet 1241 SubClassOf OrphaCode.
Orphanet 1243 is Class.
Orphanet 1243 SubClassOf OrphaCode.
Orphanet 1248 is Class.
Orphanet 1248 SubClassOf OrphaCode.
Orphanet 125 is Class.
Orphanet 125 SubClassOf OrphaCode.
Orphanet 1252 is Class.
Orphanet 1252 SubClassOf OrphaCode.
Orphanet 1253 is Class.
Orphanet 1253 SubClassOf OrphaCode.
Orphanet 1259 is Class.
Orphanet 1259 SubClassOf OrphaCode.
Orphanet 126 is Class.
Orphanet 126 SubClassOf OrphaCode.
Orphanet 1261 is Class.
Orphanet 1261 SubClassOf OrphaCode.
Orphanet 1262 is Class.
Orphanet 1262 SubClassOf OrphaCode.
Orphanet 1263 is Class.
Orphanet 1263 SubClassOf OrphaCode.
Orphanet 1264 is Class.
Orphanet 1264 SubClassOf OrphaCode.
Orphanet 1267 is Class.
Orphanet 1267 SubClassOf OrphaCode.
Orphanet 127 is Class.
Orphanet 127 SubClassOf OrphaCode.
Orphanet 1270 is Class.
Orphanet 1270 SubClassOf OrphaCode.
Orphanet 1272 is Class.
Orphanet 1272 SubClassOf OrphaCode.
Orphanet 1275 is Class.
Orphanet 1275 SubClassOf OrphaCode.
Orphanet 1276 is Class.
Orphanet 1276 SubClassOf OrphaCode.
Orphanet 1277 is Class.
Orphanet 1277 SubClassOf OrphaCode.
Orphanet 1278 is Class.
Orphanet 1278 SubClassOf OrphaCode.
Orphanet 129 is Class.
Orphanet 129 SubClassOf OrphaCode.
Orphanet 1292 is Class.
Orphanet 1292 SubClassOf OrphaCode.
Orphanet 1295 is Class.
Orphanet 1295 SubClassOf OrphaCode.
Orphanet 1296 is Class.
Orphanet 1296 SubClassOf OrphaCode.
Orphanet 1297 is Class.
Orphanet 1297 SubClassOf OrphaCode.
Orphanet 1299 is Class.
Orphanet 1299 SubClassOf OrphaCode.
Orphanet 13 is Class.
Orphanet 13 SubClassOf OrphaCode.
Orphanet 130 is Class.
Orphanet 130 SubClassOf OrphaCode.
Orphanet 1300 is Class.
Orphanet 1300 SubClassOf OrphaCode.
Orphanet 1302 is Class.
Orphanet 1302 SubClassOf OrphaCode.
Orphanet 1303 is Class.
Orphanet 1303 SubClassOf OrphaCode.
Orphanet 1304 is Class.
Orphanet 1304 SubClassOf OrphaCode.
Orphanet 1305 is Class.
Orphanet 1305 SubClassOf OrphaCode.
Orphanet 1307 is Class.
Orphanet 1307 SubClassOf OrphaCode.
Orphanet 1308 is Class.
Orphanet 1308 SubClassOf OrphaCode.
Orphanet 1309 is Class.
Orphanet 1309 SubClassOf OrphaCode.
Orphanet 131 is Class.
Orphanet 131 SubClassOf OrphaCode.
Orphanet 1310 is Class.
Orphanet 1310 SubClassOf OrphaCode.
Orphanet 1313 is Class.
Orphanet 1313 SubClassOf OrphaCode.
Orphanet 1314 is Class.
Orphanet 1314 SubClassOf OrphaCode.
Orphanet 1318 is Class.
Orphanet 1318 SubClassOf OrphaCode.
Orphanet 1319 is Class.
Orphanet 1319 SubClassOf OrphaCode.
Orphanet 132 is Class.
Orphanet 132 SubClassOf OrphaCode.
Orphanet 1320 is Class.
Orphanet 1320 SubClassOf OrphaCode.
Orphanet 1323 is Class.
Orphanet 1323 SubClassOf OrphaCode.
Orphanet 1325 is Class.
Orphanet 1325 SubClassOf OrphaCode.
Orphanet 1326 is Class.
Orphanet 1326 SubClassOf OrphaCode.
Orphanet 1327 is Class.
Orphanet 1327 SubClassOf OrphaCode.
Orphanet 1328 is Class.
Orphanet 1328 SubClassOf OrphaCode.
Orphanet 1329 is Class.
Orphanet 1329 SubClassOf OrphaCode.
Orphanet 133 is Class.
Orphanet 133 SubClassOf OrphaCode.
Orphanet 1330 is Class.
Orphanet 1330 SubClassOf OrphaCode.
Orphanet 1332 is Class.
Orphanet 1332 SubClassOf OrphaCode.
Orphanet 1333 is Class.
Orphanet 1333 SubClassOf OrphaCode.
Orphanet 1334 is Class.
Orphanet 1334 SubClassOf OrphaCode.
Orphanet 1335 is Class.
Orphanet 1335 SubClassOf OrphaCode.
Orphanet 1336 is Class.
Orphanet 1336 SubClassOf OrphaCode.
Orphanet 1338 is Class.
Orphanet 1338 SubClassOf OrphaCode.
Orphanet 134 is Class.
Orphanet 134 SubClassOf OrphaCode.
Orphanet 1340 is Class.
Orphanet 1340 SubClassOf OrphaCode.
Orphanet 1344 is Class.
Orphanet 1344 SubClassOf OrphaCode.
Orphanet 1345 is Class.
Orphanet 1345 SubClassOf OrphaCode.
Orphanet 1349 is Class.
Orphanet 1349 SubClassOf OrphaCode.
Orphanet 135 is Class.
Orphanet 135 SubClassOf OrphaCode.
Orphanet 1350 is Class.
Orphanet 1350 SubClassOf OrphaCode.
Orphanet 1352 is Class.
Orphanet 1352 SubClassOf OrphaCode.
Orphanet 1354 is Class.
Orphanet 1354 SubClassOf OrphaCode.
Orphanet 1355 is Class.
Orphanet 1355 SubClassOf OrphaCode.
Orphanet 1358 is Class.
Orphanet 1358 SubClassOf OrphaCode.
Orphanet 1359 is Class.
Orphanet 1359 SubClassOf OrphaCode.
Orphanet 136 is Class.
Orphanet 136 SubClassOf OrphaCode.
Orphanet 1361 is Class.
Orphanet 1361 SubClassOf OrphaCode.
Orphanet 1366 is Class.
Orphanet 1366 SubClassOf OrphaCode.
Orphanet 1368 is Class.
Orphanet 1368 SubClassOf OrphaCode.
Orphanet 1369 is Class.
Orphanet 1369 SubClassOf OrphaCode.
Orphanet 1373 is Class.
Orphanet 1373 SubClassOf OrphaCode.
Orphanet 1375 is Class.
Orphanet 1375 SubClassOf OrphaCode.
Orphanet 137596 is Class.
Orphanet 137596 SubClassOf OrphaCode.
Orphanet 137599 is Class.
Orphanet 137599 SubClassOf OrphaCode.
Orphanet 137605 is Class.
Orphanet 137605 SubClassOf OrphaCode.
Orphanet 137608 is Class.
Orphanet 137608 SubClassOf OrphaCode.
Orphanet 137634 is Class.
Orphanet 137634 SubClassOf OrphaCode.
Orphanet 137667 is Class.
Orphanet 137667 SubClassOf OrphaCode.
Orphanet 137675 is Class.
Orphanet 137675 SubClassOf OrphaCode.
Orphanet 137686 is Class.
Orphanet 137686 SubClassOf OrphaCode.
Orphanet 1377 is Class.
Orphanet 1377 SubClassOf OrphaCode.
Orphanet 137754 is Class.
Orphanet 137754 SubClassOf OrphaCode.
Orphanet 137817 is Class.
Orphanet 137817 SubClassOf OrphaCode.
Orphanet 137831 is Class.
Orphanet 137831 SubClassOf OrphaCode.
Orphanet 137834 is Class.
Orphanet 137834 SubClassOf OrphaCode.
Orphanet 137867 is Class.
Orphanet 137867 SubClassOf OrphaCode.
Orphanet 137888 is Class.
Orphanet 137888 SubClassOf OrphaCode.
Orphanet 137898 is Class.
Orphanet 137898 SubClassOf OrphaCode.
Orphanet 137914 is Class.
Orphanet 137914 SubClassOf OrphaCode.
Orphanet 137935 is Class.
Orphanet 137935 SubClassOf OrphaCode.
Orphanet 138 is Class.
Orphanet 138 SubClassOf OrphaCode.
Orphanet 1380 is Class.
Orphanet 1380 SubClassOf OrphaCode.
Orphanet 1381 is Class.
Orphanet 1381 SubClassOf OrphaCode.
Orphanet 1383 is Class.
Orphanet 1383 SubClassOf OrphaCode.
Orphanet 1387 is Class.
Orphanet 1387 SubClassOf OrphaCode.
Orphanet 1388 is Class.
Orphanet 1388 SubClassOf OrphaCode.
Orphanet 1389 is Class.
Orphanet 1389 SubClassOf OrphaCode.
Orphanet 1390 is Class.
Orphanet 1390 SubClassOf OrphaCode.
Orphanet 1393 is Class.
Orphanet 1393 SubClassOf OrphaCode.
Orphanet 139396 is Class.
Orphanet 139396 SubClassOf OrphaCode.
Orphanet 139399 is Class.
Orphanet 139399 SubClassOf OrphaCode.
Orphanet 1394 is Class.
Orphanet 1394 SubClassOf OrphaCode.
Orphanet 139402 is Class.
Orphanet 139402 SubClassOf OrphaCode.
Orphanet 139406 is Class.
Orphanet 139406 SubClassOf OrphaCode.
Orphanet 139411 is Class.
Orphanet 139411 SubClassOf OrphaCode.
Orphanet 139414 is Class.
Orphanet 139414 SubClassOf OrphaCode.
Orphanet 139417 is Class.
Orphanet 139417 SubClassOf OrphaCode.
Orphanet 139426 is Class.
Orphanet 139426 SubClassOf OrphaCode.
Orphanet 139431 is Class.
Orphanet 139431 SubClassOf OrphaCode.
Orphanet 139436 is Class.
Orphanet 139436 SubClassOf OrphaCode.
Orphanet 139444 is Class.
Orphanet 139444 SubClassOf OrphaCode.
Orphanet 139450 is Class.
Orphanet 139450 SubClassOf OrphaCode.
Orphanet 139466 is Class.
Orphanet 139466 SubClassOf OrphaCode.
Orphanet 139471 is Class.
Orphanet 139471 SubClassOf OrphaCode.
Orphanet 139474 is Class.
Orphanet 139474 SubClassOf OrphaCode.
Orphanet 139480 is Class.
Orphanet 139480 SubClassOf OrphaCode.
Orphanet 139485 is Class.
Orphanet 139485 SubClassOf OrphaCode.
Orphanet 139507 is Class.
Orphanet 139507 SubClassOf OrphaCode.
Orphanet 139536 is Class.
Orphanet 139536 SubClassOf OrphaCode.
Orphanet 139578 is Class.
Orphanet 139578 SubClassOf OrphaCode.
Orphanet 1397 is Class.
Orphanet 1397 SubClassOf OrphaCode.
Orphanet 1398 is Class.
Orphanet 1398 SubClassOf OrphaCode.
Orphanet 1399 is Class.
Orphanet 1399 SubClassOf OrphaCode.
Orphanet 14 is Class.
Orphanet 14 SubClassOf OrphaCode.
Orphanet 140 is Class.
Orphanet 140 SubClassOf OrphaCode.
Orphanet 1401 is Class.
Orphanet 1401 SubClassOf OrphaCode.
Orphanet 140286 is Class.
Orphanet 140286 SubClassOf OrphaCode.
Orphanet 1406 is Class.
Orphanet 1406 SubClassOf OrphaCode.
Orphanet 140896 is Class.
Orphanet 140896 SubClassOf OrphaCode.
Orphanet 140905 is Class.
Orphanet 140905 SubClassOf OrphaCode.
Orphanet 140908 is Class.
Orphanet 140908 SubClassOf OrphaCode.
Orphanet 140927 is Class.
Orphanet 140927 SubClassOf OrphaCode.
Orphanet 140933 is Class.
Orphanet 140933 SubClassOf OrphaCode.
Orphanet 140936 is Class.
Orphanet 140936 SubClassOf OrphaCode.
Orphanet 140941 is Class.
Orphanet 140941 SubClassOf OrphaCode.
Orphanet 140944 is Class.
Orphanet 140944 SubClassOf OrphaCode.
Orphanet 140952 is Class.
Orphanet 140952 SubClassOf OrphaCode.
Orphanet 140966 is Class.
Orphanet 140966 SubClassOf OrphaCode.
Orphanet 140976 is Class.
Orphanet 140976 SubClassOf OrphaCode.
Orphanet 140989 is Class.
Orphanet 140989 SubClassOf OrphaCode.
Orphanet 141 is Class.
Orphanet 141 SubClassOf OrphaCode.
Orphanet 1410 is Class.
Orphanet 1410 SubClassOf OrphaCode.
Orphanet 141083 is Class.
Orphanet 141083 SubClassOf OrphaCode.
Orphanet 141091 is Class.
Orphanet 141091 SubClassOf OrphaCode.
Orphanet 141096 is Class.
Orphanet 141096 SubClassOf OrphaCode.
Orphanet 141099 is Class.
Orphanet 141099 SubClassOf OrphaCode.
Orphanet 141127 is Class.
Orphanet 141127 SubClassOf OrphaCode.
Orphanet 141152 is Class.
Orphanet 141152 SubClassOf OrphaCode.
Orphanet 141179 is Class.
Orphanet 141179 SubClassOf OrphaCode.
Orphanet 141184 is Class.
Orphanet 141184 SubClassOf OrphaCode.
Orphanet 1412 is Class.
Orphanet 1412 SubClassOf OrphaCode.
Orphanet 141291 is Class.
Orphanet 141291 SubClassOf OrphaCode.
Orphanet 141333 is Class.
Orphanet 141333 SubClassOf OrphaCode.
Orphanet 1414 is Class.
Orphanet 1414 SubClassOf OrphaCode.
Orphanet 1416 is Class.
Orphanet 1416 SubClassOf OrphaCode.
Orphanet 142 is Class.
Orphanet 142 SubClassOf OrphaCode.
Orphanet 1422 is Class.
