www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
TEMP# is ObjectProperty.
TEMP# is ObjectProperty.
EMAPA 17759 is Class.
EMAPA 17764 is Class.
EMAPA 17778 is Class.
EMAPA 17787 is Class.
EMAPA 17838 is Class.
EMAPA 17868 is Class.
EMAPA 17896 is Class.
EMAPA 17938 is Class.
EMAPA 17950 is Class.
EMAPA 17959 is Class.
EMAPA 17962 is Class.
EMAPA 17968 is Class.
EMAPA 17972 is Class.
EMAPA 18025 is Class.
EMAPA 18028 is Class.
EMAPA 18207 is Class.
EMAPA 18215 is Class.
EMAPA 18248 is Class.
EMAPA 18321 is Class.
EMAPA 18333 is Class.
EMAPA 18372 is Class.
EMAPA 18426 is Class.
EMAPA 18427 is Class.
EMAPA 18428 is Class.
EMAPA 18609 is Class.
EMAPA 18681 is Class.
EMAPA 18682 is Class.
EMAPA 18685 is Class.
EMAPA 18692 is Class.
EMAPA 18734 is Class.
EMAPA 18767 is Class.
EMAPA 18768 is Class.
EMAPA 18769 is Class.
EMAPA 18797 is Class.
EMAPA 18816 is Class.
EMAPA 18827 is Class.
EMAPA 18852 is Class.
EMAPA 18870 is Class.
EMAPA 18939 is Class.
EMAPA 18949 is Class.
EMAPA 18952 is Class.
EMAPA 18984 is Class.
EMAPA 18985 is Class.
EMAPA 18986 is Class.
EMAPA 19051 is Class.
EMAPA 19088 is Class.
EMAPA 19148 is Class.
EMAPA 19246 is Class.
EMAPA 19252 is Class.
EMAPA 19284 is Class.
EMAPA 19287 is Class.
EMAPA 19290 is Class.
EVM 2000066 is Class.
EVM 2000181 is Class.
EVM 2000183 is Class.
EVM 2000191 is Class.
EVM 2000213 is Class.
EVM 2000256 is Class.
EVM 2000298 is Class.
EVM 2000306 is Class.
EVM 2000307 is Class.
EVM 2000312 is Class.
EVM 2000314 is Class.
EVM 2000322 is Class.
EVM 2000364 is Class.
EVM 2990000 is Class.
EVM 2990001 is Class.
EVM 2990005 is Class.
EVM 2990009 is Class.
EVM 2990028 is Class.
EVM 2990031 is Class.
EV 0100008 is Class.
EV 0100010 is Class.
EV 0100011 is Class.
EV 0100014 is Class.
EV 0100015 is Class.
EV 0100017 is Class.
EV 0100018 is Class.
EV 0100020 is Class.
EV 0100021 is Class.
EV 0100022 is Class.
EV 0100023 is Class.
EV 0100026 is Class.
EV 0100027 is Class.
EV 0100031 is Class.
EV 0100036 is Class.
EV 0100037 is Class.
EV 0100039 is Class.
EV 0100040 is Class.
EV 0100041 is Class.
EV 0100042 is Class.
EV 0100046 is Class.
EV 0100047 is Class.
EV 0100049 is Class.
EV 0100050 is Class.
EV 0100055 is Class.
EV 0100056 is Class.
EV 0100057 is Class.
EV 0100058 is Class.
EV 0100063 is Class.
EV 0100065 is Class.
EV 0100069 is Class.
EV 0100070 is Class.
EV 0100071 is Class.
EV 0100072 is Class.
EV 0100073 is Class.
EV 0100074 is Class.
EV 0100075 is Class.
EV 0100077 is Class.
EV 0100079 is Class.
EV 0100080 is Class.
EV 0100081 is Class.
EV 0100082 is Class.
EV 0100088 is Class.
EV 0100089 is Class.
EV 0100090 is Class.
EV 0100092 is Class.
EV 0100095 is Class.
EV 0100096 is Class.
EV 0100097 is Class.
EV 0100098 is Class.
EV 0100099 is Class.
EV 0100100 is Class.
EV 0100101 is Class.
EV 0100102 is Class.
EV 0100103 is Class.
EV 0100104 is Class.
EV 0100105 is Class.
EV 0100106 is Class.
EV 0100107 is Class.
EV 0100110 is Class.
EV 0100111 is Class.
EV 0100112 is Class.
EV 0100113 is Class.
EV 0100114 is Class.
EV 0100115 is Class.
EV 0100117 is Class.
EV 0100118 is Class.
EV 0100119 is Class.
EV 0100123 is Class.
EV 0100125 is Class.
EV 0100126 is Class.
EV 0100127 is Class.
EV 0100130 is Class.
EV 0100131 is Class.
EV 0100132 is Class.
EV 0100133 is Class.
EV 0100134 is Class.
EV 0100135 is Class.
EV 0100136 is Class.
EV 0100138 is Class.
EV 0100140 is Class.
EV 0100141 is Class.
EV 0100142 is Class.
EV 0100146 is Class.
EV 0100150 is Class.
EV 0100151 is Class.
EV 0100152 is Class.
EV 0100153 is Class.
EV 0100154 is Class.
EV 0100157 is Class.
EV 0100159 is Class.
EV 0100162 is Class.
EV 0100163 is Class.
EV 0100164 is Class.
EV 0100166 is Class.
EV 0100167 is Class.
EV 0100169 is Class.
EV 0100170 is Class.
EV 0100173 is Class.
EV 0100180 is Class.
EV 0100182 is Class.
EV 0100185 is Class.
EV 0100188 is Class.
EV 0100189 is Class.
EV 0100195 is Class.
EV 0100225 is Class.
EV 0100242 is Class.
EV 0100247 is Class.
EV 0100253 is Class.
EV 0100275 is Class.
EV 0100293 is Class.
EV 0100305 is Class.
EV 0100312 is Class.
EV 0100316 is Class.
EV 0100336 is Class.
EV 0100337 is Class.
EV 0100343 is Class.
EV 0100348 is Class.
EV 0100353 is Class.
EV 0100354 is Class.
EV 0100357 is Class.
EV 0100361 is Class.
EV 0100363 is Class.
EV 0100374 is Class.
EV 0100376 is Class.
EV 0100377 is Class.
EV 0100378 is Class.
EV 0100379 is Class.
EV 0100382 is Class.
EV 0100393 is Class.
EV 0100395 is Class.
EV 0100397 is Class.
EV 0100409 is Class.
EV 0100416 is Class.
EV 0100450 is Class.
EV 0100452 is Class.
EV 0100456 is Class.
EV 0100469 is Class.
EV 0100475 is Class.
EV 0100476 is Class.
EV 0100483 is Class.
EV 0100488 is Class.
EV 0100491 is Class.
EV 0100515 is Class.
EV 0300001 is Class.
EV 0300011 is Class.
EV 0300039 is Class.
EV 0300051 is Class.
EV 0300070 is Class.
EV 3000140 is Class.
EV 3000142 is Class.
EV 3000143 is Class.
EV 3000460 is Class.
EV 3000466 is Class.
EV 3000467 is Class.
EV 3000600 is Class.
EV 3000627 is Class.
EV 3000635 is Class.
FAO 0000007 is Class.
FAO 0000010 is Class.
FAO 0000011 is Class.
FAO 0000019 is Class.
FAO 0000023 is Class.
FAO 0000032 is Class.
FAO 0001001 is Class.
FAO 0001022 is Class.
FBbt 00000003 is Class.
FBbt 00000004 is Class.
FBbt 00000015 is Class.
FBbt 00000020 is Class.
FBbt 00000035 is Class.
FBbt 00000052 is Class.
FBbt 00000092 is Class.
FBbt 00000111 is Class.
FBbt 00000113 is Class.
FBbt 00000125 is Class.
FBbt 00000126 is Class.
FBbt 00000136 is Class.
FBbt 00000154 is Class.
FBbt 00001102 is Class.
FBbt 00001761 is Class.
FBbt 00001789 is Class.
FBbt 00003007 is Class.
FBbt 00003126 is Class.
FBbt 00003153 is Class.
FBbt 00003154 is Class.
FBbt 00003214 is Class.
FBbt 00003525 is Class.
FBbt 00003624 is Class.
FBbt 00003625 is Class.
FBbt 00004114 is Class.
FBbt 00004200 is Class.
FBbt 00004245 is Class.
FBbt 00004461 is Class.
FBbt 00004508 is Class.
FBbt 00004510 is Class.
FBbt 00004511 is Class.
FBbt 00004640 is Class.
FBbt 00004645 is Class.
FBbt 00004729 is Class.
FBbt 00004783 is Class.
FBbt 00004852 is Class.
FBbt 00004856 is Class.
FBbt 00004857 is Class.
FBbt 00004860 is Class.
FBbt 00004864 is Class.
FBbt 00004865 is Class.
FBbt 00004911 is Class.
FBbt 00004921 is Class.
FBbt 00004924 is Class.
FBbt 00004925 is Class.
FBbt 00004926 is Class.
FBbt 00004927 is Class.
FBbt 00004928 is Class.
FBbt 00004954 is Class.
FBbt 00004958 is Class.
FBbt 00004965 is Class.
FBbt 00004968 is Class.
FBbt 00004970 is Class.
FBbt 00005024 is Class.
FBbt 00005043 is Class.
FBbt 00005054 is Class.
FBbt 00005055 is Class.
FBbt 00005056 is Class.
FBbt 00005057 is Class.
FBbt 00005061 is Class.
FBbt 00005065 is Class.
FBbt 00005066 is Class.
FBbt 00005069 is Class.
FBbt 00005093 is Class.
FBbt 00005098 is Class.
FBbt 00005137 is Class.
FBbt 00005155 is Class.
FBbt 00005157 is Class.
FBbt 00005159 is Class.
FBbt 00005177 is Class.
FBbt 00005215 is Class.
FBbt 00005380 is Class.
FBbt 00005381 is Class.
FBbt 00005382 is Class.
FBbt 00005401 is Class.
FBbt 00005554 is Class.
FBbt 00005756 is Class.
FBbt 00005757 is Class.
FBbt 00005785 is Class.
FBbt 00005786 is Class.
FBbt 00005799 is Class.
FBbt 00005800 is Class.
FBbt 00005801 is Class.
FBbt 00005802 is Class.
FBbt 00005835 is Class.
FBbt 00015288 is Class.
FBdv 00005288 is Class.
FBdv 00005304 is Class.
FBdv 00005317 is Class.
FBdv 00005336 is Class.
FBdv 00005349 is Class.
FBdv 00005369 is Class.
FBdv 0005333 is Class.
FMAID 12273 is Class.
FMAID 12274 is Class.
FMAID 12513 is Class.
FMAID 12516 is Class.
FMAID 13295 is Class.
FMAID 13889 is Class.
FMAID 13890 is Class.
FMAID 14541 is Class.
FMAID 14542 is Class.
FMAID 14543 is Class.
FMAID 14544 is Class.
FMAID 14545 is Class.
FMAID 14546 is Class.
FMAID 14547 is Class.
FMAID 14548 is Class.
FMAID 15632 is Class.
FMAID 15633 is Class.
FMAID 15703 is Class.
FMAID 15900 is Class.
FMAID 16581 is Class.
FMAID 17558 is Class.
FMAID 17740 is Class.
FMAID 17742 is Class.
FMAID 18245 is Class.
FMAID 18255 is Class.
FMAID 18640 is Class.
FMAID 19234 is Class.
FMAID 19325 is Class.
FMAID 19386 is Class.
FMAID 19667 is Class.
FMAID 19949 is Class.
FMAID 20935 is Class.
FMAID 225311 is Class.
FMAID 228659 is Class.
FMAID 23217 is Class.
FMAID 236871 is Class.
FMAID 23875 is Class.
FMAID 30315 is Class.
FMAID 30317 is Class.
FMAID 3734 is Class.
FMAID 3939 is Class.
FMAID 45663 is Class.
FMAID 45664 is Class.
FMAID 46472 is Class.
FMAID 46565 is Class.
FMAID 46688 is Class.
FMAID 49184 is Class.
FMAID 5022 is Class.
FMAID 5034 is Class.
FMAID 50720 is Class.
FMAID 50723 is Class.
FMAID 50801 is Class.
FMAID 52618 is Class.
FMAID 52780 is Class.
FMAID 52781 is Class.
FMAID 53667 is Class.
FMAID 54326 is Class.
FMAID 54448 is Class.
FMAID 54549 is Class.
FMAID 54640 is Class.
FMAID 54878 is Class.
FMAID 54879 is Class.
FMAID 55021 is Class.
FMAID 55097 is Class.
FMAID 55675 is Class.
FMAID 56513 is Class.
FMAID 58241 is Class.
FMAID 58301 is Class.
FMAID 5888 is Class.
FMAID 59746 is Class.
FMAID 59862 is Class.
FMAID 60201 is Class.
FMAID 60909 is Class.
FMAID 61824 is Class.
FMAID 61825 is Class.
FMAID 61826 is Class.
FMAID 61830 is Class.
FMAID 61833 is Class.
FMAID 61835 is Class.
FMAID 61841 is Class.
FMAID 61889 is Class.
FMAID 61992 is Class.
FMAID 61993 is Class.
FMAID 6200 is Class.
FMAID 62001 is Class.
FMAID 62004 is Class.
FMAID 62007 is Class.
FMAID 62008 is Class.
FMAID 62009 is Class.
FMAID 62033 is Class.
FMAID 62088 is Class.
FMAID 62100 is Class.
FMAID 62393 is Class.
FMAID 62493 is Class.
FMAID 62967 is Class.
FMAID 63934 is Class.
FMAID 64183 is Class.
FMAID 66070 is Class.
FMAID 67325 is Class.
FMAID 67338 is Class.
FMAID 67343 is Class.
FMAID 67504 is Class.
FMAID 67687 is Class.
FMAID 67943 is Class.
FMAID 67944 is Class.
FMAID 67947 is Class.
FMAID 70323 is Class.
FMAID 70596 is Class.
FMAID 7088 is Class.
FMAID 71221 is Class.
FMAID 7131 is Class.
FMAID 7148 is Class.
FMAID 7152 is Class.
FMAID 7154 is Class.
FMAID 7155 is Class.
FMAID 7157 is Class.
FMAID 7158 is Class.
FMAID 7159 is Class.
FMAID 7160 is Class.
FMAID 7161 is Class.
FMAID 7163 is Class.
FMAID 7181 is Class.
FMAID 7182 is Class.
FMAID 7183 is Class.
FMAID 7184 is Class.
FMAID 7194 is Class.
FMAID 7195 is Class.
FMAID 7196 is Class.
FMAID 7197 is Class.
FMAID 7198 is Class.
FMAID 7199 is Class.
FMAID 7201 is Class.
FMAID 7202 is Class.
FMAID 7203 is Class.
FMAID 7206 is Class.
FMAID 7207 is Class.
FMAID 7208 is Class.
FMAID 7209 is Class.
FMAID 7210 is Class.
FMAID 7280 is Class.
FMAID 72979 is Class.
FMAID 7394 is Class.
FMAID 7409 is Class.
FMAID 7490 is Class.
FMAID 7647 is Class.
FMAID 76821 is Class.
FMAID 77624 is Class.
FMAID 82553 is Class.
FMAID 83902 is Class.
FMAID 84013 is Class.
FMAID 85541 is Class.
FMAID 85574 is Class.
FMAID 86464 is Class.
FMAID 87596 is Class.
FMAID 9462 is Class.
FMAID 9478 is Class.
FMAID 9576 is Class.
FMAID 9577 is Class.
FMAID 9597 is Class.
FMAID 9600 is Class.
FMAID 9603 is Class.
FMAID 9604 is Class.
FMAID 9607 is Class.
FMAID 9608 is Class.
FMAID 9610 is Class.
FMAID 9640 is Class.
FMAID 9670 is Class.
FMAID 9671 is Class.
FMAID 9704 is Class.
FMAID 9707 is Class.
FMAID 9869 is Class.
FMAID 9903 is Class.
FMAID 9906 is Class.
FMAID 9907 is Class.
GO 0000000 is Class.
GO 0000001 is Class.
GRO 0007005 is Class.
GRO 0007007 is Class.
GRO 0007017 is Class.
GRO 0007020 is Class.
GRO 0007055 is Class.
GRO 0007058 is Class.
GRO 0007125 is Class.
GRO 0007137 is Class.
GRO 0007138 is Class.
GRO 0007141 is Class.
GRO 0007151 is Class.
GRO 0007153 is Class.
GRO 0007234 is Class.
GRO 0007236 is Class.
GRO 00703 is Class.
MAT 0000000 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000441 is TEMP#.
MAT 0000001 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000000 is TEMP#.
MAT 0000002 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000000 is TEMP#.
MAT 0000003 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000000 is TEMP#.
MAT 0000004 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000003 is TEMP#.
MAT 0000005 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000003 is TEMP#.
MAT 0000006 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000003, is TEMP#.
broader some MAT 0000518 is TEMP#.
MAT 0000008 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000003, is TEMP#.
broader some MAT 0000518 is TEMP#.
MAT 0000009 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000003 is TEMP#.
MAT 0000010 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000002 is TEMP#.
MAT 0000011 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000002 is TEMP#.
MAT 0000014 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000002 is TEMP#.
MAT 0000015 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000016 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000017 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000018 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000019 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000020 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000021 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000022 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000023 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001, is TEMP#.
broader some MAT 0000293 is TEMP#.
MAT 0000024 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000025 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000026 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000027 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000028 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000305 is TEMP#.
MAT 0000029 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000305 is TEMP#.
MAT 0000030 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000031 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000032 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
broader some MAT 0000001 DisjointWith MAT 0000410.
MAT 0000033 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000001 is TEMP#.
MAT 0000034 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000016 is TEMP#.
MAT 0000035 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000034 is TEMP#.
MAT 0000036 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000016 is TEMP#.
MAT 0000037 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000016 is TEMP#.
MAT 0000038 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000017, is TEMP#.
broader some MAT 0000018 is TEMP#.
MAT 0000039 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000038 is TEMP#.
MAT 0000040 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000038 is TEMP#.
MAT 0000041 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000038 is TEMP#.
MAT 0000042 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000046 is TEMP#.
MAT 0000043 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000018 is TEMP#.
MAT 0000044 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000047 is TEMP#.
MAT 0000045 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000047 is TEMP#.
MAT 0000046 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000043 is TEMP#.
MAT 0000047 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000043 is TEMP#.
MAT 0000048 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000018 is TEMP#.
MAT 0000049 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000018, is TEMP#.
broader some MAT 0000030 is TEMP#.
MAT 0000050 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000046 is TEMP#.
MAT 0000051 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000018 is TEMP#.
MAT 0000052 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020 is TEMP#.
MAT 0000053 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020 is TEMP#.
MAT 0000054 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020 is TEMP#.
MAT 0000055 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020, is TEMP#.
broader some MAT 0000197 is TEMP#.
MAT 0000056 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020 is TEMP#.
MAT 0000057 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020 is TEMP#.
MAT 0000058 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000020 is TEMP#.
MAT 0000059 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000061 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000062 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000063 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000391 is TEMP#.
MAT 0000064 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000065 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000066 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000067 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000304 is TEMP#.
MAT 0000068 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000069 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000070 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000019 is TEMP#.
MAT 0000071 is Class.
Thing, is www.w3.org/2002/07/#.
broader some MAT 0000021 is TEMP#.
MAT 0000072 is Class.
Thing, is www.w3.org/2002/07/#.
