is(OBI_1110060,ObjectProperty):1.0
SubClassOf(GO_0033036,GO_0008150):1.0
is(GO_0034061,Class):1.0
SubClassOf(GO_0034061,GO_0003824):1.0
is(GO_0035393,Class):1.0
SubClassOf(GO_0035393,GO_0032602):1.0
is(GO_0035397,Class):1.0
SubClassOf(GO_0035397,GO_0002250):1.0
is(GO_0035746,Class):1.0
SubClassOf(GO_0035746,GO_0008150):1.0
is(GO_0035944,Class):1.0
SubClassOf(GO_0035944,GO_0008150):1.0
is(GO_0036262,Class):1.0
SubClassOf(GO_0036262,GO_0008150):1.0
is(GO_0040030,Class):1.0
SubClassOf(GO_0040030,GO_0008150):1.0
is(GO_0042098,Class):1.0
is(GO_0042110,Class):1.0
SubClassOf(GO_0042110,GO_0008150):1.0
is(GO_0043316,Class):1.0
is(GO_0044809,Class):1.0
SubClassOf(GO_0044809,GO_0032602):1.0
is(GO_0048869,Class):1.0
SubClassOf(GO_0048869,GO_0008150):1.0
is(GO_0050896,Class):1.0
SubClassOf(GO_0050896,GO_0008150):1.0
is(GO_0051276,Class):1.0
SubClassOf(GO_0051276,GO_0008150):1.0
is(GO_0070358,Class):1.0
SubClassOf(GO_0070358,GO_0008150):1.0
is(GO_0071604,Class):1.0
is(GO_0071605,Class):1.0
SubClassOf(GO_0071605,GO_0032602):1.0
is(GO_0071606,Class):1.0
SubClassOf(GO_0071606,GO_0032602):1.0
is(GO_0071607,Class):1.0
SubClassOf(GO_0071607,GO_0032602):1.0
is(GO_0071608,Class):1.0
SubClassOf(GO_0071608,GO_0032602):1.0
is(GO_0071609,Class):1.0
SubClassOf(GO_0071609,GO_0032602):1.0
is(GO_0071610,Class):1.0
SubClassOf(GO_0071610,GO_0032602):1.0
is(GO_0071611,Class):1.0
is(GO_0071612,Class):1.0
SubClassOf(GO_0071612,GO_0032602):1.0
is(GO_0071613,Class):1.0
SubClassOf(GO_0071613,GO_0008150):1.0
is(GO_0071706,Class):1.0
is(GO_0071924,Class):1.0
SubClassOf(GO_0071924,GO_0032602):1.0
is(GO_0072535,Class):1.0
SubClassOf(GO_0072535,GO_0071706):1.0
is(GO_0097087,Class):1.0
SubClassOf(GO_0097087,GO_0032620):1.0
is(GO_0097088,Class):1.0
SubClassOf(GO_0097088,GO_0032620):1.0
is(GO_0097278,Class):1.0
is(GO_0097280,Class):1.0
SubClassOf(GO_0097280,GO_0006955):1.0
is(GO_0097281,Class):1.0
is(GO_0097282,Class):1.0
is(GO_0097388,Class):1.0
SubClassOf(GO_0097388,GO_0032602):1.0
is(GO_0097389,Class):1.0
SubClassOf(GO_0097389,GO_0032602):1.0
is(GO_0097390,Class):1.0
SubClassOf(GO_0097390,GO_0032602):1.0
is(GO_0097391,Class):1.0
SubClassOf(GO_0097391,GO_0032602):1.0
is(GO_0097392,Class):1.0
SubClassOf(GO_0097392,GO_0032602):1.0
is(NCBITaxon_197562,Class):1.0
is(NCBITaxon_5140,Class):1.0
SubClassOf(NCBITaxon_5140,NCBITaxon_716545):1.0
is(NCBITaxon_6668,Class):1.0
SubClassOf(NCBITaxon_6668,NCBITaxon_197562):1.0
is(NCBITaxon_716545,Class):1.0
is(OBI_0000011,Class):1.0
DisjointWith(OBI_0000011,GO_0008150):1.0
is(OBI_0000278,Class):1.0
SubClassOf(OBI_0000278,GO_0008150):1.0
is(OBI_0001176,Class):1.0
SubClassOf(OBI_0001176,OBI_1110015):1.0
is(OBI_0001193,Class):1.0
is(OBI_0001201,Class):1.0
is(OBI_0001207,Class):1.0
EquivalentTo(OBI_0001207,GO_0071608 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001207,GO_0071608,):1.0
SubClassOf(OBI_0001207,OBI_0001193):1.0
is(OBI_0001212,Class):1.0
EquivalentTo(OBI_0001212,GO_0001806 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001212,GO_0001806):1.0
is(OBI_0001219,Class):1.0
EquivalentTo(OBI_0001219,GO_0071610 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001219,GO_0071610,):1.0
SubClassOf(OBI_0001219,OBI_0001193):1.0
is(OBI_0001249,Class):1.0
EquivalentTo(OBI_0001249,GO_0002517 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001249,GO_0002517,):1.0
SubClassOf(OBI_0001249,OBI_0001201):1.0
is(OBI_0001254,Class):1.0
EquivalentTo(OBI_0001254,GO_0032632 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001254,GO_0032632,):1.0
SubClassOf(OBI_0001254,OBI_0001193):1.0
is(OBI_0001256,Class):1.0
SubClassOf(OBI_0001256,GO_0032641,):1.0
SubClassOf(OBI_0001256,OBI_0001351):1.0
is(OBI_0001257,Class):1.0
EquivalentTo(OBI_0001257,GO_0032610 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001257,GO_0032610,):1.0
SubClassOf(OBI_0001257,OBI_0001193):1.0
is(OBI_0001262,Class):1.0
EquivalentTo(OBI_0001262,GO_0032631 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001262,GO_0032631,):1.0
SubClassOf(OBI_0001262,OBI_0001193):1.0
is(OBI_0001267,Class):1.0
EquivalentTo(OBI_0001267,GO_0071604 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001267,GO_0071604,):1.0
SubClassOf(OBI_0001267,OBI_0001193):1.0
is(OBI_0001275,Class):1.0
EquivalentTo(OBI_0001275,GO_0032619 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001275,GO_0032619,):1.0
SubClassOf(OBI_0001275,OBI_0001193):1.0
is(OBI_0001316,Class):1.0
EquivalentTo(OBI_0001316,GO_0032625 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001316,GO_0032625,):1.0
SubClassOf(OBI_0001316,OBI_0001193):1.0
is(OBI_0001334,Class):1.0
EquivalentTo(OBI_0001334,GO_0071611 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001334,GO_0071611,):1.0
SubClassOf(OBI_0001334,OBI_0001193):1.0
is(OBI_0001351,Class):1.0
EquivalentTo(OBI_0001351,GO_0071706 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001351,GO_0071706,):1.0
SubClassOf(OBI_0001351,OBI_0001193):1.0
is(OBI_0001362,Class):1.0
EquivalentTo(OBI_0001362,GO_0071606 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001362,GO_0071606,):1.0
SubClassOf(OBI_0001362,OBI_0001193):1.0
is(OBI_0001366,Class):1.0
EquivalentTo(OBI_0001366,GO_0071609 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001366,GO_0071609,):1.0
SubClassOf(OBI_0001366,OBI_0001193):1.0
is(OBI_0001373,Class):1.0
EquivalentTo(OBI_0001373,GO_0032637 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001373,GO_0032637,):1.0
SubClassOf(OBI_0001373,OBI_0001193):1.0
is(OBI_0001381,Class):1.0
EquivalentTo(OBI_0001381,GO_0032627 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001381,GO_0032627,):1.0
SubClassOf(OBI_0001381,OBI_0001193):1.0
is(OBI_0001386,Class):1.0
EquivalentTo(OBI_0001386,GO_0071605 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001386,GO_0071605,):1.0
SubClassOf(OBI_0001386,OBI_0001193):1.0
DisjointWith(OBI_0001386,GO_0071605 and (OBI_1110060 some OBI_1110057)):1.0
is(OBI_0001394,Class):1.0
EquivalentTo(OBI_0001394,GO_0043316 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001394,GO_0043316):1.0
is(OBI_0001399,Class):1.0
EquivalentTo(OBI_0001399,GO_0032626 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001399,GO_0032626,):1.0
SubClassOf(OBI_0001399,OBI_0001193):1.0
is(OBI_0001415,Class):1.0
EquivalentTo(OBI_0001415,GO_0032638 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001415,GO_0032638,):1.0
SubClassOf(OBI_0001415,OBI_0001193):1.0
is(OBI_0001421,Class):1.0
EquivalentTo(OBI_0001421,GO_0032608 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001421,GO_0032608,):1.0
SubClassOf(OBI_0001421,OBI_0001193):1.0
is(OBI_0001439,Class):1.0
EquivalentTo(OBI_0001439,GO_0035393 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001439,GO_0035393,):1.0
SubClassOf(OBI_0001439,OBI_0001193):1.0
is(OBI_0001446,Class):1.0
EquivalentTo(OBI_0001446,GO_0032618 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001446,GO_0032618,):1.0
SubClassOf(OBI_0001446,OBI_0001193):1.0
is(OBI_0001447,Class):1.0
EquivalentTo(OBI_0001447,GO_0071607 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001447,GO_0071607,):1.0
SubClassOf(OBI_0001447,OBI_0001193):1.0
is(OBI_0001462,Class):1.0
EquivalentTo(OBI_0001462,GO_0071612 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001462,GO_0071612,):1.0
SubClassOf(OBI_0001462,OBI_0001193):1.0
is(OBI_0001470,Class):1.0
SubClassOf(OBI_0001470,GO_0097088,):1.0
SubClassOf(OBI_0001470,OBI_1110193):1.0
is(OBI_0001518,Class):1.0
SubClassOf(OBI_0001518,GO_0072535,):1.0
SubClassOf(OBI_0001518,OBI_0001351):1.0
is(OBI_0001526,Class):1.0
SubClassOf(OBI_0001526,GO_0097087,):1.0
SubClassOf(OBI_0001526,OBI_1110193):1.0
is(OBI_0001535,Class):1.0
EquivalentTo(OBI_0001535,GO_0032636 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001535,GO_0032636,):1.0
SubClassOf(OBI_0001535,OBI_0001193):1.0
is(OBI_0001588,Class):1.0
SubClassOf(OBI_0001588,GO_0008150):1.0
is(OBI_0001612,Class):1.0
EquivalentTo(OBI_0001612,GO_0010573 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001612,GO_0010573,):1.0
SubClassOf(OBI_0001612,OBI_0001193):1.0
is(OBI_0001702,Class):1.0
is(OBI_0001707,Class):1.0
SubClassOf(OBI_0001707,GO_0008150):1.0
is(OBI_0001713,Class):1.0
EquivalentTo(OBI_0001713,GO_0008228 and (OBI_1110060 some OBI_0001702)):1.0
SubClassOf(OBI_0001713,GO_0008228):1.0
is(OBI_0001714,Class):1.0
EquivalentTo(OBI_0001714,GO_0097282 and (OBI_1110060 some OBI_0001702)):1.0
SubClassOf(OBI_0001714,GO_0097282):1.0
is(OBI_0001716,Class):1.0
EquivalentTo(OBI_0001716,GO_0097278 and (OBI_1110060 some OBI_0001702)):1.0
SubClassOf(OBI_0001716,GO_0097278):1.0
is(OBI_0001720,Class):1.0
EquivalentTo(OBI_0001720,GO_0097281 and OBI_0001702):1.0
SubClassOf(OBI_0001720,GO_0097281,):1.0
SubClassOf(OBI_0001720,OBI_0001702):1.0
is(OBI_0001725,Class):1.0
SubClassOf(OBI_0001725,GO_0097280):1.0
is(OBI_0001816,Class):1.0
EquivalentTo(OBI_0001816,GO_0097391 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001816,GO_0097391,):1.0
SubClassOf(OBI_0001816,OBI_0001193):1.0
is(OBI_0001818,Class):1.0
EquivalentTo(OBI_0001818,GO_0097390 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001818,GO_0097390,):1.0
SubClassOf(OBI_0001818,OBI_0001193):1.0
is(OBI_0001819,Class):1.0
EquivalentTo(OBI_0001819,GO_0071924 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001819,GO_0071924,):1.0
SubClassOf(OBI_0001819,OBI_0001193):1.0
is(OBI_0001820,Class):1.0
EquivalentTo(OBI_0001820,GO_0097392 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001820,GO_0097392,):1.0
SubClassOf(OBI_0001820,OBI_0001193):1.0
is(OBI_0001823,Class):1.0
EquivalentTo(OBI_0001823,GO_0097389 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001823,GO_0097389,):1.0
SubClassOf(OBI_0001823,OBI_0001193):1.0
is(OBI_0001825,Class):1.0
EquivalentTo(OBI_0001825,GO_0097388 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_0001825,GO_0097388,):1.0
SubClassOf(OBI_0001825,OBI_0001193):1.0
is(OBI_1110003,Class):1.0
SubClassOf(OBI_1110003,GO_0008150):1.0
is(OBI_1110014,Class):1.0
SubClassOf(OBI_1110014,GO_0008150):1.0
is(OBI_1110015,Class):1.0
is(OBI_1110024,Class):1.0
SubClassOf(OBI_1110024,GO_0008150):1.0
is(OBI_1110056,Class):1.0
EquivalentTo(OBI_1110056,GO_0032623 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110056,GO_0032623,):1.0
SubClassOf(OBI_1110056,OBI_0001193):1.0
is(OBI_1110057,Class):1.0
is(OBI_1110061,Class):1.0
SubClassOf(OBI_1110061,GO_0008150):1.0
is(OBI_1110094,Class):1.0
SubClassOf(OBI_1110094,GO_0008150):1.0
is(OBI_1110111,Class):1.0
SubClassOf(OBI_1110111,GO_0008150):1.0
is(OBI_1110122,Class):1.0
SubClassOf(OBI_1110122,GO_0008150):1.0
is(OBI_1110182,Class):1.0
EquivalentTo(OBI_1110182,GO_0042098 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110182,GO_0042098):1.0
is(OBI_1110184,Class):1.0
EquivalentTo(OBI_1110184,GO_0032604 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110184,GO_0032604,):1.0
SubClassOf(OBI_1110184,OBI_0001193):1.0
is(OBI_1110185,Class):1.0
EquivalentTo(OBI_1110185,GO_0032609 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110185,GO_0032609,):1.0
SubClassOf(OBI_1110185,OBI_0001193):1.0
is(OBI_1110187,Class):1.0
EquivalentTo(OBI_1110187,GO_0032613 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110187,GO_0032613,):1.0
SubClassOf(OBI_1110187,OBI_0001193):1.0
is(OBI_1110190,Class):1.0
EquivalentTo(OBI_1110190,GO_0032615 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110190,GO_0032615,):1.0
SubClassOf(OBI_1110190,OBI_0001193):1.0
is(OBI_1110191,Class):1.0
EquivalentTo(OBI_1110191,GO_0032616 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110191,GO_0032616,):1.0
SubClassOf(OBI_1110191,OBI_0001193):1.0
is(OBI_1110193,Class):1.0
EquivalentTo(OBI_1110193,GO_0032620 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110193,GO_0032620,):1.0
SubClassOf(OBI_1110193,OBI_0001193):1.0
is(OBI_1110195,Class):1.0
EquivalentTo(OBI_1110195,GO_0032621 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110195,GO_0032621,):1.0
SubClassOf(OBI_1110195,OBI_0001193):1.0
is(OBI_1110196,Class):1.0
EquivalentTo(OBI_1110196,GO_0032611 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110196,GO_0032611,):1.0
SubClassOf(OBI_1110196,OBI_0001193):1.0
is(OBI_1110199,Class):1.0
EquivalentTo(OBI_1110199,GO_0032633 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110199,GO_0032633,):1.0
SubClassOf(OBI_1110199,OBI_0001193):1.0
is(OBI_1110202,Class):1.0
EquivalentTo(OBI_1110202,GO_0032634 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110202,GO_0032634,):1.0
SubClassOf(OBI_1110202,OBI_0001193):1.0
is(OBI_1110203,Class):1.0
EquivalentTo(OBI_1110203,GO_0032635 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110203,GO_0032635,):1.0
SubClassOf(OBI_1110203,OBI_0001193):1.0
is(OBI_1110204,Class):1.0
EquivalentTo(OBI_1110204,GO_0001913 and (OBI_1110060 some OBI_1110057)):1.0
SubClassOf(OBI_1110204,GO_0001913):1.0
is(OBI_1110206,Class):1.0
SubClassOf(OBI_1110206,GO_0032640,):1.0
SubClassOf(OBI_1110206,OBI_0001351):1.0
is(OGMS_0000063,Class):1.0
SubClassOf(OGMS_0000063,GO_0008150):1.0
is(PATO_0002201,Class):1.0
is(PATO_0002202,Class):1.0
SubClassOf(PATO_0002202,PATO_0002201):1.0
is(UBERON_0000105,Class):1.0
SubClassOf(UBERON_0000105,GO_0008150):1.0
is(UO_0000022,Class):1.0
is(UO_0000039,Class):1.0
is(UO_0000164,Class):1.0
is(www.w3.org/2002/07/#,Class):1.0
is(OBI_0000998,Individual):1.0
Types(OBI_0000998,PATO_0002202):1.0
