is(CCTO_000008,ObjectProperty):1.0
SubClassOf(CCTO_000099,CCTO_000031):1.0
is(CCTO_000100,Class):1.0
SubClassOf(CCTO_000100,CCTO_000031):1.0
is(CCTO_000101,Class):1.0
SubClassOf(CCTO_000101,CCTO_000031):1.0
is(CCTO_000102,Class):1.0
SubClassOf(CCTO_000102,CCTO_000031):1.0
is(CCTO_000103,Class):1.0
SubClassOf(CCTO_000103,CCTO_000031):1.0
is(CCTO_000104,Class):1.0
SubClassOf(CCTO_000104,CCTO_000031):1.0
is(CCTO_000105,Class):1.0
SubClassOf(CCTO_000105,CCTO_000031):1.0
is(CCTO_000106,Class):1.0
SubClassOf(CCTO_000106,CCTO_000031):1.0
is(CCTO_000108,Class):1.0
SubClassOf(CCTO_000108,CCTO_000031):1.0
is(CCTO_000109,Class):1.0
SubClassOf(CCTO_000109,CCTO_000031):1.0
is(CCTO_000111,Class):1.0
SubClassOf(CCTO_000111,CCTO_000031):1.0
is(CCTO_000112,Class):1.0
SubClassOf(CCTO_000112,CCTO_000031):1.0
is(CCTO_000114,Class):1.0
SubClassOf(CCTO_000114,CCTO_000031):1.0
is(CCTO_000115,Class):1.0
SubClassOf(CCTO_000115,CCTO_000031):1.0
is(CCTO_000116,Class):1.0
SubClassOf(CCTO_000116,CCTO_000031):1.0
is(CCTO_000117,Class):1.0
SubClassOf(CCTO_000117,CCTO_000031):1.0
is(CCTO_000119,Class):1.0
SubClassOf(CCTO_000119,CCTO_000031):1.0
is(CCTO_000120,Class):1.0
SubClassOf(CCTO_000120,CCTO_000031):1.0
is(CCTO_000122,Class):1.0
SubClassOf(CCTO_000122,CCTO_000031):1.0
is(CCTO_000125,Class):1.0
SubClassOf(CCTO_000125,CCTO_000031):1.0
is(CCTO_000126,Class):1.0
SubClassOf(CCTO_000126,CCTO_000031):1.0
is(CCTO_000127,Class):1.0
SubClassOf(CCTO_000127,CCTO_000031):1.0
is(CCTO_000130,Class):1.0
SubClassOf(CCTO_000130,CCTO_000031):1.0
is(CCTO_000131,Class):1.0
SubClassOf(CCTO_000131,CCTO_000031):1.0
is(CCTO_000132,Class):1.0
SubClassOf(CCTO_000132,CCTO_000031):1.0
is(CCTO_000133,Class):1.0
SubClassOf(CCTO_000133,CCTO_000031):1.0
is(CCTO_000134,Class):1.0
SubClassOf(CCTO_000134,CCTO_000031):1.0
is(CCTO_000135,Class):1.0
SubClassOf(CCTO_000135,CCTO_000031):1.0
is(CCTO_000138,Class):1.0
SubClassOf(CCTO_000138,CCTO_000031):1.0
is(CCTO_000140,Class):1.0
SubClassOf(CCTO_000140,CCTO_000031):1.0
is(CCTO_000143,Class):1.0
SubClassOf(CCTO_000143,CCTO_000031):1.0
is(CCTO_000144,Class):1.0
SubClassOf(CCTO_000144,CCTO_000031):1.0
is(CCTO_000146,Class):1.0
SubClassOf(CCTO_000146,CCTO_000031):1.0
is(CCTO_000147,Class):1.0
SubClassOf(CCTO_000147,CCTO_000031):1.0
is(CCTO_000148,Class):1.0
SubClassOf(CCTO_000148,CCTO_000031):1.0
is(CCTO_000149,Class):1.0
SubClassOf(CCTO_000149,CCTO_000031):1.0
is(CCTO_000154,Class):1.0
SubClassOf(CCTO_000154,CCTO_000031):1.0
is(CCTO_000155,Class):1.0
SubClassOf(CCTO_000155,CCTO_000031):1.0
is(CCTO_000156,Class):1.0
SubClassOf(CCTO_000156,CCTO_000031):1.0
is(CCTO_000159,Class):1.0
SubClassOf(CCTO_000159,CCTO_000031):1.0
is(CCTO_000160,Class):1.0
SubClassOf(CCTO_000160,CCTO_000031):1.0
is(CCTO_000162,Class):1.0
SubClassOf(CCTO_000162,CCTO_000031):1.0
is(CCTO_000163,Class):1.0
SubClassOf(CCTO_000163,CCTO_000031):1.0
is(CCTO_000164,Class):1.0
SubClassOf(CCTO_000164,CCTO_000031):1.0
is(CCTO_000165,Class):1.0
SubClassOf(CCTO_000165,CCTO_000031):1.0
is(CCTO_000167,Class):1.0
SubClassOf(CCTO_000167,CCTO_000031):1.0
is(CCTO_000168,Class):1.0
SubClassOf(CCTO_000168,CCTO_000031):1.0
is(CCTO_000169,Class):1.0
SubClassOf(CCTO_000169,CCTO_000031):1.0
is(CCTO_000170,Class):1.0
SubClassOf(CCTO_000170,CCTO_000031):1.0
is(CCTO_000171,Class):1.0
SubClassOf(CCTO_000171,CCTO_000031):1.0
is(CCTO_000173,Class):1.0
SubClassOf(CCTO_000173,CCTO_000031):1.0
is(CCTO_000174,Class):1.0
SubClassOf(CCTO_000174,CCTO_000031):1.0
is(CCTO_000175,Class):1.0
SubClassOf(CCTO_000175,CCTO_000031):1.0
is(CCTO_000176,Class):1.0
SubClassOf(CCTO_000176,CCTO_000031):1.0
is(CCTO_000178,Class):1.0
SubClassOf(CCTO_000178,CCTO_000031):1.0
is(CCTO_000181,Class):1.0
SubClassOf(CCTO_000181,CCTO_000031):1.0
is(CCTO_000182,Class):1.0
SubClassOf(CCTO_000182,CCTO_000031):1.0
is(CCTO_000183,Class):1.0
SubClassOf(CCTO_000183,CCTO_000031):1.0
is(CCTO_000186,Class):1.0
SubClassOf(CCTO_000186,CCTO_000031):1.0
is(CCTO_000187,Class):1.0
SubClassOf(CCTO_000187,CCTO_000031):1.0
is(CCTO_000189,Class):1.0
SubClassOf(CCTO_000189,CCTO_000031):1.0
is(CCTO_000190,Class):1.0
SubClassOf(CCTO_000190,CCTO_000031):1.0
is(CCTO_000193,Class):1.0
SubClassOf(CCTO_000193,CCTO_000031):1.0
is(CCTO_000195,Class):1.0
SubClassOf(CCTO_000195,CCTO_000031):1.0
is(CCTO_000196,Class):1.0
SubClassOf(CCTO_000196,CCTO_000031):1.0
is(CCTO_000197,Class):1.0
SubClassOf(CCTO_000197,CCTO_000031):1.0
is(CCTO_000198,Class):1.0
SubClassOf(CCTO_000198,CCTO_000031):1.0
is(CCTO_000199,Class):1.0
SubClassOf(CCTO_000199,CCTO_000031):1.0
is(CCTO_000200,Class):1.0
SubClassOf(CCTO_000200,CCTO_000031):1.0
is(CCTO_000201,Class):1.0
SubClassOf(CCTO_000201,CCTO_000031):1.0
is(CCTO_000202,Class):1.0
SubClassOf(CCTO_000202,CCTO_000031):1.0
is(CCTO_000203,Class):1.0
SubClassOf(CCTO_000203,CCTO_000031):1.0
is(CCTO_000204,Class):1.0
SubClassOf(CCTO_000204,CCTO_000031):1.0
is(CCTO_000205,Class):1.0
SubClassOf(CCTO_000205,CCTO_000031):1.0
is(CCTO_000206,Class):1.0
SubClassOf(CCTO_000206,CCTO_000031):1.0
is(CCTO_000207,Class):1.0
SubClassOf(CCTO_000207,CCTO_000031):1.0
is(CCTO_000208,Class):1.0
SubClassOf(CCTO_000208,CCTO_000031):1.0
is(CCTO_000210,Class):1.0
SubClassOf(CCTO_000210,CCTO_000031):1.0
is(CCTO_000211,Class):1.0
SubClassOf(CCTO_000211,CCTO_000031):1.0
is(CCTO_000213,Class):1.0
SubClassOf(CCTO_000213,CCTO_000031):1.0
is(CCTO_000214,Class):1.0
SubClassOf(CCTO_000214,CCTO_000031):1.0
is(CCTO_000215,Class):1.0
SubClassOf(CCTO_000215,CCTO_000031):1.0
is(CCTO_000216,Class):1.0
SubClassOf(CCTO_000216,CCTO_000031):1.0
is(CCTO_000218,Class):1.0
SubClassOf(CCTO_000218,CCTO_000031):1.0
is(CCTO_000219,Class):1.0
SubClassOf(CCTO_000219,CCTO_000031):1.0
is(CCTO_000220,Class):1.0
SubClassOf(CCTO_000220,CCTO_000031):1.0
is(CCTO_000221,Class):1.0
SubClassOf(CCTO_000221,CCTO_000031):1.0
is(CCTO_000222,Class):1.0
SubClassOf(CCTO_000222,CCTO_000031):1.0
is(CCTO_000232,Class):1.0
SubClassOf(CCTO_000232,CCTO_000031):1.0
is(CCTO_000233,Class):1.0
SubClassOf(CCTO_000233,CCTO_000031):1.0
is(CCTO_000234,Class):1.0
SubClassOf(CCTO_000234,CCTO_000031):1.0
is(CCTO_000235,Class):1.0
SubClassOf(CCTO_000235,CCTO_000031):1.0
is(CCTO_000236,Class):1.0
SubClassOf(CCTO_000236,CCTO_000031):1.0
is(CCTO_000237,Class):1.0
SubClassOf(CCTO_000237,CCTO_000031):1.0
is(CCTO_000238,Class):1.0
SubClassOf(CCTO_000238,CCTO_000031):1.0
is(CCTO_000239,Class):1.0
SubClassOf(CCTO_000239,CCTO_000031):1.0
is(CCTO_000240,Class):1.0
SubClassOf(CCTO_000240,CCTO_000031):1.0
is(CCTO_000241,Class):1.0
SubClassOf(CCTO_000241,CCTO_000031):1.0
is(CCTO_000243,Class):1.0
SubClassOf(CCTO_000243,CCTO_000031):1.0
is(CCTO_000244,Class):1.0
SubClassOf(CCTO_000244,CCTO_000031):1.0
is(CCTO_000249,Class):1.0
SubClassOf(CCTO_000249,CCTO_000031):1.0
is(CCTO_000252,Class):1.0
SubClassOf(CCTO_000252,CCTO_000031):1.0
is(CCTO_000253,Class):1.0
SubClassOf(CCTO_000253,CCTO_000031):1.0
is(CCTO_000255,Class):1.0
SubClassOf(CCTO_000255,CCTO_000031):1.0
is(CCTO_000256,Class):1.0
SubClassOf(CCTO_000256,CCTO_000031):1.0
is(CCTO_000257,Class):1.0
SubClassOf(CCTO_000257,CCTO_000031):1.0
is(CCTO_000258,Class):1.0
SubClassOf(CCTO_000258,CCTO_000031):1.0
is(CCTO_000265,Class):1.0
SubClassOf(CCTO_000265,CCTO_000031):1.0
is(CCTO_000266,Class):1.0
SubClassOf(CCTO_000266,CCTO_000031):1.0
is(CCTO_000270,Class):1.0
SubClassOf(CCTO_000270,CCTO_000031):1.0
is(CCTO_000271,Class):1.0
SubClassOf(CCTO_000271,CCTO_000031):1.0
is(CCTO_000273,Class):1.0
SubClassOf(CCTO_000273,CCTO_000031):1.0
is(CCTO_000275,Class):1.0
SubClassOf(CCTO_000275,CCTO_000031):1.0
is(CCTO_000277,Class):1.0
SubClassOf(CCTO_000277,CCTO_000031):1.0
is(CCTO_000278,Class):1.0
SubClassOf(CCTO_000278,CCTO_000031):1.0
is(CCTO_000279,Class):1.0
SubClassOf(CCTO_000279,CCTO_000031):1.0
is(CCTO_000281,Class):1.0
SubClassOf(CCTO_000281,CCTO_000031):1.0
is(CCTO_000282,Class):1.0
SubClassOf(CCTO_000282,CCTO_000031):1.0
is(CCTO_000283,Class):1.0
SubClassOf(CCTO_000283,CCTO_000031):1.0
is(CCTO_000286,Class):1.0
SubClassOf(CCTO_000286,CCTO_000031):1.0
is(CCTO_000289,Class):1.0
SubClassOf(CCTO_000289,CCTO_000031):1.0
is(CCTO_000290,Class):1.0
SubClassOf(CCTO_000290,CCTO_000031):1.0
is(CCTO_000291,Class):1.0
SubClassOf(CCTO_000291,CCTO_000031):1.0
is(CCTO_000292,Class):1.0
SubClassOf(CCTO_000292,CCTO_000031):1.0
is(CCTO_000293,Class):1.0
SubClassOf(CCTO_000293,CCTO_000031):1.0
is(CCTO_000294,Class):1.0
is(CCTO_000295,Class):1.0
SubClassOf(CCTO_000295,CCTO_000031):1.0
is(CCTO_000296,Class):1.0
SubClassOf(CCTO_000296,CCTO_000031):1.0
is(CCTO_000298,Class):1.0
SubClassOf(CCTO_000298,CCTO_000031):1.0
is(CCTO_000299,Class):1.0
SubClassOf(CCTO_000299,CCTO_000031):1.0
is(CCTO_000300,Class):1.0
SubClassOf(CCTO_000300,CCTO_000031):1.0
is(CCTO_000301,Class):1.0
SubClassOf(CCTO_000301,CCTO_000031):1.0
is(CCTO_000303,Class):1.0
SubClassOf(CCTO_000303,CCTO_000031):1.0
is(CCTO_000315,Class):1.0
SubClassOf(CCTO_000315,CCTO_000031):1.0
is(CCTO_000316,Class):1.0
SubClassOf(CCTO_000316,CCTO_000031):1.0
is(CCTO_000317,Class):1.0
SubClassOf(CCTO_000317,CCTO_000031):1.0
is(CCTO_000318,Class):1.0
SubClassOf(CCTO_000318,CCTO_000031):1.0
is(CCTO_000321,Class):1.0
SubClassOf(CCTO_000321,CCTO_000294,):1.0
SubClassOf(CCTO_000321,CCTO_000008 some CCTO_000006,):1.0
SubClassOf(CCTO_000321,CCTO_000008 only CCTO_000097):1.0
is(CCTO_000323,Class):1.0
SubClassOf(CCTO_000323,CCTO_000031):1.0
is(CCTO_000327,Class):1.0
SubClassOf(CCTO_000327,CCTO_000031):1.0
is(CCTO_000328,Class):1.0
SubClassOf(CCTO_000328,CCTO_000031):1.0
is(CCTO_000329,Class):1.0
SubClassOf(CCTO_000329,CCTO_000031):1.0
is(CCTO_000330,Class):1.0
SubClassOf(CCTO_000330,CCTO_000031):1.0
is(CCTO_000331,Class):1.0
SubClassOf(CCTO_000331,CCTO_000031):1.0
is(CCTO_000332,Class):1.0
SubClassOf(CCTO_000332,CCTO_000031):1.0
is(CCTO_000335,Class):1.0
SubClassOf(CCTO_000335,CCTO_000031):1.0
is(CCTO_000336,Class):1.0
SubClassOf(CCTO_000336,CCTO_000031):1.0
is(CCTO_000337,Class):1.0
SubClassOf(CCTO_000337,CCTO_000031):1.0
is(CCTO_000339,Class):1.0
SubClassOf(CCTO_000339,CCTO_000031):1.0
is(CCTO_000340,Class):1.0
SubClassOf(CCTO_000340,CCTO_000031):1.0
is(CCTO_000342,Class):1.0
SubClassOf(CCTO_000342,CCTO_000031):1.0
is(CCTO_000343,Class):1.0
SubClassOf(CCTO_000343,CCTO_000031):1.0
is(CCTO_000344,Class):1.0
SubClassOf(CCTO_000344,CCTO_000031):1.0
is(CCTO_000345,Class):1.0
SubClassOf(CCTO_000345,CCTO_000031):1.0
is(CCTO_000346,Class):1.0
SubClassOf(CCTO_000346,CCTO_000031):1.0
is(CCTO_000349,Class):1.0
SubClassOf(CCTO_000349,CCTO_000031):1.0
is(CCTO_000351,Class):1.0
SubClassOf(CCTO_000351,CCTO_000031):1.0
is(CCTO_001111,Class):1.0
SubClassOf(CCTO_001111,CCTO_000031):1.0
is(CCTO_001133,Class):1.0
SubClassOf(CCTO_001133,CCTO_000031):1.0
is(www.w3.org/2002/07/#,Class):1.0
