R(BFO_0000050,is,ObjectProperty)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(pathways,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-folder,is,Class)
R(all_pathways_and_groups,is,<agi-folder)
R(<agi-group,is,Class)
R(m,is,<agi-folder)
R(<agi-group,is,Class)
R(m,is,<agi-folder)
R(<agi-group,is,Class)
R(p,,is,<agi-folder)
R((under_review)_metabolic_templates_by_kingdom,is,<agi-folder)
R(<agi-group,is,Class)
R(follicular_lymphoma,,is,<agi-folder)
R(g,is,<agi-folder)
R(<agi-group,is,Class)
R(i,is,<agi-folder)
R(<agi-group,is,Class)
R(a,is,<agi-folder)
R(<agi-group,is,Class)
R(c,is,<agi-folder)
R(<agi-group,is,Class)
R(c,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-group,is,Class)
R(b-cell_acute_lymphoblastic_leukemia,,is,<agi-folder)
R(p,is,<agi-folder)
R(<agi-group,is,Class)
R(i,is,<agi-folder)
R(<agi-group,is,Class)
R(m,is,<agi-folder)
R(<agi-group,is,Class)
R(diffuse_large-b-cell_lymphoma,,is,<agi-folder)
R(g,is,<agi-folder)
R(<agi-group,is,Class)
R(diffuse_large-b-cell_lymphoma,,is,<agi-folder)
R(g,is,<agi-folder)
R(<agi-group,is,Class)
R(v,is,<agi-folder)
R(<agi-group,is,Class)
R(c,is,<agi-folder)
R(<agi-group,is,Class)
R(t,is,<agi-folder)
R(<agi-group,is,Class)
R(diffuse_large-b-cell_lymphoma,,is,<agi-folder)
R(g,is,<agi-folder)
R(<agi-group,is,Class)
R(a,,is,<agi-folder)
R((under_review)_metabolic_templates_by_kingdom,is,<agi-folder)
R(<agi-pathway,is,Class)
R(asthma,,is,<agi-folder)
R(3,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(b,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R(toll-like_receptors_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(k,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(v,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(erythropoietin_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(beta-arrestin-mediated_receptors_signaling,,is,<agi-folder)
R(g,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,,is,<agi-folder)
R(plant_hormone_biosynthesis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,is,<agi-folder)
R(<agi-pathway,is,Class)
R(o,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,,is,<agi-folder)
R((under_review)_neuromuscular_disorders,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(w,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,,is,<agi-folder)
R(huntington_disease,is,<agi-folder)
R(<agi-pathway,is,Class)
R(corneal_stroma_remodeling,,is,<agi-folder)
R(i,is,<agi-folder)
R(<agi-pathway,is,Class)
R(r,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R(tgfa-egfr_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(egfr_(erbb)_family,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(corneal_hydration,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R((under_review)_tumor-associated_neutrophils,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgfr_family,is,<agi-folder)
R(<agi-pathway,is,Class)
R(b,is,<agi-folder)
R(<agi-pathway,is,Class)
R(l,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgf_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(metabolic_cycles,,is,<agi-folder)
R(p,is,<agi-folder)
R(<agi-pathway,is,Class)
R(hyperthyroidism,,is,<agi-folder)
R(2,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,,is,<agi-folder)
R(neurotrophins-ntrk1_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(r,,is,<agi-folder)
R(rett_syndrome,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(adp_ribosyl_cyclase_receptors_(cd_molecules),is,<agi-folder)
R(<agi-pathway,is,Class)
R(diabetic_neuropathy,,is,<agi-folder)
R(1,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(metabolic_cycles,,is,<agi-folder)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(photosynthesis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(cellulose_fiber_biosythesis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(osteoarthritis,,is,<agi-folder)
R(2,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(interleukin_receptors/,is,agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R((under_review)_hallmarks_of_cancer_(11),is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(plant_hormone_biosynthesis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(3,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,,is,<agi-folder)
R((under_review)_epithelial_to_mesenchymal_transition,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,,is,<agi-folder)
R(neurotrophins-ntrk1_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(receptor_tyrosine_kinases_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(egfr_(erbb)_family,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgf_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(o,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,,is,<agi-folder)
R(peptide_gpcrs_ligands,is,<agi-folder)
R(<agi-pathway,is,Class)
R(v,is,<agi-folder)
R(<agi-pathway,is,Class)
R(1,,is,<agi-folder)
R(migraine,_familial_hemiplegic,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-pathway,is,Class)
R(v,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,,is,<agi-folder)
R(nucleotide-like_gpcrs_ligands,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(interleukins_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(egfr_(erbb)_family,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(receptor_tyrosine_kinases_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(l,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(g,,is,<agi-folder)
R(growth_hormones_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R((under_review)_insulin_resistance,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R(tnf_receptor_superfamily_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(2,,is,<agi-folder)
R(sclerosis,_amyotrophic_lateral,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-pathway,is,Class)
R(otitis_media,,is,<agi-folder)
R(2,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(chemokines_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,,is,<agi-folder)
R(c-type_lectin/selectin_receptors_(cd_molecules),is,<agi-folder)
R(<agi-pathway,is,Class)
R(v,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,,is,<agi-folder)
R(muscular_dystrophy,_facioscapulohumeral,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(protein_tyrosine_phosphatase_receptors,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(asthma,,is,<agi-folder)
R(1,is,<agi-folder)
R(<agi-pathway,is,Class)
R(amine_gpcrs_ligand,,is,<agi-folder)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(interleukin_receptors/,is,agi-folder)
R(toll-like_receptors_(cd_molecules),is,<agi-folder)
R(<agi-pathway,is,Class)
R(lipid_metabolism,,is,<agi-folder)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R(receptors_kinases/serine/,is,agi-folder)
R(<agi-pathway,is,Class)
R(f,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R((under_review)_insulin_resistance,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(v,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(chemokines_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(tnf_receptor_superfamily_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(l,,is,<agi-folder)
R(plant_lipid_biosynthesis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(hemicellulose_biosythesis,,is,<agi-folder)
R(x,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(panic_disorder,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(colony_stimulating_factors_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgf_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgf_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R(receptors_kinases/serine/,is,agi-folder)
R(<agi-pathway,is,Class)
R(c,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(phenylketonuria,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(r,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(integrin_receptors,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(receptor_kinases/,is,agi-folder)
R(<agi-pathway,is,Class)
R(n,,is,<agi-folder)
R((under_review)_covid19,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(cd86_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R(ereg-egfr_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(cardiomyopathy_hypertrophic,,is,<agi-folder)
R(2,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(panic_disorder,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,,is,<agi-folder)
R((under_review)_hallmarks_of_cancer_(12),is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(panic_disorder,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(interleukins_expression_biomarkers,,is,<agi-folder)
R(toll-like_receptors_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(igf-igfr1_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(p,,is,<agi-folder)
R(proteins_tover,is,<agi-folder)
R(<agi-pathway,is,Class)
R(e,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(b,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgf_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,,is,<agi-folder)
R((under_review)_hallmarks_of_cancer_(11),is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(r,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(z,,is,<agi-folder)
R((under_review)_neuromuscular_disorders,is,<agi-folder)
R(<agi-pathway,is,Class)
R(u,,is,<agi-folder)
R(usher_syndrome,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,,is,<agi-folder)
R(hpv_infection_and_cancer,is,<agi-folder)
R(<agi-pathway,is,Class)
R(b,is,<agi-folder)
R(<agi-pathway,is,Class)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,,is,<agi-folder)
R((under_review)_fibrosis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(d,is,<agi-folder)
R(<agi-pathway,is,Class)
R(diabetes_mellitus_type_1,,is,<agi-folder)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,,is,<agi-folder)
R((under_review)_ataxis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(hypothyroidism_congenital,is,<agi-folder)
R(<agi-pathway,is,Class)
R(v,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(w,,is,<agi-folder)
R(wiskott-aldrich_syndrome,is,<agi-folder)
R(<agi-pathway,is,Class)
R(i,,is,<agi-folder)
R(interleukin_receptors/,is,agi-folder)
R(<agi-pathway,is,Class)
R(g,,is,<agi-folder)
R(plant_lipid_biosynthesis,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(s,is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(t,,is,<agi-folder)
R(toll-like_receptors_(cd_molecules),is,<agi-folder)
R(<agi-pathway,is,Class)
R(a,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(metabolic_cycles,is,<agi-folder)
R(<agi-pathway,is,Class)
R(plant_hormone_biosynthesis,,is,<agi-folder)
R(t,is,<agi-folder)
R(<agi-pathway,is,Class)
R(d,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(d,is,<agi-folder)
R(<agi-pathway,is,Class)
R(human_papillomavirus_infection,,is,<agi-folder)
R(5,is,<agi-folder)
R(<agi-pathway,is,Class)
R(n,,is,<agi-folder)
R(notch_receptors,is,<agi-folder)
R(<agi-pathway,is,Class)
R(c,,is,<agi-folder)
R(cd80_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(m,is,<agi-folder)
R(<agi-pathway,is,Class)
R(cataract,,is,<agi-folder)
R(1,is,<agi-folder)
R(<agi-pathway,is,Class)
R(protein_modification_site,,is,<agi-folder)
R(u,is,<agi-folder)
R(<agi-pathway,is,Class)
R(l,,is,<agi-folder)
R((under_review)_hallmarks_of_cancer_(10)_tumor-promoting_inflammation,is,<agi-folder)
R(<agi-pathway,is,Class)
R(f,,is,<agi-folder)
R(fgf_expression_biomarkers,is,<agi-folder)
R(<agi-pathway,is,Class)
R(cornea_neovascularization,,is,<agi-folder)
R(h,is,<agi-folder)
R(<agi-pathway,is,Class)
