R(float,is,Datatype)
R(IAO_0000032,is,Class)
R(IAO_0000032,SubClassOf,IAO_0000109)
R(IAO_0000033,is,Class)
R(IAO_0000034,is,Class)
R(IAO_0000034,SubClassOf,IAO_0000001)
R(IAO_0000038,is,Class)
R(IAO_0000038,SubClassOf,IAO_0000309)
R(IAO_0000055,is,Class)
R(IAO_0000055,SubClassOf,IAO_0000001)
R(IAO_0000064,is,Class)
R(IAO_0000064,SubClassOf,IAO_0000104)
R(IAO_0000078,is,Class)
R(IAO_0000078,SubClassOf,IAO_0000102)
R(IAO_0000088,is,Class)
R(IAO_0000088,SubClassOf,IAO_0000310)
R(IAO_0000096,is,Class)
R(IAO_0000096,SubClassOf,IAO_0000033)
R(IAO_0000098,is,Class)
R(IAO_0000098,SubClassOf,IAO_0000033)
R(IAO_0000100,is,Class)
R(IAO_0000100,SubClassOf,IAO_0000027)
R(IAO_0000101,is,Class)
R(IAO_0000101,SubClassOf,IAO_0000308)
R(IAO_0000102,is,Class)
R(IAO_0000102,SubClassOf,IAO_0000027)
R(IAO_0000104,is,Class)
R(IAO_0000104,SubClassOf,IAO_0000033,)
R(IAO_0000104,SubClassOf,BFO_0000051 some IAO_0000005,)
R(IAO_0000104,SubClassOf,BFO_0000051 some IAO_0000007)
R(IAO_0000109,is,Class)
R(IAO_0000109,SubClassOf,IAO_0000027)
R(IAO_0000129,is,Class)
R(IAO_0000129,SubClassOf,IAO_0000028)
R(IAO_0000131,is,Class)
R(IAO_0000131,SubClassOf,IAO_0000028)
R(IAO_0000132,is,Class)
R(IAO_0000132,SubClassOf,IAO_0000028)
R(IAO_0000140,is,Class)
R(IAO_0000140,SubClassOf,IAO_0000027)
R(IAO_0000144,is,Class)
R(IAO_0000144,SubClassOf,IAO_0000300)
R(IAO_0000185,is,Class)
R(IAO_0000185,SubClassOf,IAO_0000101)
R(IAO_0000225,is,Class)
R(IAO_0000225,SubClassOf,IAO_0000102)
R(IAO_0000300,is,Class)
R(IAO_0000300,SubClassOf,IAO_0000030)
R(IAO_0000301,is,Class)
R(IAO_0000301,SubClassOf,IAO_0000300,)
R(IAO_0000301,SubClassOf,IAO_0000136 some IAO_0000310)
R(IAO_0000302,is,Class)
R(IAO_0000302,SubClassOf,IAO_0000590)
R(IAO_0000303,is,Class)
R(IAO_0000303,SubClassOf,IAO_0000300)
R(IAO_0000304,is,Class)
R(IAO_0000304,SubClassOf,IAO_0000300,)
R(IAO_0000304,SubClassOf,IAO_0000136 some IAO_0000308)
R(IAO_0000305,is,Class)
R(IAO_0000305,SubClassOf,IAO_0000300)
R(IAO_0000306,is,Class)
R(IAO_0000306,SubClassOf,IAO_0000300)
R(IAO_0000307,is,Class)
R(IAO_0000307,SubClassOf,IAO_0000306)
R(IAO_0000308,is,Class)
R(IAO_0000308,SubClassOf,IAO_0000030)
R(IAO_0000309,is,Class)
R(IAO_0000309,SubClassOf,IAO_0000308)
R(IAO_0000310,is,Class)
R(IAO_0000310,SubClassOf,IAO_0000030)
R(IAO_0000311,is,Class)
R(IAO_0000311,EquivalentTo,IAO_0000310 and (OBI_0000312 only IAO_0000444))
R(IAO_0000311,SubClassOf,IAO_0000310)
R(IAO_0000312,is,Class)
R(IAO_0000312,SubClassOf,IAO_0000311)
R(IAO_0000313,is,Class)
R(IAO_0000313,SubClassOf,IAO_0000310)
R(IAO_0000314,is,Class)
R(IAO_0000314,SubClassOf,IAO_0000030,)
R(IAO_0000314,SubClassOf,BFO_0000050 some IAO_0000310)
R(IAO_0000315,is,Class)
R(IAO_0000315,SubClassOf,IAO_0000314,)
R(IAO_0000315,SubClassOf,IAO_0000136 some IAO_0000310)
R(IAO_0000316,is,Class)
R(IAO_0000316,SubClassOf,IAO_0000314,)
R(IAO_0000316,SubClassOf,IAO_0000136 some IAO_0000005)
R(IAO_0000317,is,Class)
R(IAO_0000317,SubClassOf,IAO_0000314,)
R(IAO_0000317,SubClassOf,IAO_0000136 some OBI_0500000)
R(IAO_0000318,is,Class)
R(IAO_0000318,SubClassOf,IAO_0000314,)
R(IAO_0000318,SubClassOf,IAO_0000136 some OBI_0000471)
R(IAO_0000319,is,Class)
R(IAO_0000319,SubClassOf,IAO_0000314)
R(IAO_0000320,is,Class)
R(IAO_0000320,SubClassOf,IAO_0000314,)
R(IAO_0000320,SubClassOf,BFO_0000051 some IAO_0000301)
R(IAO_0000321,is,Class)
R(IAO_0000321,SubClassOf,IAO_0000314,)
R(IAO_0000321,SubClassOf,BFO_0000051 some IAO_0000302)
R(IAO_0000322,is,Class)
R(IAO_0000322,SubClassOf,IAO_0000314,)
R(IAO_0000322,SubClassOf,BFO_0000051 some IAO_0000303)
R(IAO_0000323,is,Class)
R(IAO_0000323,SubClassOf,IAO_0000314)
R(IAO_0000324,is,Class)
R(IAO_0000324,SubClassOf,IAO_0000314)
R(IAO_0000325,is,Class)
R(IAO_0000325,SubClassOf,IAO_0000314,)
R(IAO_0000325,SubClassOf,IAO_0000136 some IAO_0000314)
R(IAO_0000326,is,Class)
R(IAO_0000326,SubClassOf,IAO_0000314)
R(IAO_0000327,is,Class)
R(IAO_0000327,SubClassOf,IAO_0000306)
R(IAO_0000328,is,Class)
R(IAO_0000328,SubClassOf,IAO_0000306)
R(IAO_0000329,is,Class)
R(IAO_0000329,SubClassOf,IAO_0000305)
R(IAO_0000330,is,Class)
R(IAO_0000330,SubClassOf,IAO_0000314)
R(IAO_0000400,is,Class)
R(IAO_0000400,SubClassOf,IAO_0000027,)
R(IAO_0000400,SubClassOf,IAO_0000219 some BFO_0000018,)
R(Thing,is,IAO_0000407 exactly 1 www.w3.org/2002/07/#)
R(IAO_0000401,is,Class)
R(IAO_0000401,SubClassOf,IAO_0000400)
R(IAO_0000402,is,Class)
R(IAO_0000402,SubClassOf,IAO_0000400)
R(IAO_0000403,is,Class)
R(IAO_0000403,SubClassOf,IAO_0000400)
R(IAO_0000409,is,Class)
R(IAO_0000409,SubClassOf,IAO_0000102)
R(IAO_0000415,is,Class)
R(IAO_0000415,SubClassOf,IAO_0000300)
R(IAO_0000422,is,Class)
R(IAO_0000422,SubClassOf,IAO_0000300,)
R(IAO_0000422,SubClassOf,IAO_0000136 some GAZ_00000448)
R(IAO_0000429,is,Class)
R(IAO_0000429,SubClassOf,IAO_0000030)
R(IAO_0000444,is,Class)
R(IAO_0000445,is,Class)
R(IAO_0000445,SubClassOf,IAO_0000310)
R(IAO_0000577,is,Class)
R(IAO_0000577,SubClassOf,IAO_0000028,)
R(IAO_0000577,SubClassOf,BFO_0000050 some IAO_0000578)
R(IAO_0000578,is,Class)
R(IAO_0000578,SubClassOf,IAO_0020000,)
R(IAO_0000578,SubClassOf,BFO_0000051 some IAO_0000577,)
R(IAO_0000578,SubClassOf,BFO_0000051 some (IAO_0000219 some IAO_0000579))
R(IAO_0000579,is,Class)
R(IAO_0000579,SubClassOf,IAO_0000100)
R(IAO_0000582,is,Class)
R(IAO_0000582,SubClassOf,IAO_0000109)
R(IAO_0000584,is,Class)
R(IAO_0000584,SubClassOf,IAO_0000100)
R(IAO_0000590,is,Class)
R(IAO_0000590,SubClassOf,IAO_0000300)
R(IAO_0000605,is,Class)
R(IAO_0000605,SubClassOf,IAO_0000300)
R(IAO_0000606,is,Class)
R(IAO_0000606,SubClassOf,IAO_0000314,)
R(IAO_0000606,SubClassOf,BFO_0000051 some IAO_0000605)
R(IAO_0000607,is,Class)
R(IAO_0000607,SubClassOf,IAO_0000314,)
R(IAO_0000607,SubClassOf,BFO_0000051 some IAO_0000608)
R(IAO_0000608,is,Class)
R(IAO_0000608,SubClassOf,IAO_0000300)
R(IAO_0000609,is,Class)
R(IAO_0000609,SubClassOf,IAO_0000314,)
R(IAO_0000609,SubClassOf,BFO_0000051 some IAO_0000610)
R(IAO_0000610,is,Class)
R(IAO_0000610,SubClassOf,IAO_0000300)
R(IAO_0000611,is,Class)
R(IAO_0000611,SubClassOf,IAO_0000314,)
R(IAO_0000611,SubClassOf,BFO_0000051 some IAO_0000612)
R(IAO_0000612,is,Class)
R(IAO_0000612,SubClassOf,IAO_0000300)
R(IAO_0000613,is,Class)
R(IAO_0000613,SubClassOf,IAO_0000314,)
R(IAO_0000613,SubClassOf,BFO_0000051 some IAO_0000614)
R(IAO_0000614,is,Class)
R(IAO_0000614,SubClassOf,IAO_0000300)
R(IAO_0000615,is,Class)
R(IAO_0000615,SubClassOf,IAO_0000314,)
R(IAO_0000615,SubClassOf,BFO_0000051 some IAO_0000144)
R(IAO_0000616,is,Class)
R(IAO_0000616,SubClassOf,IAO_0000314,)
R(IAO_0000616,SubClassOf,BFO_0000051 some IAO_0000617)
R(IAO_0000617,is,Class)
R(IAO_0000617,SubClassOf,IAO_0000300)
R(IAO_0000618,is,Class)
R(IAO_0000618,SubClassOf,IAO_0000314,)
R(IAO_0000618,SubClassOf,BFO_0000051 some IAO_0000619)
R(IAO_0000619,is,Class)
R(IAO_0000619,SubClassOf,IAO_0000300)
R(IAO_0000620,is,Class)
R(IAO_0000620,SubClassOf,IAO_0000314,)
R(IAO_0000620,SubClassOf,BFO_0000051 some IAO_0000621)
R(IAO_0000621,is,Class)
R(IAO_0000621,SubClassOf,IAO_0000300,)
R(IAO_0000621,SubClassOf,IAO_0000136 some OBI_0500000)
R(IAO_0000622,is,Class)
R(IAO_0000622,SubClassOf,IAO_0000314,)
R(IAO_0000622,SubClassOf,BFO_0000051 some IAO_0000308)
R(IAO_0000623,is,Class)
R(IAO_0000623,SubClassOf,IAO_0000314,)
R(IAO_0000623,SubClassOf,BFO_0000051 some IAO_0000624)
R(IAO_0000624,is,Class)
R(IAO_0000624,SubClassOf,IAO_0000300)
R(IAO_0000625,is,Class)
R(IAO_0000625,SubClassOf,IAO_0000314,)
R(IAO_0000625,SubClassOf,BFO_0000051 some IAO_0000626)
R(IAO_0000626,is,Class)
R(IAO_0000626,SubClassOf,IAO_0000300)
R(IAO_0000627,is,Class)
R(IAO_0000627,SubClassOf,IAO_0000314,)
R(IAO_0000627,SubClassOf,BFO_0000051 some IAO_0000628)
R(IAO_0000628,is,Class)
R(IAO_0000628,SubClassOf,IAO_0000300)
R(IAO_0000629,is,Class)
R(IAO_0000629,SubClassOf,IAO_0000300)
R(IAO_0000630,is,Class)
R(IAO_0000630,SubClassOf,IAO_0000314,)
R(IAO_0000630,SubClassOf,BFO_0000051 some IAO_0000629)
R(IAO_0000631,is,Class)
R(IAO_0000631,SubClassOf,IAO_0000314,)
R(IAO_0000631,SubClassOf,BFO_0000051 some IAO_0000632,)
R(IAO_0000631,SubClassOf,IAO_0000136 some OBI_0500000)
R(IAO_0000632,is,Class)
R(IAO_0000632,SubClassOf,IAO_0000300)
R(IAO_0000633,is,Class)
R(IAO_0000633,SubClassOf,IAO_0000314)
R(IAO_0000634,is,Class)
R(IAO_0000634,SubClassOf,IAO_0000314)
R(IAO_0000635,is,Class)
R(IAO_0000635,SubClassOf,IAO_0000314,)
R(IAO_0000635,SubClassOf,BFO_0000051 some IAO_0000636)
R(IAO_0000636,is,Class)
R(IAO_0000636,SubClassOf,IAO_0000300)
R(IAO_0000637,is,Class)
R(IAO_0000637,SubClassOf,IAO_0000314,)
R(IAO_0000637,SubClassOf,BFO_0000051 some IAO_0000638)
R(IAO_0000638,is,Class)
R(IAO_0000638,SubClassOf,IAO_0000300)
R(IAO_0000639,is,Class)
R(IAO_0000639,SubClassOf,IAO_0000314,)
R(IAO_0000639,SubClassOf,BFO_0000051 some IAO_0000640)
R(IAO_0000640,is,Class)
R(IAO_0000640,SubClassOf,IAO_0000300)
R(IAO_0000641,is,Class)
R(IAO_0000641,SubClassOf,IAO_0000314,)
R(IAO_0000641,SubClassOf,BFO_0000051 some IAO_0000642)
R(IAO_0000642,is,Class)
R(IAO_0000642,SubClassOf,IAO_0000300)
R(IAO_0000643,is,Class)
R(IAO_0000643,SubClassOf,IAO_0000300)
R(IAO_0000644,is,Class)
R(IAO_0000644,SubClassOf,IAO_0000314,)
R(IAO_0000644,SubClassOf,BFO_0000051 some IAO_0000643)
R(IAO_0000645,is,Class)
R(IAO_0000645,SubClassOf,IAO_0000314,)
R(IAO_0000645,SubClassOf,BFO_0000051 some IAO_0000306)
R(IAO_0000646,is,Class)
R(IAO_0000646,SubClassOf,IAO_0020000)
R(IAO_0000647,is,Class)
R(IAO_0000647,SubClassOf,IAO_0000104)
R(IAO_0000648,is,Class)
R(IAO_0000648,SubClassOf,IAO_0000646)
R(IAO_0000701,is,Class)
R(IAO_0000701,SubClassOf,IAO_0000314)
R(IAO_0000702,is,Class)
R(IAO_0000702,SubClassOf,IAO_0000318)
R(IAO_0000703,is,Class)
R(IAO_0000703,SubClassOf,IAO_0000314)
R(IAO_0000704,is,Class)
R(IAO_0000704,SubClassOf,IAO_0000317)
R(IAO_0000705,is,Class)
R(IAO_0000705,SubClassOf,IAO_0000314)
R(IAO_0000706,is,Class)
R(IAO_0000706,SubClassOf,IAO_0000631)
R(IAO_0000707,is,Class)
R(IAO_0000707,SubClassOf,IAO_0000315)
R(IAO_0020000,is,Class)
R(IAO_0020000,EquivalentTo,(IAO_0000219 some BFO_0000001) and (OBI_0000312 only IAO_0020010))
R(IAO_0020000,SubClassOf,IAO_0000030,)
R(IAO_0020000,SubClassOf,IAO_0000219 some BFO_0000001)
R(IAO_0020001,is,Class)
R(IAO_0020001,SubClassOf,IAO_0000030)
R(IAO_0020002,is,Class)
R(IAO_0020002,SubClassOf,IAO_0000030)
R(IAO_0020010,is,Class)
R(IAO_0020015,is,Class)
R(IAO_0020015,EquivalentTo,IAO_0020000 and (IAO_0000219 only NCBITaxon_9606))
R(IAO_0020015,SubClassOf,IAO_0020000)
R(IAO_0020016,is,Class)
R(IAO_0020016,SubClassOf,IAO_0020015)
R(IAO_0020017,is,Class)
R(IAO_0020017,SubClassOf,IAO_0020015)
R(IAO_0020020,is,Class)
R(IAO_0020020,SubClassOf,IAO_0000310,)
R(IAO_0020020,SubClassOf,BFO_0000051 some IAO_0020000)
R(IAO_0020021,is,Class)
R(IAO_0020021,EquivalentTo,IAO_0000310 and (IAO_0000136 some IAO_0020022) and (RO_0000058 some)
R(IAO_0020021,EquivalentTo,(BFO_0000020 and (RO_0000052 some (RO_0000053 some IAO_0020024)))) and (RO_0000058 only)
R(IAO_0020021,EquivalentTo,(BFO_0000020 and (RO_0000052 some (RO_0000053 some IAO_0020024)))))
R(IAO_0020021,SubClassOf,IAO_0000310,)
R(IAO_0020021,SubClassOf,IAO_0000136 some IAO_0020022,)
R(IAO_0020021,SubClassOf,RO_0000058 some)
R(IAO_0020021,SubClassOf,(BFO_0000020 and (RO_0000052 some (RO_0000053 some IAO_0020024))))
R(IAO_0020022,is,Class)
R(IAO_0020022,SubClassOf,IAO_0000030,)
R(IAO_0020022,SubClassOf,(BFO_0000051 some IAO_0000030) and ( inverse (IAO_0000136) some IAO_0020021) and (BFO_0000051 only IAO_0000030))
R(IAO_0020024,is,Class)
R(IAO_0021007,is,Class)
R(IAO_0021007,SubClassOf,IAO_0000310)
R(IAO_8000000,is,Class)
R(IAO_8000000,SubClassOf,IAO_0000102)
R(NCBITaxon_9606,is,Class)
R(NCIT_C53489,is,Class)
R(NCIT_C53489,SubClassOf,IAO_0020020)
R(OBI_0000471,is,Class)
R(OBI_0500000,is,Class)
R(OBI_0500000,SubClassOf,IAO_0000104)
R(OGMS_0000073,is,Class)
R(OGMS_0000073,SubClassOf,OGMS_0000123)
R(OGMS_0000123,is,Class)
R(OGMS_0000123,SubClassOf,IAO_0000027)
R(OMIABIS_0000060,is,Class)
R(OMIABIS_0000060,SubClassOf,IAO_0000027)
R(OMIABIS_0001025,is,Class)
R(OMIABIS_0001025,SubClassOf,IAO_0000104)
R(OMRSE_00000000,is,Class)
R(OMRSE_00000000,SubClassOf,IAO_0000578)
R(OMRSE_00000076,is,Class)
R(OMRSE_00000077,is,Class)
R(OMRSE_00000083,is,Class)
R(OMRSE_00000083,SubClassOf,OMRSE_00000100)
R(OMRSE_00000089,is,Class)
R(OMRSE_00000089,SubClassOf,IAO_0000310)
R(OMRSE_00000090,is,Class)
R(OMRSE_00000090,SubClassOf,OMRSE_00000089)
R(OMRSE_00000098,is,Class)
R(OMRSE_00000098,EquivalentTo,OMRSE_00000132 and (BFO_0000050 some IAO_0020022) and (BFO_0000051 some (OBI_0000312 some OMRSE_00000099)) and (IAO_0000136 some NCBITaxon_9606))
R(OMRSE_00000098,SubClassOf,OMRSE_00000132,)
R(OMRSE_00000098,SubClassOf,BFO_0000051 some (OBI_0000312 some OMRSE_00000099))
R(OMRSE_00000099,is,Class)
R(OMRSE_00000100,is,Class)
R(OMRSE_00000100,EquivalentTo,OMRSE_00000132 and (BFO_0000050 some IAO_0020022) and (BFO_0000051 some (OBI_0000312 some OMRSE_00000101)) and (IAO_0000136 some NCBITaxon_9606))
R(OMRSE_00000100,SubClassOf,OMRSE_00000132,)
R(OMRSE_00000100,SubClassOf,BFO_0000051 some (OBI_0000312 some OMRSE_00000101))
R(OMRSE_00000101,is,Class)
R(OMRSE_00000132,is,Class)
R(OMRSE_00000133,is,Class)
R(OMRSE_00000133,EquivalentTo,OMRSE_00000132 and (BFO_0000050 some IAO_0020022) and (BFO_0000051 some (OBI_0000312 some OMRSE_00000135)) and (IAO_0000136 some NCBITaxon_9606))
R(OMRSE_00000133,SubClassOf,OMRSE_00000132,)
R(OMRSE_00000133,SubClassOf,BFO_0000051 some (OBI_0000312 some OMRSE_00000135))
R(OMRSE_00000135,is,Class)
R(OMRSE_00000138,is,Class)
R(OMRSE_00000138,SubClassOf,OMRSE_00000133)
R(OMRSE_00000141,is,Class)
R(OMRSE_00000141,SubClassOf,OMRSE_00000133)
R(OMRSE_00000142,is,Class)
R(OMRSE_00000142,EquivalentTo,IAO_0000030 and (IAO_0000136 some APOLLO_SV_00000532))
R(OMRSE_00000142,SubClassOf,IAO_0000030,)
R(OMRSE_00000142,SubClassOf,IAO_0000136 some APOLLO_SV_00000532)
R(OMRSE_00000143,is,Class)
R(OMRSE_00000143,EquivalentTo,IAO_0000028 and (IAO_0000219 some OMRSE_00000076))
R(OMRSE_00000143,SubClassOf,IAO_0000028,)
R(OMRSE_00000143,SubClassOf,IAO_0000219 some OMRSE_00000076)
R(OMRSE_00000144,is,Class)
R(OMRSE_00000144,EquivalentTo,IAO_0000028 and (IAO_0000219 some PCO_0000020))
R(OMRSE_00000144,SubClassOf,IAO_0000028,)
R(OMRSE_00000144,SubClassOf,IAO_0000219 some PCO_0000020)
R(OMRSE_00000145,is,Class)
R(OMRSE_00000145,SubClassOf,OMRSE_00000132)
R(OMRSE_00000163,is,Class)
R(OMRSE_00000163,SubClassOf,IAO_0000030,)
R(OMRSE_00000163,SubClassOf,RO_0000056 some OMRSE_00000168)
R(OMRSE_00000168,is,Class)
R(OMRSE_00000174,is,Class)
R(OMRSE_00000174,SubClassOf,OMRSE_00000163)
R(OMRSE_00000175,is,Class)
R(OMRSE_00000175,SubClassOf,OMRSE_00000163)
R(OMRSE_00000179,is,Class)
R(OMRSE_00000179,SubClassOf,OMRSE_00000175)
R(OMRSE_00000185,is,Class)
R(OMRSE_00000185,SubClassOf,OMRSE_00000098)
R(OMRSE_00000188,is,Class)
R(OMRSE_00000188,SubClassOf,IAO_0000030)
R(OMRSE_00000189,is,Class)
R(OMRSE_00000189,SubClassOf,IAO_0000030)
R(OMRSE_00000190,is,Class)
R(OMRSE_00000190,SubClassOf,IAO_0000030,)
R(OMRSE_00000190,SubClassOf,RO_0002350 some OMRSE_00000188)
R(OMRSE_00000193,is,Class)
R(OMRSE_00000194,is,Class)
R(OMRSE_00000197,is,Class)
R(OMRSE_00000197,SubClassOf,IAO_0000030,)
R(OMRSE_00000197,SubClassOf,IAO_0000136 some OMRSE_00000193,)
R(OMRSE_00000197,SubClassOf,IAO_0000136 some OMRSE_00000194,)
R(OMRSE_00000197,SubClassOf,IAO_0000136 some)
R(OMRSE_00000197,SubClassOf,(BFO_0000040 and (RO_0000053 some OMRSE_00000193)))
R(OMRSE_00000202,is,Class)
R(OMRSE_00000203,is,Class)
R(OMRSE_00000203,SubClassOf,IAO_0000030,)
R(OMRSE_00000203,SubClassOf,IAO_0000030 and (OBI_0000312 some OMRSE_00000202))
R(OMRSE_00000204,is,Class)
R(OMRSE_00000205,is,Class)
R(OMRSE_00000205,SubClassOf,OMRSE_00000204)
R(OMRSE_00000206,is,Class)
R(OMRSE_00000206,SubClassOf,OMRSE_00000205)
R(OMRSE_00000209,is,Class)
R(OMRSE_00000209,SubClassOf,OMRSE_00000204)
R(OMRSE_00000210,is,Class)
R(OMRSE_00000210,SubClassOf,OMRSE_00000209)
R(OMRSE_00000211,is,Class)
R(OMRSE_00000211,SubClassOf,OMRSE_00000209)
R(OMRSE_00000212,is,Class)
R(OMRSE_00000212,SubClassOf,OMRSE_00000209)
R(OMRSE_00000213,is,Class)
R(OMRSE_00000213,SubClassOf,OMRSE_00000204)
R(OMRSE_00000214,is,Class)
R(OMRSE_00000214,SubClassOf,OMRSE_00000213)
R(OMRSE_00000220,is,Class)
R(OMRSE_00000220,SubClassOf,OMRSE_00000204)
R(OMRSE_00000221,is,Class)
R(OMRSE_00000221,SubClassOf,IAO_0000030)
R(OMRSE_00000224,is,Class)
R(OMRSE_00000224,SubClassOf,IAO_0000100)
R(OMRSE_00000225,is,Class)
R(OMRSE_00000225,SubClassOf,IAO_0000100)
R(OMRSE_00000226,is,Class)
R(OMRSE_00000226,SubClassOf,IAO_0000100)
R(OMRSE_00000232,is,Class)
R(OMRSE_00000232,SubClassOf,OMIABIS_0000060)
R(OMRSE_00000234,is,Class)
R(OMRSE_00000234,SubClassOf,IAO_0000027)
R(OMRSE_00000500,is,Class)
R(OMRSE_00000500,EquivalentTo,IAO_0000027 and (IAO_0000136 some)
R(OMRSE_00000500,EquivalentTo,(OMRSE_00000077 or (BFO_0000015 and (BFO_0000055 some OMRSE_00000077)))))
R(OMRSE_00000500,SubClassOf,IAO_0000027,)
R(OMRSE_00000500,SubClassOf,IAO_0000136 some)
R(OMRSE_00000500,SubClassOf,(OMRSE_00000077 or (BFO_0000015 and (BFO_0000055 some OMRSE_00000077))))
R(OMRSE_00000501,is,Class)
R(OMRSE_00000501,SubClassOf,OMRSE_00000506)
R(OMRSE_00000502,is,Class)
R(OMRSE_00000502,SubClassOf,OMRSE_00000506)
R(OMRSE_00000503,is,Class)
R(OMRSE_00000503,SubClassOf,OMRSE_00000506)
R(OMRSE_00000504,is,Class)
