R(namespacestring,is,Datatype)
R(CDNO_0000035,SubClassOf,CDNO_0000006)
R(CDNO_0000036,is,Class)
R(CDNO_0000036,SubClassOf,CDNO_0000005)
R(CDNO_0000037,is,Class)
R(CDNO_0000037,SubClassOf,CDNO_0000005)
R(CDNO_0000038,is,Class)
R(CDNO_0000038,SubClassOf,CDNO_0000006)
R(CDNO_0000039,is,Class)
R(CDNO_0000039,SubClassOf,CDNO_0000006)
R(CDNO_0000040,is,Class)
R(CDNO_0000040,SubClassOf,CDNO_0000006)
R(CDNO_0100001,is,Class)
R(CDNO_0100001,SubClassOf,CHEBI_28057)
R(CDNO_0100002,is,Class)
R(CDNO_0100002,SubClassOf,CHEBI_28102)
R(CDNO_0100003,is,Class)
R(CDNO_0100003,SubClassOf,CHEBI_24174)
R(CDNO_0100004,is,Class)
R(CDNO_0100004,EquivalentTo,CHEBI_26543 and (RO_0001000 some CHEBI_17309))
R(CDNO_0100004,SubClassOf,CDNO_0100003,)
R(CDNO_0100004,SubClassOf,CHEBI_26543)
R(CDNO_0100006,is,Class)
R(CDNO_0100008,is,Class)
R(CDNO_0100010,is,Class)
R(CDNO_0100010,SubClassOf,CHEBI_28796)
R(CDNO_0100011,is,Class)
R(CDNO_0100011,EquivalentTo,CHEBI_22590 and (RO_0001000 some CHEBI_61266))
R(CDNO_0100011,SubClassOf,CHEBI_22590,)
R(CDNO_0100011,SubClassOf,RO_0001000 some CHEBI_61266)
R(CDNO_0100012,is,Class)
R(CDNO_0100012,EquivalentTo,CHEBI_27680 and (RO_0001000 some CHEBI_61266))
R(CDNO_0100012,SubClassOf,CHEBI_27680,)
R(CDNO_0100012,SubClassOf,RO_0001000 some CHEBI_61266)
R(CDNO_0100013,is,Class)
R(CDNO_0100013,SubClassOf,CHEBI_37165)
R(CDNO_0100014,is,Class)
R(CDNO_0100014,SubClassOf,CHEBI_17234)
R(CDNO_0100015,is,Class)
R(CDNO_0100015,SubClassOf,CHEBI_17234)
R(CDNO_0100016,is,Class)
R(CDNO_0100016,SubClassOf,CHEBI_17234)
R(CDNO_0100017,is,Class)
R(CDNO_0100017,SubClassOf,CHEBI_28757)
R(CDNO_0100018,is,Class)
R(CDNO_0100018,SubClassOf,CHEBI_17234)
R(CDNO_0100019,is,Class)
R(CDNO_0100019,SubClassOf,CHEBI_33830)
R(CDNO_0100020,is,Class)
R(CDNO_0100020,SubClassOf,CHEBI_26546)
R(CDNO_0100021,is,Class)
R(CDNO_0100021,SubClassOf,CHEBI_16689)
R(CDNO_0100022,is,Class)
R(CDNO_0100022,SubClassOf,CHEBI_33830)
R(CDNO_0100023,is,Class)
R(CDNO_0100023,SubClassOf,CHEBI_33984)
R(CDNO_0100024,is,Class)
R(CDNO_0100024,SubClassOf,CHEBI_18222)
R(CDNO_0100025,is,Class)
R(CDNO_0100025,SubClassOf,CHEBI_22599)
R(CDNO_0100026,is,Class)
R(CDNO_0100026,SubClassOf,CHEBI_28260)
R(CDNO_0100028,is,Class)
R(CDNO_0100028,SubClassOf,CHEBI_28260)
R(CDNO_0100029,is,Class)
R(CDNO_0100029,SubClassOf,CHEBI_17234)
R(CDNO_0100030,is,Class)
R(CDNO_0100030,SubClassOf,CHEBI_28757)
R(CDNO_0100031,is,Class)
R(CDNO_0100032,is,Class)
R(CDNO_0100032,SubClassOf,CHEBI_28260)
R(CDNO_0100033,is,Class)
R(CDNO_0100033,SubClassOf,CHEBI_17234)
R(CDNO_0100034,is,Class)
R(CDNO_0100034,EquivalentTo,CHEBI_28757 and (RO_0001000 some CDNO_0100031))
R(CDNO_0100034,SubClassOf,CHEBI_28757,)
R(CDNO_0100034,SubClassOf,RO_0001000 some CDNO_0100031)
R(CDNO_0100034,DisjointWith,CHEBI_28757 and (RO_0001000 some CDNO_0100031))
R(CDNO_0100035,is,Class)
R(CDNO_0100036,is,Class)
R(CDNO_0100036,SubClassOf,CHEBI_28260)
R(CDNO_0100037,is,Class)
R(CDNO_0100037,EquivalentTo,CHEBI_17234 and (RO_0001000 some CDNO_0100035))
R(CDNO_0100037,SubClassOf,CHEBI_17234,)
R(CDNO_0100037,SubClassOf,RO_0001000 some CDNO_0100035)
R(CDNO_0100038,is,Class)
R(CDNO_0100038,SubClassOf,CHEBI_28757)
R(CDNO_0100039,is,Class)
R(CDNO_0100039,SubClassOf,CHEBI_17234)
R(CDNO_0100040,is,Class)
R(CDNO_0100040,SubClassOf,CHEBI_37684)
R(CDNO_0100041,is,Class)
R(CDNO_0100041,EquivalentTo,CHEBI_17234 and (RO_0001000 some CDNO_0100006))
R(CDNO_0100041,SubClassOf,CHEBI_17234,)
R(CDNO_0100041,SubClassOf,RO_0001000 some CDNO_0100006)
R(CDNO_0100042,is,Class)
R(CDNO_0100042,SubClassOf,CHEBI_18222)
R(CDNO_0100043,is,Class)
R(CDNO_0100043,SubClassOf,CHEBI_17234)
R(CDNO_0100044,is,Class)
R(CDNO_0100044,SubClassOf,CHEBI_18222)
R(CDNO_0100045,is,Class)
R(CDNO_0100045,EquivalentTo,CHEBI_17234 and (RO_0001000 some CDNO_0100008))
R(CDNO_0100045,SubClassOf,CHEBI_17234,)
R(CDNO_0100045,SubClassOf,RO_0001000 some CDNO_0100008)
R(CDNO_0100046,is,Class)
R(CDNO_0100046,SubClassOf,CHEBI_37684)
R(CDNO_0100047,is,Class)
R(CDNO_0100047,SubClassOf,CHEBI_22599)
R(CDNO_0100048,is,Class)
R(CDNO_0100048,SubClassOf,CHEBI_18222)
R(CDNO_0100050,is,Class)
R(CDNO_0100050,SubClassOf,CHEBI_28757)
R(CDNO_0100051,is,Class)
R(CDNO_0100051,EquivalentTo,CHEBI_33709 and (RO_0001000 some CHEBI_36080))
R(CDNO_0100051,SubClassOf,CHEBI_33709,)
R(CDNO_0100051,SubClassOf,RO_0001000 some CHEBI_36080,)
R(CDNO_0100051,SubClassOf,RO_0001000 only CHEBI_16374)
R(CDNO_0300001,is,Class)
R(CDNO_0300001,SubClassOf,PATO_0000001)
R(CHEBI_10086,is,Class)
R(CHEBI_10086,SubClassOf,CHEBI_26873)
R(CHEBI_10136,is,Class)
R(CHEBI_10136,SubClassOf,CHEBI_22315)
R(CHEBI_10607,is,Class)
R(CHEBI_10607,SubClassOf,CHEBI_24676)
R(CHEBI_12777,is,Class)
R(CHEBI_12777,SubClassOf,CDNO_0000014)
R(CHEBI_131371,is,Class)
R(CHEBI_131371,SubClassOf,CDNO_0000026)
R(CHEBI_132141,is,Class)
R(CHEBI_132141,SubClassOf,CHEBI_25481)
R(CHEBI_132142,is,Class)
R(CHEBI_132142,SubClassOf,CHEBI_25481)
R(CHEBI_132853,is,Class)
R(CHEBI_132853,SubClassOf,CHEBI_26195)
R(CHEBI_133365,is,Class)
R(CHEBI_133365,SubClassOf,CHEBI_26195)
R(CHEBI_134345,is,Class)
R(CHEBI_134345,SubClassOf,CHEBI_33853)
R(CHEBI_141540,is,Class)
R(CHEBI_141540,SubClassOf,CHEBI_78802)
R(CHEBI_143237,is,Class)
R(CHEBI_143237,SubClassOf,CHEBI_33853)
R(CHEBI_145012,is,Class)
R(CHEBI_145012,SubClassOf,CHEBI_26873)
R(CHEBI_145013,is,Class)
R(CHEBI_145013,SubClassOf,CHEBI_26873)
R(CHEBI_145018,is,Class)
R(CHEBI_145018,SubClassOf,CHEBI_26873)
R(CHEBI_145022,is,Class)
R(CHEBI_145022,SubClassOf,CHEBI_26873)
R(CHEBI_145829,is,Class)
R(CHEBI_145829,SubClassOf,CHEBI_47916)
R(CHEBI_145967,is,Class)
R(CHEBI_145967,SubClassOf,CHEBI_33570)
R(CHEBI_145969,is,Class)
R(CHEBI_145969,SubClassOf,CHEBI_33570)
R(CHEBI_149610,is,Class)
R(CHEBI_149610,SubClassOf,CHEBI_26195)
R(CHEBI_150326,is,Class)
R(CHEBI_150326,SubClassOf,CHEBI_26191)
R(CHEBI_15035,is,Class)
R(CHEBI_15035,SubClassOf,CHEBI_26873)
R(CHEBI_15138,is,Class)
R(CHEBI_15138,SubClassOf,CDNO_0000021)
R(CHEBI_15354,is,Class)
R(CHEBI_15354,SubClassOf,CHEBI_72544)
R(CHEBI_15356,is,Class)
R(CHEBI_15356,SubClassOf,CHEBI_33261,)
R(CHEBI_15356,SubClassOf,CHEBI_33709)
R(CHEBI_15366,is,Class)
R(CHEBI_15366,SubClassOf,CHEBI_64709)
R(CHEBI_15377,is,Class)
R(CHEBI_15377,SubClassOf,CDNO_0000001)
R(CHEBI_15396,is,Class)
R(CHEBI_15396,SubClassOf,CHEBI_26873)
R(CHEBI_15398,is,Class)
R(CHEBI_15398,SubClassOf,CHEBI_26873)
R(CHEBI_15399,is,Class)
R(CHEBI_15399,SubClassOf,CHEBI_26873)
R(CHEBI_15420,is,Class)
R(CHEBI_15420,SubClassOf,CHEBI_26873)
R(CHEBI_15428,is,Class)
R(CHEBI_15428,SubClassOf,CHEBI_33709)
R(CHEBI_15443,is,Class)
R(CHEBI_15443,SubClassOf,CHEBI_28796)
R(CHEBI_15649,is,Class)
R(CHEBI_15649,SubClassOf,CHEBI_47916)
R(CHEBI_15712,is,Class)
R(CHEBI_15712,SubClassOf,CHEBI_33853)
R(CHEBI_15741,is,Class)
R(CHEBI_15741,SubClassOf,CHEBI_64709)
R(CHEBI_15756,is,Class)
R(CHEBI_15756,SubClassOf,CHEBI_26607)
R(CHEBI_15760,is,Class)
R(CHEBI_15760,SubClassOf,CHEBI_33853)
R(CHEBI_15858,is,Class)
R(CHEBI_15858,SubClassOf,CHEBI_24866)
R(CHEBI_15889,is,Class)
R(CHEBI_15889,SubClassOf,CHEBI_18059)
R(CHEBI_15891,is,Class)
R(CHEBI_15891,SubClassOf,CHEBI_72544)
R(CHEBI_15939,is,Class)
R(CHEBI_15939,SubClassOf,CHEBI_26873)
R(CHEBI_15940,is,Class)
R(CHEBI_15940,SubClassOf,CHEBI_176839)
R(CHEBI_15956,is,Class)
R(CHEBI_15956,SubClassOf,CHEBI_176841)
R(CHEBI_16024,is,Class)
R(CHEBI_16024,SubClassOf,CHEBI_37684)
R(CHEBI_16038,is,Class)
R(CHEBI_16038,SubClassOf,CHEBI_16247,)
R(CHEBI_16038,SubClassOf,CHEBI_190516)
R(CHEBI_16104,is,Class)
R(CHEBI_16104,SubClassOf,CHEBI_33853)
R(CHEBI_16113,is,Class)
R(CHEBI_16113,SubClassOf,CHEBI_15889)
R(CHEBI_16119,is,Class)
R(CHEBI_16119,SubClassOf,CHEBI_64709)
R(CHEBI_16164,is,Class)
R(CHEBI_16164,SubClassOf,CHEBI_22707)
R(CHEBI_16196,is,Class)
R(CHEBI_16196,SubClassOf,CHEBI_25413)
R(CHEBI_16226,is,Class)
R(CHEBI_16226,SubClassOf,CHEBI_26873)
R(CHEBI_16247,is,Class)
R(CHEBI_16247,SubClassOf,CHEBI_18059)
R(CHEBI_16261,is,Class)
R(CHEBI_16261,SubClassOf,CHEBI_16646)
R(CHEBI_16374,is,Class)
R(CHEBI_16374,SubClassOf,CHEBI_28384)
R(CHEBI_16374,DisjointWith,CHEBI_36080)
R(CHEBI_16382,is,Class)
R(CHEBI_16382,SubClassOf,CDNO_0000025)
R(CHEBI_16388,is,Class)
R(CHEBI_16388,SubClassOf,CHEBI_33853)
R(CHEBI_16449,is,Class)
R(CHEBI_16449,SubClassOf,CHEBI_33709)
R(CHEBI_165,is,Class)
R(CHEBI_165,SubClassOf,CHEBI_26873)
R(CHEBI_165217,is,Class)
R(CHEBI_165217,SubClassOf,CHEBI_24676)
R(CHEBI_16634,is,Class)
R(CHEBI_16634,SubClassOf,CHEBI_74961)
R(CHEBI_16646,is,Class)
R(CHEBI_16646,SubClassOf,CDNO_0000001)
R(CHEBI_166885,is,Class)
R(CHEBI_166885,SubClassOf,CHEBI_166899)
R(CHEBI_166886,is,Class)
R(CHEBI_166886,SubClassOf,CHEBI_166899)
R(CHEBI_166887,is,Class)
R(CHEBI_166887,SubClassOf,CHEBI_166899)
R(CHEBI_166888,is,Class)
R(CHEBI_166888,SubClassOf,CHEBI_26125)
R(CHEBI_16689,is,Class)
R(CHEBI_16689,SubClassOf,CHEBI_35381)
R(CHEBI_166890,is,Class)
R(CHEBI_166890,SubClassOf,CDNO_0000013)
R(CHEBI_166892,is,Class)
R(CHEBI_166892,SubClassOf,CHEBI_22580)
R(CHEBI_166894,is,Class)
R(CHEBI_166894,SubClassOf,CHEBI_51149)
R(CHEBI_166896,is,Class)
R(CHEBI_166896,SubClassOf,CHEBI_47916)
R(CHEBI_166899,is,Class)
R(CHEBI_166899,SubClassOf,CDNO_0000009)
R(CHEBI_166964,is,Class)
R(CHEBI_166964,SubClassOf,CDNO_0000009)
R(CHEBI_166965,is,Class)
R(CHEBI_166965,SubClassOf,CHEBI_51149)
R(CHEBI_166966,is,Class)
R(CHEBI_166966,SubClassOf,CHEBI_51149)
R(CHEBI_166967,is,Class)
R(CHEBI_166967,SubClassOf,CHEBI_35366)
R(CHEBI_166968,is,Class)
R(CHEBI_166968,SubClassOf,CHEBI_35366)
R(CHEBI_16709,is,Class)
R(CHEBI_16709,SubClassOf,CHEBI_27306)
R(CHEBI_167164,is,Class)
R(CHEBI_167164,SubClassOf,CDNO_0000001)
R(CHEBI_16786,is,Class)
R(CHEBI_16786,SubClassOf,CHEBI_33853)
R(CHEBI_16793,is,Class)
R(CHEBI_16793,SubClassOf,CDNO_0000012)
R(CHEBI_16811,is,Class)
R(CHEBI_16811,SubClassOf,CHEBI_33261,)
R(CHEBI_16811,SubClassOf,CHEBI_33709)
R(CHEBI_16832,is,Class)
R(CHEBI_16832,SubClassOf,CHEBI_33853)
R(CHEBI_16914,is,Class)
R(CHEBI_16914,SubClassOf,CHEBI_24676,)
R(CHEBI_16914,SubClassOf,CHEBI_64709)
R(CHEBI_16933,is,Class)
R(CHEBI_16933,SubClassOf,CHEBI_26125)
R(CHEBI_16966,is,Class)
R(CHEBI_16966,SubClassOf,CDNO_0000031)
R(CHEBI_16995,is,Class)
R(CHEBI_16995,SubClassOf,CHEBI_64709)
R(CHEBI_16997,is,Class)
R(CHEBI_16997,SubClassOf,CHEBI_26191)
R(CHEBI_17015,is,Class)
R(CHEBI_17015,SubClassOf,CHEBI_176838)
R(CHEBI_17020,is,Class)
R(CHEBI_17020,SubClassOf,CHEBI_61266)
R(CHEBI_17043,is,Class)
R(CHEBI_17043,SubClassOf,CHEBI_33853)
R(CHEBI_17051,is,Class)
R(CHEBI_17051,SubClassOf,CDNO_0000024)
R(CHEBI_17113,is,Class)
R(CHEBI_17113,SubClassOf,CHEBI_26191)
R(CHEBI_17151,is,Class)
R(CHEBI_17151,SubClassOf,CHEBI_26191)
R(CHEBI_17164,is,Class)
R(CHEBI_17164,SubClassOf,CHEBI_74961)
R(CHEBI_17189,is,Class)
R(CHEBI_17189,SubClassOf,CHEBI_24676)
R(CHEBI_17219,is,Class)
R(CHEBI_17219,SubClassOf,CHEBI_26873)
R(CHEBI_17234,is,Class)
R(CHEBI_17234,SubClassOf,CDNO_0000004,)
R(CHEBI_17234,SubClassOf,CHEBI_35381)
R(CHEBI_17268,is,Class)
R(CHEBI_17268,SubClassOf,CHEBI_17401)
R(CHEBI_17306,is,Class)
R(CHEBI_17306,SubClassOf,CDNO_0000004,)
R(CHEBI_17306,SubClassOf,CHEBI_36233,)
R(CHEBI_17306,SubClassOf,CHEBI_50699)
R(CHEBI_17309,is,Class)
R(CHEBI_17309,SubClassOf,CDNO_0000006,)
R(CHEBI_17309,SubClassOf,CHEBI_18154)
R(CHEBI_17327,is,Class)
R(CHEBI_17327,SubClassOf,CHEBI_26873)
R(CHEBI_17336,is,Class)
R(CHEBI_17336,SubClassOf,CHEBI_12777)
R(CHEBI_17359,is,Class)
R(CHEBI_17359,SubClassOf,CDNO_0000021)
R(CHEBI_17401,is,Class)
R(CHEBI_17401,SubClassOf,CHEBI_190516,)
R(CHEBI_17401,SubClassOf,CHEBI_24848,)
R(CHEBI_17401,SubClassOf,CHEBI_64709)
R(CHEBI_17407,is,Class)
R(CHEBI_17407,SubClassOf,CHEBI_26873)
R(CHEBI_17439,is,Class)
R(CHEBI_17439,SubClassOf,CHEBI_176843)
R(CHEBI_17445,is,Class)
R(CHEBI_17445,SubClassOf,CHEBI_33853)
R(CHEBI_17447,is,Class)
R(CHEBI_17447,SubClassOf,CHEBI_26873)
R(CHEBI_174910,is,Class)
R(CHEBI_174910,SubClassOf,CHEBI_26195)
R(CHEBI_17522,is,Class)
R(CHEBI_17522,SubClassOf,CHEBI_26191)
R(CHEBI_175304,is,Class)
R(CHEBI_175304,SubClassOf,CHEBI_22707)
R(CHEBI_17535,is,Class)
R(CHEBI_17535,SubClassOf,CHEBI_22599)
R(CHEBI_17556,is,Class)
R(CHEBI_17556,SubClassOf,CHEBI_47916)
R(CHEBI_17594,is,Class)
R(CHEBI_17594,SubClassOf,CHEBI_33570)
R(CHEBI_17597,is,Class)
R(CHEBI_17597,SubClassOf,CHEBI_24673)
R(CHEBI_176783,is,Class)
R(CHEBI_176783,SubClassOf,CDNO_0000014)
R(CHEBI_176838,is,Class)
R(CHEBI_176838,SubClassOf,CHEBI_75769)
R(CHEBI_176839,is,Class)
R(CHEBI_176839,SubClassOf,CHEBI_75769)
R(CHEBI_176840,is,Class)
R(CHEBI_176840,SubClassOf,CHEBI_75769)
R(CHEBI_176841,is,Class)
R(CHEBI_176841,SubClassOf,CHEBI_75769)
R(CHEBI_176842,is,Class)
R(CHEBI_176842,SubClassOf,CHEBI_75769)
R(CHEBI_176843,is,Class)
R(CHEBI_176843,SubClassOf,CHEBI_75769)
R(CHEBI_17716,is,Class)
R(CHEBI_17716,SubClassOf,CDNO_0000004,)
R(CHEBI_17716,SubClassOf,CHEBI_36233)
R(CHEBI_17750,is,Class)
R(CHEBI_17750,SubClassOf,CHEBI_15428)
R(CHEBI_17754,is,Class)
R(CHEBI_17754,SubClassOf,CHEBI_26191)
R(CHEBI_17822,is,Class)
R(CHEBI_17822,SubClassOf,CHEBI_33709)
R(CHEBI_17855,is,Class)
R(CHEBI_17855,SubClassOf,CHEBI_18059)
R(CHEBI_17883,is,Class)
R(CHEBI_17883,SubClassOf,CHEBI_17996)
R(CHEBI_17898,is,Class)
R(CHEBI_17898,SubClassOf,CHEBI_26873)
R(CHEBI_17933,is,Class)
R(CHEBI_17933,SubClassOf,CHEBI_73558)
R(CHEBI_17992,is,Class)
R(CHEBI_17992,SubClassOf,CDNO_0000004,)
R(CHEBI_17992,SubClassOf,CHEBI_36233)
R(CHEBI_17996,is,Class)
R(CHEBI_17996,SubClassOf,CDNO_0000016)
R(CHEBI_18024,is,Class)
R(CHEBI_18024,SubClassOf,CHEBI_33830)
R(CHEBI_18026,is,Class)
R(CHEBI_18026,SubClassOf,CHEBI_24676)
R(CHEBI_18035,is,Class)
R(CHEBI_18035,SubClassOf,CHEBI_18059)
R(CHEBI_18059,is,Class)
R(CHEBI_18059,SubClassOf,CDNO_0000001)
R(CHEBI_18067,is,Class)
R(CHEBI_18067,SubClassOf,CHEBI_28384)
R(CHEBI_18101,is,Class)
R(CHEBI_18101,SubClassOf,CHEBI_33853)
R(CHEBI_18125,is,Class)
R(CHEBI_18125,SubClassOf,CHEBI_33853)
R(CHEBI_18135,is,Class)
R(CHEBI_18135,SubClassOf,CHEBI_33570)
R(CHEBI_18154,is,Class)
R(CHEBI_18154,SubClassOf,CHEBI_16646)
R(CHEBI_18176,is,Class)
R(CHEBI_18176,SubClassOf,CHEBI_23401)
R(CHEBI_18185,is,Class)
R(CHEBI_18185,SubClassOf,CHEBI_27013)
R(CHEBI_18186,is,Class)
R(CHEBI_18186,SubClassOf,CHEBI_33709)
R(CHEBI_181906,is,Class)
R(CHEBI_181906,SubClassOf,CHEBI_16646)
R(CHEBI_18211,is,Class)
R(CHEBI_18211,SubClassOf,CHEBI_83820)
R(CHEBI_18222,is,Class)
R(CHEBI_18222,SubClassOf,CHEBI_35381)
R(CHEBI_18233,is,Class)
R(CHEBI_18233,SubClassOf,CHEBI_61266)
R(CHEBI_18237,is,Class)
R(CHEBI_18237,SubClassOf,CHEBI_33709)
R(CHEBI_18243,is,Class)
R(CHEBI_18243,SubClassOf,CHEBI_33570)
R(CHEBI_18257,is,Class)
R(CHEBI_18257,SubClassOf,CHEBI_83820)
R(CHEBI_18287,is,Class)
R(CHEBI_18287,SubClassOf,CHEBI_33984)
R(CHEBI_18291,is,Class)
R(CHEBI_18291,SubClassOf,CDNO_0000027)
R(CHEBI_18303,is,Class)
R(CHEBI_18303,SubClassOf,CHEBI_16247)
R(CHEBI_18305,is,Class)
R(CHEBI_18305,SubClassOf,CHEBI_15891)
R(CHEBI_18346,is,Class)
R(CHEBI_18346,SubClassOf,CHEBI_33853)
R(CHEBI_18353,is,Class)
R(CHEBI_18353,SubClassOf,CHEBI_33853)
R(CHEBI_18394,is,Class)
R(CHEBI_18394,SubClassOf,CHEBI_36233)
R(CHEBI_18414,is,Class)
R(CHEBI_18414,SubClassOf,CHEBI_33570)
R(CHEBI_18420,is,Class)
R(CHEBI_18420,SubClassOf,CDNO_0000017)
R(CHEBI_1879,is,Class)
R(CHEBI_1879,SubClassOf,CHEBI_33853)
R(CHEBI_1883,is,Class)
R(CHEBI_1883,SubClassOf,CHEBI_33853)
R(CHEBI_189560,is,Class)
R(CHEBI_189560,SubClassOf,CDNO_0000031)
R(CHEBI_190295,is,Class)
R(CHEBI_190295,SubClassOf,CDNO_0000015)
R(CHEBI_190297,is,Class)
R(CHEBI_190297,SubClassOf,CDNO_0000017)
R(CHEBI_190299,is,Class)
R(CHEBI_190299,SubClassOf,CDNO_0000017)
R(CHEBI_190300,is,Class)
R(CHEBI_190300,SubClassOf,CDNO_0000018)
R(CHEBI_190302,is,Class)
R(CHEBI_190302,SubClassOf,CDNO_0000018)
R(CHEBI_190303,is,Class)
R(CHEBI_190303,SubClassOf,CDNO_0000019)
R(CHEBI_190412,is,Class)
R(CHEBI_190412,SubClassOf,CDNO_0000022)
R(CHEBI_190413,is,Class)
R(CHEBI_190413,SubClassOf,CDNO_0000022)
R(CHEBI_190414,is,Class)
R(CHEBI_190414,SubClassOf,CDNO_0000023)
R(CHEBI_190415,is,Class)
R(CHEBI_190415,SubClassOf,CDNO_0000023)
R(CHEBI_190416,is,Class)
R(CHEBI_190416,SubClassOf,CDNO_0000024)
R(CHEBI_190417,is,Class)
R(CHEBI_190417,SubClassOf,CDNO_0000024)
R(CHEBI_190418,is,Class)
R(CHEBI_190418,SubClassOf,CDNO_0000025)
R(CHEBI_190419,is,Class)
R(CHEBI_190419,SubClassOf,CDNO_0000025)
R(CHEBI_190420,is,Class)
R(CHEBI_190420,SubClassOf,CDNO_0000026)
R(CHEBI_190421,is,Class)
R(CHEBI_190421,SubClassOf,CDNO_0000026)
R(CHEBI_190422,is,Class)
R(CHEBI_190422,SubClassOf,CDNO_0000027)
R(CHEBI_190423,is,Class)
R(CHEBI_190423,SubClassOf,CDNO_0000027)
R(CHEBI_190424,is,Class)
R(CHEBI_190424,SubClassOf,CDNO_0000028)
R(CHEBI_190425,is,Class)
R(CHEBI_190425,SubClassOf,CDNO_0000028)
R(CHEBI_190426,is,Class)
R(CHEBI_190426,SubClassOf,CDNO_0000029)
R(CHEBI_190427,is,Class)
