R(date,is,Datatype)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,e)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,em)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,f)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,fm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,fx)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,gb)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,g)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,gm)
R(purl.org/NET/c4dm/keys.#,is,Individual)
R(purl.org/NET/c4dm/keys.#,SameAs,gxm)
