R(AssociatedWith,is,ObjectProperty)
R(Endothelioma,is,Class)
R(Endothelioma,SubClassOf,Neoplasm)
R(EpithelialNeoplasm,is,Class)
R(EpithelialNeoplasm,SubClassOf,Neoplasm)
R(EsophagealDisease,is,Class)
R(EsophagealDisease,SubClassOf,GastrointestinalDisease)
R(EsophagealNeoplasm,is,Class)
R(EsophagealNeoplasm,SubClassOf,GastrointestinalNeoplasm)
R(ExperimentalNeoplasm,is,Class)
R(ExperimentalNeoplasm,SubClassOf,Neoplasm,)
R(ExperimentalNeoplasm,SubClassOf,AssociatedWith some LungNeoplasm,)
R(ExperimentalNeoplasm,SubClassOf,AssociatedWith only T-CellLymphocyticLeukemia)
R(EyeNeoplasm,is,Class)
R(EyeNeoplasm,SubClassOf,Neoplasm)
R(FanconiAnemia,is,Class)
R(FanconiAnemia,SubClassOf,CongenitalHypoplasticAnemia)
R(FemaleGenitalNeoplasm,is,Class)
R(FemaleGenitalNeoplasm,SubClassOf,UrogenitalNeoplasm)
R(FibrousTissueNeoplasm,is,Class)
R(FibrousTissueNeoplasm,SubClassOf,ConnectiveTissueNeoplasm)
R(FollicularThyroidCarcinoma,is,Class)
R(FollicularThyroidCarcinoma,SubClassOf,ThyroidNeoplasm)
R(GallbladderNeoplasm,is,Class)
R(GallbladderNeoplasm,SubClassOf,BiliaryTractNeoplasm)
R(GastricNeoplasm,is,Class)
R(GastricNeoplasm,SubClassOf,GastrointestinalNeoplasm)
R(GastrointestinalDisease,is,Class)
R(GastrointestinalDisease,SubClassOf,DigestiveSystemDisease)
R(GastrointestinalNeoplasm,is,Class)
R(GastrointestinalNeoplasm,SubClassOf,DigestiveSystemNeoplasm)
R(GermCellAndEmbryonicNeoplasm,is,Class)
R(GermCellAndEmbryonicNeoplasm,SubClassOf,Neoplasm)
R(GiantCellCarcinoma,is,Class)
R(GiantCellCarcinoma,SubClassOf,Carcinoma)
R(GingivalNeoplasm,is,Class)
R(GingivalNeoplasm,SubClassOf,MouthNeoplasm)
R(HairyCellLeukemia,is,Class)
R(HairyCellLeukemia,SubClassOf,Leukemia)
R(HeadAndNeckNeoplasm,is,Class)
R(HeadAndNeckNeoplasm,SubClassOf,Neoplasm)
R(Hemangioendothelioma,is,Class)
R(Hemangioendothelioma,SubClassOf,Hemangioma)
R(Hemangioma,is,Class)
R(Hemangioma,SubClassOf,VascularTissueNeoplasm)
R(HematologicDisease,is,Class)
R(HematologicDisease,SubClassOf,HemicAndLymphaticDisease)
R(HemicAndLymphaticDisease,is,Class)
R(HemicAndLymphaticDisease,SubClassOf,PathologicalCondition)
R(Hepatoblastoma,is,Class)
R(Hepatoblastoma,SubClassOf,ComplexAndMixedNeoplasm)
R(HepatocellularCarcinoma,is,Class)
R(HepatocellularCarcinoma,SubClassOf,LiverNeoplasm)
R(HereditarySpherocytoses,is,Class)
R(HereditarySpherocytoses,SubClassOf,CongenitalHemolyticAnemia)
R(HistiocyticSarcoma,is,Class)
R(HistiocyticSarcoma,SubClassOf,MalignantHistiocyticDisorder)
R(HodgkinDisease,is,Class)
R(HodgkinDisease,SubClassOf,Lymphoma)
R(InbornError-LipidMetabolism,is,Class)
R(InbornError-LipidMetabolism,SubClassOf,InbornError-Metabolism)
R(InbornError-Metabolism,is,Class)
R(InbornError-Metabolism,SubClassOf,InbornGeneticDisease)
R(InbornGeneticDisease,is,Class)
R(InbornGeneticDisease,SubClassOf,CongenitalAbnormality)
R(IntestinalNeoplasm,is,Class)
R(IntestinalNeoplasm,SubClassOf,GastrointestinalNeoplasm)
R(KidneyNeoplasm,is,Class)
R(KidneyNeoplasm,SubClassOf,UrologicNeoplasm)
R(LargeCellCarcinoma,is,Class)
R(LargeCellCarcinoma,SubClassOf,Carcinoma)
R(LaryngealNeoplasm,is,Class)
R(LaryngealNeoplasm,SubClassOf,OtorhinolaryngologicNeoplasm)
R(Leiomyoma,is,Class)
R(Leiomyoma,SubClassOf,MuscleTissueNeoplasm)
R(Leukemia,is,Class)
R(Leukemia,SubClassOf,Neoplasm)
R(LewisLungCarcinoma,is,Class)
R(LewisLungCarcinoma,SubClassOf,ExperimentalNeoplasm)
R(Liposarcoma,is,Class)
R(Liposarcoma,SubClassOf,AdiposeTissueNeoplasm)
R(LiverNeoplasm,is,Class)
R(LiverNeoplasm,SubClassOf,DigestiveSystemNeoplasm)
R(LungDisease,is,Class)
R(LungDisease,SubClassOf,RespiratoryTractDisease)
R(LungNeoplasm,is,Class)
R(LungNeoplasm,SubClassOf,RespiratoryTractNeoplasm)
R(LungNeoplasm,DisjointWith,T-CellLymphocyticLeukemia)
R(LymphoidLeukemia,is,Class)
R(LymphoidLeukemia,SubClassOf,Leukemia)
R(Lymphoma,is,Class)
R(Lymphoma,SubClassOf,Leukemia)
R(Macrocephaly,is,Class)
R(Macrocephaly,SubClassOf,MalformationsOfCorticalDevelopment)
R(MaleGenitalDisease,is,Class)
R(MaleGenitalDisease,SubClassOf,MaleUrogenitalDisease)
R(MaleGenitalNeoplasm,is,Class)
R(MaleGenitalNeoplasm,SubClassOf,UrogenitalNeoplasm)
R(MaleUrogenitalDisease,is,Class)
R(MaleUrogenitalDisease,SubClassOf,UrogenitalDisease)
R(MalformationsOfCorticalDevelopment,is,Class)
R(MalformationsOfCorticalDevelopment,SubClassOf,NervousSystemMalformation)
R(MalignantHistiocyticDisorder,is,Class)
R(MalignantHistiocyticDisorder,SubClassOf,Neoplasm)
R(MammaryDuctalCarcinoma,is,Class)
R(MammaryDuctalCarcinoma,SubClassOf,BreastNeoplasm)
R(Mastocytosis,is,Class)
R(Mastocytosis,SubClassOf,AdiposeTissueNeoplasm)
R(Meningioma,is,Class)
R(Meningioma,SubClassOf,NervousTissueNeoplasm)
R(Mesothelioma,is,Class)
R(Mesothelioma,SubClassOf,Adenoma)
R(MouthNeoplasm,is,Class)
R(MouthNeoplasm,SubClassOf,HeadAndNeckNeoplasm)
R(MouthNeoplasm,DisjointWith,OtorhinolaryngologicNeoplasm)
R(MultipleAbnormalities,is,Class)
R(MultipleAbnormalities,SubClassOf,CongenitalAbnormality)
R(MultipleMyeloma,is,Class)
R(MultipleMyeloma,SubClassOf,PlasmaCellNeoplasm)
R(MuscleTissueNeoplasm,is,Class)
R(MuscleTissueNeoplasm,SubClassOf,ConnectiveAndSoftTissueNeoplasm)
R(MyeloidLeukemia,is,Class)
R(MyeloidLeukemia,SubClassOf,Leukemia)
R(MyelomonocyticLeukemia,is,Class)
R(MyelomonocyticLeukemia,SubClassOf,MyeloidLeukemia)
R(MyeloproliferativeDisorders,is,Class)
R(MyeloproliferativeDisorders,SubClassOf,BoneMarrowDiseases)
R(N-nitrosoethyl-2-hydroxyethylamineInducedBrainNeoplasm,is,Class)
R(N-nitrosoethyl-2-hydroxyethylamineInducedBrainNeoplasm,SubClassOf,ChemicalInducedNeoplasm)
R(Neoplasm,is,Class)
R(Neoplasm,SubClassOf,PathologicalCondition)
R(Neoplasm,DisjointWith,DigestiveSystemDisease)
R(NervousSystemDiseases,is,Class)
R(NervousSystemDiseases,SubClassOf,PathologicalCondition)
R(NervousSystemMalformation,is,Class)
R(NervousSystemMalformation,SubClassOf,NervousSystemDiseases)
R(NervousSystemNeoplasm,is,Class)
R(NervousSystemNeoplasm,SubClassOf,Neoplasm)
R(NervousTissueNeoplasm,is,Class)
R(NervousTissueNeoplasm,EquivalentTo,CentralNervousSystemNeoplasm)
R(NervousTissueNeoplasm,SubClassOf,NervousSystemNeoplasm)
R(NervousTissueNeoplasm,DisjointWith,CentralNervousSystemNeoplasm)
R(NeuroectodermalTumor,is,Class)
R(NeuroectodermalTumor,SubClassOf,NervousTissueNeoplasm)
R(Non-HodgkinsLymphoma,is,Class)
R(Non-HodgkinsLymphoma,SubClassOf,Lymphoma)
R(OralLeukoplakia,is,Class)
R(OralLeukoplakia,SubClassOf,MouthNeoplasm)
R(OtorhinolaryngologicNeoplasm,is,Class)
R(OtorhinolaryngologicNeoplasm,SubClassOf,HeadAndNeckNeoplasm)
R(OtorhinolaryngologicNeoplasm,DisjointWith,MouthNeoplasm)
R(OvarianNeoplasm,is,Class)
R(OvarianNeoplasm,SubClassOf,FemaleGenitalNeoplasm)
R(PancreaticNeoplasm,is,Class)
R(PancreaticNeoplasm,SubClassOf,EndocrineGlandNeoplasm)
R(PancreaticNeoplasm-endocrine,is,Class)
R(PancreaticNeoplasm-endocrine,SubClassOf,PancreaticNeoplasm)
R(PancreaticNeoplasm-exocrine,is,Class)
R(PancreaticNeoplasm-exocrine,SubClassOf,PancreaticNeoplasm)
R(PapillaryThyroidCarcinoma,is,Class)
R(PapillaryThyroidCarcinoma,SubClassOf,ThyroidNeoplasm)
R(PathologicProcess,is,Class)
R(PathologicProcess,SubClassOf,PathologicalCondition)
R(PathologicalCondition,is,Class)
R(PathologicalCondition,SubClassOf,PathologicalCondition)
R(PharyngealNeoplasm,is,Class)
R(PharyngealNeoplasm,SubClassOf,OtorhinolaryngologicNeoplasm)
R(Philadelphia-PositiveMyeloidLeukemia,is,Class)
R(Philadelphia-PositiveMyeloidLeukemia,SubClassOf,MyeloidLeukemia)
R(PituitaryNeoplasm,is,Class)
R(PituitaryNeoplasm,SubClassOf,EndocrineGlandNeoplasm)
R(PlasmaCellLeukemia,is,Class)
R(PlasmaCellLeukemia,SubClassOf,MultipleMyeloma)
R(PlasmaCellNeoplasm,is,Class)
R(PlasmaCellNeoplasm,SubClassOf,Neoplasm)
R(Plasmacytoma,is,Class)
R(Plasmacytoma,SubClassOf,PlasmaCellNeoplasm)
R(ProstaticDisease,is,Class)
R(ProstaticDisease,SubClassOf,MaleGenitalDisease)
R(ProstaticNeoplasm,is,Class)
R(ProstaticNeoplasm,SubClassOf,MaleGenitalNeoplasm)
R(RespiratoryTractDisease,is,Class)
R(RespiratoryTractDisease,SubClassOf,PathologicalCondition)
R(RespiratoryTractNeoplasm,is,Class)
R(RespiratoryTractNeoplasm,SubClassOf,ThoracicNeoplasm)
R(RetinalNeoplasm,is,Class)
R(RetinalNeoplasm,SubClassOf,EyeNeoplasm)
R(Retinoblastoma,is,Class)
R(Retinoblastoma,SubClassOf,RetinalNeoplasm)
R(RhabdoidTumor,is,Class)
R(RhabdoidTumor,SubClassOf,Neoplasm)
R(Sarcoma,is,Class)
R(Sarcoma,SubClassOf,ConnectiveTissueNeoplasm)
R(SkinAndConnectiveTissueDiseases,is,Class)
R(SkinAndConnectiveTissueDiseases,SubClassOf,PathologicalCondition)
R(SkinDiseases,is,Class)
R(SkinDiseases,SubClassOf,SkinAndConnectiveTissueDiseases)
R(SkinDiseasesGenetic,is,Class)
R(SkinDiseasesGenetic,SubClassOf,SkinDiseases)
R(SkinNeoplasms,is,Class)
R(SkinNeoplasms,SubClassOf,SkinDiseases)
R(SkinPapilloma,is,Class)
R(SkinPapilloma,SubClassOf,ChemicalInducedNeoplasm)
R(SmallCellCarcinoma,is,Class)
R(SmallCellCarcinoma,SubClassOf,Carcinoma)
R(SquamousCellCarcinoma,is,Class)
R(SquamousCellCarcinoma,SubClassOf,Carcinoma)
R(T-CellLymphocyticLeukemia,is,Class)
R(T-CellLymphocyticLeukemia,SubClassOf,LymphoidLeukemia)
R(T-CellLymphocyticLeukemia,DisjointWith,LungNeoplasm)
R(Teratocarcinoma,is,Class)
R(Teratocarcinoma,SubClassOf,GermCellAndEmbryonicNeoplasm)
R(Teratoma,is,Class)
R(Teratoma,SubClassOf,GermCellAndEmbryonicNeoplasm)
R(TesticularNeoplasms,is,Class)
R(TesticularNeoplasms,SubClassOf,EndocrineGlandNeoplasm)
R(ThoracicNeoplasm,is,Class)
R(ThoracicNeoplasm,SubClassOf,Neoplasm)
R(Thrombocytosis,is,Class)
R(Thrombocytosis,SubClassOf,BloodPlateletDisorders)
R(Thymoma,is,Class)
R(Thymoma,SubClassOf,ThymusNeoplasms)
R(ThymusNeoplasms,is,Class)
R(ThymusNeoplasms,SubClassOf,ThoracicNeoplasm)
R(ThyroidNeoplasm,is,Class)
R(ThyroidNeoplasm,SubClassOf,EndocrineGlandNeoplasm)
R(TongueNeoplasms,is,Class)
R(TongueNeoplasms,SubClassOf,MouthNeoplasm)
R(TransitionalCellCarcinoma,is,Class)
R(TransitionalCellCarcinoma,SubClassOf,Carcinoma)
R(Triple-NegativeBreastNeoplasm,is,Class)
R(Triple-NegativeBreastNeoplasm,SubClassOf,BreastNeoplasm)
R(TrophoblasticNeoplasm,is,Class)
R(TrophoblasticNeoplasm,SubClassOf,GermCellAndEmbryonicNeoplasm)
R(UrinaryBladderNeoplasm,is,Class)
R(UrinaryBladderNeoplasm,SubClassOf,UrologicNeoplasm)
R(UrogenitalDisease,is,Class)
R(UrogenitalDisease,SubClassOf,PathologicalCondition)
R(UrogenitalNeoplasm,is,Class)
R(UrogenitalNeoplasm,SubClassOf,Neoplasm)
R(UrologicNeoplasm,is,Class)
R(UrologicNeoplasm,SubClassOf,UrogenitalNeoplasm)
R(UterineNeoplasm,is,Class)
R(UterineNeoplasm,SubClassOf,FemaleGenitalNeoplasm)
R(UvealMelanoma,is,Class)
R(UvealMelanoma,SubClassOf,UvealNeoplasm)
R(UvealNeoplasm,is,Class)
R(UvealNeoplasm,SubClassOf,EyeNeoplasm)
R(VascularTissueNeoplasm,is,Class)
R(VascularTissueNeoplasm,SubClassOf,Neoplasm)
R(WaldenstromMacroglobulinemia,is,Class)
R(WaldenstromMacroglobulinemia,SubClassOf,PlasmaCellNeoplasm)
R(XerodermaPigmentosum,is,Class)
R(XerodermaPigmentosum,SubClassOf,SkinDiseasesGenetic)
R(www.w3.org/2002/07/#,is,Class)
R(www.w3.org/2002/07/#,DisjointClasses,Adenoma,BoneNeoplasm,BreastNeoplasm,Carcinoma,ConnectiveAndSoftTissueNeoplasm,DigestiveSystemNeoplasm,EndocrineGlandNeoplasm,EyeNeoplasm,GermCellAndEmbryonicNeoplasm,HeadAndNeckNeoplasm,Leukemia,NervousSystemNeoplasm,PlasmaCellNeoplasm,ThoracicNeoplasm,UrogenitalNeoplasm)
R(www.w3.org/2002/07/#,DisjointClasses,BiliaryTractNeoplasm,GastrointestinalNeoplasm,LiverNeoplasm,PancreaticNeoplasm-exocrine)
R(www.w3.org/2002/07/#,DisjointClasses,EmbryonalCarcinoma,Teratoma,TrophoblasticNeoplasm)
R(www.w3.org/2002/07/#,DisjointClasses,FemaleGenitalNeoplasm,MaleGenitalNeoplasm,UrologicNeoplasm)
R(www.w3.org/2002/07/#,DisjointClasses,LymphoidLeukemia,Lymphoma,MyeloidLeukemia)
