R(www.obofoundry.org/ro/ro.#,is,ObjectProperty)
R(nlx_subcell_20090501,is,Class)
R(nlx_subcell_20090501,SubClassOf,sao205380252)
R(nlx_subcell_20090502,is,Class)
R(nlx_subcell_20090502,SubClassOf,sao587858733)
R(nlx_subcell_20090503,is,Class)
R(nlx_subcell_20090503,SubClassOf,sao587858733)
R(nlx_subcell_20090504,is,Class)
R(nlx_subcell_20090504,SubClassOf,sao587858733)
R(nlx_subcell_20090505,is,Class)
R(nlx_subcell_20090505,SubClassOf,sao508165343)
R(nlx_subcell_20090506,is,Class)
R(nlx_subcell_20090506,SubClassOf,nlx_subcell_100315)
R(nlx_subcell_20090507,is,Class)
R(nlx_subcell_20090507,SubClassOf,nlx_subcell_20090506)
R(nlx_subcell_20090508,is,Class)
R(nlx_subcell_20090508,SubClassOf,nlx_subcell_20090506)
R(nlx_subcell_20090509,is,Class)
R(nlx_subcell_20090509,SubClassOf,nlx_subcell_20090506)
R(nlx_subcell_20090513,is,Class)
R(nlx_subcell_20090513,SubClassOf,sao9117790637)
R(nlx_subcell_20090703,is,Class)
R(nlx_subcell_20090703,SubClassOf,sao120573470)
R(sao-1046371754,is,Class)
R(sao-1046371754,SubClassOf,sao-250931889)
R(sao-1337158144,is,Class)
R(sao-1337158144,SubClassOf,nlx_subcell_100315)
R(sao-1367457321,is,Class)
R(sao-1367457321,DisjointWith,sao1049717962)
R(sao-1488888179,is,Class)
R(sao-1488888179,SubClassOf,sao386529203)
R(sao-1686050947,is,Class)
R(sao-1686050947,SubClassOf,sao-1819020575)
R(sao-1686050947,DisjointWith,sao2019617624)
R(sao-1686050947,DisjointWith,sao1682692988)
R(sao-1686050947,DisjointWith,sao1546288504)
R(sao-1686050947,DisjointWith,sao113580911)
R(sao-17780464455,is,Class)
R(sao-17780464455,SubClassOf,sao-3012335077)
R(sao-1819020575,is,Class)
R(sao-1819020575,SubClassOf,nlx_subcell_100315)
R(sao-1819020575,DisjointWith,sao340271629)
R(sao-1828894864,is,Class)
R(sao-1828894864,SubClassOf,sao340271629)
R(sao-1828894864,DisjointWith,sao895885284)
R(sao-1828894864,DisjointWith,sao864921383)
R(sao-1828894864,DisjointWith,sao-82111036)
R(sao-1863852493,is,Class)
R(sao-1863852493,SubClassOf,sao952483289)
R(sao-188049490,is,Class)
R(sao-188049490,SubClassOf,sao340271629)
R(sao-188049490,DisjointWith,sao936144858)
R(sao-188049490,DisjointWith,sao830092290)
R(sao-188049490,DisjointWith,sao1191319089)
R(sao-250931889,is,Class)
R(sao-250931889,SubClassOf,sao864921383)
R(sao-250931889,DisjointWith,sao866168499)
R(sao-250931889,DisjointWith,sao1049717962)
R(sao-250931889,DisjointWith,sao1044911821)
R(sao-250931889,DisjointWith,sao-867568886)
R(sao-250931889,DisjointWith,sao-420949334)
R(sao-3012335077,is,Class)
R(sao-3012335077,SubClassOf,nlx_subcell_100315)
R(sao-420949334,is,Class)
R(sao-420949334,DisjointWith,sao866168499)
R(sao-420949334,DisjointWith,sao1049717962)
R(sao-420949334,DisjointWith,sao1044911821)
R(sao-420949334,DisjointWith,sao-867568886)
R(sao-420949334,DisjointWith,sao-250931889)
R(sao-593830697,is,Class)
R(sao-593830697,SubClassOf,sao195217619)
R(sao-596411490,is,Class)
R(sao-596411490,DisjointWith,sao1049717962)
R(sao-699412220,is,Class)
R(sao-699412220,SubClassOf,sao-1819020575)
R(sao-820130069,is,Class)
R(sao-820130069,SubClassOf,sao1044911821)
R(sao-82111036,is,Class)
R(sao-82111036,SubClassOf,sao340271629)
R(sao-82111036,DisjointWith,sao895885284)
R(sao-82111036,DisjointWith,sao864921383)
R(sao-82111036,DisjointWith,sao-1828894864)
R(sao-867568886,is,Class)
R(sao-867568886,SubClassOf,sao864921383)
R(sao-867568886,DisjointWith,sao866168499)
R(sao-867568886,DisjointWith,sao1049717962)
R(sao-867568886,DisjointWith,sao1044911821)
R(sao-867568886,DisjointWith,sao-420949334)
R(sao-867568886,DisjointWith,sao-250931889)
R(sao-961694769,is,Class)
R(sao-961694769,SubClassOf,sao-250931889)
R(sao1004601938,is,Class)
R(sao1004601938,SubClassOf,sao1682692988)
R(sao101633890,is,Class)
R(sao101633890,EquivalentTo,sao1539965131)
R(sao101633890,SubClassOf,sao-1337158144)
R(sao101633890,DisjointWith,sao830981606)
R(sao101633890,DisjointWith,sao787716553)
R(sao101633890,DisjointWith,sao730872736)
R(sao101633890,DisjointWith,sao628508602)
R(sao101633890,DisjointWith,sao221389602)
R(sao101633890,DisjointWith,sao1938587839)
R(sao101633890,DisjointWith,sao1784069613)
R(sao101633890,DisjointWith,sao1663586795)
R(sao101633890,DisjointWith,sao1539965131)
R(sao101633890,DisjointWith,sao1397492660)
R(sao101633890,DisjointWith,sao120573470)
R(sao101633890,DisjointWith,sao11978067)
R(sao101633890,DisjointWith,sao1081228141)
R(sao1036339110,is,Class)
R(sao1036339110,SubClassOf,sao414196390)
R(sao1038025871,is,Class)
R(sao1038025871,SubClassOf,nlx_subcell_100315)
R(sao1038025871,DisjointWith,sao445019788)
R(sao1038025871,DisjointWith,sao1747012216)
R(sao1039242387,is,Class)
R(sao1039242387,SubClassOf,sao1546288504)
R(sao1039242387,DisjointWith,sao9456487)
R(sao1039242387,DisjointWith,sao632188024)
R(sao1039242387,DisjointWith,sao138219748)
R(sao1044911821,is,Class)
R(sao1044911821,SubClassOf,sao864921383)
R(sao1044911821,DisjointWith,sao866168499)
R(sao1044911821,DisjointWith,sao1049717962)
R(sao1044911821,DisjointWith,sao-867568886)
R(sao1044911821,DisjointWith,sao-420949334)
R(sao1044911821,DisjointWith,sao-250931889)
R(sao1045389829,is,Class)
R(sao1045389829,SubClassOf,sao830981606)
R(sao1049471211,is,Class)
R(sao1049471211,SubClassOf,sao1499850686)
R(sao1049717962,is,Class)
R(sao1049717962,SubClassOf,sao864921383)
R(sao1049717962,DisjointWith,sao866168499)
R(sao1049717962,DisjointWith,sao553711217)
R(sao1049717962,DisjointWith,sao1922892319)
R(sao1049717962,DisjointWith,sao1877927224)
R(sao1049717962,DisjointWith,sao1579007712)
R(sao1049717962,DisjointWith,sao1425028079)
R(sao1049717962,DisjointWith,sao1299635018)
R(sao1049717962,DisjointWith,sao1289190043)
R(sao1049717962,DisjointWith,sao1186862860)
R(sao1049717962,DisjointWith,sao1044911821)
R(sao1049717962,DisjointWith,sao-867568886)
R(sao1049717962,DisjointWith,sao-596411490)
R(sao1049717962,DisjointWith,sao-420949334)
R(sao1049717962,DisjointWith,sao-250931889)
R(sao1049717962,DisjointWith,sao-1367457321)
R(sao1071221672,is,Class)
R(sao1071221672,SubClassOf,sao180601769)
R(sao1081228141,is,Class)
R(sao1081228141,SubClassOf,sao-1337158144)
R(sao1081228141,DisjointWith,sao830981606)
R(sao1081228141,DisjointWith,sao787716553)
R(sao1081228141,DisjointWith,sao730872736)
R(sao1081228141,DisjointWith,sao628508602)
R(sao1081228141,DisjointWith,sao221389602)
R(sao1081228141,DisjointWith,sao1969557946)
R(sao1081228141,DisjointWith,sao1938587839)
R(sao1081228141,DisjointWith,sao1784069613)
R(sao1081228141,DisjointWith,sao1663586795)
R(sao1081228141,DisjointWith,sao1635329413)
R(sao1081228141,DisjointWith,sao1539965131)
R(sao1081228141,DisjointWith,sao1397492660)
R(sao1081228141,DisjointWith,sao120573470)
R(sao1081228141,DisjointWith,sao11978067)
R(sao1081228141,DisjointWith,sao101633890)
R(sao110773650,is,Class)
R(sao110773650,SubClassOf,sao1846835077)
R(sao1111202255,is,Class)
R(sao1111202255,SubClassOf,sao386529203)
R(sao113580911,is,Class)
R(sao113580911,SubClassOf,sao-1819020575)
R(sao113580911,DisjointWith,sao2019617624)
R(sao113580911,DisjointWith,sao1682692988)
R(sao113580911,DisjointWith,sao1546288504)
R(sao113580911,DisjointWith,sao-1686050947)
R(sao1145756102,is,Class)
R(sao1145756102,SubClassOf,sao-250931889)
R(sao1153182838,is,Class)
R(sao1153182838,SubClassOf,sao830981606)
R(sao1177708494,is,Class)
R(sao1177708494,SubClassOf,sao1455064842)
R(sao1186327184,is,Class)
R(sao1186327184,SubClassOf,sao666410040)
R(sao1186862860,is,Class)
R(sao1186862860,DisjointWith,sao1049717962)
R(sao1191319089,is,Class)
R(sao1191319089,SubClassOf,sao340271629,)
R(proper_part_of some sao1770195789,is,www.obofoundry.org/ro/ro.#)
R(proper_part_of some sao1770195789,DisjointWith,sao936144858)
R(proper_part_of some sao1770195789,DisjointWith,sao830092290)
R(proper_part_of some sao1770195789,DisjointWith,sao-188049490)
R(sao1196688972,is,Class)
R(sao1196688972,SubClassOf,sao1507566336)
R(sao11978067,is,Class)
R(sao11978067,SubClassOf,sao-1337158144)
R(sao11978067,DisjointWith,sao830981606)
R(sao11978067,DisjointWith,sao787716553)
R(sao11978067,DisjointWith,sao730872736)
R(sao11978067,DisjointWith,sao628508602)
R(sao11978067,DisjointWith,sao221389602)
R(sao11978067,DisjointWith,sao1969557946)
R(sao11978067,DisjointWith,sao1938587839)
R(sao11978067,DisjointWith,sao1784069613)
R(sao11978067,DisjointWith,sao1663586795)
R(sao11978067,DisjointWith,sao1635329413)
R(sao11978067,DisjointWith,sao1539965131)
R(sao11978067,DisjointWith,sao1397492660)
R(sao11978067,DisjointWith,sao120573470)
R(sao11978067,DisjointWith,sao1081228141)
R(sao11978067,DisjointWith,sao101633890)
R(sao120573470,is,Class)
R(sao120573470,SubClassOf,sao-1337158144)
R(sao120573470,DisjointWith,sao830981606)
R(sao120573470,DisjointWith,sao787716553)
R(sao120573470,DisjointWith,sao730872736)
R(sao120573470,DisjointWith,sao628508602)
R(sao120573470,DisjointWith,sao221389602)
R(sao120573470,DisjointWith,sao1969557946)
R(sao120573470,DisjointWith,sao1938587839)
R(sao120573470,DisjointWith,sao1784069613)
R(sao120573470,DisjointWith,sao1663586795)
R(sao120573470,DisjointWith,sao1635329413)
R(sao120573470,DisjointWith,sao1539965131)
R(sao120573470,DisjointWith,sao1397492660)
R(sao120573470,DisjointWith,sao11978067)
R(sao120573470,DisjointWith,sao1081228141)
R(sao120573470,DisjointWith,sao101633890)
R(sao1211023249,is,Class)
R(sao1211023249,SubClassOf,sao-867568886)
R(sao1217793903,is,Class)
R(sao1217793903,SubClassOf,sao113580911)
R(sao1217793903,DisjointWith,sao1841764412)
R(sao124393998,is,Class)
R(sao124393998,SubClassOf,sao2019617624)
R(sao1253297813,is,Class)
R(sao1253297813,SubClassOf,sao895885284)
R(sao1253297813,DisjointWith,sao831502550)
R(sao1253297813,DisjointWith,sao685712019)
R(sao1253297813,DisjointWith,sao195217619)
R(sao1279474730,is,Class)
R(sao1279474730,SubClassOf,sao831502550)
R(sao128470897,is,Class)
R(sao128470897,SubClassOf,sao1634374950)
R(sao1289190043,is,Class)
R(sao1289190043,DisjointWith,sao1049717962)
R(sao1299635018,is,Class)
R(sao1299635018,DisjointWith,sao1049717962)
R(sao1311109124,is,Class)
R(sao1311109124,SubClassOf,sao914572699)
R(sao1316272517,is,Class)
R(sao1316272517,SubClassOf,sao952483289)
R(sao1362520468,is,Class)
R(sao1362520468,SubClassOf,sao180601769)
R(sao1376748732,is,Class)
R(sao1376748732,SubClassOf,sao195217619)
R(sao1379604862,is,Class)
R(sao1379604862,SubClassOf,sao120573470)
R(sao138219748,is,Class)
R(sao138219748,SubClassOf,sao1546288504)
R(sao138219748,DisjointWith,sao9456487)
R(sao138219748,DisjointWith,sao632188024)
R(sao138219748,DisjointWith,sao1039242387)
R(sao138430598,is,Class)
R(sao138430598,SubClassOf,sao120573470)
R(sao1395777368,is,Class)
R(sao1395777368,SubClassOf,sao508165343)
R(sao1395777368,DisjointWith,sao732341560)
R(sao1395777368,DisjointWith,sao205380252)
R(sao1397492660,is,Class)
R(sao1397492660,SubClassOf,sao9117790637)
R(sao1397492660,DisjointWith,sao830981606)
R(sao1397492660,DisjointWith,sao787716553)
R(sao1397492660,DisjointWith,sao730872736)
R(sao1397492660,DisjointWith,sao628508602)
R(sao1397492660,DisjointWith,sao221389602)
R(sao1397492660,DisjointWith,sao1969557946)
R(sao1397492660,DisjointWith,sao1938587839)
R(sao1397492660,DisjointWith,sao1784069613)
R(sao1397492660,DisjointWith,sao1663586795)
R(sao1397492660,DisjointWith,sao1635329413)
R(sao1397492660,DisjointWith,sao1539965131)
R(sao1397492660,DisjointWith,sao120573470)
R(sao1397492660,DisjointWith,sao11978067)
R(sao1397492660,DisjointWith,sao1081228141)
R(sao1397492660,DisjointWith,sao101633890)
R(sao1425028079,is,Class)
R(sao1425028079,DisjointWith,sao1049717962)
R(sao1429207766,is,Class)
R(sao1429207766,SubClassOf,sao1456184038)
R(sao1447478620,is,Class)
R(sao1447478620,SubClassOf,sao877341397)
R(sao1455064842,is,Class)
R(sao1455064842,SubClassOf,sao628508602)
R(sao1455996588,is,Class)
R(sao1455996588,SubClassOf,sao1499850686)
R(sao1456184038,is,Class)
R(sao1456184038,SubClassOf,sao1539965131)
R(sao1456184038,DisjointWith,sao414196390)
R(sao1490223249,is,Class)
R(sao1490223249,SubClassOf,sao1455064842)
R(sao1499850686,is,Class)
R(sao1499850686,SubClassOf,sao628508602)
R(sao1506103497,is,Class)
R(sao1506103497,SubClassOf,sao914572699)
R(sao1507566336,is,Class)
R(sao1507566336,SubClassOf,sao1784069613)
R(sao1507566336,DisjointWith,sao386529203)
R(sao1539965131,is,Class)
R(sao1539965131,EquivalentTo,sao101633890)
R(sao1539965131,DisjointWith,sao830981606)
R(sao1539965131,DisjointWith,sao787716553)
R(sao1539965131,DisjointWith,sao730872736)
R(sao1539965131,DisjointWith,sao628508602)
R(sao1539965131,DisjointWith,sao221389602)
R(sao1539965131,DisjointWith,sao1969557946)
R(sao1539965131,DisjointWith,sao1938587839)
R(sao1539965131,DisjointWith,sao1784069613)
R(sao1539965131,DisjointWith,sao1663586795)
R(sao1539965131,DisjointWith,sao1635329413)
R(sao1539965131,DisjointWith,sao1397492660)
R(sao1539965131,DisjointWith,sao120573470)
R(sao1539965131,DisjointWith,sao11978067)
R(sao1539965131,DisjointWith,sao1081228141)
R(sao1539965131,DisjointWith,sao101633890)
R(sao1546288504,is,Class)
R(sao1546288504,SubClassOf,sao-1819020575)
R(sao1546288504,DisjointWith,sao2019617624)
R(sao1546288504,DisjointWith,sao1682692988)
R(sao1546288504,DisjointWith,sao113580911)
R(sao1546288504,DisjointWith,sao-1686050947)
R(sao1571698684,is,Class)
R(sao1571698684,SubClassOf,sao1499850686)
R(sao1579007712,is,Class)
R(sao1579007712,DisjointWith,sao1049717962)
R(sao1588493326,is,Class)
R(sao1588493326,SubClassOf,sao2006047981)
R(sao1596955044,is,Class)
R(sao1596955044,SubClassOf,sao830981606)
R(sao1615953555,is,Class)
R(sao1615953555,SubClassOf,sao1499850686)
R(sao1630537580,is,Class)
R(sao1630537580,SubClassOf,sao685712019)
R(sao1634374950,is,Class)
R(sao1634374950,SubClassOf,sao-699412220)
R(sao1635329413,is,Class)
R(sao1635329413,SubClassOf,sao-1337158144)
R(sao1635329413,DisjointWith,sao830981606)
R(sao1635329413,DisjointWith,sao787716553)
R(sao1635329413,DisjointWith,sao730872736)
R(sao1635329413,DisjointWith,sao628508602)
R(sao1635329413,DisjointWith,sao221389602)
R(sao1635329413,DisjointWith,sao1969557946)
R(sao1635329413,DisjointWith,sao1938587839)
R(sao1635329413,DisjointWith,sao1784069613)
R(sao1635329413,DisjointWith,sao1663586795)
R(sao1635329413,DisjointWith,sao1539965131)
R(sao1635329413,DisjointWith,sao1397492660)
R(sao1635329413,DisjointWith,sao120573470)
R(sao1635329413,DisjointWith,sao11978067)
R(sao1635329413,DisjointWith,sao1081228141)
R(sao1642908940,is,Class)
R(sao1642908940,SubClassOf,sao866168499)
R(sao1663586795,is,Class)
R(sao1663586795,SubClassOf,sao6433132645)
R(sao1663586795,DisjointWith,sao830981606)
R(sao1663586795,DisjointWith,sao787716553)
R(sao1663586795,DisjointWith,sao730872736)
R(sao1663586795,DisjointWith,sao628508602)
R(sao1663586795,DisjointWith,sao221389602)
R(sao1663586795,DisjointWith,sao1969557946)
R(sao1663586795,DisjointWith,sao1938587839)
R(sao1663586795,DisjointWith,sao1784069613)
R(sao1663586795,DisjointWith,sao1635329413)
R(sao1663586795,DisjointWith,sao1539965131)
R(sao1663586795,DisjointWith,sao1397492660)
R(sao1663586795,DisjointWith,sao120573470)
R(sao1663586795,DisjointWith,sao11978067)
R(sao1663586795,DisjointWith,sao1081228141)
R(sao1663586795,DisjointWith,sao101633890)
R(sao1682692988,is,Class)
R(sao1682692988,SubClassOf,sao-1819020575)
R(sao1682692988,DisjointWith,sao2019617624)
R(sao1682692988,DisjointWith,sao1546288504)
R(sao1682692988,DisjointWith,sao113580911)
R(sao1682692988,DisjointWith,sao-1686050947)
R(sao1683772610,is,Class)
R(sao1683772610,SubClassOf,sao628508602)
R(sao1687101204,is,Class)
R(sao1687101204,SubClassOf,sao830981606)
R(sao1702920020,is,Class)
R(sao1702920020,SubClassOf,sao414196390)
R(sao1720343330,is,Class)
R(sao1720343330,SubClassOf,sao414196390)
R(sao172297168,is,Class)
R(sao172297168,SubClassOf,sao1970895398)
R(sao172297168,DisjointWith,sao2128156969)
R(sao1747012216,is,Class)
R(sao1747012216,SubClassOf,nlx_subcell_100315)
R(sao1747012216,DisjointWith,sao445019788)
R(sao1747012216,DisjointWith,sao1038025871)
R(sao1749953771,is,Class)
R(sao1749953771,SubClassOf,sao877341397)
R(sao1770195789,is,Class)
R(sao1770195789,SubClassOf,sao-867568886)
R(sao1770195789,DisjointWith,nlx_subcell_20090202)
R(sao1784069613,is,Class)
R(sao1784069613,SubClassOf,sao-1337158144)
R(sao1784069613,DisjointWith,sao830981606)
R(sao1784069613,DisjointWith,sao787716553)
R(sao1784069613,DisjointWith,sao730872736)
R(sao1784069613,DisjointWith,sao628508602)
R(sao1784069613,DisjointWith,sao221389602)
R(sao1784069613,DisjointWith,sao1969557946)
R(sao1784069613,DisjointWith,sao1938587839)
R(sao1784069613,DisjointWith,sao1663586795)
R(sao1784069613,DisjointWith,sao1635329413)
R(sao1784069613,DisjointWith,sao1539965131)
R(sao1784069613,DisjointWith,sao1397492660)
R(sao1784069613,DisjointWith,sao120573470)
R(sao1784069613,DisjointWith,sao11978067)
R(sao1784069613,DisjointWith,sao1081228141)
R(sao1784069613,DisjointWith,sao101633890)
R(sao1804523077,is,Class)
R(sao1804523077,SubClassOf,sao666410040)
R(sao1804523077,DisjointWith,sao333328131)
R(sao180601769,is,Class)
R(sao180601769,SubClassOf,sao221389602)
R(sao1820400233,is,Class)
R(sao1820400233,SubClassOf,sao1499850686)
R(sao1841764412,is,Class)
R(sao1841764412,SubClassOf,sao113580911)
R(sao1841764412,DisjointWith,sao1217793903)
R(sao1842028314,is,Class)
R(sao1842028314,SubClassOf,sao628508602)
R(sao18461326,is,Class)
R(sao18461326,SubClassOf,sao-1686050947)
R(sao1846835077,is,Class)
R(sao1846835077,SubClassOf,sao1635329413)
R(sao1846835077,DisjointWith,sao952483289)
R(sao1846835077,DisjointWith,sao2006047981)
R(sao1860313010,is,Class)
R(sao1860313010,SubClassOf,sao414196390)
R(sao1872343973,is,Class)
R(sao1872343973,SubClassOf,sao1846835077)
R(sao1877927224,is,Class)
R(sao1877927224,DisjointWith,sao1049717962)
R(sao1890444066,is,Class)
R(sao1890444066,SubClassOf,sao195217619)
R(sao1894609662,is,Class)
R(sao1894609662,SubClassOf,sao-1819020575)
R(sao1911631652,is,Class)
R(sao1911631652,SubClassOf,sao386529203)
R(sao1922892319,is,Class)
R(sao1922892319,DisjointWith,sao1049717962)
R(sao1933817066,is,Class)
R(sao1933817066,SubClassOf,sao666410040)
R(sao1938587839,is,Class)
R(sao1938587839,SubClassOf,sao-1337158144)
R(sao1938587839,DisjointWith,sao830981606)
R(sao1938587839,DisjointWith,sao787716553)
R(sao1938587839,DisjointWith,sao730872736)
R(sao1938587839,DisjointWith,sao628508602)
R(sao1938587839,DisjointWith,sao221389602)
R(sao1938587839,DisjointWith,sao1969557946)
R(sao1938587839,DisjointWith,sao1784069613)
R(sao1938587839,DisjointWith,sao1663586795)
R(sao1938587839,DisjointWith,sao1635329413)
R(sao1938587839,DisjointWith,sao1539965131)
R(sao1938587839,DisjointWith,sao1397492660)
R(sao1938587839,DisjointWith,sao120573470)
R(sao1938587839,DisjointWith,sao11978067)
R(sao1938587839,DisjointWith,sao1081228141)
R(sao1938587839,DisjointWith,sao101633890)
R(sao195217619,is,Class)
R(sao195217619,SubClassOf,sao895885284)
R(sao195217619,DisjointWith,sao831502550)
R(sao195217619,DisjointWith,sao685712019)
R(sao195217619,DisjointWith,sao1253297813)
R(sao1969557946,is,Class)
R(sao1969557946,SubClassOf,sao-1337158144)
R(sao1969557946,DisjointWith,sao830981606)
R(sao1969557946,DisjointWith,sao787716553)
R(sao1969557946,DisjointWith,sao730872736)
R(sao1969557946,DisjointWith,sao628508602)
R(sao1969557946,DisjointWith,sao221389602)
R(sao1969557946,DisjointWith,sao1938587839)
R(sao1969557946,DisjointWith,sao1784069613)
R(sao1969557946,DisjointWith,sao1663586795)
R(sao1969557946,DisjointWith,sao1635329413)
R(sao1969557946,DisjointWith,sao1539965131)
R(sao1969557946,DisjointWith,sao1397492660)
R(sao1969557946,DisjointWith,sao120573470)
R(sao1969557946,DisjointWith,sao11978067)
R(sao1969557946,DisjointWith,sao1081228141)
R(sao1970895398,is,Class)
R(sao1970895398,SubClassOf,sao340271629)
R(sao1970895398,DisjointWith,sao991156472)
R(sao1970895398,DisjointWith,sao508165343)
R(sao1974433376,is,Class)
R(sao1974433376,SubClassOf,sao340271629)
R(sao1974433376,DisjointWith,sao877341397)
R(sao2006047981,is,Class)
R(sao2006047981,SubClassOf,sao1635329413)
R(sao2006047981,DisjointWith,sao952483289)
R(sao2006047981,DisjointWith,sao1846835077)
R(sao2017162875,is,Class)
R(sao2017162875,SubClassOf,sao120573470)
R(sao2019617624,is,Class)
R(sao2019617624,SubClassOf,sao-1819020575)
R(sao2019617624,DisjointWith,sao1682692988)
R(sao2019617624,DisjointWith,sao1546288504)
R(sao2019617624,DisjointWith,sao113580911)
R(sao2019617624,DisjointWith,sao-1686050947)
R(sao2045955158,is,Class)
R(sao2045955158,SubClassOf,sao414196390)
R(sao205380252,is,Class)
R(sao205380252,SubClassOf,sao508165343)
R(sao205380252,DisjointWith,sao732341560)
R(sao205380252,DisjointWith,sao1395777368)
R(sao2064469343,is,Class)
R(sao2064469343,SubClassOf,sao877341397)
R(sao2114874506,is,Class)
R(sao2114874506,SubClassOf,nlx_subcell_100315)
R(sao2127666702,is,Class)
R(sao2127666702,SubClassOf,sao195217619)
R(sao2128156969,is,Class)
R(sao2128156969,SubClassOf,sao1970895398)
R(sao2128156969,DisjointWith,sao172297168)
R(sao220861693,is,Class)
R(sao220861693,SubClassOf,sao1499850686)
R(sao221389602,is,Class)
R(sao221389602,SubClassOf,sao-1337158144)
R(sao221389602,DisjointWith,sao830981606)
R(sao221389602,DisjointWith,sao787716553)
R(sao221389602,DisjointWith,sao730872736)
R(sao221389602,DisjointWith,sao628508602)
R(sao221389602,DisjointWith,sao1969557946)
R(sao221389602,DisjointWith,sao1938587839)
R(sao221389602,DisjointWith,sao1784069613)
R(sao221389602,DisjointWith,sao1663586795)
R(sao221389602,DisjointWith,sao1635329413)
R(sao221389602,DisjointWith,sao1539965131)
R(sao221389602,DisjointWith,sao1397492660)
R(sao221389602,DisjointWith,sao120573470)
R(sao221389602,DisjointWith,sao11978067)
R(sao221389602,DisjointWith,sao1081228141)
R(sao221389602,DisjointWith,sao101633890)
R(sao2409833926,is,Class)
R(sao2409833926,SubClassOf,sao120573470)
R(sao248349196,is,Class)
R(sao248349196,SubClassOf,sao1846835077)
R(sao250772229,is,Class)
R(sao250772229,SubClassOf,sao1663586795)
R(sao289211478,is,Class)
R(sao289211478,SubClassOf,sao914572699)
R(sao3089754107,is,Class)
R(sao3089754107,SubClassOf,sao830981606)
R(sao333328131,is,Class)
R(sao333328131,SubClassOf,sao-1686050947)
R(sao333328131,DisjointWith,sao1804523077)
R(sao340271629,is,Class)
R(sao340271629,SubClassOf,nlx_subcell_100315)
R(sao340271629,DisjointWith,sao-1819020575)
R(sao386529203,is,Class)
R(sao386529203,SubClassOf,sao1784069613)
R(sao386529203,DisjointWith,sao1507566336)
R(sao401910342,is,Class)
R(sao401910342,SubClassOf,sao877341397)
R(sao4040591221,is,Class)
R(sao4040591221,SubClassOf,sao4933778419)
R(sao414196390,is,Class)
R(sao414196390,SubClassOf,sao1539965131)
R(sao414196390,DisjointWith,sao1456184038)
R(sao445019788,is,Class)
R(sao445019788,SubClassOf,nlx_subcell_100315)
R(sao445019788,DisjointWith,sao1747012216)
R(sao445019788,DisjointWith,sao1038025871)
R(sao451912436,is,Class)
R(sao451912436,SubClassOf,sao414196390)
R(sao4749542545,is,Class)
R(sao4749542545,SubClassOf,sao4933778419)
R(sao478230652,is,Class)
R(sao478230652,SubClassOf,sao180601769)
R(sao4933778419,is,Class)
R(sao4933778419,SubClassOf,sao120573470)
R(sao499555322,is,Class)
R(sao499555322,SubClassOf,sao414196390)
R(sao505137457,is,Class)
R(sao505137457,SubClassOf,sao1499850686)
R(sao506721981,is,Class)
R(sao506721981,SubClassOf,sao120573470)
R(sao508165343,is,Class)
R(sao508165343,SubClassOf,nlx_subcell_100315)
R(sao508165343,DisjointWith,sao991156472)
R(sao508165343,DisjointWith,sao1970895398)
R(sao553711217,is,Class)
R(sao553711217,DisjointWith,sao1049717962)
R(sao553737851,is,Class)
R(sao553737851,SubClassOf,sao866168499)
R(sao561419532,is,Class)
