www.w3.org/2000/01/-schema# is Datatype
H60_1 is Class
H60_1 DisjointWith H60_3
H60_2 is Class
H60_2 DisjointWith H60_3
H60_3 is Class
H60_3 SubClassOf H60
H60_3 DisjointWith H60_9
H60_3 DisjointWith H60_8
H60_3 DisjointWith H60_5
H60_3 DisjointWith H60_4
H60_3 DisjointWith H60_2
H60_3 DisjointWith H60_1
H60_3 DisjointWith H60_0
H60_4 is Class
H60_4 DisjointWith H60_3
H60_5 is Class
H60_5 DisjointWith H60_3
H60_8 is Class
H60_8 DisjointWith H60_3
H60_9 is Class
H60_9 DisjointWith H60_3
H60_H95 is Class
H60_H95 DisjointWith Z00_Z99
H91 is Class
H91_0 is Class
H91_0 DisjointWith H91_1
H91_1 is Class
H91_1 SubClassOf H91
H91_1 DisjointWith H91_9
H91_1 DisjointWith H91_8
H91_1 DisjointWith H91_3
H91_1 DisjointWith H91_2
H91_1 DisjointWith H91_0
H91_2 is Class
H91_2 DisjointWith H91_1
H91_3 is Class
H91_3 DisjointWith H91_1
H91_8 is Class
H91_8 DisjointWith H91_1
H91_9 is Class
H91_9 DisjointWith H91_1
I00_I99 is Class
I00_I99 DisjointWith Z00_Z99
ICD10_Chapter is Class
J00_J99 is Class
J00_J99 DisjointWith Z00_Z99
K00_K93 is Class
K00_K93 DisjointWith Z00_Z99
L00_L99 is Class
L00_L99 DisjointWith Z00_Z99
M00_M99 is Class
M00_M99 DisjointWith Z00_Z99
N00_N99 is Class
N00_N99 DisjointWith Z00_Z99
O00_O99 is Class
O00_O99 DisjointWith Z00_Z99
P00_P96 is Class
P00_P96 DisjointWith Z00_Z99
Q00_Q99 is Class
Q00_Q99 DisjointWith Z00_Z99
R00_R99 is Class
R00_R99 DisjointWith Z00_Z99
S00_T98 is Class
S00_T98 DisjointWith Z00_Z99
U00_U99 is Class
U00_U99 DisjointWith Z00_Z99
U89 is Class
U89_8 is Class
U89_8 DisjointWith U89_9
U89_9 is Class
U89_9 SubClassOf U89
U89_9 DisjointWith U89_8
V01_Y98 is Class
V01_Y98 DisjointWith Z00_Z99
Z00 is Class
Z00_0 is Class
Z00_0 SubClassOf Z00
Z00_0 DisjointWith Z00_8
Z00_0 DisjointWith Z00_6
Z00_0 DisjointWith Z00_5
Z00_0 DisjointWith Z00_4
Z00_0 DisjointWith Z00_3
Z00_0 DisjointWith Z00_2
Z00_0 DisjointWith Z00_1
Z00_1 is Class
Z00_1 SubClassOf Z00
Z00_1 DisjointWith Z00_8
Z00_1 DisjointWith Z00_6
Z00_1 DisjointWith Z00_5
Z00_1 DisjointWith Z00_4
Z00_1 DisjointWith Z00_3
Z00_1 DisjointWith Z00_2
Z00_1 DisjointWith Z00_0
Z00_2 is Class
Z00_2 SubClassOf Z00
Z00_2 DisjointWith Z00_8
Z00_2 DisjointWith Z00_6
Z00_2 DisjointWith Z00_5
Z00_2 DisjointWith Z00_4
Z00_2 DisjointWith Z00_3
Z00_2 DisjointWith Z00_1
Z00_2 DisjointWith Z00_0
Z00_3 is Class
Z00_3 SubClassOf Z00
Z00_3 DisjointWith Z00_8
Z00_3 DisjointWith Z00_6
Z00_3 DisjointWith Z00_5
Z00_3 DisjointWith Z00_4
Z00_3 DisjointWith Z00_2
Z00_3 DisjointWith Z00_1
Z00_3 DisjointWith Z00_0
Z00_4 is Class
Z00_4 SubClassOf Z00
Z00_4 DisjointWith Z00_8
Z00_4 DisjointWith Z00_6
Z00_4 DisjointWith Z00_5
Z00_4 DisjointWith Z00_3
Z00_4 DisjointWith Z00_2
Z00_4 DisjointWith Z00_1
Z00_4 DisjointWith Z00_0
Z00_5 is Class
Z00_5 SubClassOf Z00
Z00_5 DisjointWith Z00_8
Z00_5 DisjointWith Z00_6
Z00_5 DisjointWith Z00_4
Z00_5 DisjointWith Z00_3
Z00_5 DisjointWith Z00_2
Z00_5 DisjointWith Z00_1
Z00_5 DisjointWith Z00_0
Z00_6 is Class
Z00_6 SubClassOf Z00
Z00_6 DisjointWith Z00_8
Z00_6 DisjointWith Z00_5
Z00_6 DisjointWith Z00_4
Z00_6 DisjointWith Z00_3
Z00_6 DisjointWith Z00_2
Z00_6 DisjointWith Z00_1
Z00_6 DisjointWith Z00_0
Z00_8 is Class
Z00_8 SubClassOf Z00
Z00_8 DisjointWith Z00_6
Z00_8 DisjointWith Z00_5
Z00_8 DisjointWith Z00_4
Z00_8 DisjointWith Z00_3
Z00_8 DisjointWith Z00_2
Z00_8 DisjointWith Z00_1
Z00_8 DisjointWith Z00_0
Z00_Z13 is Class
Z00_Z13 SubClassOf Z00_Z99
Z00_Z99 is Class
Z00_Z99 SubClassOf ICD10_Chapter
Z00_Z99 DisjointWith V01_Y98
Z00_Z99 DisjointWith U00_U99
Z00_Z99 DisjointWith S00_T98
Z00_Z99 DisjointWith R00_R99
Z00_Z99 DisjointWith Q00_Q99
Z00_Z99 DisjointWith P00_P96
Z00_Z99 DisjointWith O00_O99
Z00_Z99 DisjointWith N00_N99
Z00_Z99 DisjointWith M00_M99
Z00_Z99 DisjointWith L00_L99
Z00_Z99 DisjointWith K00_K93
Z00_Z99 DisjointWith J00_J99
Z00_Z99 DisjointWith I00_I99
Z00_Z99 DisjointWith H60_H95
Z00_Z99 DisjointWith H00_H59
Z00_Z99 DisjointWith G00_G99
Z00_Z99 DisjointWith F00_F99
Z00_Z99 DisjointWith E00_E90
Z00_Z99 DisjointWith D50_D89
Z00_Z99 DisjointWith C00_D48
Z00_Z99 DisjointWith A00_B99
Z01 is Class
Z01_0 is Class
Z01_0 SubClassOf Z01
Z01_0 DisjointWith Z01_9
Z01_0 DisjointWith Z01_8
Z01_0 DisjointWith Z01_7
Z01_0 DisjointWith Z01_6
Z01_0 DisjointWith Z01_5
Z01_0 DisjointWith Z01_4
Z01_0 DisjointWith Z01_3
Z01_0 DisjointWith Z01_2
Z01_0 DisjointWith Z01_1
Z01_1 is Class
Z01_1 SubClassOf Z01
Z01_1 DisjointWith Z01_9
Z01_1 DisjointWith Z01_8
Z01_1 DisjointWith Z01_7
Z01_1 DisjointWith Z01_6
Z01_1 DisjointWith Z01_5
Z01_1 DisjointWith Z01_4
Z01_1 DisjointWith Z01_3
Z01_1 DisjointWith Z01_2
Z01_1 DisjointWith Z01_0
Z01_2 is Class
Z01_2 SubClassOf Z01
Z01_2 DisjointWith Z01_9
Z01_2 DisjointWith Z01_8
Z01_2 DisjointWith Z01_7
Z01_2 DisjointWith Z01_6
Z01_2 DisjointWith Z01_5
Z01_2 DisjointWith Z01_4
Z01_2 DisjointWith Z01_3
Z01_2 DisjointWith Z01_1
Z01_2 DisjointWith Z01_0
Z01_3 is Class
Z01_3 SubClassOf Z01
Z01_3 DisjointWith Z01_9
Z01_3 DisjointWith Z01_8
Z01_3 DisjointWith Z01_7
Z01_3 DisjointWith Z01_6
Z01_3 DisjointWith Z01_5
Z01_3 DisjointWith Z01_4
Z01_3 DisjointWith Z01_2
Z01_3 DisjointWith Z01_1
Z01_3 DisjointWith Z01_0
Z01_4 is Class
Z01_4 SubClassOf Z01
Z01_4 DisjointWith Z01_9
Z01_4 DisjointWith Z01_8
Z01_4 DisjointWith Z01_7
Z01_4 DisjointWith Z01_6
Z01_4 DisjointWith Z01_5
Z01_4 DisjointWith Z01_3
Z01_4 DisjointWith Z01_2
Z01_4 DisjointWith Z01_1
Z01_4 DisjointWith Z01_0
Z01_5 is Class
Z01_5 SubClassOf Z01
Z01_5 DisjointWith Z01_9
Z01_5 DisjointWith Z01_8
Z01_5 DisjointWith Z01_7
Z01_5 DisjointWith Z01_6
Z01_5 DisjointWith Z01_4
Z01_5 DisjointWith Z01_3
Z01_5 DisjointWith Z01_2
Z01_5 DisjointWith Z01_1
Z01_5 DisjointWith Z01_0
Z01_6 is Class
Z01_6 SubClassOf Z01
Z01_6 DisjointWith Z01_9
Z01_6 DisjointWith Z01_8
Z01_6 DisjointWith Z01_7
Z01_6 DisjointWith Z01_5
Z01_6 DisjointWith Z01_4
Z01_6 DisjointWith Z01_3
Z01_6 DisjointWith Z01_2
Z01_6 DisjointWith Z01_1
Z01_6 DisjointWith Z01_0
Z01_7 is Class
Z01_7 SubClassOf Z01
Z01_7 DisjointWith Z01_9
Z01_7 DisjointWith Z01_8
Z01_7 DisjointWith Z01_6
Z01_7 DisjointWith Z01_5
Z01_7 DisjointWith Z01_4
Z01_7 DisjointWith Z01_3
Z01_7 DisjointWith Z01_2
Z01_7 DisjointWith Z01_1
Z01_7 DisjointWith Z01_0
Z01_8 is Class
Z01_8 SubClassOf Z01
Z01_8 DisjointWith Z01_9
Z01_8 DisjointWith Z01_7
Z01_8 DisjointWith Z01_6
Z01_8 DisjointWith Z01_5
Z01_8 DisjointWith Z01_4
Z01_8 DisjointWith Z01_3
Z01_8 DisjointWith Z01_2
Z01_8 DisjointWith Z01_1
Z01_8 DisjointWith Z01_0
Z01_9 is Class
Z01_9 SubClassOf Z01
Z01_9 DisjointWith Z01_8
Z01_9 DisjointWith Z01_7
Z01_9 DisjointWith Z01_6
Z01_9 DisjointWith Z01_5
Z01_9 DisjointWith Z01_4
Z01_9 DisjointWith Z01_3
Z01_9 DisjointWith Z01_2
Z01_9 DisjointWith Z01_1
Z01_9 DisjointWith Z01_0
Z02 is Class
Z02_0 is Class
Z02_0 SubClassOf Z02
Z02_0 DisjointWith Z02_9
Z02_0 DisjointWith Z02_8
Z02_0 DisjointWith Z02_7
Z02_0 DisjointWith Z02_6
Z02_0 DisjointWith Z02_5
Z02_0 DisjointWith Z02_4
Z02_0 DisjointWith Z02_3
Z02_0 DisjointWith Z02_2
Z02_0 DisjointWith Z02_1
Z02_1 is Class
Z02_1 SubClassOf Z02
Z02_1 DisjointWith Z02_9
Z02_1 DisjointWith Z02_8
Z02_1 DisjointWith Z02_7
Z02_1 DisjointWith Z02_6
Z02_1 DisjointWith Z02_5
Z02_1 DisjointWith Z02_4
Z02_1 DisjointWith Z02_3
Z02_1 DisjointWith Z02_2
Z02_1 DisjointWith Z02_0
Z02_2 is Class
Z02_2 SubClassOf Z02
Z02_2 DisjointWith Z02_9
Z02_2 DisjointWith Z02_8
Z02_2 DisjointWith Z02_7
Z02_2 DisjointWith Z02_6
Z02_2 DisjointWith Z02_5
Z02_2 DisjointWith Z02_4
Z02_2 DisjointWith Z02_3
Z02_2 DisjointWith Z02_1
Z02_2 DisjointWith Z02_0
Z02_3 is Class
Z02_3 SubClassOf Z02
Z02_3 DisjointWith Z02_9
Z02_3 DisjointWith Z02_8
Z02_3 DisjointWith Z02_7
Z02_3 DisjointWith Z02_6
Z02_3 DisjointWith Z02_5
Z02_3 DisjointWith Z02_4
Z02_3 DisjointWith Z02_2
Z02_3 DisjointWith Z02_1
Z02_3 DisjointWith Z02_0
Z02_4 is Class
Z02_4 SubClassOf Z02
Z02_4 DisjointWith Z02_9
Z02_4 DisjointWith Z02_8
Z02_4 DisjointWith Z02_7
Z02_4 DisjointWith Z02_6
Z02_4 DisjointWith Z02_5
Z02_4 DisjointWith Z02_3
Z02_4 DisjointWith Z02_2
Z02_4 DisjointWith Z02_1
Z02_4 DisjointWith Z02_0
Z02_5 is Class
Z02_5 SubClassOf Z02
Z02_5 DisjointWith Z02_9
Z02_5 DisjointWith Z02_8
Z02_5 DisjointWith Z02_7
Z02_5 DisjointWith Z02_6
Z02_5 DisjointWith Z02_4
Z02_5 DisjointWith Z02_3
Z02_5 DisjointWith Z02_2
Z02_5 DisjointWith Z02_1
Z02_5 DisjointWith Z02_0
Z02_6 is Class
Z02_6 SubClassOf Z02
Z02_6 DisjointWith Z02_9
Z02_6 DisjointWith Z02_8
Z02_6 DisjointWith Z02_7
Z02_6 DisjointWith Z02_5
Z02_6 DisjointWith Z02_4
Z02_6 DisjointWith Z02_3
Z02_6 DisjointWith Z02_2
Z02_6 DisjointWith Z02_1
Z02_6 DisjointWith Z02_0
Z02_7 is Class
Z02_7 SubClassOf Z02
Z02_7 DisjointWith Z02_9
Z02_7 DisjointWith Z02_8
Z02_7 DisjointWith Z02_6
Z02_7 DisjointWith Z02_5
Z02_7 DisjointWith Z02_4
Z02_7 DisjointWith Z02_3
Z02_7 DisjointWith Z02_2
Z02_7 DisjointWith Z02_1
Z02_7 DisjointWith Z02_0
Z02_8 is Class
Z02_8 SubClassOf Z02
Z02_8 DisjointWith Z02_9
Z02_8 DisjointWith Z02_7
Z02_8 DisjointWith Z02_6
Z02_8 DisjointWith Z02_5
Z02_8 DisjointWith Z02_4
Z02_8 DisjointWith Z02_3
Z02_8 DisjointWith Z02_2
Z02_8 DisjointWith Z02_1
Z02_8 DisjointWith Z02_0
Z02_9 is Class
Z02_9 SubClassOf Z02
Z02_9 DisjointWith Z02_8
Z02_9 DisjointWith Z02_7
Z02_9 DisjointWith Z02_6
Z02_9 DisjointWith Z02_5
Z02_9 DisjointWith Z02_4
Z02_9 DisjointWith Z02_3
Z02_9 DisjointWith Z02_2
Z02_9 DisjointWith Z02_1
Z02_9 DisjointWith Z02_0
Z03 is Class
Z03_0 is Class
Z03_0 SubClassOf Z03
Z03_0 DisjointWith Z03_9
Z03_0 DisjointWith Z03_8
Z03_0 DisjointWith Z03_6
Z03_0 DisjointWith Z03_5
Z03_0 DisjointWith Z03_4
Z03_0 DisjointWith Z03_3
Z03_0 DisjointWith Z03_2
Z03_0 DisjointWith Z03_1
Z03_1 is Class
Z03_1 SubClassOf Z03
Z03_1 DisjointWith Z03_9
Z03_1 DisjointWith Z03_8
Z03_1 DisjointWith Z03_6
Z03_1 DisjointWith Z03_5
Z03_1 DisjointWith Z03_4
Z03_1 DisjointWith Z03_3
Z03_1 DisjointWith Z03_2
Z03_1 DisjointWith Z03_0
Z03_2 is Class
Z03_2 SubClassOf Z03
Z03_2 DisjointWith Z03_9
Z03_2 DisjointWith Z03_8
Z03_2 DisjointWith Z03_6
Z03_2 DisjointWith Z03_5
Z03_2 DisjointWith Z03_4
Z03_2 DisjointWith Z03_3
Z03_2 DisjointWith Z03_1
Z03_2 DisjointWith Z03_0
Z03_3 is Class
Z03_3 SubClassOf Z03
Z03_3 DisjointWith Z03_9
Z03_3 DisjointWith Z03_8
Z03_3 DisjointWith Z03_6
Z03_3 DisjointWith Z03_5
Z03_3 DisjointWith Z03_4
Z03_3 DisjointWith Z03_2
Z03_3 DisjointWith Z03_1
Z03_3 DisjointWith Z03_0
Z03_4 is Class
Z03_4 SubClassOf Z03
Z03_4 DisjointWith Z03_9
Z03_4 DisjointWith Z03_8
Z03_4 DisjointWith Z03_6
Z03_4 DisjointWith Z03_5
Z03_4 DisjointWith Z03_3
Z03_4 DisjointWith Z03_2
Z03_4 DisjointWith Z03_1
Z03_4 DisjointWith Z03_0
Z03_5 is Class
Z03_5 SubClassOf Z03
Z03_5 DisjointWith Z03_9
Z03_5 DisjointWith Z03_8
Z03_5 DisjointWith Z03_6
Z03_5 DisjointWith Z03_4
Z03_5 DisjointWith Z03_3
Z03_5 DisjointWith Z03_2
Z03_5 DisjointWith Z03_1
Z03_5 DisjointWith Z03_0
Z03_6 is Class
Z03_6 SubClassOf Z03
Z03_6 DisjointWith Z03_9
Z03_6 DisjointWith Z03_8
Z03_6 DisjointWith Z03_5
Z03_6 DisjointWith Z03_4
Z03_6 DisjointWith Z03_3
Z03_6 DisjointWith Z03_2
Z03_6 DisjointWith Z03_1
Z03_6 DisjointWith Z03_0
Z03_8 is Class
Z03_8 SubClassOf Z03
Z03_8 DisjointWith Z03_9
Z03_8 DisjointWith Z03_6
Z03_8 DisjointWith Z03_5
Z03_8 DisjointWith Z03_4
Z03_8 DisjointWith Z03_3
Z03_8 DisjointWith Z03_2
Z03_8 DisjointWith Z03_1
Z03_8 DisjointWith Z03_0
Z03_9 is Class
Z03_9 SubClassOf Z03
Z03_9 DisjointWith Z03_8
Z03_9 DisjointWith Z03_6
Z03_9 DisjointWith Z03_5
Z03_9 DisjointWith Z03_4
Z03_9 DisjointWith Z03_3
Z03_9 DisjointWith Z03_2
Z03_9 DisjointWith Z03_1
Z03_9 DisjointWith Z03_0
Z04 is Class
Z04_0 is Class
Z04_0 SubClassOf Z04
Z04_0 DisjointWith Z04_9
Z04_0 DisjointWith Z04_8
Z04_0 DisjointWith Z04_6
Z04_0 DisjointWith Z04_5
Z04_0 DisjointWith Z04_4
Z04_0 DisjointWith Z04_3
Z04_0 DisjointWith Z04_2
Z04_0 DisjointWith Z04_1
Z04_1 is Class
Z04_1 SubClassOf Z04
Z04_1 DisjointWith Z04_9
Z04_1 DisjointWith Z04_8
Z04_1 DisjointWith Z04_6
Z04_1 DisjointWith Z04_5
Z04_1 DisjointWith Z04_4
Z04_1 DisjointWith Z04_3
Z04_1 DisjointWith Z04_2
Z04_1 DisjointWith Z04_0
Z04_2 is Class
Z04_2 SubClassOf Z04
Z04_2 DisjointWith Z04_9
Z04_2 DisjointWith Z04_8
Z04_2 DisjointWith Z04_6
Z04_2 DisjointWith Z04_5
Z04_2 DisjointWith Z04_4
Z04_2 DisjointWith Z04_3
Z04_2 DisjointWith Z04_1
Z04_2 DisjointWith Z04_0
Z04_3 is Class
Z04_3 SubClassOf Z04
Z04_3 DisjointWith Z04_9
Z04_3 DisjointWith Z04_8
Z04_3 DisjointWith Z04_6
Z04_3 DisjointWith Z04_5
Z04_3 DisjointWith Z04_4
Z04_3 DisjointWith Z04_2
Z04_3 DisjointWith Z04_1
Z04_3 DisjointWith Z04_0
Z04_4 is Class
Z04_4 SubClassOf Z04
Z04_4 DisjointWith Z04_9
Z04_4 DisjointWith Z04_8
Z04_4 DisjointWith Z04_6
Z04_4 DisjointWith Z04_5
Z04_4 DisjointWith Z04_3
Z04_4 DisjointWith Z04_2
Z04_4 DisjointWith Z04_1
Z04_4 DisjointWith Z04_0
Z04_5 is Class
Z04_5 SubClassOf Z04
Z04_5 DisjointWith Z04_9
Z04_5 DisjointWith Z04_8
Z04_5 DisjointWith Z04_6
Z04_5 DisjointWith Z04_4
Z04_5 DisjointWith Z04_3
Z04_5 DisjointWith Z04_2
Z04_5 DisjointWith Z04_1
Z04_5 DisjointWith Z04_0
Z04_6 is Class
Z04_6 SubClassOf Z04
Z04_6 DisjointWith Z04_9
Z04_6 DisjointWith Z04_8
Z04_6 DisjointWith Z04_5
Z04_6 DisjointWith Z04_4
Z04_6 DisjointWith Z04_3
Z04_6 DisjointWith Z04_2
Z04_6 DisjointWith Z04_1
Z04_6 DisjointWith Z04_0
Z04_8 is Class
Z04_8 SubClassOf Z04
Z04_8 DisjointWith Z04_9
Z04_8 DisjointWith Z04_6
Z04_8 DisjointWith Z04_5
Z04_8 DisjointWith Z04_4
Z04_8 DisjointWith Z04_3
Z04_8 DisjointWith Z04_2
Z04_8 DisjointWith Z04_1
Z04_8 DisjointWith Z04_0
Z04_9 is Class
Z04_9 SubClassOf Z04
Z04_9 DisjointWith Z04_8
Z04_9 DisjointWith Z04_6
Z04_9 DisjointWith Z04_5
Z04_9 DisjointWith Z04_4
Z04_9 DisjointWith Z04_3
Z04_9 DisjointWith Z04_2
Z04_9 DisjointWith Z04_1
Z04_9 DisjointWith Z04_0
Z08 is Class
Z08_0 is Class
Z08_0 SubClassOf Z08
Z08_0 DisjointWith Z08_9
Z08_0 DisjointWith Z08_8
Z08_0 DisjointWith Z08_7
Z08_0 DisjointWith Z08_2
Z08_0 DisjointWith Z08_1
Z08_1 is Class
Z08_1 SubClassOf Z08
Z08_1 DisjointWith Z08_9
Z08_1 DisjointWith Z08_8
Z08_1 DisjointWith Z08_7
Z08_1 DisjointWith Z08_2
Z08_1 DisjointWith Z08_0
Z08_2 is Class
Z08_2 SubClassOf Z08
Z08_2 DisjointWith Z08_9
Z08_2 DisjointWith Z08_8
Z08_2 DisjointWith Z08_7
Z08_2 DisjointWith Z08_1
Z08_2 DisjointWith Z08_0
Z08_7 is Class
Z08_7 SubClassOf Z08
Z08_7 DisjointWith Z08_9
Z08_7 DisjointWith Z08_8
Z08_7 DisjointWith Z08_2
Z08_7 DisjointWith Z08_1
Z08_7 DisjointWith Z08_0
Z08_8 is Class
Z08_8 SubClassOf Z08
Z08_8 DisjointWith Z08_9
Z08_8 DisjointWith Z08_7
Z08_8 DisjointWith Z08_2
Z08_8 DisjointWith Z08_1
Z08_8 DisjointWith Z08_0
Z08_9 is Class
Z08_9 SubClassOf Z08
Z08_9 DisjointWith Z08_8
Z08_9 DisjointWith Z08_7
Z08_9 DisjointWith Z08_2
Z08_9 DisjointWith Z08_1
Z08_9 DisjointWith Z08_0
Z09 is Class
Z09_0 is Class
Z09_0 SubClassOf Z09
Z09_0 DisjointWith Z09_9
Z09_0 DisjointWith Z09_8
Z09_0 DisjointWith Z09_7
Z09_0 DisjointWith Z09_4
Z09_0 DisjointWith Z09_3
Z09_0 DisjointWith Z09_2
Z09_0 DisjointWith Z09_1
Z09_1 is Class
Z09_1 SubClassOf Z09
Z09_1 DisjointWith Z09_9
Z09_1 DisjointWith Z09_8
Z09_1 DisjointWith Z09_7
Z09_1 DisjointWith Z09_4
Z09_1 DisjointWith Z09_3
Z09_1 DisjointWith Z09_2
Z09_1 DisjointWith Z09_0
Z09_2 is Class
Z09_2 SubClassOf Z09
Z09_2 DisjointWith Z09_9
Z09_2 DisjointWith Z09_8
Z09_2 DisjointWith Z09_7
Z09_2 DisjointWith Z09_4
Z09_2 DisjointWith Z09_3
Z09_2 DisjointWith Z09_1
Z09_2 DisjointWith Z09_0
Z09_3 is Class
Z09_3 SubClassOf Z09
Z09_3 DisjointWith Z09_9
Z09_3 DisjointWith Z09_8
Z09_3 DisjointWith Z09_7
Z09_3 DisjointWith Z09_4
Z09_3 DisjointWith Z09_2
Z09_3 DisjointWith Z09_1
Z09_3 DisjointWith Z09_0
Z09_4 is Class
Z09_4 SubClassOf Z09
Z09_4 DisjointWith Z09_9
Z09_4 DisjointWith Z09_8
Z09_4 DisjointWith Z09_7
Z09_4 DisjointWith Z09_3
Z09_4 DisjointWith Z09_2
Z09_4 DisjointWith Z09_1
Z09_4 DisjointWith Z09_0
Z09_7 is Class
Z09_7 SubClassOf Z09
Z09_7 DisjointWith Z09_9
Z09_7 DisjointWith Z09_8
Z09_7 DisjointWith Z09_4
Z09_7 DisjointWith Z09_3
Z09_7 DisjointWith Z09_2
Z09_7 DisjointWith Z09_1
Z09_7 DisjointWith Z09_0
Z09_8 is Class
Z09_8 SubClassOf Z09
Z09_8 DisjointWith Z09_9
Z09_8 DisjointWith Z09_7
Z09_8 DisjointWith Z09_4
Z09_8 DisjointWith Z09_3
Z09_8 DisjointWith Z09_2
Z09_8 DisjointWith Z09_1
Z09_8 DisjointWith Z09_0
Z09_9 is Class
Z09_9 SubClassOf Z09
Z09_9 DisjointWith Z09_8
Z09_9 DisjointWith Z09_7
Z09_9 DisjointWith Z09_4
Z09_9 DisjointWith Z09_3
Z09_9 DisjointWith Z09_2
Z09_9 DisjointWith Z09_1
Z09_9 DisjointWith Z09_0
Z10 is Class
Z10_0 is Class
Z10_0 SubClassOf Z10
Z10_0 DisjointWith Z10_8
Z10_0 DisjointWith Z10_3
Z10_0 DisjointWith Z10_2
Z10_0 DisjointWith Z10_1
Z10_1 is Class
Z10_1 SubClassOf Z10
Z10_1 DisjointWith Z10_8
Z10_1 DisjointWith Z10_3
Z10_1 DisjointWith Z10_2
Z10_1 DisjointWith Z10_0
Z10_2 is Class
Z10_2 SubClassOf Z10
Z10_2 DisjointWith Z10_8
Z10_2 DisjointWith Z10_3
Z10_2 DisjointWith Z10_1
Z10_2 DisjointWith Z10_0
Z10_3 is Class
Z10_3 SubClassOf Z10
Z10_3 DisjointWith Z10_8
Z10_3 DisjointWith Z10_2
Z10_3 DisjointWith Z10_1
Z10_3 DisjointWith Z10_0
Z10_8 is Class
Z10_8 SubClassOf Z10
Z10_8 DisjointWith Z10_3
Z10_8 DisjointWith Z10_2
Z10_8 DisjointWith Z10_1
Z10_8 DisjointWith Z10_0
Z11 is Class
Z11_0 is Class
Z11_0 SubClassOf Z11
Z11_0 DisjointWith Z11_9
Z11_0 DisjointWith Z11_8
Z11_0 DisjointWith Z11_6
Z11_0 DisjointWith Z11_5
Z11_0 DisjointWith Z11_4
Z11_0 DisjointWith Z11_3
Z11_0 DisjointWith Z11_2
Z11_0 DisjointWith Z11_1
Z11_1 is Class
