is(TEMP#,ObjectProperty) = 1.0
is(GRO_0007199,Class) = 1.0
is(GRO_0007200,Class) = 1.0
SubClassOf(GRO_0007200,GRO_0007157) = 1.0
is(GRO_0007201,Class) = 1.0
SubClassOf(GRO_0007201,GRO_0007157) = 1.0
is(GRO_0007202,Class) = 1.0
SubClassOf(GRO_0007202,GRO_0007158) = 1.0
is(GRO_0007203,Class) = 1.0
SubClassOf(GRO_0007203,GRO_0007158) = 1.0
is(GRO_0007204,Class) = 1.0
SubClassOf(GRO_0007204,GRO_0007158) = 1.0
is(GRO_0007205,Class) = 1.0
SubClassOf(GRO_0007205,GRO_0007158) = 1.0
is(GRO_0007206,Class) = 1.0
SubClassOf(GRO_0007206,GRO_0007158) = 1.0
is(GRO_0007207,Class) = 1.0
SubClassOf(GRO_0007207,GRO_0007158) = 1.0
is(GRO_0007208,Class) = 1.0
SubClassOf(GRO_0007208,GRO_0007158) = 1.0
is(GRO_0007209,Class) = 1.0
SubClassOf(GRO_0007209,GRO_0007159) = 1.0
is(GRO_0007210,Class) = 1.0
SubClassOf(GRO_0007210,GRO_0007159) = 1.0
is(GRO_0007211,Class) = 1.0
SubClassOf(GRO_0007211,GRO_0007159) = 1.0
is(GRO_0007212,Class) = 1.0
SubClassOf(GRO_0007212,GRO_0007159) = 1.0
is(GRO_0007213,Class) = 1.0
SubClassOf(GRO_0007213,GRO_0007159) = 1.0
is(GRO_0007214,Class) = 1.0
SubClassOf(GRO_0007214,GRO_0007159) = 1.0
is(GRO_0007216,Class) = 1.0
SubClassOf(GRO_0007216,GRO_0007043) = 1.0
is(GRO_0007217,Class) = 1.0
SubClassOf(GRO_0007217,GRO_0007212) = 1.0
is(GRO_0007218,Class) = 1.0
SubClassOf(GRO_0007218,GRO_0007212) = 1.0
is(GRO_0007219,Class) = 1.0
SubClassOf(GRO_0007219,GRO_0007212) = 1.0
is(GRO_0007220,Class) = 1.0
SubClassOf(GRO_0007220,GRO_0007212) = 1.0
is(GRO_0007221,Class) = 1.0
SubClassOf(GRO_0007221,GRO_0007212) = 1.0
is(GRO_0007222,Class) = 1.0
SubClassOf(GRO_0007222,GRO_0007212) = 1.0
is(GRO_0007223,Class) = 1.0
SubClassOf(GRO_0007223,GRO_0007212) = 1.0
is(GRO_0007224,Class) = 1.0
SubClassOf(GRO_0007224,GRO_0007212) = 1.0
is(GRO_0007225,Class) = 1.0
SubClassOf(GRO_0007225,GRO_0007159) = 1.0
is(GRO_0007226,Class) = 1.0
SubClassOf(GRO_0007226,GRO_0007225) = 1.0
is(GRO_0007227,Class) = 1.0
SubClassOf(GRO_0007227,GRO_0007225) = 1.0
is(GRO_0007228,Class) = 1.0
SubClassOf(GRO_0007228,GRO_0007225) = 1.0
is(GRO_0007229,Class) = 1.0
SubClassOf(GRO_0007229,GRO_0007225) = 1.0
is(GRO_0007230,Class) = 1.0
SubClassOf(GRO_0007230,GRO_0007225) = 1.0
is(GRO_0007231,Class) = 1.0
SubClassOf(GRO_0007231,GRO_0007043) = 1.0
is(GRO_0007236,Class) = 1.0
SubClassOf(GRO_0007236,GRO_0007043) = 1.0
is(www.w3.org/2002/07/#,Class) = 1.0
