is(double,Datatype) = 1.0
is(CHEBI_16796,Class) = 1.0
is(CHEBI_16811,Class) = 1.0
is(CHEBI_168398,Class) = 1.0
is(CHEBI_168426,Class) = 1.0
is(CHEBI_168845,Class) = 1.0
is(CHEBI_16914,Class) = 1.0
is(CHEBI_16962,Class) = 1.0
is(CHEBI_16997,Class) = 1.0
is(CHEBI_17015,Class) = 1.0
is(CHEBI_17051,Class) = 1.0
is(CHEBI_17113,Class) = 1.0
is(CHEBI_17126,Class) = 1.0
is(CHEBI_17151,Class) = 1.0
is(CHEBI_17154,Class) = 1.0
is(CHEBI_17169,Class) = 1.0
is(CHEBI_17231,Class) = 1.0
is(CHEBI_17234,Class) = 1.0
is(CHEBI_17246,Class) = 1.0
is(CHEBI_172677,Class) = 1.0
is(CHEBI_17303,Class) = 1.0
is(CHEBI_17309,Class) = 1.0
is(CHEBI_174175,Class) = 1.0
is(CHEBI_17439,Class) = 1.0
is(CHEBI_17447,Class) = 1.0
is(CHEBI_17486,Class) = 1.0
is(CHEBI_17579,Class) = 1.0
is(CHEBI_17650,Class) = 1.0
is(CHEBI_17716,Class) = 1.0
is(CHEBI_177418,Class) = 1.0
is(CHEBI_17750,Class) = 1.0
is(CHEBI_17754,Class) = 1.0
is(CHEBI_17824,Class) = 1.0
is(CHEBI_17833,Class) = 1.0
is(CHEBI_17883,Class) = 1.0
is(CHEBI_17987,Class) = 1.0
is(CHEBI_17992,Class) = 1.0
is(CHEBI_17996,Class) = 1.0
is(CHEBI_18067,Class) = 1.0
is(CHEBI_18145,Class) = 1.0
is(CHEBI_181906,Class) = 1.0
is(CHEBI_18208,Class) = 1.0
is(CHEBI_18212,Class) = 1.0
is(CHEBI_18257,Class) = 1.0
is(CHEBI_18258,Class) = 1.0
is(CHEBI_18303,Class) = 1.0
is(CHEBI_18305,Class) = 1.0
is(CHEBI_183394,Class) = 1.0
is(CHEBI_18346,Class) = 1.0
is(CHEBI_183688,Class) = 1.0
is(CHEBI_18408,Class) = 1.0
is(CHEBI_18422,Class) = 1.0
is(CHEBI_184449,Class) = 1.0
is(CHEBI_186221,Class) = 1.0
is(CHEBI_189104,Class) = 1.0
is(CHEBI_189897,Class) = 1.0
is(CHEBI_190296,Class) = 1.0
is(CHEBI_190513,Class) = 1.0
is(CHEBI_22198,Class) = 1.0
is(CHEBI_22652,Class) = 1.0
is(CHEBI_23316,Class) = 1.0
is(CHEBI_23414,Class) = 1.0
is(CHEBI_2379,Class) = 1.0
is(CHEBI_23965,Class) = 1.0
is(CHEBI_24267,Class) = 1.0
is(CHEBI_2453,Class) = 1.0
is(CHEBI_24848,Class) = 1.0
is(CHEBI_24859,Class) = 1.0
is(CHEBI_24898,Class) = 1.0
is(CHEBI_24996,Class) = 1.0
is(CHEBI_25017,Class) = 1.0
is(CHEBI_25140,Class) = 1.0
is(CHEBI_2524,Class) = 1.0
is(CHEBI_2549,Class) = 1.0
is(CHEBI_25555,Class) = 1.0
is(CHEBI_26078,Class) = 1.0
is(CHEBI_26125,Class) = 1.0
is(CHEBI_26216,Class) = 1.0
is(CHEBI_2666,Class) = 1.0
is(CHEBI_2668,Class) = 1.0
is(CHEBI_26708,Class) = 1.0
is(CHEBI_26709,Class) = 1.0
is(CHEBI_26710,Class) = 1.0
is(CHEBI_2673,Class) = 1.0
is(CHEBI_2675,Class) = 1.0
is(CHEBI_2676,Class) = 1.0
is(CHEBI_26948,Class) = 1.0
is(CHEBI_27013,Class) = 1.0
is(CHEBI_27266,Class) = 1.0
is(CHEBI_27300,Class) = 1.0
is(CHEBI_27306,Class) = 1.0
is(CHEBI_27363,Class) = 1.0
is(CHEBI_27373,Class) = 1.0
is(CHEBI_27446,Class) = 1.0
is(CHEBI_27470,Class) = 1.0
is(CHEBI_27478,Class) = 1.0
is(CHEBI_27560,Class) = 1.0
is(CHEBI_27570,Class) = 1.0
is(CHEBI_2761,Class) = 1.0
is(CHEBI_27690,Class) = 1.0
is(CHEBI_27698,Class) = 1.0
is(CHEBI_27732,Class) = 1.0
is(CHEBI_27786,Class) = 1.0
is(CHEBI_27810,Class) = 1.0
is(CHEBI_27881,Class) = 1.0
is(CHEBI_27897,Class) = 1.0
is(CHEBI_27902,Class) = 1.0
is(CHEBI_27961,Class) = 1.0
is(CHEBI_27974,Class) = 1.0
is(CHEBI_27999,Class) = 1.0
is(CHEBI_28017,Class) = 1.0
is(CHEBI_28077,Class) = 1.0
is(CHEBI_28115,Class) = 1.0
is(CHEBI_28123,Class) = 1.0
is(CHEBI_28171,Class) = 1.0
is(CHEBI_28177,Class) = 1.0
is(CHEBI_28241,Class) = 1.0
is(CHEBI_28304,Class) = 1.0
is(CHEBI_28329,Class) = 1.0
is(CHEBI_28487,Class) = 1.0
is(CHEBI_28527,Class) = 1.0
is(CHEBI_28568,Class) = 1.0
is(CHEBI_28572,Class) = 1.0
is(CHEBI_28621,Class) = 1.0
is(CHEBI_28689,Class) = 1.0
is(CHEBI_28741,Class) = 1.0
is(CHEBI_28757,Class) = 1.0
is(CHEBI_2877,Class) = 1.0
is(CHEBI_28775,Class) = 1.0
is(CHEBI_28787,Class) = 1.0
is(CHEBI_28821,Class) = 1.0
is(CHEBI_28830,Class) = 1.0
is(CHEBI_28838,Class) = 1.0
is(CHEBI_28885,Class) = 1.0
is(CHEBI_28934,Class) = 1.0
is(CHEBI_28940,Class) = 1.0
is(CHEBI_28984,Class) = 1.0
is(CHEBI_29016,Class) = 1.0
is(CHEBI_29031,Class) = 1.0
is(CHEBI_29377,Class) = 1.0
is(CHEBI_2955,Class) = 1.0
is(CHEBI_29688,Class) = 1.0
is(CHEBI_29708,Class) = 1.0
is(CHEBI_29864,Class) = 1.0
is(CHEBI_29987,Class) = 1.0
is(CHEBI_3013,Class) = 1.0
is(CHEBI_30145,Class) = 1.0
is(CHEBI_30187,Class) = 1.0
is(CHEBI_30245,Class) = 1.0
is(CHEBI_30251,Class) = 1.0
is(CHEBI_30313,Class) = 1.0
is(CHEBI_30363,Class) = 1.0
is(CHEBI_3047,Class) = 1.0
is(CHEBI_30563,Class) = 1.0
is(CHEBI_3061,Class) = 1.0
is(CHEBI_30618,Class) = 1.0
is(CHEBI_30660,Class) = 1.0
is(CHEBI_30751,Class) = 1.0
is(CHEBI_30753,Class) = 1.0
is(CHEBI_30768,Class) = 1.0
is(CHEBI_30769,Class) = 1.0
is(CHEBI_3077,Class) = 1.0
is(CHEBI_30823,Class) = 1.0
is(CHEBI_30911,Class) = 1.0
is(CHEBI_31000,Class) = 1.0
is(CHEBI_3112,Class) = 1.0
is(CHEBI_31162,Class) = 1.0
is(CHEBI_31206,Class) = 1.0
is(CHEBI_31236,Class) = 1.0
is(CHEBI_3125,Class) = 1.0
is(CHEBI_31292,Class) = 1.0
is(CHEBI_31293,Class) = 1.0
is(CHEBI_31308,Class) = 1.0
is(CHEBI_31346,Class) = 1.0
is(CHEBI_31349,Class) = 1.0
is(CHEBI_31403,Class) = 1.0
is(CHEBI_31515,Class) = 1.0
is(CHEBI_31536,Class) = 1.0
is(CHEBI_31547,Class) = 1.0
is(CHEBI_31607,Class) = 1.0
is(CHEBI_31608,Class) = 1.0
is(CHEBI_31719,Class) = 1.0
is(CHEBI_31765,Class) = 1.0
is(CHEBI_31790,Class) = 1.0
is(CHEBI_31793,Class) = 1.0
is(CHEBI_31794,Class) = 1.0
is(CHEBI_31809,Class) = 1.0
is(CHEBI_3181,Class) = 1.0
is(CHEBI_3183,Class) = 1.0
is(CHEBI_31832,Class) = 1.0
is(CHEBI_31835,Class) = 1.0
is(CHEBI_31902,Class) = 1.0
is(CHEBI_31943,Class) = 1.0
is(CHEBI_31959,Class) = 1.0
is(CHEBI_32003,Class) = 1.0
is(CHEBI_32010,Class) = 1.0
is(CHEBI_32026,Class) = 1.0
is(CHEBI_32027,Class) = 1.0
is(CHEBI_32030,Class) = 1.0
is(CHEBI_32032,Class) = 1.0
is(CHEBI_32035,Class) = 1.0
is(CHEBI_3205,Class) = 1.0
is(CHEBI_32063,Class) = 1.0
is(CHEBI_32111,Class) = 1.0
is(CHEBI_32114,Class) = 1.0
is(CHEBI_3213,Class) = 1.0
is(CHEBI_32139,Class) = 1.0
is(CHEBI_32145,Class) = 1.0
is(CHEBI_32150,Class) = 1.0
is(CHEBI_32154,Class) = 1.0
is(CHEBI_32159,Class) = 1.0
is(CHEBI_3216,Class) = 1.0
is(CHEBI_32168,Class) = 1.0
is(CHEBI_32178,Class) = 1.0
is(CHEBI_3219,Class) = 1.0
is(CHEBI_32223,Class) = 1.0
is(CHEBI_32234,Class) = 1.0
is(CHEBI_32246,Class) = 1.0
is(CHEBI_32391,Class) = 1.0
is(CHEBI_32588,Class) = 1.0
is(CHEBI_32599,Class) = 1.0
is(CHEBI_32879,Class) = 1.0
is(CHEBI_32954,Class) = 1.0
is(CHEBI_3309,Class) = 1.0
is(CHEBI_3310,Class) = 1.0
is(CHEBI_3311,Class) = 1.0
is(CHEBI_33118,Class) = 1.0
is(CHEBI_3312,Class) = 1.0
is(CHEBI_33130,Class) = 1.0
is(CHEBI_33234,Class) = 1.0
is(CHEBI_33374,Class) = 1.0
is(CHEBI_3374,Class) = 1.0
is(CHEBI_3387,Class) = 1.0
is(CHEBI_3395,Class) = 1.0
is(CHEBI_3398,Class) = 1.0
is(CHEBI_34056,Class) = 1.0
is(CHEBI_3419,Class) = 1.0
is(CHEBI_34247,Class) = 1.0
is(CHEBI_3435,Class) = 1.0
is(CHEBI_3441,Class) = 1.0
is(CHEBI_34683,Class) = 1.0
is(CHEBI_34698,Class) = 1.0
is(CHEBI_34706,Class) = 1.0
is(CHEBI_34711,Class) = 1.0
is(CHEBI_3479,Class) = 1.0
is(CHEBI_34853,Class) = 1.0
is(CHEBI_34895,Class) = 1.0
is(CHEBI_34914,Class) = 1.0
is(CHEBI_34918,Class) = 1.0
is(CHEBI_34945,Class) = 1.0
is(CHEBI_34975,Class) = 1.0
is(CHEBI_3510,Class) = 1.0
is(CHEBI_35149,Class) = 1.0
is(CHEBI_35150,Class) = 1.0
is(CHEBI_35176,Class) = 1.0
is(CHEBI_3534,Class) = 1.0
is(CHEBI_35720,Class) = 1.0
is(CHEBI_35780,Class) = 1.0
is(CHEBI_36080,Class) = 1.0
is(CHEBI_3611,Class) = 1.0
is(CHEBI_3640,Class) = 1.0
is(CHEBI_3647,Class) = 1.0
is(CHEBI_3654,Class) = 1.0
is(CHEBI_36560,Class) = 1.0
is(CHEBI_36773,Class) = 1.0
is(CHEBI_3699,Class) = 1.0
is(CHEBI_37397,Class) = 1.0
is(CHEBI_3745,Class) = 1.0
is(CHEBI_37560,Class) = 1.0
is(CHEBI_37585,Class) = 1.0
is(CHEBI_37586,Class) = 1.0
is(CHEBI_3764,Class) = 1.0
is(CHEBI_3766,Class) = 1.0
is(CHEBI_37950,Class) = 1.0
is(CHEBI_38561,Class) = 1.0
is(CHEBI_39384,Class) = 1.0
is(CHEBI_3962,Class) = 1.0
is(CHEBI_3996,Class) = 1.0
is(CHEBI_40009,Class) = 1.0
is(CHEBI_40237,Class) = 1.0
is(CHEBI_40279,Class) = 1.0
is(CHEBI_40303,Class) = 1.0
is(CHEBI_4031,Class) = 1.0
is(CHEBI_4046,Class) = 1.0
is(CHEBI_41039,Class) = 1.0
is(CHEBI_41060,Class) = 1.0
is(CHEBI_41237,Class) = 1.0
is(CHEBI_41879,Class) = 1.0
is(CHEBI_41922,Class) = 1.0
is(CHEBI_42797,Class) = 1.0
is(CHEBI_43572,Class) = 1.0
is(CHEBI_44185,Class) = 1.0
is(CHEBI_4453,Class) = 1.0
is(CHEBI_4470,Class) = 1.0
is(CHEBI_4489,Class) = 1.0
is(CHEBI_4495,Class) = 1.0
is(CHEBI_4513,Class) = 1.0
is(CHEBI_4514,Class) = 1.0
is(CHEBI_45213,Class) = 1.0
is(CHEBI_45267,Class) = 1.0
is(CHEBI_45285,Class) = 1.0
is(CHEBI_4551,Class) = 1.0
is(CHEBI_4562,Class) = 1.0
is(CHEBI_45924,Class) = 1.0
is(CHEBI_45951,Class) = 1.0
is(CHEBI_45979,Class) = 1.0
is(CHEBI_45980,Class) = 1.0
is(CHEBI_46195,Class) = 1.0
is(CHEBI_46245,Class) = 1.0
is(CHEBI_4631,Class) = 1.0
is(CHEBI_4636,Class) = 1.0
is(CHEBI_4653,Class) = 1.0
is(CHEBI_46631,Class) = 1.0
is(CHEBI_46726,Class) = 1.0
is(CHEBI_46793,Class) = 1.0
is(CHEBI_4681,Class) = 1.0
is(CHEBI_46859,Class) = 1.0
is(CHEBI_4710,Class) = 1.0
is(CHEBI_472657,Class) = 1.0
is(CHEBI_4728,Class) = 1.0
is(CHEBI_47381,Class) = 1.0
is(CHEBI_47780,Class) = 1.0
is(CHEBI_47781,Class) = 1.0
is(CHEBI_4784,Class) = 1.0
is(CHEBI_47943,Class) = 1.0
is(CHEBI_4806,Class) = 1.0
is(CHEBI_48233,Class) = 1.0
is(CHEBI_48273,Class) = 1.0
is(CHEBI_48339,Class) = 1.0
is(CHEBI_48347,Class) = 1.0
is(CHEBI_48390,Class) = 1.0
is(CHEBI_48416,Class) = 1.0
is(CHEBI_48669,Class) = 1.0
is(CHEBI_4873,Class) = 1.0
is(CHEBI_4877,Class) = 1.0
is(CHEBI_487869,Class) = 1.0
is(CHEBI_4885,Class) = 1.0
is(CHEBI_4887,Class) = 1.0
is(CHEBI_4888,Class) = 1.0
is(CHEBI_48923,Class) = 1.0
is(CHEBI_49000,Class) = 1.0
is(CHEBI_4903,Class) = 1.0
is(CHEBI_49040,Class) = 1.0
is(CHEBI_4907,Class) = 1.0
is(CHEBI_4909,Class) = 1.0
is(CHEBI_4917,Class) = 1.0
is(CHEBI_49575,Class) = 1.0
is(CHEBI_49662,Class) = 1.0
is(CHEBI_4975,Class) = 1.0
is(CHEBI_49976,Class) = 1.0
is(CHEBI_5001,Class) = 1.0
is(CHEBI_5004,Class) = 1.0
is(CHEBI_50122,Class) = 1.0
is(CHEBI_50172,Class) = 1.0
is(CHEBI_50275,Class) = 1.0
is(CHEBI_50369,Class) = 1.0
is(CHEBI_50673,Class) = 1.0
is(CHEBI_50694,Class) = 1.0
is(CHEBI_50742,Class) = 1.0
is(CHEBI_50815,Class) = 1.0
is(CHEBI_50819,Class) = 1.0
is(CHEBI_50821,Class) = 1.0
is(CHEBI_50841,Class) = 1.0
is(CHEBI_50845,Class) = 1.0
is(CHEBI_50867,Class) = 1.0
is(CHEBI_50922,Class) = 1.0
is(CHEBI_5118,Class) = 1.0
is(CHEBI_51209,Class) = 1.0
is(CHEBI_51211,Class) = 1.0
is(CHEBI_5123,Class) = 1.0
is(CHEBI_5128,Class) = 1.0
is(CHEBI_5132,Class) = 1.0
is(CHEBI_51364,Class) = 1.0
is(CHEBI_51368,Class) = 1.0
is(CHEBI_51805,Class) = 1.0
is(CHEBI_518413,Class) = 1.0
is(CHEBI_51860,Class) = 1.0
is(CHEBI_52010,Class) = 1.0
is(CHEBI_52071,Class) = 1.0
is(CHEBI_52357,Class) = 1.0
is(CHEBI_52683,Class) = 1.0
is(CHEBI_5291,Class) = 1.0
is(CHEBI_5296,Class) = 1.0
is(CHEBI_52993,Class) = 1.0
is(CHEBI_53001,Class) = 1.0
is(CHEBI_53248,Class) = 1.0
is(CHEBI_53258,Class) = 1.0
is(CHEBI_534,Class) = 1.0
is(CHEBI_53423,Class) = 1.0
is(CHEBI_53424,Class) = 1.0
is(CHEBI_53425,Class) = 1.0
is(CHEBI_53426,Class) = 1.0
is(CHEBI_53700,Class) = 1.0
is(CHEBI_53767,Class) = 1.0
is(CHEBI_53770,Class) = 1.0
is(CHEBI_53775,Class) = 1.0
is(CHEBI_5384,Class) = 1.0
is(CHEBI_5417,Class) = 1.0
is(CHEBI_5551,Class) = 1.0
is(CHEBI_5553,Class) = 1.0
is(CHEBI_5558,Class) = 1.0
is(CHEBI_5707,Class) = 1.0
is(CHEBI_5747,Class) = 1.0
is(CHEBI_57589,Class) = 1.0
is(CHEBI_5775,Class) = 1.0
is(CHEBI_5778,Class) = 1.0
is(CHEBI_5779,Class) = 1.0
is(CHEBI_5784,Class) = 1.0
is(CHEBI_5790,Class) = 1.0
is(CHEBI_5818,Class) = 1.0
is(CHEBI_5855,Class) = 1.0
is(CHEBI_585948,Class) = 1.0
is(CHEBI_59033,Class) = 1.0
is(CHEBI_59040,Class) = 1.0
is(CHEBI_59269,Class) = 1.0
is(CHEBI_5950,Class) = 1.0
is(CHEBI_5956,Class) = 1.0
is(CHEBI_59560,Class) = 1.0
is(CHEBI_5958,Class) = 1.0
is(CHEBI_59590,Class) = 1.0
is(CHEBI_59732,Class) = 1.0
is(CHEBI_59773,Class) = 1.0
is(CHEBI_59909,Class) = 1.0
is(CHEBI_59912,Class) = 1.0
is(CHEBI_60072,Class) = 1.0
is(CHEBI_601027,Class) = 1.0
is(CHEBI_6030,Class) = 1.0
is(CHEBI_6043,Class) = 1.0
is(CHEBI_6060,Class) = 1.0
is(CHEBI_60654,Class) = 1.0
is(CHEBI_6078,Class) = 1.0
is(CHEBI_61000,Class) = 1.0
is(CHEBI_6104,Class) = 1.0
is(CHEBI_61057,Class) = 1.0
is(CHEBI_61058,Class) = 1.0
is(CHEBI_6128,Class) = 1.0
is(CHEBI_61330,Class) = 1.0
is(CHEBI_61468,Class) = 1.0
is(CHEBI_61995,Class) = 1.0
is(CHEBI_62947,Class) = 1.0
is(CHEBI_62968,Class) = 1.0
is(CHEBI_62984,Class) = 1.0
is(CHEBI_62995,Class) = 1.0
is(CHEBI_63018,Class) = 1.0
is(CHEBI_6343,Class) = 1.0
is(CHEBI_63554,Class) = 1.0
is(CHEBI_63577,Class) = 1.0
is(CHEBI_63580,Class) = 1.0
is(CHEBI_63581,Class) = 1.0
is(CHEBI_63619,Class) = 1.0
is(CHEBI_63628,Class) = 1.0
is(CHEBI_63632,Class) = 1.0
is(CHEBI_63635,Class) = 1.0
is(CHEBI_6367,Class) = 1.0
is(CHEBI_63717,Class) = 1.0
is(CHEBI_63918,Class) = 1.0
is(CHEBI_64187,Class) = 1.0
is(CHEBI_64275,Class) = 1.0
is(CHEBI_64276,Class) = 1.0
is(CHEBI_64310,Class) = 1.0
is(CHEBI_64312,Class) = 1.0
is(CHEBI_64356,Class) = 1.0
is(CHEBI_6437,Class) = 1.0
is(CHEBI_6443,Class) = 1.0
is(CHEBI_6472,Class) = 1.0
is(CHEBI_65242,Class) = 1.0
is(CHEBI_65349,Class) = 1.0
is(CHEBI_6538,Class) = 1.0
is(CHEBI_6636,Class) = 1.0
is(CHEBI_6650,Class) = 1.0
is(CHEBI_66964,Class) = 1.0
is(CHEBI_6709,Class) = 1.0
is(CHEBI_6712,Class) = 1.0
is(CHEBI_6715,Class) = 1.0
is(CHEBI_6741,Class) = 1.0
is(CHEBI_6754,Class) = 1.0
is(CHEBI_6761,Class) = 1.0
is(CHEBI_6784,Class) = 1.0
is(CHEBI_6801,Class) = 1.0
is(CHEBI_6809,Class) = 1.0
is(CHEBI_6810,Class) = 1.0
is(CHEBI_6821,Class) = 1.0
is(CHEBI_6824,Class) = 1.0
is(CHEBI_6832,Class) = 1.0
is(CHEBI_6838,Class) = 1.0
is(CHEBI_68428,Class) = 1.0
