is(double,Datatype) = 1.0
is(CHEBI_135422,Class) = 1.0
is(CHEBI_135433,Class) = 1.0
is(CHEBI_135515,Class) = 1.0
is(CHEBI_135538,Class) = 1.0
is(CHEBI_135590,Class) = 1.0
is(CHEBI_135611,Class) = 1.0
is(CHEBI_135627,Class) = 1.0
is(CHEBI_135629,Class) = 1.0
is(CHEBI_135636,Class) = 1.0
is(CHEBI_135640,Class) = 1.0
is(CHEBI_135654,Class) = 1.0
is(CHEBI_135662,Class) = 1.0
is(CHEBI_135681,Class) = 1.0
is(CHEBI_135766,Class) = 1.0
is(CHEBI_135843,Class) = 1.0
is(CHEBI_135888,Class) = 1.0
is(CHEBI_135893,Class) = 1.0
is(CHEBI_135901,Class) = 1.0
is(CHEBI_135925,Class) = 1.0
is(CHEBI_135929,Class) = 1.0
is(CHEBI_135933,Class) = 1.0
is(CHEBI_135939,Class) = 1.0
is(CHEBI_136014,Class) = 1.0
is(CHEBI_139123,Class) = 1.0
is(CHEBI_140503,Class) = 1.0
is(CHEBI_140618,Class) = 1.0
is(CHEBI_140621,Class) = 1.0
is(CHEBI_145012,Class) = 1.0
is(CHEBI_145232,Class) = 1.0
is(CHEBI_145371,Class) = 1.0
is(CHEBI_145373,Class) = 1.0
is(CHEBI_145791,Class) = 1.0
is(CHEBI_15354,Class) = 1.0
is(CHEBI_15356,Class) = 1.0
is(CHEBI_15365,Class) = 1.0
is(CHEBI_15366,Class) = 1.0
is(CHEBI_15367,Class) = 1.0
is(CHEBI_15377,Class) = 1.0
is(CHEBI_15407,Class) = 1.0
is(CHEBI_15409,Class) = 1.0
is(CHEBI_15428,Class) = 1.0
is(CHEBI_15443,Class) = 1.0
is(CHEBI_15544,Class) = 1.0
is(CHEBI_15551,Class) = 1.0
is(CHEBI_15611,Class) = 1.0
is(CHEBI_15640,Class) = 1.0
is(CHEBI_156496,Class) = 1.0
is(CHEBI_15676,Class) = 1.0
is(CHEBI_15741,Class) = 1.0
is(CHEBI_15765,Class) = 1.0
is(CHEBI_15854,Class) = 1.0
is(CHEBI_15882,Class) = 1.0
is(CHEBI_15940,Class) = 1.0
is(CHEBI_15948,Class) = 1.0
is(CHEBI_15956,Class) = 1.0
is(CHEBI_16016,Class) = 1.0
is(CHEBI_16113,Class) = 1.0
is(CHEBI_16125,Class) = 1.0
is(CHEBI_16134,Class) = 1.0
is(CHEBI_16150,Class) = 1.0
is(CHEBI_16163,Class) = 1.0
is(CHEBI_16199,Class) = 1.0
is(CHEBI_16236,Class) = 1.0
is(CHEBI_16240,Class) = 1.0
is(CHEBI_16243,Class) = 1.0
is(CHEBI_16261,Class) = 1.0
is(CHEBI_16335,Class) = 1.0
is(CHEBI_16347,Class) = 1.0
is(CHEBI_16359,Class) = 1.0
is(CHEBI_164200,Class) = 1.0
is(CHEBI_16449,Class) = 1.0
is(CHEBI_16454,Class) = 1.0
is(CHEBI_16480,Class) = 1.0
is(CHEBI_16526,Class) = 1.0
is(CHEBI_16684,Class) = 1.0
is(CHEBI_166975,Class) = 1.0
is(CHEBI_16709,Class) = 1.0
is(CHEBI_16714,Class) = 1.0
is(CHEBI_167574,Class) = 1.0
is(CHEBI_167626,Class) = 1.0
is(CHEBI_16796,Class) = 1.0
is(CHEBI_16811,Class) = 1.0
is(CHEBI_168396,Class) = 1.0
is(CHEBI_168398,Class) = 1.0
is(CHEBI_168426,Class) = 1.0
is(CHEBI_16914,Class) = 1.0
is(CHEBI_16962,Class) = 1.0
is(CHEBI_16973,Class) = 1.0
is(CHEBI_16997,Class) = 1.0
is(CHEBI_17015,Class) = 1.0
is(CHEBI_17141,Class) = 1.0
is(CHEBI_17151,Class) = 1.0
is(CHEBI_17154,Class) = 1.0
is(CHEBI_17231,Class) = 1.0
is(CHEBI_17234,Class) = 1.0
is(CHEBI_17246,Class) = 1.0
is(CHEBI_17303,Class) = 1.0
is(CHEBI_17309,Class) = 1.0
is(CHEBI_17310,Class) = 1.0
is(CHEBI_17347,Class) = 1.0
is(CHEBI_17376,Class) = 1.0
is(CHEBI_17401,Class) = 1.0
is(CHEBI_17439,Class) = 1.0
is(CHEBI_17486,Class) = 1.0
is(CHEBI_17548,Class) = 1.0
is(CHEBI_175901,Class) = 1.0
is(CHEBI_17650,Class) = 1.0
is(CHEBI_176844,Class) = 1.0
is(CHEBI_17698,Class) = 1.0
is(CHEBI_17716,Class) = 1.0
is(CHEBI_177453,Class) = 1.0
is(CHEBI_17750,Class) = 1.0
is(CHEBI_17754,Class) = 1.0
is(CHEBI_177717,Class) = 1.0
is(CHEBI_17822,Class) = 1.0
is(CHEBI_17824,Class) = 1.0
is(CHEBI_178256,Class) = 1.0
is(CHEBI_17883,Class) = 1.0
is(CHEBI_17987,Class) = 1.0
is(CHEBI_17992,Class) = 1.0
is(CHEBI_18067,Class) = 1.0
is(CHEBI_18145,Class) = 1.0
is(CHEBI_18186,Class) = 1.0
is(CHEBI_181906,Class) = 1.0
is(CHEBI_18208,Class) = 1.0
is(CHEBI_18211,Class) = 1.0
is(CHEBI_18243,Class) = 1.0
is(CHEBI_18258,Class) = 1.0
is(CHEBI_18295,Class) = 1.0
is(CHEBI_183394,Class) = 1.0
is(CHEBI_18346,Class) = 1.0
is(CHEBI_18357,Class) = 1.0
is(CHEBI_183688,Class) = 1.0
is(CHEBI_183811,Class) = 1.0
is(CHEBI_18408,Class) = 1.0
is(CHEBI_189044,Class) = 1.0
is(CHEBI_190296,Class) = 1.0
is(CHEBI_190513,Class) = 1.0
is(CHEBI_194186,Class) = 1.0
is(CHEBI_195250,Class) = 1.0
is(CHEBI_204928,Class) = 1.0
is(CHEBI_22198,Class) = 1.0
is(CHEBI_22652,Class) = 1.0
is(CHEBI_229221,Class) = 1.0
is(CHEBI_229223,Class) = 1.0
is(CHEBI_229225,Class) = 1.0
is(CHEBI_22984,Class) = 1.0
is(CHEBI_231324,Class) = 1.0
is(CHEBI_231344,Class) = 1.0
is(CHEBI_231601,Class) = 1.0
is(CHEBI_231681,Class) = 1.0
is(CHEBI_23359,Class) = 1.0
is(CHEBI_23414,Class) = 1.0
is(CHEBI_23965,Class) = 1.0
is(CHEBI_240107,Class) = 1.0
is(CHEBI_24267,Class) = 1.0
is(CHEBI_2453,Class) = 1.0
is(CHEBI_247956,Class) = 1.0
is(CHEBI_24848,Class) = 1.0
is(CHEBI_24859,Class) = 1.0
is(CHEBI_24898,Class) = 1.0
is(CHEBI_24996,Class) = 1.0
is(CHEBI_2500,Class) = 1.0
is(CHEBI_25017,Class) = 1.0
is(CHEBI_25094,Class) = 1.0
is(CHEBI_25357,Class) = 1.0
is(CHEBI_2549,Class) = 1.0
is(CHEBI_25555,Class) = 1.0
is(CHEBI_2569,Class) = 1.0
is(CHEBI_25805,Class) = 1.0
is(CHEBI_26078,Class) = 1.0
is(CHEBI_2611,Class) = 1.0
is(CHEBI_261649,Class) = 1.0
is(CHEBI_2618,Class) = 1.0
is(CHEBI_26271,Class) = 1.0
is(CHEBI_2637,Class) = 1.0
is(CHEBI_2639,Class) = 1.0
is(CHEBI_2659,Class) = 1.0
is(CHEBI_2663,Class) = 1.0
is(CHEBI_2666,Class) = 1.0
is(CHEBI_2668,Class) = 1.0
is(CHEBI_26709,Class) = 1.0
is(CHEBI_26710,Class) = 1.0
is(CHEBI_2673,Class) = 1.0
is(CHEBI_2674,Class) = 1.0
is(CHEBI_2676,Class) = 1.0
is(CHEBI_2679,Class) = 1.0
is(CHEBI_26833,Class) = 1.0
is(CHEBI_26836,Class) = 1.0
is(CHEBI_26849,Class) = 1.0
is(CHEBI_26948,Class) = 1.0
is(CHEBI_26977,Class) = 1.0
is(CHEBI_26986,Class) = 1.0
is(CHEBI_271436,Class) = 1.0
is(CHEBI_27266,Class) = 1.0
is(CHEBI_27306,Class) = 1.0
is(CHEBI_27363,Class) = 1.0
is(CHEBI_27373,Class) = 1.0
is(CHEBI_27446,Class) = 1.0
is(CHEBI_27470,Class) = 1.0
is(CHEBI_27547,Class) = 1.0
is(CHEBI_27570,Class) = 1.0
is(CHEBI_27607,Class) = 1.0
is(CHEBI_27701,Class) = 1.0
is(CHEBI_27732,Class) = 1.0
is(CHEBI_27796,Class) = 1.0
is(CHEBI_27810,Class) = 1.0
is(CHEBI_27897,Class) = 1.0
is(CHEBI_27902,Class) = 1.0
is(CHEBI_27953,Class) = 1.0
is(CHEBI_27961,Class) = 1.0
is(CHEBI_27974,Class) = 1.0
is(CHEBI_28001,Class) = 1.0
is(CHEBI_28017,Class) = 1.0
is(CHEBI_28044,Class) = 1.0
is(CHEBI_28115,Class) = 1.0
is(CHEBI_28125,Class) = 1.0
is(CHEBI_28177,Class) = 1.0
is(CHEBI_28241,Class) = 1.0
is(CHEBI_28243,Class) = 1.0
is(CHEBI_28262,Class) = 1.0
is(CHEBI_28300,Class) = 1.0
is(CHEBI_28368,Class) = 1.0
is(CHEBI_28398,Class) = 1.0
is(CHEBI_28445,Class) = 1.0
is(CHEBI_28462,Class) = 1.0
is(CHEBI_28487,Class) = 1.0
is(CHEBI_28527,Class) = 1.0
is(CHEBI_28544,Class) = 1.0
is(CHEBI_28593,Class) = 1.0
is(CHEBI_28621,Class) = 1.0
is(CHEBI_28669,Class) = 1.0
is(CHEBI_28674,Class) = 1.0
is(CHEBI_28741,Class) = 1.0
is(CHEBI_28748,Class) = 1.0
is(CHEBI_2877,Class) = 1.0
is(CHEBI_28775,Class) = 1.0
is(CHEBI_28787,Class) = 1.0
is(CHEBI_28838,Class) = 1.0
is(CHEBI_28864,Class) = 1.0
is(CHEBI_28885,Class) = 1.0
is(CHEBI_28887,Class) = 1.0
is(CHEBI_28918,Class) = 1.0
is(CHEBI_28934,Class) = 1.0
is(CHEBI_28966,Class) = 1.0
is(CHEBI_28971,Class) = 1.0
is(CHEBI_28984,Class) = 1.0
is(CHEBI_29016,Class) = 1.0
is(CHEBI_29222,Class) = 1.0
is(CHEBI_29377,Class) = 1.0
is(CHEBI_2946,Class) = 1.0
is(CHEBI_29708,Class) = 1.0
is(CHEBI_2972,Class) = 1.0
is(CHEBI_29864,Class) = 1.0
is(CHEBI_29987,Class) = 1.0
is(CHEBI_30114,Class) = 1.0
is(CHEBI_3013,Class) = 1.0
is(CHEBI_30145,Class) = 1.0
is(CHEBI_30187,Class) = 1.0
is(CHEBI_30217,Class) = 1.0
is(CHEBI_30251,Class) = 1.0
is(CHEBI_30313,Class) = 1.0
is(CHEBI_30563,Class) = 1.0
is(CHEBI_30618,Class) = 1.0
is(CHEBI_30660,Class) = 1.0
is(CHEBI_30769,Class) = 1.0
is(CHEBI_3077,Class) = 1.0
is(CHEBI_30812,Class) = 1.0
is(CHEBI_30813,Class) = 1.0
is(CHEBI_30853,Class) = 1.0
is(CHEBI_30911,Class) = 1.0
is(CHEBI_31206,Class) = 1.0
is(CHEBI_31225,Class) = 1.0
is(CHEBI_31236,Class) = 1.0
is(CHEBI_31302,Class) = 1.0
is(CHEBI_31306,Class) = 1.0
is(CHEBI_31403,Class) = 1.0
is(CHEBI_31425,Class) = 1.0
is(CHEBI_31524,Class) = 1.0
is(CHEBI_31536,Class) = 1.0
is(CHEBI_31607,Class) = 1.0
is(CHEBI_31608,Class) = 1.0
is(CHEBI_31624,Class) = 1.0
is(CHEBI_31654,Class) = 1.0
is(CHEBI_31687,Class) = 1.0
is(CHEBI_31711,Class) = 1.0
is(CHEBI_3175,Class) = 1.0
is(CHEBI_3176,Class) = 1.0
is(CHEBI_31793,Class) = 1.0
is(CHEBI_31794,Class) = 1.0
is(CHEBI_31824,Class) = 1.0
is(CHEBI_3183,Class) = 1.0
is(CHEBI_31832,Class) = 1.0
is(CHEBI_31835,Class) = 1.0
is(CHEBI_32003,Class) = 1.0
is(CHEBI_32020,Class) = 1.0
is(CHEBI_32026,Class) = 1.0
is(CHEBI_32028,Class) = 1.0
is(CHEBI_32029,Class) = 1.0
is(CHEBI_32032,Class) = 1.0
is(CHEBI_32035,Class) = 1.0
is(CHEBI_32063,Class) = 1.0
is(CHEBI_32076,Class) = 1.0
is(CHEBI_32114,Class) = 1.0
is(CHEBI_3213,Class) = 1.0
is(CHEBI_32139,Class) = 1.0
is(CHEBI_32145,Class) = 1.0
is(CHEBI_3215,Class) = 1.0
is(CHEBI_32150,Class) = 1.0
is(CHEBI_32154,Class) = 1.0
is(CHEBI_32159,Class) = 1.0
is(CHEBI_3216,Class) = 1.0
is(CHEBI_32178,Class) = 1.0
is(CHEBI_3219,Class) = 1.0
is(CHEBI_32234,Class) = 1.0
is(CHEBI_3228,Class) = 1.0
is(CHEBI_32391,Class) = 1.0
is(CHEBI_32588,Class) = 1.0
is(CHEBI_32596,Class) = 1.0
is(CHEBI_32598,Class) = 1.0
is(CHEBI_32599,Class) = 1.0
is(CHEBI_32687,Class) = 1.0
is(CHEBI_32914,Class) = 1.0
is(CHEBI_32954,Class) = 1.0
is(CHEBI_3310,Class) = 1.0
is(CHEBI_3311,Class) = 1.0
is(CHEBI_33118,Class) = 1.0
is(CHEBI_3312,Class) = 1.0
is(CHEBI_33130,Class) = 1.0
is(CHEBI_33167,Class) = 1.0
is(CHEBI_33234,Class) = 1.0
is(CHEBI_33235,Class) = 1.0
is(CHEBI_33697,Class) = 1.0
is(CHEBI_3374,Class) = 1.0
is(CHEBI_3380,Class) = 1.0
is(CHEBI_3387,Class) = 1.0
is(CHEBI_3390,Class) = 1.0
is(CHEBI_3393,Class) = 1.0
is(CHEBI_3395,Class) = 1.0
is(CHEBI_3398,Class) = 1.0
is(CHEBI_34056,Class) = 1.0
is(CHEBI_34123,Class) = 1.0
is(CHEBI_3419,Class) = 1.0
is(CHEBI_3423,Class) = 1.0
is(CHEBI_34247,Class) = 1.0
is(CHEBI_34393,Class) = 1.0
is(CHEBI_34511,Class) = 1.0
is(CHEBI_34572,Class) = 1.0
is(CHEBI_34683,Class) = 1.0
is(CHEBI_34689,Class) = 1.0
is(CHEBI_3479,Class) = 1.0
is(CHEBI_34853,Class) = 1.0
is(CHEBI_34914,Class) = 1.0
is(CHEBI_34918,Class) = 1.0
is(CHEBI_3499,Class) = 1.0
is(CHEBI_35018,Class) = 1.0
is(CHEBI_35149,Class) = 1.0
is(CHEBI_3515,Class) = 1.0
is(CHEBI_35150,Class) = 1.0
is(CHEBI_35176,Class) = 1.0
is(CHEBI_3534,Class) = 1.0
is(CHEBI_3547,Class) = 1.0
is(CHEBI_3561,Class) = 1.0
is(CHEBI_3614,Class) = 1.0
is(CHEBI_36234,Class) = 1.0
is(CHEBI_3636,Class) = 1.0
is(CHEBI_3638,Class) = 1.0
is(CHEBI_3647,Class) = 1.0
is(CHEBI_3651,Class) = 1.0
is(CHEBI_3655,Class) = 1.0
is(CHEBI_36560,Class) = 1.0
is(CHEBI_3699,Class) = 1.0
is(CHEBI_37397,Class) = 1.0
is(CHEBI_3745,Class) = 1.0
is(CHEBI_37585,Class) = 1.0
is(CHEBI_3764,Class) = 1.0
is(CHEBI_37808,Class) = 1.0
is(CHEBI_37924,Class) = 1.0
is(CHEBI_37936,Class) = 1.0
is(CHEBI_37937,Class) = 1.0
is(CHEBI_37943,Class) = 1.0
is(CHEBI_3815,Class) = 1.0
is(CHEBI_3901,Class) = 1.0
is(CHEBI_39098,Class) = 1.0
is(CHEBI_39211,Class) = 1.0
is(CHEBI_39384,Class) = 1.0
is(CHEBI_39548,Class) = 1.0
is(CHEBI_4027,Class) = 1.0
is(CHEBI_40279,Class) = 1.0
is(CHEBI_4031,Class) = 1.0
is(CHEBI_40572,Class) = 1.0
is(CHEBI_408174,Class) = 1.0
is(CHEBI_41237,Class) = 1.0
is(CHEBI_41423,Class) = 1.0
is(CHEBI_41688,Class) = 1.0
is(CHEBI_41879,Class) = 1.0
is(CHEBI_41922,Class) = 1.0
is(CHEBI_42068,Class) = 1.0
is(CHEBI_42797,Class) = 1.0
is(CHEBI_4305,Class) = 1.0
is(CHEBI_43098,Class) = 1.0
is(CHEBI_4317,Class) = 1.0
is(CHEBI_4325,Class) = 1.0
is(CHEBI_43572,Class) = 1.0
is(CHEBI_44032,Class) = 1.0
is(CHEBI_44185,Class) = 1.0
is(CHEBI_4450,Class) = 1.0
is(CHEBI_4464,Class) = 1.0
is(CHEBI_4466,Class) = 1.0
is(CHEBI_4469,Class) = 1.0
is(CHEBI_4470,Class) = 1.0
is(CHEBI_4514,Class) = 1.0
is(CHEBI_45267,Class) = 1.0
is(CHEBI_4527,Class) = 1.0
is(CHEBI_45304,Class) = 1.0
is(CHEBI_45367,Class) = 1.0
is(CHEBI_45652,Class) = 1.0
is(CHEBI_45863,Class) = 1.0
is(CHEBI_45895,Class) = 1.0
is(CHEBI_45924,Class) = 1.0
is(CHEBI_45951,Class) = 1.0
is(CHEBI_46081,Class) = 1.0
is(CHEBI_46195,Class) = 1.0
is(CHEBI_46245,Class) = 1.0
is(CHEBI_4631,Class) = 1.0
is(CHEBI_4636,Class) = 1.0
is(CHEBI_4670,Class) = 1.0
is(CHEBI_46726,Class) = 1.0
is(CHEBI_46793,Class) = 1.0
is(CHEBI_4682,Class) = 1.0
is(CHEBI_46961,Class) = 1.0
is(CHEBI_4710,Class) = 1.0
is(CHEBI_4712,Class) = 1.0
is(CHEBI_4717,Class) = 1.0
is(CHEBI_4724,Class) = 1.0
is(CHEBI_472657,Class) = 1.0
is(CHEBI_473990,Class) = 1.0
is(CHEBI_4740,Class) = 1.0
is(CHEBI_474053,Class) = 1.0
is(CHEBI_47426,Class) = 1.0
is(CHEBI_47499,Class) = 1.0
is(CHEBI_4754,Class) = 1.0
is(CHEBI_47544,Class) = 1.0
is(CHEBI_47781,Class) = 1.0
is(CHEBI_478164,Class) = 1.0
is(CHEBI_4784,Class) = 1.0
is(CHEBI_47898,Class) = 1.0
is(CHEBI_480999,Class) = 1.0
is(CHEBI_4822,Class) = 1.0
is(CHEBI_48273,Class) = 1.0
is(CHEBI_48339,Class) = 1.0
is(CHEBI_48347,Class) = 1.0
is(CHEBI_48538,Class) = 1.0
is(CHEBI_4856,Class) = 1.0
is(CHEBI_48720,Class) = 1.0
is(CHEBI_4875,Class) = 1.0
is(CHEBI_487869,Class) = 1.0
is(CHEBI_48814,Class) = 1.0
is(CHEBI_4887,Class) = 1.0
is(CHEBI_48923,Class) = 1.0
is(CHEBI_4903,Class) = 1.0
is(CHEBI_49040,Class) = 1.0
is(CHEBI_4907,Class) = 1.0
is(CHEBI_4909,Class) = 1.0
is(CHEBI_495055,Class) = 1.0
is(CHEBI_49553,Class) = 1.0
is(CHEBI_49575,Class) = 1.0
is(CHEBI_49662,Class) = 1.0
is(CHEBI_4975,Class) = 1.0
is(CHEBI_49900,Class) = 1.0
is(CHEBI_49976,Class) = 1.0
is(CHEBI_5001,Class) = 1.0
is(CHEBI_5002,Class) = 1.0
is(CHEBI_50169,Class) = 1.0
is(CHEBI_50172,Class) = 1.0
is(CHEBI_50212,Class) = 1.0
is(CHEBI_50217,Class) = 1.0
is(CHEBI_50275,Class) = 1.0
is(CHEBI_50369,Class) = 1.0
is(CHEBI_5050,Class) = 1.0
is(CHEBI_50580,Class) = 1.0
is(CHEBI_50667,Class) = 1.0
is(CHEBI_50693,Class) = 1.0
is(CHEBI_50694,Class) = 1.0
is(CHEBI_50815,Class) = 1.0
is(CHEBI_50819,Class) = 1.0
is(CHEBI_50821,Class) = 1.0
is(CHEBI_50838,Class) = 1.0
is(CHEBI_50845,Class) = 1.0
is(CHEBI_50861,Class) = 1.0
is(CHEBI_50867,Class) = 1.0
is(CHEBI_51032,Class) = 1.0
is(CHEBI_51041,Class) = 1.0
is(CHEBI_5108,Class) = 1.0
is(CHEBI_5109,Class) = 1.0
is(CHEBI_5118,Class) = 1.0
is(CHEBI_51209,Class) = 1.0
is(CHEBI_5121,Class) = 1.0
is(CHEBI_5123,Class) = 1.0
is(CHEBI_5130,Class) = 1.0
is(CHEBI_51364,Class) = 1.0
is(CHEBI_5138,Class) = 1.0
is(CHEBI_51380,Class) = 1.0
is(CHEBI_51450,Class) = 1.0
is(CHEBI_5165,Class) = 1.0
is(CHEBI_5195,Class) = 1.0
is(CHEBI_52010,Class) = 1.0
is(CHEBI_52071,Class) = 1.0
is(CHEBI_52683,Class) = 1.0
is(CHEBI_52717,Class) = 1.0
is(CHEBI_5280,Class) = 1.0
is(CHEBI_5291,Class) = 1.0
is(CHEBI_5296,Class) = 1.0
is(CHEBI_52993,Class) = 1.0
is(CHEBI_53248,Class) = 1.0
is(CHEBI_53258,Class) = 1.0
is(CHEBI_53279,Class) = 1.0
is(CHEBI_53289,Class) = 1.0
is(CHEBI_53351,Class) = 1.0
is(CHEBI_534,Class) = 1.0
is(CHEBI_53424,Class) = 1.0
is(CHEBI_53425,Class) = 1.0
is(CHEBI_53426,Class) = 1.0
is(CHEBI_53700,Class) = 1.0
is(CHEBI_53773,Class) = 1.0
is(CHEBI_53775,Class) = 1.0
is(CHEBI_5384,Class) = 1.0
is(CHEBI_5391,Class) = 1.0
is(CHEBI_5417,Class) = 1.0
is(CHEBI_5441,Class) = 1.0
is(CHEBI_5537,Class) = 1.0
is(CHEBI_5551,Class) = 1.0
is(CHEBI_5613,Class) = 1.0
is(CHEBI_5693,Class) = 1.0
is(CHEBI_5775,Class) = 1.0
is(CHEBI_5778,Class) = 1.0
is(CHEBI_5779,Class) = 1.0
is(CHEBI_5790,Class) = 1.0
is(CHEBI_5818,Class) = 1.0
is(CHEBI_5855,Class) = 1.0
is(CHEBI_5864,Class) = 1.0
is(CHEBI_59118,Class) = 1.0
is(CHEBI_59269,Class) = 1.0
is(CHEBI_5950,Class) = 1.0
is(CHEBI_5956,Class) = 1.0
is(CHEBI_59560,Class) = 1.0
is(CHEBI_59692,Class) = 1.0
is(CHEBI_59732,Class) = 1.0
is(CHEBI_59788,Class) = 1.0
is(CHEBI_59809,Class) = 1.0
is(CHEBI_600103,Class) = 1.0
is(CHEBI_6060,Class) = 1.0
is(CHEBI_6061,Class) = 1.0
is(CHEBI_60654,Class) = 1.0
is(CHEBI_6067,Class) = 1.0
is(CHEBI_6078,Class) = 1.0
is(CHEBI_60802,Class) = 1.0
is(CHEBI_61000,Class) = 1.0
is(CHEBI_6104,Class) = 1.0
is(CHEBI_61057,Class) = 1.0
is(CHEBI_6128,Class) = 1.0
is(CHEBI_6129,Class) = 1.0
is(CHEBI_61330,Class) = 1.0
is(CHEBI_61390,Class) = 1.0
is(CHEBI_61468,Class) = 1.0
is(CHEBI_62070,Class) = 1.0
is(CHEBI_62964,Class) = 1.0
is(CHEBI_62968,Class) = 1.0
is(CHEBI_62984,Class) = 1.0
is(CHEBI_63036,Class) = 1.0
is(CHEBI_63039,Class) = 1.0
is(CHEBI_63115,Class) = 1.0
is(CHEBI_63554,Class) = 1.0
is(CHEBI_63555,Class) = 1.0
is(CHEBI_63580,Class) = 1.0
is(CHEBI_63589,Class) = 1.0
is(CHEBI_6359,Class) = 1.0
is(CHEBI_63598,Class) = 1.0
is(CHEBI_63599,Class) = 1.0
is(CHEBI_63605,Class) = 1.0
is(CHEBI_63606,Class) = 1.0
is(CHEBI_63607,Class) = 1.0
is(CHEBI_63610,Class) = 1.0
is(CHEBI_63612,Class) = 1.0
is(CHEBI_63613,Class) = 1.0
is(CHEBI_63624,Class) = 1.0
is(CHEBI_63627,Class) = 1.0
is(CHEBI_63631,Class) = 1.0
is(CHEBI_63845,Class) = 1.0
is(CHEBI_64022,Class) = 1.0
is(CHEBI_64073,Class) = 1.0
is(CHEBI_6427,Class) = 1.0
is(CHEBI_64275,Class) = 1.0
is(CHEBI_64312,Class) = 1.0
is(CHEBI_64318,Class) = 1.0
is(CHEBI_64355,Class) = 1.0
is(CHEBI_6437,Class) = 1.0
is(CHEBI_6443,Class) = 1.0
is(CHEBI_6456,Class) = 1.0
is(CHEBI_6472,Class) = 1.0
is(CHEBI_64735,Class) = 1.0
is(CHEBI_64746,Class) = 1.0
is(CHEBI_6538,Class) = 1.0
is(CHEBI_6636,Class) = 1.0
is(CHEBI_6640,Class) = 1.0
is(CHEBI_6650,Class) = 1.0
is(CHEBI_66889,Class) = 1.0
is(CHEBI_6690,Class) = 1.0
is(CHEBI_66901,Class) = 1.0
is(CHEBI_6704,Class) = 1.0
is(CHEBI_6709,Class) = 1.0
is(CHEBI_6715,Class) = 1.0
is(CHEBI_6741,Class) = 1.0
is(CHEBI_6754,Class) = 1.0
is(CHEBI_6759,Class) = 1.0
is(CHEBI_6761,Class) = 1.0
is(CHEBI_6762,Class) = 1.0
is(CHEBI_6792,Class) = 1.0
is(CHEBI_6801,Class) = 1.0
is(CHEBI_6807,Class) = 1.0
is(CHEBI_681569,Class) = 1.0
is(CHEBI_6823,Class) = 1.0
is(CHEBI_6824,Class) = 1.0
is(CHEBI_6832,Class) = 1.0
is(CHEBI_68428,Class) = 1.0
is(CHEBI_6847,Class) = 1.0
is(CHEBI_68478,Class) = 1.0
is(CHEBI_68534,Class) = 1.0
is(CHEBI_68558,Class) = 1.0
is(CHEBI_68642,Class) = 1.0
is(CHEBI_6872,Class) = 1.0
is(CHEBI_6887,Class) = 1.0
is(CHEBI_6888,Class) = 1.0
is(CHEBI_6904,Class) = 1.0
is(CHEBI_6916,Class) = 1.0
is(CHEBI_6923,Class) = 1.0
is(CHEBI_6931,Class) = 1.0
is(CHEBI_6965,Class) = 1.0
is(CHEBI_6997,Class) = 1.0
